timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-05-29 00:00:00+00:00,0,1,0,1526814825,0.0,77.62384796142578,0.1178027093410492,4728,0.0,0.0,177024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4728.0,177024.0,77.62384796142578,0.1178027093410492,0.0,0.0,4728.0,177024.0,77.62384796142578,0.1178027093410492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026708092077390198,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-05-30 00:00:00+00:00,0,1,0,1526814825,0.0,77.23177337646484,0.100980632007122,3935,0.0,0.0,222954,0.0,0.0,4728.0,177024.0,77.62384796142578,0.1178027093410492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4331.5,199989.0,77.42781066894531,0.10939167067408559,0.0,0.0,4331.5,199989.0,77.42781066894531,0.10939167067408559,0.0,0.0,0.0,0.0,-16.772419627749578,0.0,25.94563449023861,0.0,-14.279873041990744,0.0,-0.5050955283172454,0.0,0.0,0.0,0.0,0.01764930142853939,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,560.7356774809322,560.7356774809322,32477.41445989813,32477.41445989813,0,0.0
2021-05-31 00:00:00+00:00,0,0,1,1526814825,0.0,77.19029235839844,0.0970853269100189,3633,0.0,0.0,169209,0.0,0.0,3935.0,222954.0,77.23177337646484,0.100980632007122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4098.666666666667,189729.0,77.34863789876302,0.10528955608606337,0.0,0.0,4098.666666666667,189729.0,77.34863789876302,0.10528955608606337,0.0,0.0,0.0,0.0,-7.674714104193137,0.0,-24.105869372157485,0.0,-3.8574774386719746,0.0,-0.053709783231581376,0.0,0.0,0.0,0.0,0.021470362271733347,0.0,-0.21677780151366946,0.0,1.0,0.0,1.0,0.0,0.0,565.5495852118835,565.5495852118835,29037.803377666154,29037.803377666154,0,0.0
2021-06-01 00:00:00+00:00,1,0,0,1526814825,0.0,77.3816146850586,0.1015766859054565,3459,0.0,0.0,159994,0.0,0.0,3633.0,169209.0,77.19029235839844,0.0970853269100189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3938.75,182295.25,77.35688209533691,0.10436133854091165,0.0,0.0,3938.75,182295.25,77.35688209533691,0.10436133854091165,0.0,0.0,0.0,0.0,-4.789430222956237,0.0,-5.445927817078289,0.0,4.626197529931897,0.0,0.24785801532118956,0.0,0.0,0.0,0.0,0.02161942560705022,0.0,-0.07681808471680854,0.0,1.0,0.0,1.0,0.0,0.0,561.7154528762762,561.7154528762762,27985.208704778317,27985.208704778317,0,0.0
2021-06-02 00:00:00+00:00,1,0,0,1526814825,0.0,77.41744995117188,0.1097219735383987,3843,0.0,0.0,172359,0.0,0.0,3459.0,159994.0,77.3816146850586,0.1015766859054565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3919.6,180308.0,77.3689956665039,0.10543346554040907,0.0,0.0,3919.6,180308.0,77.3689956665039,0.10543346554040907,0.0,0.0,0.0,0.0,11.101474414570678,0.0,7.728414815555573,0.0,8.018855468983798,0.0,0.04630979368824839,0.0,0.0,0.0,0.0,0.022296356463216524,0.0,-0.026295471191402124,-0.026295471191402124,1.0,0.0,1.0,0.0,0.0,488.3408645608107,488.3408645608107,24639.90143040349,24639.90143040349,0,0.0
2021-06-03 00:00:00+00:00,1,0,0,1526814825,0.0,77.61470031738281,0.1079447194933891,3914,0.0,0.0,179891,0.0,0.0,3843.0,172359.0,77.41744995117188,0.1097219735383987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3918.6666666666665,180238.5,77.40994644165039,0.10585200786590572,0.0,0.0,3918.6666666666665,180238.5,77.40994644165039,0.10585200786590572,0.0,0.0,0.0,0.0,1.84751496226907,0.0,4.369948769719012,0.0,-1.6197795096965062,0.0,0.2547879920293816,0.0,0.0,0.0,0.0,0.02175749894381073,0.0,0.020074680873329562,0.020074680873329562,1.0,0.0,1.0,0.0,0.0,436.7913308053019,436.7913308053019,22039.255329978823,22039.255329978823,0,0.0
2021-06-04 00:00:00+00:00,1,0,0,1526814825,0.0,77.81047821044922,0.1066486686468124,3941,0.0,0.0,179202,0.0,0.0,3914.0,179891.0,77.61470031738281,0.1079447194933891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3921.8571428571427,180090.42857142858,77.4671652657645,0.1059658165488924,0.0,0.0,3921.8571428571427,180090.42857142858,77.4671652657645,0.1059658165488924,0.0,0.0,0.0,0.0,0.6898313745528961,0.0,-0.3830097114363662,0.0,-1.2006616466830322,0.0,0.25224331507540665,0.0,0.0,0.0,0.0,0.021991819333381697,0.0,0.05546079363141917,0.05546079363141917,1.0,0.0,1.0,0.0,0.0,398.82344822884085,398.82344822884085,20122.809337143946,20122.809337143946,0,0.0
2021-06-05 00:00:00+00:00,1,1,0,1526814825,0.0,77.96406555175781,0.1009264215826988,3851,0.0,0.0,186079,0.0,0.0,3941.0,179202.0,77.81047821044922,0.1066486686468124,0.0,0.0,4728.0,177024.0,77.62384796142578,0.1178027093410492,0.0,0.0,3796.5714285714284,181384.0,77.51576777866909,0.10355491829769949,0.0,0.0,3913.0,180839.0,77.52927780151367,0.1053358921781182,0.0,0.0,0.0,-18.549069373942473,-2.28368434407511,5.115125632682571,3.8375687771341926,-14.325891019613191,-5.365511953143953,0.43829003491440144,0.1973864508237444,0.0,0.0,0.0,0.0,0.020695399828030956,0.0,0.13108335222517017,0.07838221958705674,0.9998257429550785,0.0,0.9830924308553141,0.0,0.0,370.0876344095506,370.0876344095506,18750.027992360057,18750.027992360057,0,0.0
2021-06-06 00:00:00+00:00,1,1,0,1526814825,0.0,78.27269744873047,0.099742591381073,3680,0.0,0.0,182001,0.0,0.0,3851.0,186079.0,77.96406555175781,0.1009264215826988,0.0,0.0,3935.0,222954.0,77.23177337646484,0.100980632007122,0.0,0.0,3760.1428571428573,175533.57142857142,77.66447121756417,0.10337805535112106,0.0,0.0,3887.1111111111113,180968.11111111112,77.61187998453777,0.10471441431177984,0.0,0.0,0.0,-6.480304955527316,-4.440405089587118,-18.368362980704546,-2.191542301925531,-1.2260179020880835,-1.1729636135526356,1.3477925298849058,0.3958642931053413,0.0,0.0,0.0,0.0,0.02021955802683487,0.0,0.17161233084542704,0.1044288635253886,1.0006776183367403,0.0,0.9872380610688433,0.0,0.0,354.7905876867524,354.7905876867524,17543.321609977716,17543.321609977716,0,0.0
2021-06-07 00:00:00+00:00,1,0,0,1526814825,0.0,78.94486999511719,0.1175019368529319,4075,0.0,0.0,172947,0.0,0.0,3680.0,182001.0,78.27269744873047,0.099742591381073,0.0,0.0,3633.0,169209.0,77.19029235839844,0.0970853269100189,0.0,0.0,3823.285714285714,176067.57142857142,77.91512516566685,0.10629471391439435,0.0,0.0,3905.9,180166.0,77.7451789855957,0.10599316656589505,0.0,0.0,0.0,12.166253784750891,10.733695652173903,2.209102352711745,-4.974697941220107,21.029552655094452,17.80517753344526,2.273054788511697,0.8587573551135153,0.0,0.0,0.0,0.0,0.023561995513102205,0.0,0.2410580771310028,0.14865681041370749,1.002185938501764,0.0,1.0028449697114372,0.0,0.0,339.7356652196267,339.7356652196267,16733.364760926663,16733.364760926663,0,0.0
