timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_rpv,visits_visits_gained,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-12 00:00:00+00:00,1,0,0,4130569984,51.92579375372993,0.0176867401993536,22037,88.10198211669922,411,0.0063556577078998,94123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94123.0,411.0,22037.0,88.10198211669922,0.0063556577078998,51.92579375372993,94123.0,411.0,22037.0,88.10198211669922,0.0063556577078998,51.92579375372993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.45388349514562,4.27094110173337,0.018649605227334602,0.0005516743206167388,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-07-13 00:00:00+00:00,1,1,0,4130569984,14.973841389020285,0.0133823696911957,35361,87.93899536132812,354,0.0055704922415316,71526.0,0.0,94123.0,411.0,22037.0,88.10198211669922,0.0063556577078998,51.92579375372993,0.0,0.0,0.0,0.0,0.0,0.0,82824.5,382.5,28699.0,88.02048873901367,0.0059630749747157,33.44981757137511,82824.5,382.5,28699.0,88.02048873901367,0.0059630749747157,33.44981757137511,0.0,-24.007947048011648,0.0,-13.868613138686136,0.0,60.461950356219084,0.0,-12.353803531494068,0.0,-0.18499783030443417,0.1929198719518067,0.1929198719518067,201.48169014084507,2.022679712685934,0.010010745998529495,0.00020934530162065073,0.0,0.0,1.0,1.0,1.0,15978.491934472415,15978.491934472415,40.30508652763321,40.30508652763321,9421.490752529558,9421.490752529558,1,0.7599205295198835
2024-07-14 00:00:00+00:00,1,1,0,4130569984,14.423085927963257,0.0141107227784625,39876,87.798095703125,1173,0.0166732612997293,75913.0,0.0,71526.0,354.0,35361.0,87.93899536132812,0.0055704922415316,14.973841389020285,0.0,0.0,0.0,0.0,0.0,0.0,80520.66666666667,646.0,32424.666666666668,87.94635772705078,0.009533137083053566,27.107573690237825,80520.66666666667,646.0,32424.666666666668,87.94635772705078,0.009533137083053566,27.107573690237825,0.0,6.133433996029414,0.0,231.35593220338984,0.0,12.768304063799096,0.0,199.31396682360347,0.0,-0.16022432099001005,0.1488120742503495,0.1488120742503495,64.6618398637138,1.90367881234797,0.0294154525164882,0.0001899924378634146,-0.15194320678711243,0.0,1.0,1.0,1.0,11982.447426687644,11982.447426687644,457.28437541643603,457.28437541643603,9274.913494654995,9274.913494654995,1,0.8065297536202628
2024-07-15 00:00:00+00:00,1,0,0,4130569984,14.312652945518494,0.0344384914675345,96803,87.56441497802734,1181,0.0174016617238521,187629.0,0.0,75913.0,1173.0,39876.0,87.798095703125,0.0166732612997293,14.423085927963257,0.0,0.0,0.0,0.0,0.0,0.0,107297.75,779.75,48519.25,87.85087203979492,0.0115002682432532,23.90884350405799,107297.75,779.75,48519.25,87.85087203979492,0.0115002682432532,23.90884350405799,0.0,147.16319997892322,0.0,0.6820119352088705,0.0,142.76005617413983,0.0,4.368673956633939,0.0,-0.26615694022318337,0.5073778419289899,0.5073778419289899,158.73857868020303,1.9382360233048221,0.01219990909466551,7.628126070201191e-05,-0.1753601074218876,0.0,1.0,1.0,1.0,54440.50083883628,54440.50083883628,459.3062703686942,459.3062703686942,33067.98750428174,33067.98750428174,2,1.0
2024-07-16 00:00:00+00:00,1,0,0,4130569984,14.844674468040466,0.0335868279401772,92933,87.47978210449219,1071,0.0164687931537628,186161.0,0.0,187629.0,1181.0,96803.0,87.56441497802734,0.0174016617238521,14.312652945518494,0.0,0.0,0.0,0.0,0.0,0.0,123070.4,838.0,57402.0,87.77665405273437,0.012493973225355118,22.096009696854487,123070.4,838.0,57402.0,87.77665405273437,0.012493973225355118,22.096009696854487,0.0,-0.7823950455420059,0.0,-9.314140558848438,0.0,-3.9978099852277293,0.0,-5.360801657295955,0.0,-0.09665213152670882,0.4784152920268184,0.4784152920268184,173.65764925373134,2.0031527750876967,0.011524307573116406,7.974062627195918e-05,-0.16189804077148828,-0.16189804077148828,1.0,1.0,1.0,58878.76135585734,58878.76135585734,418.5534613403645,418.5534613403645,34851.61525668502,34851.61525668502,2,0.9921760495445799
2024-07-17 00:00:00+00:00,1,0,0,4130569984,15.25462039311727,0.0325952806203843,89073,87.33811950683594,1129,0.0166052710264921,183643.0,0.0,186161.0,1071.0,92933.0,87.47978210449219,0.0164687931537628,14.844674468040466,0.0,0.0,0.0,0.0,0.0,0.0,133165.83333333334,886.5,62680.5,87.7035649617513,0.013179189525544616,20.955778146231616,133165.83333333334,886.5,62680.5,87.7035649617513,0.013179189525544616,20.955778146231616,0.0,-1.3525926482990558,0.0,5.415499533146595,0.0,-4.1535299624460675,0.0,0.8287059741115099,0.0,-0.16193752916192627,0.4368963421815565,0.4368963421815565,162.51592920353983,2.061690279991917,0.012674854615263713,8.30662607714778e-05,-0.15516095842633423,-0.15516095842633423,1.0,1.0,1.0,58179.665486892125,58179.665486892125,392.7634147931806,392.7634147931806,33747.347189075466,33747.347189075466,2,0.978755949240256
2024-07-18 00:00:00+00:00,1,0,0,4130569984,14.897063930829368,0.0298967910351774,86011,87.37873077392578,1019,0.0148366205394268,171082.0,0.0,183643.0,1129.0,89073.0,87.33811950683594,0.0166052710264921,15.25462039311727,0.0,0.0,0.0,0.0,0.0,0.0,138582.42857142858,905.4285714285714,66013.42857142857,87.65716007777623,0.013415965384670643,20.090247544031293,138582.42857142858,905.4285714285714,66013.42857142857,87.65716007777623,0.013415965384670643,20.090247544031293,0.0,-6.839901330298459,0.0,-9.743135518157665,0.0,-3.4376298092575808,0.0,-10.651138931990879,0.0,0.04649890256300804,0.39694815478864487,0.39694815478864487,167.72745098039215,1.9890480398083987,0.01184718411384458,8.707506842193186e-05,-0.13177926199776174,-0.13177926199776174,1.0,1.0,1.0,55010.03930755775,55010.03930755775,362.02295375793375,362.02295375793375,32044.16366962499,32044.16366962499,2,0.9118100080477964
2024-07-19 00:00:00+00:00,1,0,0,4130569984,14.8673628171285,0.0295497722324867,85474,87.34052276611328,1033,0.0143953738734126,171595.0,0.0,171082.0,1019.0,86011.0,87.37873077392578,0.0148366205394268,14.897063930829368,94123.0,411.0,22037.0,88.10198211669922,0.0063556577078998,51.92579375372993,149649.85714285713,994.2857142857143,75075.85714285714,87.54838017054966,0.014564496265458185,14.796185981659663,142709.0,921.375,68446.0,87.61758041381836,0.013538391445763387,19.437386953168446,82.30931865750135,0.29985620930315093,151.33819951338202,1.3738959764475034,287.86586195943187,-0.6243387473695239,126.49699739996683,-2.974037550139075,-0.8642930979433694,-0.0437268972369842,0.36612766659527474,0.36612766659527474,165.95261121856868,2.0075460661011992,0.012085405089207371,8.66416630756457e-05,-0.10215868268694149,-0.11423928397042124,0.9992102013894716,1.0486364359841154,1.07579222567212,52249.713172145064,52249.713172145064,338.1892697038999,338.1892697038999,30454.521508073547,30454.521508073547,2,0.9145441269739752
2024-07-20 00:00:00+00:00,1,1,0,4130569984,15.454009771347046,0.0308855516363351,86935,87.18851470947266,1031,0.014768173918128,182059.0,0.0,171595.0,1033.0,85474.0,87.34052276611328,0.0143953738734126,14.8673628171285,71526.0,354.0,35361.0,87.93899536132812,0.0055704922415316,14.973841389020285,165440.2857142857,1091.0,82443.57142857143,87.44116864885602,0.01587845079068624,14.8647814648492,147081.22222222222,933.5555555555555,70500.33333333333,87.56990644666884,0.013675033942692788,18.994789488521622,154.53541369571906,6.098079780879395,191.24293785310735,-0.19361084220715918,145.84994768247506,1.709291714439476,165.11434318177075,2.589721170104098,-0.8534105362153155,-0.17404069935290645,0.34405886687650333,0.34405886687650333,176.41375968992247,2.094172724763044,0.011859298794515506,8.488415781251811e-05,-0.0849135262625528,-0.10857187906901067,0.9985298854019992,1.124822619874107,1.161126974691777,50604.59865658896,50604.59865658896,318.4505892250441,318.4505892250441,29146.624405752376,29146.624405752376,2,0.9703137574681953
2024-07-21 00:00:00+00:00,1,1,0,4130569984,15.927715261777244,0.0288303695472392,76937,87.18148040771484,981,0.0142963295802474,172422.0,0.0,182059.0,1031.0,86935.0,87.18851470947266,0.014768173918128,15.454009771347046,75913.0,1173.0,39876.0,87.798095703125,0.0166732612997293,14.423085927963257,179227.2857142857,1063.5714285714287,87738.0,87.35308074951172,0.015538889116474542,15.079728512536914,149615.3,938.3,71144.0,87.53106384277343,0.01373716350644825,18.688082065847187,127.13105792156809,-5.293338972530881,-16.368286445012792,-4.849660523763333,92.94061590931888,-11.500546385230347,-14.25594955151629,-3.1950079982563606,-0.7023105575035937,-0.008067922456589383,0.32335438573997527,0.32335438573997527,175.5824847250509,2.2410512360602044,0.012750526397878811,9.237581564975232e-05,-0.06174768720354277,-0.10014824144768254,0.9979666293833533,1.1979208390738496,1.1311570331954306,48378.763428802115,48378.763428802115,300.61272612966854,300.61272612966854,27554.982054067827,27554.982054067827,2,0.9189517611883025
