timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,platform_platform_share,ccu_playing,daily_rpv,session_session_length,visits_visits_gained,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-20 00:00:00+00:00,1,1,0,6858589072,89.0206069946289,0.0280804205685853,3695,0.012991214745731,8.995610555013021,706256,759180.0,113,798934.0,4009.0,570658.0,89.00104522705078,0.0283808317035436,7.83490663766861,1347072.0,3116.0,538034.0,88.87047576904297,0.0254956856369972,9.921511034170786,905754.1428571428,3206.0,592680.5714285715,88.96249171665737,0.024598006425159254,8.82020908026468,1521048.7,3753.3,717003.5333333333,88.66926651000976,0.031168477113048196,8.674901888767879,-43.642210661345494,-4.975880360580476,18.581514762516036,-7.8323771514093306,31.266053818160188,23.761692642528452,10.137930661638483,-1.0585001105545278,0.1689326227712451,0.021979256005622005,0.25895319387080307,0.2798464827779513,205.40584415584416,1.0749344785255226,0.005231806552005856,1.1849098640525806e-05,0.021394457135886745,0.026623648875813713,1.0033069542377968,0.5954800414063948,0.7891950041685445,303517.7437699989,425660.12882897526,389.2188358722806,724.0064845394496,60067.17998253722,151230.45271686328,19,0.35097711700208084
2025-07-21 00:00:00+00:00,1,0,0,6858589072,89.04510498046875,0.0289618577808141,3760,0.0144080750935033,9.18685511747996,680559,852079.0,104,759180.0,3695.0,706256.0,89.0206069946289,0.0280804205685853,8.995610555013021,1173213.0,3124.0,581827.0,88.88613891601562,0.0253097955137491,9.885779599348703,859877.8571428572,3296.8571428571427,606785.1428571428,88.98520115443638,0.025119729606168543,8.720362725712004,1487247.2666666666,3704.8,701439.9,88.70091959635417,0.030769642504552955,8.676638785998026,-27.372182203913532,12.236755446666137,20.358514724711906,1.7591339648173276,16.96930530896641,-3.638482363335671,14.429442012208614,3.1389743970391404,0.1788423553905627,0.027519454951963063,0.26031791677175536,0.2941092557972499,226.55650093060356,1.252026272481486,0.0055248618784530384,1.078168143540508e-05,0.0193383353097109,0.02509148823671282,1.0032049448796685,0.5781673810502821,0.8163802878909496,291812.7216561661,437413.1867858274,385.1764330996325,669.3869248591681,53220.12426198484,127578.3182734148,19,0.3939253284833848
2025-07-22 00:00:00+00:00,1,0,0,6858589072,89.06953430175781,0.0254616923630237,3236,0.0195318013267842,8.906667391459147,661165,1168375.0,78,852079.0,3760.0,680559.0,89.04510498046875,0.0289618577808141,9.18685511747996,1124874.0,2899.0,557122.0,88.92959594726562,0.0234552808105945,10.277090768019358,866092.2857142857,3345.0,621648.4285714285,89.00519234793526,0.025406359827944144,8.524587957631974,1464448.9666666666,3631.2,689255.0666666667,88.73273468017578,0.029967557080090003,8.68056825068262,3.867188680687783,37.12050173751496,11.624698171783375,-13.936170212765953,18.675083733903875,-2.8497161891915312,8.554199664592899,-12.085431274056946,0.15735858574592587,0.027434771731038587,0.24910174629517326,0.2974149172967145,360.9437751004016,1.76714319853108,0.00489438355874319,7.62311737955859e-06,0.02043042864118096,0.023429386873002375,1.0030705428919948,0.591411722380233,0.847795492974092,273705.6325346388,435548.9683064256,379.8335378603202,588.0046563268598,52952.94164648506,111938.70185644494,19,0.5401523868875711
2025-07-23 00:00:00+00:00,1,0,0,6858589072,89.10858917236328,0.0255757272243499,3151,0.0201996633290651,8.515080769856771,630687,1221483.0,75,1168375.0,3236.0,661165.0,89.06953430175781,0.0254616923630237,8.906667391459147,858280.0,2950.0,572067.0,88.94182586669922,0.0237528011202812,7.78852391242981,917978.4285714285,3373.714285714286,630022.7142857143,89.02901567731585,0.0256667778428111,8.628381794407254,1452903.5666666667,3567.1,678301.9,88.75725657145182,0.029273904177049757,8.666197237041262,42.31754206086591,4.545458435861782,6.813559322033891,-2.6266996291718137,10.24705148173204,-4.609741894988395,7.6745731791279415,0.4478683494417046,0.18749705668736905,0.04384761962845651,0.2372310243249863,0.30098403233101184,387.5263324873096,1.9367468542290325,0.004996131209092293,6.971094807510185e-06,0.022456305367607152,0.023372859763886738,1.0030618240847187,0.6318233705472321,0.8767801413701907,256665.83709134746,437300.7740834424,376.10263533730097,526.9427339166807,52705.32672711228,100050.75162700139,19,0.5647047891238609
2025-07-24 00:00:00+00:00,1,0,0,6858589072,89.12828063964844,0.0260030124336481,3426,0.0209316577422669,7.413137197494507,632164,1279294.0,74,1221483.0,3151.0,630687.0,89.10858917236328,0.0255757272243499,8.515080769856771,815944.0,2984.0,584558.0,88.96366119384766,0.0229646731168031,8.94481235742569,984171.2857142857,3436.8571428571427,636823.5714285715,89.05253274100167,0.026100826316646102,8.40957105727423,1446502.3333333333,3528.133333333333,669633.6,88.78009643554688,0.028687202806274056,8.649358248710632,56.786985381349695,4.732853424894157,14.812332439678277,8.727388130752134,8.143930970066272,0.23418906684298246,13.230492336604893,1.6706669004953767,0.1850412219907227,0.022098281959181953,0.22710276658845535,0.3030937439666604,373.29851181791656,2.0236710352518728,0.005419471182365364,5.794705050433643e-06,0.023755482264924403,0.023599860983774847,1.0030686642208435,0.6803800194683076,0.9098421513211354,243177.40861848372,438425.8078665102,380.5772437515272,490.2557202770482,53258.83246564804,91803.95125205668,19,0.5914314390764509
2025-07-25 00:00:00+00:00,1,0,0,6858589072,89.13671112060547,0.0219402257353067,3079,0.02040199300674,7.9397165179252625,604427,1259464.0,72,1279294.0,3426.0,632164.0,89.12828063964844,0.0260030124336481,7.413137197494507,809854.0,2781.0,576276.0,88.99456787109375,0.020242242142558,8.01473973194758,1048401.2857142857,3479.4285714285716,640845.1428571428,89.07283891950335,0.026343395401324486,8.39885345527104,1419323.3666666667,3477.8,660681.5666666667,88.80172398885091,0.028002720388273353,8.637366661760543,55.517414249975914,-1.550073712532063,10.715569938870907,-10.128429655575012,4.884985666590325,-4.3876272612803024,8.388317760406583,-15.62429241115203,0.15972126491765604,0.00945881699561113,0.21665898155593116,0.298126400304768,408.9168831168831,2.0837287485027165,0.0050940724122641575,6.304039030799e-06,0.024493898664205347,0.023885346307638205,1.0030530367933677,0.7386627391166642,0.9407441504274799,229614.7398593712,423137.7661727777,373.1878780288334,453.7373081724553,53030.30387750227,84057.8044458358,19,0.5822638158116767
2025-07-26 00:00:00+00:00,1,1,0,6858589072,89.15302276611328,0.0191981624811887,2788,0.0218966281854179,9.361241181691488,551218,1364807.0,72,1259464.0,3079.0,604427.0,89.13671112060547,0.0219402257353067,7.9397165179252625,798934.0,4009.0,570658.0,89.00104522705078,0.0283808317035436,7.83490663766861,1129240.2857142857,3305.0,638068.0,89.09454999651227,0.02503158551241664,8.616901247274308,1394920.7333333334,3422.233333333333,650233.3,88.82454249064128,0.027277151495218234,8.679634687635634,70.82850398155543,8.364113622938007,-30.45647293589424,-9.451120493666776,-3.406593791728141,-8.803213622157847,-32.35518013803789,-12.497880774788072,0.17075927442737893,0.018299581959824174,0.21630204489079974,0.2891651726785917,489.3535317318035,2.475979601573966,0.0050578808059954395,6.859016932558637e-06,0.022828783307760756,0.02385347088399093,1.0030397849321817,0.809537243751355,0.9176759353631464,229169.74539033097,403362.4947272811,375.97194190374387,431.4659600856632,51283.444867657636,77013.96094983765,19,0.6309650229514199
2025-07-27 00:00:00+00:00,1,1,0,6858589072,89.144775390625,0.0254070777446031,3497,0.0213380355944633,7.650160054365794,601076,1342444.0,73,1364807.0,2788.0,551218.0,89.15302276611328,0.0191981624811887,9.361241181691488,759180.0,3695.0,706256.0,89.0206069946289,0.0280804205685853,8.995610555013021,1212563.7142857143,3276.714285714286,623042.2857142857,89.11228833879743,0.024649679394704898,8.424694032896133,1369037.5333333334,3409.5,645257.4,88.84648005167644,0.027046293703218257,8.515094131893582,76.82815669538185,-1.6385466956133743,-5.358592692828146,25.430416068866577,-14.89261684148524,9.045060212112087,-9.520309061798649,32.341195515446856,0.139482755946152,-0.009250808589988946,0.2159505122235805,0.27720875277847007,383.77472841623785,2.2333977177632818,0.005817890220387738,5.6986767088154775e-06,0.017646789550783346,0.023589186620659414,1.002991770602126,0.8857052379954576,0.9113884388444623,228725.9131511787,379509.1871222465,382.0613336067053,423.07631576999984,47752.5212491229,75121.29356172305,19,0.6206263664173732
2025-07-28 00:00:00+00:00,1,0,0,6858589072,89.16004180908203,0.0270993057638406,3660,0.0201356591856332,9.33277267217636,646709,1279294.0,78,1342444.0,3497.0,601076.0,89.144775390625,0.0254070777446031,7.650160054365794,852079.0,3760.0,680559.0,89.04510498046875,0.0289618577808141,9.18685511747996,1273594.4285714286,3262.4285714285716,618206.5714285715,89.12870788574219,0.024383600535137256,8.44553939785276,1339579.1,3408.4666666666667,641487.0333333333,88.8690684000651,0.026932744992275985,8.557492045561473,50.137956691809094,-4.7041068379761075,-2.659574468085102,4.661138118387198,-4.973852377236943,7.591885219173622,-6.431051595755566,6.660459090368853,0.12907708811000784,0.017125421417163444,0.21981038583486373,0.26038681054870105,349.43840480742966,1.9781571338003123,0.005659414575311964,7.295246735253682e-06,0.013165610177177276,0.02310120918859662,1.0029215956727289,0.950742235804835,0.9053514798484226,234479.6831454229,348808.72932669945,395.99817543143695,422.40238483304404,48178.03046530726,71944.44732473306,19,0.5914314390764509
2025-07-29 00:00:00+00:00,1,0,0,6858589072,89.19458770751953,0.0252933241426944,3326,0.0181956741923528,9.42212470372518,641659,1168375.0,83,1279294.0,3660.0,646709.0,89.16004180908203,0.0270993057638406,9.33277267217636,1168375.0,3236.0,661165.0,89.06953430175781,0.0254616923630237,8.906667391459147,1273594.4285714286,3275.285714285714,615420.0,89.14657265799386,0.02435954793223307,8.519176156747909,1309363.8333333333,3385.8,637303.6666666666,88.89187138875326,0.026612514319519154,8.562570969263712,0.0,-8.67032910339609,2.781211372064285,-9.12568306010929,-2.9502469126466146,-0.7808767158026253,-0.6612609167087724,-6.664309546837077,0.1403997525551759,0.038745942393658694,0.2202144219877927,0.2452184602687222,351.17974150886687,1.8208630739020666,0.005183430477199763,8.06429154974527e-06,0.01177079336983727,0.022728434765298854,1.0028652931394222,0.9726818445329714,0.9153418440574167,235594.93651069395,321080.1831415518,380.56897831105454,407.2037023068591,45950.101952135956,67921.20684690904,19,0.5401523868875711
