timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,sort_sort_position,daily_rpv,ccu_playing,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-21 00:00:00+00:00,1,0,0,8240447355,0.0601134486496448,154145,82.5345458984375,1155338,414,0.064660817503859,7848,11.522932449976604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154145.0,7848.0,1155338.0,82.5345458984375,0.0601134486496448,11.522932449976604,154145.0,7848.0,1155338.0,82.5345458984375,0.0601134486496448,11.522932449976604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.63880749140018,0.1334197149061877,0.006792811460532363,7.475336661331857e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-22 00:00:00+00:00,1,0,0,8240447355,0.0506726875901222,168979,82.19268035888672,1221661,267,0.0469905954987943,7452,10.210397521654764,154145.0,7848.0,1155338.0,82.5345458984375,0.0601134486496448,11.522932449976604,0.0,0.0,0.0,0.0,0.0,0.0,161562.0,7650.0,1188499.5,82.36361312866211,0.0553930681198835,10.866664985815685,161562.0,7650.0,1188499.5,82.36361312866211,0.0553930681198835,10.866664985815685,0.0,9.62340653281002,0.0,-5.045871559633031,0.0,5.740571157531393,0.0,-15.704906758129212,0.0,-0.41420902705572304,0.06492381867098232,0.06492381867098232,22.672615054340532,0.13831894582953386,0.0060998868754205335,6.0423704116787574e-05,0.0,0.0,1.0,1.0,1.0,10489.221992121245,10489.221992121245,280.0142853498728,280.0142853498728,46897.44304863539,46897.44304863539,2,1.0
2025-08-23 00:00:00+00:00,1,1,0,8240447355,0.0371874049305915,238586,82.02970886230469,1137635,177,0.0495972741454636,5773,9.967604279518127,168979.0,7452.0,1221661.0,82.19268035888672,0.0506726875901222,10.210397521654764,0.0,0.0,0.0,0.0,0.0,0.0,187236.66666666666,7024.333333333333,1171544.6666666667,82.25231170654297,0.04932451372345283,10.5669780837165,187236.66666666666,7024.333333333333,1171544.6666666667,82.25231170654297,0.04932451372345283,10.5669780837165,0.0,41.19269258310205,0.0,-22.530864197530864,0.0,-6.878012803879308,0.0,-26.61252698615385,0.0,-0.19827981746115553,0.24078678434427203,0.24078678434427203,41.32074818150329,0.20972085974775764,0.0050745581187655805,4.177765041480939e-05,-0.2524185180664065,0.0,1.0,1.0,1.0,45084.114878007014,45084.114878007014,1101.6262221522022,1101.6262221522022,44295.419654105724,44295.419654105724,3,1.0
2025-08-24 00:00:00+00:00,1,1,0,8240447355,0.0446848645806312,464293,81.3043441772461,1229716,143,0.0776078547919466,6435,18.06870319445928,238586.0,5773.0,1137635.0,82.02970886230469,0.0371874049305915,9.967604279518127,0.0,0.0,0.0,0.0,0.0,0.0,256500.75,6877.0,1186087.5,82.01531982421875,0.04816460143774742,12.442409361402195,256500.75,6877.0,1186087.5,82.01531982421875,0.04816460143774742,12.442409361402195,0.0,94.6019464679403,0.0,11.467174779144296,0.0,8.094072351852756,0.0,20.161287575815923,0.0,-0.8842707052346022,0.5588117620589733,0.5588117620589733,72.1399937849596,0.37756085343213114,0.0052329113121149014,3.891651237030692e-05,-0.3853576660156387,0.0,1.0,1.0,1.0,143335.6360769482,143335.6360769482,946.5104331173533,946.5104331173533,46411.55179837595,46411.55179837595,4,1.0
2025-08-25 00:00:00+00:00,1,0,0,8240447355,0.0393582358956337,635533,80.64884185791016,1026587,117,0.0891627258269713,4960,10.979039569695791,464293.0,6435.0,1229716.0,81.3043441772461,0.0446848645806312,18.06870319445928,0.0,0.0,0.0,0.0,0.0,0.0,332307.2,6493.6,1154187.4,81.74202423095703,0.04640332832932468,12.149735403060914,332307.2,6493.6,1154187.4,81.74202423095703,0.04640332832932468,12.149735403060914,0.0,36.881882776608734,0.0,-22.921522921522918,0.0,-16.5183668424254,0.0,-11.920431526397302,0.0,-0.8062328353659942,0.6322456462765442,0.6322456462765442,128.10582543841969,0.6190730848207849,0.004831539040004364,1.7275298520135494e-05,-0.46597442626953384,-0.46597442626953384,1.0,1.0,1.0,210099.78042634885,210099.78042634885,1186.1236444823112,1186.1236444823112,81875.55193890297,81875.55193890297,5,1.0
2025-08-26 00:00:00+00:00,1,0,0,8240447355,0.0357784815132617,891328,80.36802673339844,858121,98,0.1111621520521645,4446,9.469028254350029,635533.0,4960.0,1026587.0,80.64884185791016,0.0393582358956337,10.979039569695791,0.0,0.0,0.0,0.0,0.0,0.0,425477.3333333333,6152.333333333333,1104843.0,81.5130246480306,0.04463252052664751,11.702950878275766,425477.3333333333,6152.333333333333,1104843.0,81.5130246480306,0.04463252052664751,11.702950878275766,0.0,40.24889344849127,0.0,-10.362903225806452,0.0,-16.410299370632984,0.0,-9.095312076141926,0.0,-0.34819486311591374,0.6948215292761797,0.6948215292761797,200.4335507083427,1.038696129454786,0.00518108147792505,1.0623493967266889e-05,-0.46255645751952595,-0.46255645751952595,1.0,1.0,1.0,295630.8114190175,295630.8114190175,1350.6624547482866,1350.6624547482866,141322.6934090912,141322.6934090912,6,1.0
2025-08-27 00:00:00+00:00,1,0,0,8240447355,0.0277881249785423,956957,80.09214782714844,718635,94,0.1078513277652677,3291,9.978492796421053,891328.0,4446.0,858121.0,80.36802673339844,0.0357784815132617,9.469028254350029,0.0,0.0,0.0,0.0,0.0,0.0,501403.0,5743.571428571428,1049670.4285714286,81.31004224504743,0.04222617830548963,11.456599723725093,501403.0,5743.571428571428,1049670.4285714286,81.31004224504743,0.04222617830548963,11.456599723725093,0.0,7.363058268112299,0.0,-25.97840755735492,0.0,-16.254817211092607,0.0,-22.332855383361316,0.0,-0.34326947850189526,0.6709746205773737,0.6709746205773737,290.6916767922236,1.3316296428233487,0.004579508958638309,1.0427304851854577e-05,-0.44133458818708365,-0.44133458818708365,1.0,1.0,1.0,336428.6876813569,336428.6876813569,1640.074678903663,1640.074678903663,194811.4683310141,194811.4683310141,7,1.0
2025-08-28 00:00:00+00:00,1,0,0,8240447355,0.0256195347756147,980881,80.01409149169922,631482,89,0.1026388126853466,3280,8.844532688458761,956957.0,3291.0,718635.0,80.09214782714844,0.0277881249785423,9.978492796421053,154145.0,7848.0,1155338.0,82.5345458984375,0.0601134486496448,11.522932449976604,619508.1428571428,5091.0,974833.8571428572,80.94997732979911,0.037298476323485326,11.0739711863654,561337.75,5435.625,997396.875,81.1480484008789,0.04015034786425526,11.130091344316801,536.3365662201173,2.5000078373427437,-58.2059123343527,-0.3342449103615919,-45.34222885424006,-12.127575194639839,-57.38135916152254,-7.8040177399596455,-3.0538175006618595,-0.09745816233780458,0.6317336669471312,0.6317336669471312,298.95793965254495,1.5532975551202486,0.005194122407095678,9.016918129253835e-06,-0.40525736127580647,-0.40221895490373444,0.9975591394373244,1.103628150533512,0.9289701909828563,354615.955203352,354615.955203352,1750.4940476089278,1750.4940476089278,233216.76481238133,233216.76481238133,8,1.0
2025-08-29 00:00:00+00:00,1,0,0,8240447355,0.0319006592035293,1045880,80.00183868408203,806220,89,0.1020407398217576,5080,9.147741615772247,980881.0,3280.0,631482.0,80.01409149169922,0.0256195347756147,8.844532688458761,168979.0,7452.0,1221661.0,82.19268035888672,0.0506726875901222,10.210397521654764,744779.7142857143,4752.142857142857,915485.1428571428,80.63699994768415,0.03461675798254348,10.922163199810756,615175.7777777778,5396.111111111111,976155.0,81.02069176567926,0.03923371579084126,10.909830263367406,518.9408151308743,6.626593847775619,-31.83038110574342,54.87804878048781,-34.00624232090572,27.671097513468325,-37.04565374237659,24.516933983879863,-2.665494865526441,-0.015313312178844019,0.5997387176487643,0.5997387176487643,205.8413698090927,1.2972621650887288,0.00630100183448459,8.746445930055376e-06,-0.3293146405901239,-0.3579672495524099,0.9952642737350997,1.2106778927091533,0.8823216788103572,368944.73209302564,368944.73209302564,1641.7225286604044,1641.7225286604044,227271.32957656583,227271.32957656583,9,1.0
2025-08-30 00:00:00+00:00,1,1,0,8240447355,0.0247203968465328,744298,80.01862335205078,963458,94,0.0665658915904607,3877,9.125058670838676,1045880.0,5080.0,806220.0,80.00183868408203,0.0319006592035293,9.147741615772247,238586.0,5773.0,1137635.0,82.02970886230469,0.0371874049305915,9.967604279518127,817024.2857142857,4481.285714285715,890602.7142857143,80.34970201764789,0.03283575682767796,10.801799541427979,628088.0,5244.2,974885.3,80.92048492431641,0.03778238389641042,10.731353104114534,211.96214362955078,-28.835239224385212,-32.8425428719903,-23.68110236220472,-15.310446672263067,19.503113294138075,-33.52481332679107,-22.508194301521268,-2.4516550627160183,0.020980352757926646,0.5576173757447447,0.5576173757447447,191.92831356369263,0.7725269056597115,0.004024042538395511,1.2259936760413055e-05,-0.1966108594621889,-0.3149980949633056,0.9929463731315702,1.3008118061709277,0.8690758348574606,350232.7822967652,350232.7822967652,1620.6634992427576,1620.6634992427576,214311.079821444,214311.079821444,9,0.7116476077561479
