timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,ccu_playing,session_session_length,sort_sort_position,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-14 00:00:00+00:00,1,0,0,7742376157,86.64383697509766,219881,0.0573072433471679,205700,7012,15.263117790222168,473,0.1069395267848783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205700.0,7012.0,219881.0,86.64383697509766,0.0573072433471679,15.263117790222168,205700.0,7012.0,219881.0,86.64383697509766,0.0573072433471679,15.263117790222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33124197918152,0.9355017691307156,0.031889831818884676,7.420050359610389e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-15 00:00:00+00:00,1,0,0,7742376157,85.02538299560547,979782,0.0541594848036766,315523,6587,14.816224773724874,435,0.1218207475326308,205700.0,7012.0,219881.0,86.64383697509766,0.0573072433471679,15.263117790222168,0.0,0.0,0.0,0.0,0.0,0.0,260611.5,6799.5,599831.5,85.83460998535156,0.055733364075422245,15.039671281973522,260611.5,6799.5,599831.5,85.83460998535156,0.055733364075422245,15.039671281973522,0.0,53.38988818667963,0.0,-6.061038220193948,0.0,345.5964817333012,0.0,-5.492776060474847,0.0,-1.867938950992376,0.29797836254443955,0.29797836254443955,47.893594414086216,0.3220335523274031,0.006722917217383849,4.695752073923022e-05,0.0,0.0,1.0,1.0,1.0,77656.5880302502,77656.5880302502,300.5203820042827,300.5203820042827,537331.1501304386,537331.1501304386,2,1.0
2025-07-16 00:00:00+00:00,1,0,0,7742376157,85.96491241455078,773865,0.0387376993894577,164988,4756,14.439366618792215,355,0.0482155423644823,315523.0,6587.0,979782.0,85.02538299560547,0.0541594848036766,14.816224773724874,0.0,0.0,0.0,0.0,0.0,0.0,228737.0,6118.333333333333,657842.6666666666,85.87804412841797,0.05006814251343406,14.839569727579752,228737.0,6118.333333333333,657842.6666666666,85.87804412841797,0.05006814251343406,14.839569727579752,0.0,-47.7096756813291,0.0,-27.797176256262336,0.0,-21.016613899826698,0.0,-28.474763875840992,0.0,1.1049987496014824,0.34042025187860453,0.34042025187860453,34.683203699810804,0.2131997012402664,0.006145766838186456,8.751714731765278e-05,-0.3394622802734348,0.0,1.0,1.0,1.0,77866.70715395636,77866.70715395636,1198.7995384272272,1198.7995384272272,393011.792220454,393011.792220454,2,0.522903243186709
2025-07-17 00:00:00+00:00,1,0,0,7742376157,85.97450256347656,657252,0.0342939160764217,179622,4317,15.642694115638731,314,0.0433333268925128,164988.0,4756.0,773865.0,85.96491241455078,0.0387376993894577,14.439366618792215,0.0,0.0,0.0,0.0,0.0,0.0,216458.25,5668.0,657695.0,85.90215873718262,0.046124585904180976,15.040350824594498,216458.25,5668.0,657695.0,85.90215873718262,0.046124585904180976,15.040350824594498,0.0,8.869735980798609,0.0,-9.230445752733385,0.0,-15.06890736756411,0.0,-11.471469351753383,0.0,0.01115588750852936,0.3148683510220161,0.3148683510220161,41.59842519685039,0.27329201996795754,0.006568246930786166,8.708625351786092e-05,-0.10684738159180776,0.0,1.0,1.0,1.0,68155.85224261132,68155.85224261132,1330.143100071066,1330.143100071066,320892.92051710957,320892.92051710957,2,0.5692833802924034
2025-07-18 00:00:00+00:00,1,0,0,7742376157,86.68830871582031,624987,0.0333255715668201,181275,4676,13.125821510950724,299,0.0378026042038846,179622.0,4317.0,657252.0,85.97450256347656,0.0342939160764217,15.642694115638731,0.0,0.0,0.0,0.0,0.0,0.0,209421.6,5469.6,651153.4,86.05938873291015,0.0435647830367088,14.65744496186574,209421.6,5469.6,651153.4,86.05938873291015,0.0435647830367088,14.65744496186574,0.0,0.920265891705907,0.0,8.315960157516788,0.0,-4.9090759708604885,0.0,-2.8236626795368314,0.0,0.8302533089002084,0.2916886390988389,0.2916886390988389,38.758819756254006,0.2900455688749224,0.00748174364947807,7.240793878368192e-05,0.10380630493163268,0.10380630493163268,1.0,1.0,1.0,61085.901501901404,61085.901501901404,1234.4121272897476,1234.4121272897476,278286.116220878,278286.116220878,2,0.5745223010683849
2025-07-19 00:00:00+00:00,1,1,0,7742376157,86.43006134033203,862132,0.0388152338564395,208124,5892,13.50635862350464,236,0.0373379333827644,181275.0,4676.0,624987.0,86.68830871582031,0.0333255715668201,13.125821510950724,0.0,0.0,0.0,0.0,0.0,0.0,209205.33333333334,5540.0,686316.5,86.1211675008138,0.04277319150666392,14.46559723880556,209205.33333333334,5540.0,686316.5,86.1211675008138,0.04277319150666392,14.46559723880556,0.0,14.811198455385455,0.0,26.005132591958933,0.0,37.94398923497609,0.0,16.472822614946715,0.0,-0.2979033497295003,0.26117622564387,0.26117622564387,35.3171559477346,0.24140590836912634,0.006834212354706292,6.48954168096319e-05,0.11227111816406955,0.11227111816406955,1.0,1.0,1.0,54639.4593445677,54639.4593445677,1117.477337577814,1117.477337577814,263387.91087424645,263387.91087424645,2,0.6596159392500706
2025-07-20 00:00:00+00:00,1,1,0,7742376157,86.24535369873047,866132,0.034401249140501,219375,4445,14.813085079193115,211,0.0338979168679598,208124.0,5892.0,862132.0,86.43006134033203,0.0388152338564395,13.50635862350464,0.0,0.0,0.0,0.0,0.0,0.0,210658.14285714287,5383.571428571428,712004.4285714285,86.13890838623047,0.041577199740069216,14.515238358860925,210658.14285714287,5383.571428571428,712004.4285714285,86.13890838623047,0.041577199740069216,14.515238358860925,0.0,5.405911860237156,0.0,-24.558723693143246,0.0,0.4639660748006147,0.0,-11.371784419137832,0.0,-0.21370763683048466,0.23747793025622896,0.23747793025622896,49.3421052631579,0.2532809626235232,0.005132006285408823,6.752372674856463e-05,0.08347511291504017,0.08347511291504017,1.0,1.0,1.0,50026.65975733529,50026.65975733529,1100.8719055280465,1100.8719055280465,249860.12229969603,249860.12229969603,2,0.6952741955420049
2025-07-21 00:00:00+00:00,1,0,0,7742376157,86.20492553710938,620466,0.0307827182114124,236517,3966,14.705391685167948,192,0.0328846188357019,219375.0,4445.0,866132.0,86.24535369873047,0.034401249140501,14.813085079193115,205700.0,7012.0,219881.0,86.64383697509766,0.0573072433471679,15.263117790222168,215060.57142857142,4948.428571428572,769230.8571428572,86.07620675223214,0.037787981863532716,14.435563200996034,213890.5,5206.375,700562.125,86.14716053009033,0.040227889548987115,14.539007524649302,14.98152649489548,7.8140170940171005,-43.43981745579008,-10.776152980877384,182.18263515265076,-28.36357506707985,-46.28476888177929,-10.518603305100516,-0.5065697149520654,-0.046875756069497676,0.2207176343111223,0.2207176343111223,59.62112427527099,0.3811919086752398,0.006391959604620391,6.21745139277685e-05,0.16268103463309674,0.06115150451660987,0.9991763654492894,1.0054704226161115,0.9393478575980669,47209.4051616231,47209.4051616231,1135.7712216186599,1135.7712216186599,233578.48412131352,233578.48412131352,2,0.749603040031947
2025-07-22 00:00:00+00:00,1,0,0,7742376157,86.07939147949219,545547,0.0280712395906448,242880,3712,12.907485763231913,180,0.0312188525724766,236517.0,3966.0,620466.0,86.20492553710938,0.0307827182114124,14.705391685167948,315523.0,6587.0,979782.0,85.02538299560547,0.0541594848036766,14.816224773724874,204683.0,4537.714285714285,707197.2857142857,86.22677939278739,0.034061089690242456,14.162886199497041,217111.55555555556,5040.333333333333,683338.2222222222,86.13963063557942,0.038877150664726856,14.357727328936258,-23.02304427886398,2.6902928753535615,-43.64657659025353,-6.404437720625311,-44.319552716828845,-12.074634226532964,-48.1693009222658,-8.808444407493365,1.23963979549635,-0.14562283632290063,0.20821204103335111,0.20821204103335111,65.41341233503906,0.4452037217623381,0.006804167552625983,5.3143250246960086e-05,0.012904575892858537,0.03828811645507852,1.0010117150092814,0.9427549790072077,0.8761210404533581,45205.24011414802,45205.24011414802,1173.395819832336,1173.395819832336,224519.5095218775,224519.5095218775,2,0.7697695572113602
2025-07-23 00:00:00+00:00,1,0,0,7742376157,86.04771423339844,543985,0.030329305678606,251352,3783,14.53944718837738,172,0.0300796666060273,242880.0,3712.0,545547.0,86.07939147949219,0.0280712395906448,12.907485763231913,164988.0,4756.0,773865.0,85.96491241455078,0.0387376993894577,14.439366618792215,217020.7142857143,4398.714285714285,674357.2857142857,86.23860822405133,0.032859890588692216,14.177183423723493,220535.6,4914.6,669402.9,86.13043899536133,0.03802236616611477,14.375899314880371,52.345625136373556,3.488142292490126,-20.458368376787217,1.9127155172413701,-29.70543957925478,-0.2863181357426581,-21.705970781372763,8.044055484866197,0.09632048299934581,-0.03680003488558681,0.19939559391241946,0.19939559391241946,66.42494714587738,0.462056008794344,0.006954223086623553,5.784473305819855e-05,-0.04369054521833471,0.02283228093927539,1.0012558768996385,0.9840620484208186,0.8642252942684217,43973.82694083177,43973.82694083177,1175.5689119174028,1175.5689119174028,216217.3468569943,216217.3468569943,2,0.7966202146911635
