timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,session_session_length,ccu_playing,daily_rpv,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-30 00:00:00+00:00,1,1,0,8421539913,199724,0.0619202405214309,154967,22.78387951850891,9299,0.0421603081180366,97.09851837158205,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154967.0,9299.0,199724.0,97.09851837158205,0.0619202405214309,22.78387951850891,154967.0,9299.0,199724.0,97.09851837158205,0.0619202405214309,22.78387951850891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.663118279569893,0.7759018650644637,0.046559018650644636,0.0001470231242482894,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-31 00:00:00+00:00,1,1,0,8421539913,1108613,0.0520377308130264,149012,15.141002853711448,6850,0.0347128271608031,97.14028930664062,400,154967.0,9299.0,199724.0,97.09851837158205,0.0619202405214309,22.78387951850891,0.0,0.0,0.0,0.0,0.0,0.0,151989.5,8074.5,654168.5,97.11940383911133,0.05697898566722865,18.96244118611018,151989.5,8074.5,654168.5,97.11940383911133,0.05697898566722865,18.96244118611018,0.0,-3.842753618512329,0.0,-26.336165179051505,0.0,455.0725000500691,0.0,-15.960063502957667,0.0,0.043019127128940404,0.02770468277062488,0.02770468277062488,21.750401401255292,0.13441287950540043,0.006178886429361347,0.0001016086036366723,0.0,0.0,1.0,1.0,1.0,4210.82088196589,4210.82088196589,1731.704507125855,1731.704507125855,642681.57524586,642681.57524586,1,0.9615724638148767
2025-09-01 00:00:00+00:00,0,0,1,8421539913,415350,0.01321323774755,178073,12.987321972846985,1816,0.0346807712630545,97.11165618896484,307,149012.0,6850.0,1108613.0,97.14028930664062,0.0520377308130264,15.141002853711448,0.0,0.0,0.0,0.0,0.0,0.0,160684.0,5988.333333333333,574562.3333333334,97.1168212890625,0.042390403027335766,16.970734781689114,160684.0,5988.333333333333,574562.3333333334,97.1168212890625,0.042390403027335766,16.970734781689114,0.0,19.50245617802593,0.0,-73.48905109489051,0.0,-62.53426578977515,0.0,-74.6083513998224,0.0,-0.02947604735393794,0.09553438291591639,0.09553438291591639,98.00385250412768,0.4287289545468772,0.0043722056766445725,7.293216288086406e-05,0.006568908691404479,0.0,1.0,1.0,1.0,15350.84678446111,15350.84678446111,3815.1899472153855,3815.1899472153855,474901.2833151047,474901.2833151047,2,1.0
2025-09-02 00:00:00+00:00,0,0,0,8421539913,207749,0.0115398596972227,196317,13.576231598854063,1409,0.0362165756211106,97.08617401123048,261,178073.0,1816.0,415350.0,97.11165618896484,0.01321323774755,12.987321972846985,0.0,0.0,0.0,0.0,0.0,0.0,169592.25,4843.5,482859.0,97.10915946960449,0.0346777671948075,16.12210898598035,169592.25,4843.5,482859.0,97.10915946960449,0.0346777671948075,16.12210898598035,0.0,10.24523650413034,0.0,-22.411894273127754,0.0,-49.98218370049356,0.0,-12.664405820122159,0.0,-0.026240081504502744,0.12844710228192824,0.12844710228192824,139.23191489361702,0.9449675090252707,0.0067821901323706375,6.915428844453419e-05,-0.006566619873056894,0.0,1.0,1.0,1.0,21783.633081972344,21783.633081972344,3866.0517758215988,3866.0517758215988,428943.0707844574,428943.0707844574,3,1.0
2025-09-03 00:00:00+00:00,0,0,0,8421539913,1735998,0.1468681991100311,196721,14.030561844507853,16087,0.0315475368415378,96.93492126464844,264,196317.0,1409.0,207749.0,97.08617401123048,0.0115398596972227,13.576231598854063,0.0,0.0,0.0,0.0,0.0,0.0,175018.0,7092.2,733486.8,97.07431182861328,0.057115853577852226,15.703799557685851,175018.0,7092.2,733486.8,97.07431182861328,0.057115853577852226,15.703799557685851,0.0,0.20578961577448762,0.0,1041.7317246273954,0.0,735.6227948148968,0.0,1172.7035073518086,0.0,-0.15579226200070906,0.1281561982427264,0.1281561982427264,12.227809547488812,0.11331861366279589,0.009266710407091249,7.132177308337579e-05,-0.03813095092773915,-0.03813095092773915,1.0,1.0,1.0,22429.64150404549,22429.64150404549,6040.94576204753,6040.94576204753,672358.2297739056,672358.2297739056,4,1.0
2025-09-04 00:00:00+00:00,0,0,0,8421539913,1687740,0.1366019546985626,193166,18.12410314877828,15861,0.0242408479597992,96.9288330078125,259,196721.0,16087.0,1735998.0,96.93492126464844,0.1468681991100311,14.030561844507853,0.0,0.0,0.0,0.0,0.0,0.0,178042.66666666666,8553.666666666666,892529.0,97.05006535847981,0.07036353709797062,16.107183489534588,178042.66666666666,8553.666666666666,892529.0,97.05006535847981,0.07036353709797062,16.107183489534588,0.0,-1.8071278612857844,0.0,-1.404861067943064,0.0,-2.7798419122602724,0.0,-6.990107098526632,0.0,-0.006280767298827428,0.12011749968678297,0.12011749968678297,12.177909469171604,0.11445239524310899,0.009397768970475921,9.382608390034673e-05,-0.0425718035016678,-0.0425718035016678,1.0,1.0,1.0,21386.039957567336,21386.039957567336,6481.491299590448,6481.491299590448,716532.6228447662,716532.6228447662,4,0.9819287213871422
2025-09-05 00:00:00+00:00,0,0,0,8421539913,1810537,0.1231767237186431,221610,17.986753836922023,16750,0.0223124501488916,96.94230651855467,218,193166.0,15861.0,1687740.0,96.9288330078125,0.1366019546985626,18.12410314877828,0.0,0.0,0.0,0.0,0.0,0.0,184266.57142857142,9724.57142857143,1023673.0,97.03467123849052,0.07790827804378098,16.375693539161368,184266.57142857142,9724.57142857143,1023673.0,97.03467123849052,0.07790827804378098,16.375693539161368,0.0,14.72515867181594,0.0,5.604942941806956,0.0,7.275824475333881,0.0,-9.82799331791755,0.0,0.013900415721601611,0.13860385519634072,0.13860385519634072,13.229657930869799,0.12240008218551612,0.009251393784609879,8.116363283827077e-05,-0.03815296718052291,-0.03815296718052291,1.0,1.0,1.0,25540.057183811885,25540.057183811885,6678.71496764517,6678.71496764517,740432.5813239177,740432.5813239177,5,1.0
2025-09-06 00:00:00+00:00,0,1,0,8421539913,2000182,0.0661636665463447,288087,20.79494486684385,10454,0.0240443584943322,96.7596664428711,198,221610.0,16750.0,1810537.0,96.94230651855467,0.1231767237186431,17.986753836922023,154967.0,9299.0,199724.0,97.09851837158205,0.0619202405214309,22.78387951850891,203283.7142857143,9889.57142857143,1280881.2857142857,96.98626382010323,0.0785144817616258,16.09156001749493,197244.125,9815.75,1145736.625,97.00029563903809,0.07644020160660144,16.928099955121677,85.90215981467023,29.997292540950315,12.420690396816859,-37.58805970149254,901.4730327852437,10.47451667654402,6.853051585684855,-46.285576893996684,-0.3489774451698735,-0.18840079449586877,0.22136453166170444,0.22136453166170444,27.554949784791965,0.14403032122560785,0.0052265217732577465,7.218261387785624e-05,-0.05849674769810993,-0.04835237775529984,0.9998553425137273,1.0306198690871746,1.0271359848800454,43662.85335364769,43662.85335364769,6188.664285842071,6188.664285842071,767539.300400207,767539.300400207,6,1.0
2025-09-07 00:00:00+00:00,0,1,0,8421539913,1450766,0.0626472905278205,438003,36.86046961079473,7570,0.0321537283889971,96.67986297607422,184,288087.0,10454.0,2000182.0,96.7596664428711,0.0661636665463447,20.79494486684385,149012.0,6850.0,1108613.0,97.14028930664062,0.0520377308130264,15.141002853711448,244568.14285714287,9992.42857142857,1329760.2857142857,96.92048863002232,0.08003013314945354,19.19434098279254,223995.11111111112,9566.222222222223,1179628.7777777778,96.96469200981988,0.07490765593118133,19.142807694640904,193.93807210157573,52.03844671922025,10.510948905109485,-27.5875263057203,30.863159641822712,-27.468300384665,20.388205921035762,-5.314663171003575,-0.4739808104884169,-0.08247596310596572,0.40200962140549923,0.40200962140549923,57.85272751287809,0.3019113337979152,0.005217929550368874,8.415555476843758e-05,-0.0693217686244382,-0.05520884195963877,0.999544129116678,1.0918458962964894,1.0683838942040624,90048.18981446052,90048.18981446052,5837.165146237036,5837.165146237036,725131.0968581436,725131.0968581436,7,1.0
2025-09-08 00:00:00+00:00,0,0,0,8421539913,870984,0.0615756213665008,496491,42.73932971125064,6690,0.0335892074826144,96.6149673461914,165,438003.0,7570.0,1450766.0,96.67986297607422,0.0626472905278205,36.86046961079473,178073.0,1816.0,415350.0,97.11165618896484,0.01321323774755,12.987321972846985,290056.4285714286,10688.714285714286,1394850.857142857,96.84953308105469,0.08693904509501793,23.44462780256449,251244.7,9278.6,1148764.3,96.92971954345703,0.07357445247471328,21.50245989630188,178.81318335738712,13.353333196347972,268.3920704845815,-11.62483487450462,109.69880823401952,-39.96385357804084,366.0146327717304,-1.7106392827057615,-0.5114616126069893,-0.06712424685466623,0.48147246996285975,0.48147246996285975,74.20280974443283,0.5700339271055185,0.007680958914332623,8.608261504968991e-05,-0.07474654061453756,-0.059227775804920085,0.999172736052678,1.1544778002140088,1.181647190985185,120967.40627407772,120967.40627407772,5577.9861399772035,5577.9861399772035,690592.0406924691,690592.0406924691,8,1.0
