timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,session_session_length,visits_visits_gained,platform_platform_share,daily_rpv,ratings_like_ratio,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-11-21 00:00:00+00:00,0,1,0,648454481,0.0,0.0,0.0,147483,0.3912672102451324,0.0,95.54037475585938,12599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12599.0,147483.0,95.54037475585938,0.3912672102451324,0.0,0.0,12599.0,147483.0,95.54037475585938,0.3912672102451324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08542621572509561,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-11-22 00:00:00+00:00,0,1,0,648454481,0.0,0.0,0.0,229936,0.3403178751468658,0.0,95.60612487792967,10836,0.0,12599.0,147483.0,95.54037475585938,0.3912672102451324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11717.5,188709.5,95.57324981689453,0.3657925426959991,0.0,0.0,11717.5,188709.5,95.57324981689453,0.3657925426959991,0.0,0.0,0.0,0.0,-13.993174061433445,0.0,55.906782476624414,0.0,-13.021621481224145,0.0,0.06881920050900714,0.0,0.0,0.0,0.0,0.04712595189117019,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1246.6292552318832,1246.6292552318832,58303.0754291744,58303.0754291744,0,0.0
2020-11-23 00:00:00+00:00,0,0,0,648454481,0.0,0.0,0.0,211236,0.3719791769981384,0.0,96.05503845214844,10325,0.0,10836.0,229936.0,95.60612487792967,0.3403178751468658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11253.333333333334,196218.33333333334,95.73384602864583,0.3678547541300456,0.0,0.0,11253.333333333334,196218.33333333334,95.73384602864583,0.3678547541300456,0.0,0.0,0.0,0.0,-4.715762273901813,0.0,-8.13269779416881,0.0,9.30344955803719,0.0,0.46954478574665615,0.0,0.0,0.0,0.0,0.04887874756789767,0.0,0.2573318481445184,0.0,1.0,0.0,1.0,0.0,0.0,1193.0609093140777,1193.0609093140777,43229.296042537324,43229.296042537324,0,0.0
2020-11-24 00:00:00+00:00,0,0,0,648454481,0.0,0.0,0.0,176528,0.2618770897388458,0.0,96.06420135498048,7974,0.0,10325.0,211236.0,96.05503845214844,0.3719791769981384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10433.5,191295.75,95.81643486022949,0.34136033803224564,0.0,0.0,10433.5,191295.75,95.81643486022949,0.34136033803224564,0.0,0.0,0.0,0.0,-22.769975786924935,0.0,-16.43091139767843,0.0,-29.598992112357834,0.0,0.009539221450216573,0.0,0.0,0.0,0.0,0.04517104838298523,0.0,0.2020393371581938,0.0,1.0,0.0,1.0,0.0,0.0,1907.206421269951,1907.206421269951,36643.89895898998,36643.89895898998,0,0.0
2020-11-25 00:00:00+00:00,0,0,0,648454481,0.0,0.0,0.0,194931,0.2646081447601318,0.0,95.99555206298828,8430,0.0,7974.0,176528.0,96.06420135498048,0.2618770897388458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10032.8,192022.8,95.85225830078124,0.3260098993778228,0.0,0.0,10032.8,192022.8,95.85225830078124,0.3260098993778228,0.0,0.0,0.0,0.0,5.718585402558318,0.0,10.424975074775666,0.0,1.0428766502672993,0.0,-0.07146188801229192,0.0,0.0,0.0,0.0,0.04324584983481419,0.0,0.13684310913086095,0.13684310913086095,1.0,0.0,1.0,0.0,0.0,1879.0635167550884,1879.0635167550884,31776.162554657225,31776.162554657225,0,0.0
2020-11-26 00:00:00+00:00,0,0,1,648454481,0.0,0.0,0.0,150913,0.2066530138254165,0.0,95.9609146118164,6459,0.0,8430.0,194931.0,95.99555206298828,0.2646081447601318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9437.166666666666,185171.16666666666,95.87036768595378,0.3061170851190885,0.0,0.0,9437.166666666666,185171.16666666666,95.87036768595378,0.3061170851190885,0.0,0.0,0.0,0.0,-23.380782918149468,0.0,-22.58132364785488,0.0,-21.902247562051347,0.0,-0.036082350095911764,0.0,0.0,0.0,0.0,0.042799210146175964,0.0,0.09371839250838025,0.09371839250838025,1.0,0.0,1.0,0.0,0.0,2225.6186031453517,2225.6186031453517,33006.80053211257,33006.80053211257,0,0.0
2020-11-27 00:00:00+00:00,0,0,0,648454481,0.0,0.0,0.0,151956,0.2118367254734039,0.0,95.87747955322266,7571,0.0,6459.0,150913.0,95.9609146118164,0.2066530138254165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9170.57142857143,180426.14285714287,95.87138366699219,0.2926484623125621,0.0,0.0,9170.57142857143,180426.14285714287,95.87138366699219,0.2926484623125621,0.0,0.0,0.0,0.0,17.21628735098313,0.0,0.6911266756343126,0.0,2.5084132827439376,0.0,-0.08694691889011841,0.0,0.0,0.0,0.0,0.04982330527715077,0.0,0.05933598109654297,0.05933598109654297,1.0,0.0,1.0,0.0,0.0,2150.657175310441,2150.657175310441,32641.70376184721,32641.70376184721,0,0.0
2020-11-28 00:00:00+00:00,0,1,0,648454481,0.0,0.0,0.0,187466,0.2329671084880828,0.0,96.00951385498048,8281,0.0,7571.0,151956.0,95.87747955322266,0.2118367254734039,0.0,0.0,12599.0,147483.0,95.54037475585938,0.3912672102451324,0.0,0.0,8553.714285714286,186138.0,95.9384035382952,0.270034162061555,0.0,0.0,9059.375,181306.125,95.88864994049072,0.28518829308450216,0.0,0.0,0.0,-34.272561314390025,9.377889314489508,27.110243214472174,23.36860670194003,-40.45831023199546,9.974844053814369,0.49103753289636565,0.13771148592254256,0.0,0.0,0.0,0.0,0.044173107800306186,0.0,0.026848656790605063,0.05106816973005849,1.0005188684775035,0.0,0.946862717052495,0.0,0.0,2015.8081638815304,2015.8081638815304,30322.6685286178,30322.6685286178,0,0.0
2020-11-29 00:00:00+00:00,0,1,0,648454481,0.0,0.0,0.0,184790,0.2222107648849487,0.0,95.92469787597656,7719,0.0,8281.0,187466.0,96.00951385498048,0.2329671084880828,0.0,0.0,10836.0,229936.0,95.60612487792967,0.3403178751468658,0.0,0.0,8108.428571428572,179688.57142857142,95.98391396658761,0.25316171773842394,0.0,0.0,8910.444444444445,181693.22222222222,95.89265526665582,0.27819078995121843,0.0,0.0,0.0,-28.765227021040975,-6.786619973433162,-19.63415907035001,-1.4274588458707216,-34.70493879022587,-4.617108257444991,0.33321400533035117,-0.08834122327922023,0.0,0.0,0.0,0.0,0.04177151484650227,0.0,-0.022088187081468577,0.03815091451009069,1.0009516755968224,0.0,0.9100291126921082,0.0,0.0,1937.8261087563499,1937.8261087563499,28388.02206379381,28388.02206379381,0,0.0
2020-11-30 00:00:00+00:00,0,0,0,648454481,0.0,0.0,0.0,118556,0.1965190470218658,0.0,95.88604736328124,5638,0.0,7719.0,184790.0,95.92469787597656,0.2222107648849487,0.0,0.0,10325.0,211236.0,96.05503845214844,0.3719791769981384,0.0,0.0,7438.857142857143,166448.57142857142,95.95977238246373,0.22809598488467073,0.0,0.0,8583.2,175379.5,95.89199447631836,0.2700236156582832,0.0,0.0,0.0,-45.39467312348668,-26.959450706050003,-43.875097047851696,-35.84284863899562,-47.16934194871632,-11.561869145441717,-0.1759315196686817,-0.040292556089460696,0.0,0.0,0.0,0.0,0.04755518442605666,0.0,-0.022413253784182862,0.027385688550545458,1.000706815063296,0.0,0.8447260597137097,0.0,0.0,2099.7185949021305,2099.7185949021305,33391.14373685866,33391.14373685866,0,0.0
