timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,ccu_playing,platform_platform_share,ratings_like_ratio,visits_visits_gained,daily_rpv,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-08-19 00:00:00+00:00,1,0,0,4669247391,899938.0,1283.0,0.0182574279606342,85.8071517944336,92755.0,0.0409555096743476,18.901425043741863,0.0,829787.0,1545.0,90534.0,85.79033660888672,0.023110557347536,18.83516490459442,894157.0,1233.0,83842.0,85.77942657470703,0.0181492939591407,20.59119439125061,759776.0,1144.0,74385.14285714286,85.78713117327008,0.0163309572796736,20.554830318405518,888254.8333333334,1296.6666666666667,82051.7,85.67999013264973,0.021644394751638128,21.402443581157264,0.6465307546661192,8.454097256283832,4.055150040551503,-16.957928802588995,10.630710145273259,2.453221993947019,0.5958027994749537,-20.999620709793188,0.03232152607410832,0.019600325877644487,0.1523773189665716,0.13421362966619502,700.8862928348909,9.702207943421449,0.013831989305274052,2.100300691907103e-05,0.0028991699218800415,0.007643424470114667,1.0012504791428485,0.8553581376515635,0.7545120788576273,132034.99042091114,119215.90525020778,210.76544173220452,180.63362296960918,12385.633521131665,11970.678084530009,12,0.5520743167763019
2024-08-20 00:00:00+00:00,1,0,0,4669247391,741677.0,1027.0,0.015889560803771,85.80912017822266,71938.0,0.0336267125352535,20.353859027226765,0.0,899938.0,1283.0,92755.0,85.8071517944336,0.0182574279606342,18.901425043741863,812795.0,1222.0,74535.0,85.7852554321289,0.0170706678181886,21.13395659128825,749616.2857142857,1116.142857142857,74014.14285714286,85.79054042271206,0.016162227706185372,20.443387809253874,885713.3666666667,1288.7666666666667,81483.83333333333,85.68671696980795,0.021538495675971065,21.492086899280547,-8.749807762104833,-17.585767019505795,-15.957446808510634,-19.95323460639127,-3.484269135305562,-22.442994986793163,-6.9189268222954015,-12.969335888760902,0.027819170058451803,0.002293962388799642,0.15373854117830638,0.13724158802269942,721.4756809338521,10.309804139618288,0.01427598381962496,2.744298607647357e-05,0.004987171718056518,0.007975314164719156,1.0012116633309769,0.8463418459353562,0.7503879541697239,130434.72133060626,121556.7089742648,214.68827388810695,187.1756842691103,12674.065426671923,12034.879473296787,12,0.45498781365349306
2024-08-21 00:00:00+00:00,1,0,0,4669247391,636260.0,1011.0,0.0150446593761444,85.81840515136719,61414.0,0.0287629762650687,20.936510801315308,0.0,741677.0,1027.0,71938.0,85.80912017822266,0.015889560803771,20.353859027226765,748780.0,1059.0,68614.0,85.78695678710938,0.0152828637510538,21.11192266146342,733542.0,1109.2857142857142,72985.57142857143,85.79503304617745,0.016128198509769744,20.418328972089856,875282.3666666667,1279.3666666666666,80722.4,85.69467264811198,0.02141785003865754,21.46433142688539,-15.027110766847407,-14.21333006146881,-4.532577903682721,-1.5579357351509282,-10.4934852945463,-14.629264088520666,-1.5586370381203918,-5.317336571229103,0.036658678003753664,0.010820496848418237,0.16127613954925255,0.14751067067437454,628.7154150197629,10.36000976960026,0.016461776438980703,3.290553845248303e-05,0.007460730416434665,0.008087107283918602,1.0011711392898084,0.838063267278586,0.7530260264526836,132464.4221724364,129113.48893645382,211.4379341556285,193.91546030971048,13499.062718785857,12564.352596903236,12,0.39031889395946145
2024-08-22 00:00:00+00:00,1,0,0,4669247391,643432.0,915.0,0.0137375313788652,85.81790161132812,63745.0,0.0290030104165967,19.91052063306173,0.0,636260.0,1011.0,61414.0,85.81840515136719,0.0150446593761444,20.936510801315308,697453.0,1057.0,64033.0,85.77665710449219,0.0154266133904457,21.17560013135274,725824.7142857143,1089.0,72944.42857142857,85.80092511858258,0.015886901079543957,20.23760332947686,866779.0666666667,1265.4,80371.76666666666,85.70235773722331,0.021243614424020008,21.342017471790314,-7.745468153409618,1.1272121459780626,-13.434247871333959,-9.495548961424326,-0.4497680883294497,3.7955515029146403,-10.949143333212808,-8.688318988144395,0.04808360249537458,-0.0005867506371992626,0.15783469550302984,0.15662450114218207,702.4366812227074,10.09368430960374,0.014353841809682176,3.094420185638867e-05,0.007285799298971959,0.008141969334960815,1.0011501128319187,0.8373814530119952,0.747843599608019,125240.63584753107,135758.83891715284,204.85852797361505,204.63754332460962,13417.08316182874,12893.273570256315,12,0.39471861594021973
2024-08-23 00:00:00+00:00,1,0,0,4669247391,636776.0,924.0,0.0128307593986392,85.8110122680664,68404.0,0.0286181864874912,18.151347915331524,0.0,643432.0,915.0,63745.0,85.81790161132812,0.0137375313788652,19.91052063306173,647896.0,906.0,61114.0,85.7781753540039,0.0123534016311168,20.380849917729694,724236.1428571428,1091.5714285714287,73985.85714285714,85.8056161063058,0.015955095046332874,19.919103043419973,859851.4666666667,1256.6,80285.16666666667,85.70970179239909,0.021112103636066075,21.173554934395682,-1.716324842258632,-1.034452747143444,1.9867549668874274,0.9836065573770592,11.928527015086555,7.308808534002664,3.864180747754453,-6.600690875371118,0.0382811990660592,-0.008027862639803374,0.15038785866650423,0.16524324202011517,688.4064864864865,9.308910167385426,0.013507784518675535,2.850503067059822e-05,0.005116598946707289,0.008072848208621834,1.00111906017523,0.842280522779992,0.7557321298421718,115352.17110480722,142084.644007751,203.8408800893588,213.56249186370468,12272.620933257414,12966.892220876012,12,0.39063543837413955
2024-08-24 00:00:00+00:00,1,1,0,4669247391,829123.0,1429.0,0.0199772249907255,85.7868881225586,101996.0,0.0371311771892457,16.20798436800639,0.0,636776.0,924.0,68404.0,85.8110122680664,0.0128307593986392,18.151347915331524,681783.0,936.0,69111.0,85.78538513183594,0.0128151690587401,22.344892978668213,745284.7142857143,1162.0,78683.71428571429,85.80583081926618,0.016978245893759358,19.042401813325426,861305.7333333333,1266.6,81512.66666666667,85.71554972330729,0.020953211995462535,20.909098521868387,21.610981793327213,30.2063834064098,52.67094017094016,54.653679653679646,47.582873927450045,49.108239284252384,55.88733085889952,55.697916000546584,0.0017520358745803932,-0.02811311144128581,0.1434483955835441,0.16430808243061215,579.8062937062937,8.128895947920038,0.014010215986744708,1.9548323734455147e-05,0.00021989004952630025,0.007893227310942998,1.001053263920611,0.8652963581252306,0.8102932332014793,109166.58569129021,141519.49343049218,216.90581335716158,214.4036798449013,14046.326592645222,13227.17694053008,12,0.5086322766107417
2024-08-25 00:00:00+00:00,1,1,0,4669247391,1036025.0,1313.0,0.0196411311626434,85.77806854248047,114433.0,0.046157588100659,17.508092204729717,0.0,829123.0,1429.0,101996.0,85.7868881225586,0.0199772249907255,16.20798436800639,829787.0,1545.0,90534.0,85.79033660888672,0.023110557347536,18.83516490459442,774747.2857142857,1128.857142857143,82097.85714285714,85.80407823835101,0.016482613581631844,18.852819999059044,870473.1333333333,1277.5333333333333,83206.1,85.7209368387858,0.020921434089541398,20.69596760670344,24.854330087118747,24.95431920233788,-15.016181229773462,-8.117564730580828,26.39781739456999,12.193615435899453,-15.01229993166955,-1.682384957060512,-0.01430005626644748,-0.010280801963025166,0.158763511071598,0.16507011811273314,788.451293759513,9.053471870248353,0.011473862663194506,1.6899278787144065e-05,-0.004968098231723078,0.007613163185331524,1.0009699077335281,0.8900300951822817,0.7878338316144152,121747.5943407407,143689.10293329423,205.5191763999939,207.81021403547933,16586.344772164197,14083.146164341464,12,0.6355579984823045
2024-08-26 00:00:00+00:00,1,0,0,4669247391,789078.0,1148.0,0.0180454552173614,85.78538513183594,74566.0,0.0350061193538597,20.67412316799164,0.0,1036025.0,1313.0,114433.0,85.77806854248047,0.0196411311626434,17.508092204729717,899938.0,1283.0,92755.0,85.8071517944336,0.0182574279606342,18.901425043741863,758910.1428571428,1109.5714285714287,79499.42857142857,85.80096871512276,0.016452331761164302,19.106062588237585,873827.1666666666,1275.1666666666667,83450.4,85.72594146728515,0.020626816836496156,20.694567806190914,-12.318626394262711,-23.83600781834415,-10.522213561964143,-12.56664127951257,-19.60972454315131,-34.83872659110572,-1.1610219343592298,-8.124155029914505,-0.025366956183092704,0.008529673703061569,0.15331379343584994,0.16070838773842006,686.751958224543,10.58213418804565,0.01539555031045905,2.6200321093314663e-05,-0.00653185163225084,0.007437989231742668,1.0008751988785827,0.8684899849842269,0.7976185512082645,116417.76679994386,140431.35511703166,203.5795737718861,208.9012443358295,16503.089493642226,13858.352229761542,12,0.4840663442739508
2024-08-27 00:00:00+00:00,1,0,0,4669247391,679957.0,1004.0,0.0167299099266529,85.7854995727539,61519.0,0.0300750154510349,22.11536192893982,0.0,789078.0,1148.0,74566.0,85.78538513183594,0.0180454552173614,20.67412316799164,741677.0,1027.0,71938.0,85.80912017822266,0.015889560803771,20.353859027226765,750093.0,1106.2857142857142,78011.0,85.79759434291294,0.016572381635861715,19.357705859910876,864615.7666666667,1262.2,82244.7,85.73093795776367,0.020168635311226014,20.807915972338783,-8.321681810275905,-13.828924390237718,-2.2395326192794496,-12.543554006968638,-14.483305068253216,-17.497250757717996,5.288686913753238,-7.290175143062195,-0.02752691720844247,0.0001334037468048166,0.15621332376666305,0.16638206262362748,676.5741293532338,11.052617035110533,0.01631989596879064,3.2524599944319825e-05,-0.007024765014647263,0.007199223977705957,1.0007775067756999,0.8675449013517488,0.8216907777908703,117137.28610257835,143856.55463490903,204.0732065371973,213.36021023223913,17008.045773485166,14147.221723472854,12,0.4171251755257183
2024-08-28 00:00:00+00:00,1,0,0,4669247391,623357.0,945.0,0.0156401358544826,85.78321838378906,55182.0,0.0275009262740541,22.397112210591633,0.0,679957.0,1004.0,61519.0,85.7854995727539,0.0167299099266529,22.11536192893982,636260.0,1011.0,61414.0,85.81840515136719,0.0150446593761444,20.936510801315308,748249.7142857143,1096.857142857143,77120.71428571429,85.79256766183036,0.016657449704195745,19.566363204093204,851438.5333333333,1245.0666666666666,80812.93333333333,85.73592529296874,0.019634266756474936,20.887023248937396,-2.027944550969729,-8.32405578588058,-6.528189910979232,-5.876494023904377,-10.14752336600775,-10.300882654139375,3.958058892861449,-6.5139267153743186,-0.0410014233148015,-0.0026591778053419723,0.16456324899555375,0.1730271469560798,658.9397463002114,11.296178170813475,0.017124839171483972,3.592977423982949e-05,-0.005592073713028699,0.0068652092548593625,1.000660660845125,0.8788064962908824,0.8483866451851325,121924.22941877422,147321.9802311357,208.54236399930244,217.60719646653098,17817.113371730517,14648.245765121539,12,0.38240344321800523
