timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,daily_Estimated Revenue,ratings_like_ratio,daily_rpv,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-12-08 00:00:00+00:00,0,1,0,2956631811,0.0001076536282198,5,2202.0,38.19345474243164,0.0002790992690798,5461,3.143459210793177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.0,5.0,5461.0,38.19345474243164,0.0001076536282198,3.143459210793177,2202.0,5.0,5461.0,38.19345474243164,0.0001076536282198,3.143459210793177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.4031490296594654,0.0009154155986818016,0.001426899324009613,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-12-09 00:00:00+00:00,0,0,0,2956631811,0.0001342860341537,8,4133.0,38.19345474243164,0.0005237120200396,3041,3.313527137041092,0.0,2202.0,5.0,5461.0,38.19345474243164,0.0001076536282198,3.143459210793177,0.0,0.0,0.0,0.0,0.0,0.0,3167.5,6.5,4251.0,38.19345474243164,0.00012096983118675,3.2284931739171343,3167.5,6.5,4251.0,38.19345474243164,0.00012096983118675,3.2284931739171343,0.0,87.69300635785649,0.0,60.00000000000001,0.0,-44.314228163340054,0.0,24.738976636740695,0.0,0.0,0.4310728317194075,0.4310728317194075,459.22222222222223,1.3586456278763972,0.0026298487836949377,0.0008015305121047634,0.0,0.0,1.0,1.0,1.0,1365.4231944712233,1365.4231944712233,2.1213203435596424,2.1213203435596424,1711.198410471445,1711.198410471445,2,1.0
2024-12-10 00:00:00+00:00,0,0,0,2956631811,0.0001308984647039,11,4484.0,38.19345474243164,0.0005679735539545,3249,3.292590687672297,0.0,4133.0,8.0,3041.0,38.19345474243164,0.0001342860341537,3.313527137041092,0.0,0.0,0.0,0.0,0.0,0.0,3606.3333333333335,8.0,3917.0,38.19345474243164,0.00012427937569246667,3.2498590118355217,3606.3333333333335,8.0,3917.0,38.19345474243164,0.00012427937569246667,3.2498590118355217,0.0,8.492620372610693,0.0,37.5,0.0,6.83985531075304,0.0,-2.5226520919686246,0.0,0.0,0.34072993298208637,0.34072993298208637,373.6666666666667,1.3796923076923078,0.003384615384615385,0.0007341339325913705,3.17764371615651e-15,0.0,1.0,1.0,1.0,1228.7857149777308,1228.7857149777308,3.0,3.0,1341.1815686177617,1341.1815686177617,3,1.0
2024-12-11 00:00:00+00:00,0,0,0,2956631811,0.0001058452326105,9,4379.0,38.19345474243164,0.0005544512625051,3220,3.266745607058207,0.0,4484.0,11.0,3249.0,38.19345474243164,0.0001308984647039,3.292590687672297,0.0,0.0,0.0,0.0,0.0,0.0,3799.5,8.25,3742.75,38.19345474243164,0.000119670839921975,3.2540806606411934,3799.5,8.25,3742.75,38.19345474243164,0.000119670839921975,3.2540806606411934,0.0,-2.3416592328278307,0.0,-18.181818181818176,0.0,-0.8925823330255489,0.0,-19.139439221133625,0.0,0.0,0.28296109803276276,0.28296109803276276,437.9,1.3595156783607576,0.0027941633033219497,0.0007458323303785861,-1.89900533991096e-15,0.0,1.0,1.0,1.0,1075.110691975482,1075.110691975482,2.5,2.5,1149.1870677425268,1149.1870677425268,3,0.9765834076717217
2024-12-12 00:00:00+00:00,0,0,0,2956631811,7.729621574981138e-05,11,5037.0,38.210227966308594,0.0006374306829848,3423,3.619028886159261,0.0,4379.0,9.0,3220.0,38.19345474243164,0.0001058452326105,3.266745607058207,0.0,0.0,0.0,0.0,0.0,0.0,4047.0,8.8,3678.8,38.19680938720703,0.00011119591508754226,3.3270703057448068,4047.0,8.8,3678.8,38.19680938720703,0.00011119591508754226,3.3270703057448068,0.0,15.026261703585298,0.0,22.222222222222232,0.0,6.304347826086953,0.0,-26.97241638246115,0.0,0.04391648775965429,0.2676386578362301,0.2676386578362301,419.75,1.4710864485981308,0.0032126168224299065,0.0007183463450097779,0.0033546447753906774,0.0033546447753906774,1.0,1.0,1.0,1083.1336482632232,1083.1336482632232,2.4899799195977463,2.4899799195977463,1005.4457717848338,1005.4457717848338,4,1.0
2024-12-13 00:00:00+00:00,0,0,0,2956631811,0.0001122907851822,12,5947.0,38.210227966308594,0.0007523159779501,4470,3.2692948281764984,0.0,5037.0,11.0,3423.0,38.210227966308594,7.729621574981138e-05,3.619028886159261,0.0,0.0,0.0,0.0,0.0,0.0,4363.666666666667,9.333333333333334,3810.6666666666665,38.19904581705729,0.0001113783934366519,3.317441059483422,4363.666666666667,9.333333333333334,3810.6666666666665,38.19904581705729,0.0001113783934366519,3.317441059483422,0.0,18.06630931109787,0.0,9.090909090909083,0.0,30.587204206836116,0.0,45.27332818679939,0.0,0.0,0.2844057195602778,0.2844057195602778,457.46153846153845,1.3301274882576606,0.0026839633191679713,0.000549646070641644,0.0038338797433044676,0.0038338797433044676,1.0,1.0,1.0,1241.0517582545324,1241.0517582545324,2.581988897471611,2.581988897471611,955.5468940175916,955.5468940175916,5,1.0
2024-12-14 00:00:00+00:00,0,1,0,2956631811,0.0002038779930444,9,11504.0,38.183109283447266,0.0014540834794868,8706,3.291672428448995,0.0,5947.0,12.0,4470.0,38.210227966308594,0.0001122907851822,3.2692948281764984,0.0,0.0,0.0,0.0,0.0,0.0,5383.714285714285,9.285714285714286,4510.0,38.19676916939871,0.00012459262195204447,3.313759826478504,5383.714285714285,9.285714285714286,4510.0,38.19676916939871,0.00012459262195204447,3.313759826478504,0.0,93.44207163275601,0.0,-25.0,0.0,94.76510067114094,0.0,81.5625322359204,0.0,-0.07097231370940538,0.5436658739764652,0.5436658739764652,1150.4,1.3212357872975766,0.0010336510853336397,0.0002861079903041282,0.000688689095634731,0.000688689095634731,1.0,1.0,1.0,2926.9417323824377,2926.9417323824377,2.3603873774083293,2.3603873774083293,2045.5711508850857,2045.5711508850857,6,1.0
2024-12-15 00:00:00+00:00,0,1,0,2956631811,0.0001280841825064,8,10024.0,38.183109283447266,0.0012656113943665,7406,3.360005706548691,0.0,11504.0,9.0,8706.0,38.183109283447266,0.0002038779930444,3.291672428448995,2202.0,5.0,5461.0,38.19345474243164,0.0001076536282198,3.143459210793177,6501.142857142857,9.714285714285714,4787.857142857143,38.195291246686665,0.00012751127256441594,3.344695040157863,5963.75,9.125,4872.0,38.195061683654785,0.00012502906702133892,3.3195405614872775,355.2225249772934,-12.865090403337964,60.00000000000001,-11.111111111111116,35.6161875114448,-14.932230645531819,18.978045259084308,-37.17606270603901,-0.027086994497205197,0.0,0.5311681017876512,0.5311681017876512,1113.7777777777778,1.3533144322937762,0.0010800594032671796,0.0003351626639948819,-0.0012483596801751056,-0.0006791977655300977,1.0000060102804331,1.09010989010989,1.019853027797555,3167.7537670361044,3167.7537670361044,2.2320714274285347,2.2320714274285347,2152.892804709846,2152.892804709846,6,0.8713490959666204
2024-12-16 00:00:00+00:00,0,0,0,2956631811,0.0001160810570581,8,7057.0,38.226951599121094,0.0008902996966364,4905,3.632422218720118,0.0,10024.0,8.0,7406.0,38.183109283447266,0.0001280841825064,3.360005706548691,4133.0,8.0,3041.0,38.19345474243164,0.0001342860341537,3.313527137041092,6918.857142857143,9.714285714285714,5054.142857142857,38.20007651192801,0.00012491056155075877,3.3902514803977235,6085.222222222223,9.0,4875.666666666667,38.19860500759549,0.00012403484369209015,3.354305190068704,70.74764093878538,-29.59896249002394,0.0,0.0,61.295626438671476,-33.76991628409398,-13.556865544754338,-9.371278493111546,0.08770313373154259,0.11482122984896037,0.4906125898807133,0.4906125898807133,784.1111111111111,1.4384427231960863,0.0016306563391765185,0.0005146531905242445,0.0018814631870820954,0.0016505559285476049,1.0000385224625934,1.136993340619612,1.0070602568810627,2985.4866344441143,2985.4866344441143,2.1213203435596424,2.1213203435596424,2013.876858201613,2013.876858201613,6,0.6134388038942976
2024-12-17 00:00:00+00:00,0,0,0,2956631811,0.0001774744305294,12,7066.0,38.226951599121094,0.0008908595074587,4853,3.5851939022541046,0.0,7057.0,8.0,4905.0,38.226951599121094,0.0001160810570581,3.632422218720118,4484.0,11.0,3249.0,38.19345474243164,0.0001308984647039,3.292590687672297,7287.714285714285,9.857142857142858,5283.285714285715,38.20486177716936,0.00013156427095440163,3.4320519396236966,6183.3,9.3,4873.4,38.201439666748044,0.00012937880237582115,3.3773940612872444,57.58251561106156,0.12753294601104415,9.090909090909083,50.0,49.36903662665435,-1.0601427115188633,35.581751039523326,52.8883652744236,0.08770313373154259,0.0,0.45797219889990415,0.45797219889990415,543.5384615384615,1.4557066337041615,0.002472187886279357,0.0005073148298081371,0.003814969744002393,0.0027465820312496413,1.0000895806663617,1.1786124376488745,1.0168920142901934,2831.7794974577773,2831.7794974577773,2.2135943621178655,2.2135943621178655,1898.714840212833,1898.714840212833,6,0.614221140472879
