timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,ccu_playing,platform_platform_share,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-18 00:00:00+00:00,1,0,0,7629331599,95.78231048583984,0.0589103638041161,23625,0.1705697178840637,443536,32.38567788260324,292,170314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170314.0,23625.0,443536.0,95.78231048583984,0.1705697178840637,32.38567788260324,170314.0,23625.0,443536.0,95.78231048583984,0.1705697178840637,32.38567788260324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.208753068653179,0.38399051262916056,0.05326500382155266,0.00019015164772687808,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-19 00:00:00+00:00,1,1,0,7629331599,95.99044036865234,0.0547659239488924,30065,0.2117094248533249,1894979,29.95097541809082,206,217202,170314.0,23625.0,443536.0,95.78231048583984,0.1705697178840637,32.38567788260324,0.0,0.0,0.0,0.0,0.0,0.0,193758.0,26845.0,1169257.5,95.8863754272461,0.1911395713686943,31.16832665034703,193758.0,26845.0,1169257.5,95.8863754272461,0.1911395713686943,31.16832665034703,0.0,27.530326338410237,0.0,27.25925925925925,0.0,327.24356083835363,0.0,24.118998072813767,0.0,0.21729469852709293,0.1711146004617866,0.1711146004617866,7.2241734849996675,0.11461967936337059,0.01586560280319581,0.0001378939306459433,0.0,0.0,1.0,1.0,1.0,33154.82275627484,33154.82275627484,4553.767670841366,4553.767670841366,1026325.1878057461,1026325.1878057461,2,1.0
2025-07-20 00:00:00+00:00,1,1,0,7629331599,96.0906753540039,0.0818401364648448,31272,0.2372540384531021,2279337,28.915748834609985,132,506347,217202.0,30065.0,1894979.0,95.99044036865234,0.2117094248533249,29.95097541809082,0.0,0.0,0.0,0.0,0.0,0.0,297954.3333333333,28320.666666666668,1539284.0,95.95447540283203,0.20651106039683023,30.41746737843468,297954.3333333333,28320.666666666668,1539284.0,95.95447540283203,0.20651106039683023,30.41746737843468,0.0,133.12262318026535,0.0,4.014634957591889,0.0,20.28296883501084,0.0,12.065883990509562,0.0,0.10442184134857868,0.6107972725642149,0.6107972725642149,16.191187286157387,0.22214651798022056,0.013719773021815984,5.7106473876879114e-05,0.15418243408202884,0.0,1.0,1.0,1.0,181989.69414868893,181989.69414868893,4111.104028522427,4111.104028522427,968209.9605297396,968209.9605297396,3,1.0
2025-07-21 00:00:00+00:00,1,0,0,7629331599,96.16326904296876,0.0999798482236777,34144,0.2654785811901092,2292402,27.710397640864056,105,842768,506347.0,31272.0,2279337.0,96.0906753540039,0.2372540384531021,28.915748834609985,0.0,0.0,0.0,0.0,0.0,0.0,434157.75,29776.5,1727563.5,96.00667381286621,0.22125294059514997,29.740699944042024,434157.75,29776.5,1727563.5,96.00667381286621,0.22125294059514997,29.740699944042024,0.0,66.44080047872309,0.0,9.183934510104885,0.0,0.573192994278604,0.0,11.896338170271537,0.0,0.07554706915882115,0.7147155357914154,0.7147155357914154,24.682032508419972,0.36763518456397065,0.014894414289285087,3.288018145050904e-05,0.12431106567381825,0.0,1.0,1.0,1.0,310299.2889092454,310299.2889092454,4443.563172350166,4443.563172350166,875642.8299219189,875642.8299219189,4,1.0
2025-07-22 00:00:00+00:00,1,0,0,7629331599,96.28410339355467,0.1257848009736681,38414,0.3035808205604553,2555561,31.011032342910767,66,1364807,842768.0,34144.0,2292402.0,96.16326904296876,0.2654785811901092,27.710397640864056,0.0,0.0,0.0,0.0,0.0,0.0,620287.6,31504.0,1893163.0,96.06215972900391,0.23771851658821105,29.994766423815776,620287.6,31504.0,1893163.0,96.06215972900391,0.23771851658821105,29.994766423815776,0.0,61.943381808516705,0.0,12.50585754451734,0.0,11.47961832174287,0.0,14.352283788597276,0.0,0.12565541062452557,0.7986856708625468,0.7986856708625468,35.52797084472211,0.5340535662997024,0.015031527311800692,2.272190106074317e-05,0.11764144897460153,0.11764144897460153,1.0,1.0,1.0,495414.8179337191,495414.8179337191,5452.542663748721,5452.542663748721,843906.8350217931,843906.8350217931,5,1.0
2025-07-23 00:00:00+00:00,1,0,0,7629331599,96.376220703125,0.1277281518384097,39673,0.3203533589839935,2953200,27.190239191055294,54,1734475,1364807.0,38414.0,2555561.0,96.28410339355467,0.3035808205604553,31.011032342910767,0.0,0.0,0.0,0.0,0.0,0.0,805985.5,32865.5,2069835.8333333333,96.11450322469075,0.25149099032084143,29.52734521835569,805985.5,32865.5,2069835.8333333333,96.11450322469075,0.25149099032084143,29.52734521835569,0.0,27.08573446648501,0.0,3.2774509293486798,0.0,15.559753807481025,0.0,5.524900549571465,0.0,0.09567239692080953,0.7878807001184183,0.7878807001184183,43.7181781519383,0.5873203347824953,0.013433897658845435,1.5676342129297434e-05,0.11208953857422599,0.11208953857422599,1.0,1.0,1.0,635020.4200252934,635020.4200252934,5908.152900865041,5908.152900865041,870070.5357529162,870070.5357529162,6,1.0
2025-07-24 00:00:00+00:00,1,0,0,7629331599,96.0519790649414,0.1279133571865405,42874,0.338925302028656,3112416,25.725964029630024,45,2120971,1734475.0,39673.0,2953200.0,96.376220703125,0.3203533589839935,27.190239191055294,0.0,0.0,0.0,0.0,0.0,0.0,993840.5714285715,34295.28571428572,2218775.8571428573,96.10557120186942,0.26398160627910067,28.984290762823456,993840.5714285715,34295.28571428572,2218775.8571428573,96.10557120186942,0.26398160627910067,28.984290762823456,0.0,22.283169258709414,0.0,8.068459657701709,0.0,5.391304347826087,0.0,5.797330517639576,0.0,-0.33643323614274134,0.7683220659253713,0.7683220659253713,49.46871137026239,0.6814546379871335,0.01377514645370463,1.212932751098554e-05,0.06335694449288694,0.06335694449288694,1.0,1.0,1.0,763589.6410404516,763589.6410404516,6587.759045236493,6587.759045236493,886642.0900422425,886642.0900422425,7,1.0
2025-07-25 00:00:00+00:00,1,0,0,7629331599,96.1366195678711,0.1504986153382154,40935,0.2868110537528991,3061305,27.54485885302226,32,2975354,2120971.0,42874.0,3112416.0,96.0519790649414,0.338925302028656,25.725964029630024,170314.0,23625.0,443536.0,95.78231048583984,0.1705697178840637,32.38567788260324,1394560.5714285714,36768.142857142855,2592742.8571428573,96.15618678501674,0.28058751140322,28.292745187169032,1241529.75,35125.25,2324092.0,96.10945224761963,0.2668352872133255,28.804361774098304,1646.9814577779864,40.28263469891855,73.26984126984127,-4.522554461911643,590.2044027993219,-1.6421648005922052,68.1488703333875,-15.37632273655115,0.369910769780013,0.08811947838416323,0.8016524209070317,0.8016524209070317,72.68306624975571,0.9719230942610768,0.013371743955030957,9.257671388127554e-06,0.020503452845991907,0.044825326828734254,1.0004862636952367,1.1232598908149978,1.051538251681458,995275.3297156019,995275.3297156019,6535.250519845651,6535.250519845651,873247.5194844324,873247.5194844324,8,1.0
2025-07-26 00:00:00+00:00,1,1,0,7629331599,96.2422332763672,0.1669524356501883,46443,0.3254940807819366,3396419,26.918044010798138,28,3844242,2975354.0,40935.0,3061305.0,96.1366195678711,0.2868110537528991,27.54485885302226,217202.0,30065.0,1894979.0,95.99044036865234,0.2117094248533249,29.95097541809082,1912709.142857143,39107.857142857145,2807234.285714286,96.19215720040458,0.29684246225016453,27.859469271841505,1530720.0,36382.77777777778,2443239.4444444445,96.12420569525824,0.27335293094317115,28.5947709115094,1669.8925424259446,29.202844434645424,54.475303509063686,13.455478197141812,79.23254030783455,10.946769433297243,53.745673348006704,13.487285975513586,0.26231039960629143,0.10985793859907833,0.8313528358403083,0.8313528358403083,82.77155283782619,1.1318511844824846,0.013674103909410497,7.002170261036604e-06,0.006044660295761899,0.04022979736328165,1.000706913567242,1.2495486717735071,1.085931148519043,1272568.4128774768,1272568.4128774768,7183.536520714879,7183.536520714879,891631.1446774264,891631.1446774264,9,1.0
2025-07-27 00:00:00+00:00,1,1,0,7629331599,96.33521270751952,0.1652017639487758,44212,0.3358859419822693,3329254,33.38868276278178,23,4378474,3844242.0,46443.0,3396419.0,96.2422332763672,0.3254940807819366,26.918044010798138,506347.0,31272.0,2279337.0,96.0906753540039,0.2372540384531021,28.915748834609985,2465870.1428571427,40956.42857142857,2957222.4285714286,96.22709110804966,0.3109327341829027,28.4984598330089,1815495.4,37165.7,2531840.9,96.14530639648437,0.27960623204708096,29.074162096636634,764.7180688342183,13.896939890880965,41.378869276029675,-4.803737915294015,46.06238568496015,-1.977523974515516,41.57227593353008,3.1926421443266406,0.25448603895719124,0.09660980214925008,0.8263059435859934,0.8263059435859934,99.0313708637731,1.315151287600379,0.013279847893898184,7.625641978721308e-06,0.006874629429404623,0.04076750784209319,1.0008506365482681,1.3582354121399276,1.1120379252868258,1500154.6395730304,1500154.6395730304,7211.045725521059,7211.045725521059,886100.5961615632,886100.5961615632,10,1.0
