timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,visits_visits_gained,daily_rpv,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-03-26 00:00:00+00:00,0,0,0,703124385,0.0,1.83859121799469,37130,67.96224975585938,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37130.0,0.0,67.96224975585938,1.83859121799469,0.0,0.0,37130.0,0.0,67.96224975585938,1.83859121799469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37130.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-03-27 00:00:00+00:00,0,0,0,703124385,0.0,1.806119084358215,37870,67.97380065917969,4815124,0.0,0.0,0.0,0.0,37130.0,0.0,67.96224975585938,1.83859121799469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,2407562.0,67.96802520751953,1.8223551511764526,0.0,0.0,37500.0,2407562.0,67.96802520751953,1.8223551511764526,0.0,0.0,0.0,0.0,1.9929975760840213,0.0,inf,0.0,-1.7661421048171588,0.0,0.016996057902440853,0.0,0.0,0.0,0.0,0.007864801017626748,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,523.2590180780452,523.2590180780452,3404806.8326540934,3404806.8326540934,0,0.0
2020-03-28 00:00:00+00:00,0,1,0,703124385,0.0,1.665530562400818,38411,67.98916625976562,4885654,0.0,0.0,0.0,0.0,37870.0,4815124.0,67.97380065917969,1.806119084358215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37803.666666666664,3233592.6666666665,67.97507222493489,1.770080288251241,0.0,0.0,37803.666666666664,3233592.6666666665,67.97507222493489,1.770080288251241,0.0,0.0,0.0,0.0,1.4285714285714235,0.0,1.4647597860408146,0.0,-7.784011761735721,0.0,0.02260518087400243,0.0,0.0,0.0,0.0,0.007861995986208604,0.0,0.013458251953135943,0.0,1.0,0.0,1.0,0.0,0.0,643.0710173327161,643.0710173327161,2800595.4314512,2800595.4314512,0,0.0
2020-03-29 00:00:00+00:00,0,1,0,703124385,0.0,1.4128355979919434,39427,68.00243377685547,5018833,0.0,0.0,0.0,0.0,38411.0,4885654.0,67.98916625976562,1.665530562400818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38209.5,3679902.75,67.98191261291504,1.6807691156864166,0.0,0.0,38209.5,3679902.75,67.98191261291504,1.6807691156864166,0.0,0.0,0.0,0.0,2.6450756293769917,0.0,2.7259196005284148,0.0,-15.172040076203807,0.0,0.01951416353473956,0.0,0.0,0.0,0.0,0.007855808739639526,0.0,0.01359176635741117,0.0,1.0,0.0,1.0,0.0,0.0,966.6935053745499,966.6935053745499,2454722.1042411807,2454722.1042411807,0,0.0
2020-03-30 00:00:00+00:00,0,0,0,703124385,0.0,1.462098479270935,38083,68.01251220703125,4855799,0.0,0.0,0.0,0.0,39427.0,5018833.0,68.00243377685547,1.4128355979919434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38184.2,3915082.0,67.98803253173828,1.6370349884033204,0.0,0.0,38184.2,3915082.0,67.98803253173828,1.6370349884033204,0.0,0.0,0.0,0.0,-3.4088315114008116,0.0,-3.248444409287976,0.0,3.4868091764539866,0.0,0.014820690401839975,0.0,0.0,0.0,0.0,0.007842785946702912,0.0,0.012915802001947467,0.012915802001947467,1.0,0.0,1.0,0.0,0.0,839.0904003741201,839.0904003741201,2189929.6461166283,2189929.6461166283,0,0.0
2020-03-31 00:00:00+00:00,0,0,0,703124385,0.0,1.5374430418014526,39759,68.032958984375,4971458,0.0,0.0,0.0,0.0,38083.0,4855799.0,68.01251220703125,1.462098479270935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38446.666666666664,4091144.6666666665,67.9955202738444,1.6204363306363423,0.0,0.0,38446.666666666664,4091144.6666666665,67.9955202738444,1.6204363306363423,0.0,0.0,0.0,0.0,4.400913793556183,0.0,2.381873714295013,0.0,5.153179734383384,0.0,0.030063258480317323,0.0,0.0,0.0,0.0,0.00799745105008409,0.0,0.013798522949226321,0.013798522949226321,1.0,0.0,1.0,0.0,0.0,988.2260200311815,988.2260200311815,2005647.4913391601,2005647.4913391601,0,0.0
2020-04-01 00:00:00+00:00,0,0,0,703124385,0.0,1.2632561922073364,33693,68.02864837646484,4955273,0.0,0.0,0.0,0.0,39759.0,4971458.0,68.032958984375,1.5374430418014526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37767.57142857143,4214591.571428572,68.00025285993304,1.5694105965750558,0.0,0.0,37767.57142857143,4214591.571428572,68.00025285993304,1.5694105965750558,0.0,0.0,0.0,0.0,-15.25692296083906,0.0,-0.32555841767143434,0.0,-17.833951706779715,0.0,-0.006336058249567511,0.0,0.0,0.0,0.0,0.00679942219138639,0.0,0.012173516409737548,0.012173516409737548,1.0,0.0,1.0,0.0,0.0,2010.4770459721624,2010.4770459721624,1859800.7557252701,1859800.7557252701,0,0.0
2020-04-02 00:00:00+00:00,0,0,0,703124385,0.0,1.4873508214950562,38890,68.06061553955078,4942136,0.0,0.0,0.0,0.0,33693.0,4955273.0,68.02864837646484,1.2632561922073364,0.0,0.0,37130.0,0.0,67.96224975585938,1.83859121799469,0.0,0.0,38019.0,4920611.0,68.0143051147461,1.5192333970751082,0.0,0.0,37907.875,4305534.625,68.00779819488525,1.5591531246900558,0.0,0.0,0.0,4.740102343118768,15.42456890155226,inf,-0.26511152866854903,-19.10377864649674,17.7394443557922,0.14473591448895817,0.046990736768770525,0.0,0.0,0.0,0.0,0.007869065547960326,0.0,0.013211931501121404,0.013145900907972203,1.0000956790255464,0.0,0.9743965316922395,0.0,0.0,1903.1730224999062,1903.1730224999062,1740948.382330729,1740948.382330729,0,0.0
2020-04-03 00:00:00+00:00,0,0,0,703124385,0.0,1.515445351600647,40629,68.08027648925781,5313439,0.0,0.0,0.0,0.0,38890.0,4942136.0,68.06061553955078,1.4873508214950562,0.0,0.0,37870.0,4815124.0,67.97380065917969,1.806119084358215,0.0,0.0,38413.142857142855,4991798.857142857,68.0295159476144,1.4777085781097412,0.0,0.0,38210.22222222222,4417524.0,68.01585133870442,1.5542967054578993,0.0,0.0,0.0,7.285450224452084,4.471586526099247,10.348954668664812,7.513006521876364,-16.09382987395075,1.8888973401279152,0.15664245495408124,0.02888741095150582,0.0,0.0,0.0,0.0,0.007646458791291518,0.0,0.014493942260744519,0.01403401692708385,1.0002009032988786,0.0,0.9507248988695532,0.0,0.0,1998.0074310283346,1998.0074310283346,1662802.812185949,1662802.812185949,0,0.0
2020-04-04 00:00:00+00:00,0,1,0,703124385,0.0,1.4305685758590698,33616,68.12516784667969,5590866,0.0,0.0,0.0,0.0,40629.0,5313439.0,68.08027648925781,1.515445351600647,0.0,0.0,38411.0,4885654.0,67.98916625976562,1.665530562400818,0.0,0.0,37728.142857142855,5092543.428571428,68.04894474574498,1.4441425800323486,0.0,0.0,37750.8,4534858.2,68.02678298950195,1.5419238924980163,0.0,0.0,0.0,-12.483403191794018,-17.26106967929312,14.434341850650911,5.2212324259298,-14.107335635021723,-5.600781027961743,0.2000342030882507,0.06593885885430861,0.0,0.0,0.0,0.0,0.006012663152244545,0.0,0.018978118896482106,0.01616927638198523,1.0003257798659455,0.0,0.9365848645699006,0.0,0.0,2378.899362683881,2378.899362683881,1611016.3749004195,1611016.3749004195,0,0.0
