timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,sort_sort_position,visits_visits_gained,daily_Estimated Revenue,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-27 00:00:00+00:00,1,0,0,8246907060,1355,0.0115958359092473,95.33478546142578,0.0224843052348588,468,4865,143136,17.285919189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143136.0,1355.0,4865.0,95.33478546142578,0.0115958359092473,17.285919189453125,143136.0,1355.0,4865.0,95.33478546142578,0.0115958359092473,17.285919189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.5575221238938,29.415536374845868,0.2784628031237156,0.00012076485597332014,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-28 00:00:00+00:00,1,0,0,8246907060,1638,0.0131452428176999,95.3661651611328,0.0220783638542014,455,214037,142872,13.218544801076254,143136.0,1355.0,4865.0,95.33478546142578,0.0115958359092473,17.285919189453125,0.0,0.0,0.0,0.0,0.0,0.0,143004.0,1496.5,109451.0,95.3504753112793,0.0123705393634736,15.25223199526469,143004.0,1496.5,109451.0,95.3504753112793,0.0123705393634736,15.25223199526469,0.0,-0.18443997317236782,0.0,20.885608856088567,0.0,4299.527235354573,0.0,13.361752620326396,0.0,0.03291526755437868,0.0013053913892845553,0.0013053913892845553,87.17022574740696,0.667507638830488,0.007652846690774535,9.251954393815664e-05,0.0,0.0,1.0,1.0,1.0,186.67619023324855,186.67619023324855,200.11121907579295,200.11121907579295,147906.93963435251,147906.93963435251,1,0.9981556002682763
2025-08-29 00:00:00+00:00,1,0,0,8246907060,1617,0.0120382942259311,95.37705993652344,0.0229084857909893,419,233326,153537,12.367964506149292,142872.0,1638.0,214037.0,95.3661651611328,0.0131452428176999,13.218544801076254,0.0,0.0,0.0,0.0,0.0,0.0,146515.0,1536.6666666666667,150742.66666666666,95.35933685302734,0.012259790984292767,14.29080949889289,146515.0,1536.6666666666667,150742.66666666666,95.35933685302734,0.012259790984292767,14.29080949889289,0.0,7.464723668738449,0.0,-1.2820512820512775,0.0,9.011993253502904,0.0,-8.42090638507117,0.0,0.01142415171275779,0.04151563199327853,0.04151563199327853,94.89307787391841,0.6580335751970411,0.00693018810510571,8.055311718368933e-05,0.021137237548834363,0.0,1.0,1.0,1.0,6082.662821495204,6082.662821495204,157.67794180966888,157.67794180966888,126701.36780766549,126701.36780766549,2,1.0
2025-08-30 00:00:00+00:00,1,1,0,8246907060,1607,0.0104985451325774,95.42195129394533,0.0220021949793825,418,278405,153136,13.554464101791382,153537.0,1617.0,233326.0,95.37705993652344,0.0120382942259311,12.367964506149292,0.0,0.0,0.0,0.0,0.0,0.0,148170.25,1554.25,182658.25,95.37499046325684,0.011819479521363925,14.106723149617514,148170.25,1554.25,182658.25,95.37499046325684,0.011819479521363925,14.106723149617514,0.0,-0.26117483082254145,0.0,-0.618429189857761,0.0,19.32017863418565,0.0,-12.790425823261586,0.0,0.04706724809064866,0.040282652318036447,0.040282652318036447,95.23383084577114,0.5500456168329706,0.0057721457152503895,8.851201278457447e-05,0.027239227294921387,0.0,1.0,1.0,1.0,5968.69066462654,5968.69066462654,133.4600439582324,133.4600439582324,121558.93868510863,121558.93868510863,2,0.9973882516917746
2025-08-31 00:00:00+00:00,1,1,0,8246907060,1626,0.012173406779766,95.44673919677734,0.0210296227515559,400,289910,152539,13.47251296043396,153136.0,1607.0,278405.0,95.42195129394533,0.0104985451325774,13.554464101791382,0.0,0.0,0.0,0.0,0.0,0.0,149044.0,1568.6,204108.6,95.38934020996093,0.01189026497304434,13.979881111780802,149044.0,1568.6,204108.6,95.38934020996093,0.01189026497304434,13.979881111780802,0.0,-0.3898495455020412,0.0,1.1823273179838223,0.0,4.13246888525709,0.0,15.953273773062481,0.0,0.025977149383216158,0.037075978166928876,0.037075978166928876,93.75476336816226,0.5261580278085344,0.005608617817192173,8.832118107010594e-05,0.027969360351558708,0.027969360351558708,1.0,1.0,1.0,5525.952089911747,5525.952089911747,119.95124009363137,119.95124009363137,115685.00013528115,115685.00013528115,2,0.9934999381256635
2025-09-01 00:00:00+00:00,0,0,1,8246907060,1538,0.0120486160740256,95.47679901123048,0.0211949090555525,389,236002,159094,12.575430631637571,152539.0,1626.0,289910.0,95.44673919677734,0.012173406779766,13.47251296043396,0.0,0.0,0.0,0.0,0.0,0.0,150719.0,1563.5,209424.16666666666,95.40391667683919,0.011916656823207883,13.74580603175693,150719.0,1563.5,209424.16666666666,95.40391667683919,0.011916656823207883,13.74580603175693,0.0,4.2972616838972355,0.0,-5.41205412054121,0.0,-18.594736297471627,0.0,-1.025109141574243,0.0,0.031493809747829005,0.042619725142947186,0.042619725142947186,103.37491877842756,0.6741185493404744,0.00651686631102147,7.904353142234245e-05,0.028476606096549454,0.028476606096549454,1.0,1.0,1.0,6423.602353819857,6423.602353819857,108.01249927670406,108.01249927670406,104287.80800729616,104287.80800729616,3,1.0
2025-09-02 00:00:00+00:00,0,0,0,8246907060,1545,0.0130173731595277,95.48500061035156,0.0205444465113005,388,221760,159043,11.424153327941896,159094.0,1538.0,236002.0,95.47679901123048,0.0120486160740256,12.575430631637571,0.0,0.0,0.0,0.0,0.0,0.0,151908.14285714287,1560.857142857143,211186.42857142858,95.41550009591239,0.012073902014110714,13.414141359783354,151908.14285714287,1560.857142857143,211186.42857142858,95.41550009591239,0.012073902014110714,13.414141359783354,0.0,-0.03205652004475423,0.0,0.4551365409622976,0.0,-6.0346946212320285,0.0,8.040401317048751,0.0,0.008590148817311238,0.04380687507328524,0.04380687507328524,102.8738680465718,0.7171820112643792,0.006966959925325012,7.183014340649063e-05,0.026485443115240283,0.026485443115240283,1.0,1.0,1.0,6654.621036757625,6654.621036757625,98.84909133190277,98.84909133190277,95315.41350494708,95315.41350494708,3,0.9996794347995525
2025-09-03 00:00:00+00:00,0,0,0,8246907060,1676,0.0145099144428968,95.5214385986328,0.0196289403217707,398,218093,156222,12.191383560498556,159043.0,1545.0,221760.0,95.48500061035156,0.0130173731595277,11.424153327941896,143136.0,1355.0,4865.0,95.33478546142578,0.0115958359092473,17.285919189453125,153777.57142857142,1606.7142857142858,241647.57142857142,95.44216482979911,0.012490198947489215,12.686350555646987,152447.375,1575.25,212049.75,95.42874240875244,0.012378403567708975,13.261296634872755,9.142354124748486,-1.773734147368955,23.690036900368995,8.478964401294498,4382.89825282631,-1.6535894660894668,25.130387808658263,11.465763983854727,0.19578702181328733,0.03816095517443774,0.041633760010011046,0.041633760010011046,93.15563506261181,0.7163058130897686,0.007684759782479115,7.803833981231033e-05,0.026305334908618437,0.026485170636866402,1.0001406538607538,1.008725610582481,1.0090314861014773,6346.957424906158,6346.957424906158,100.16236818286596,100.16236818286596,88278.70350486577,88278.70350486577,3,0.9819477793002879
2025-09-04 00:00:00+00:00,0,0,0,8246907060,1968,0.0179637596011161,95.54576110839844,0.0189638942817056,406,258482,155174,16.60491180419922,156222.0,1676.0,218093.0,95.5214385986328,0.0145099144428968,12.191383560498556,142872.0,1638.0,214037.0,95.3661651611328,0.0131452428176999,13.218544801076254,155535.0,1653.857142857143,247996.85714285713,95.4678213936942,0.013178558487977244,13.17011727037884,152750.33333333334,1618.888888888889,217208.88888888888,95.44174448649089,0.012998998682531989,13.632809431464585,8.610504507531225,-0.6708402145664483,20.146520146520142,17.42243436754176,20.765101360979642,18.51916384294774,36.65597395377232,23.803346131445323,0.18832250092282177,0.025462880503557273,0.03932037262858126,0.03932037262858126,78.80853224987302,0.6003257467609089,0.00761365350912826,0.00010700764816625887,0.026547840663372933,0.02634086608886456,1.0002732232876044,1.0182301838948524,1.0138133566923542,6006.200025806665,6006.200025806665,160.9894751563316,160.9894751563316,84015.11014461095,84015.11014461095,3,0.9753604787106993
2025-09-05 00:00:00+00:00,0,0,0,8246907060,2181,0.0158728659152984,95.56668090820312,0.0183753105369269,411,282708,156130,19.046122675356656,155174.0,1968.0,258482.0,95.54576110839844,0.0179637596011161,16.60491180419922,153537.0,1617.0,233326.0,95.37705993652344,0.0120382942259311,12.367964506149292,155905.42857142858,1734.4285714285713,255051.42857142858,95.49491010393415,0.013726354443601143,14.124139865979894,153088.3,1675.1,223758.8,95.45423812866211,0.01328638540580863,14.17414075585379,1.6888437314783955,0.616082591155731,34.879406307977746,10.823170731707311,21.16437945192564,9.372412779226401,31.853114879909118,-11.639510504737505,0.1988119279477507,0.021895057993148725,0.03764279483570443,0.03764279483570443,71.55362053162237,0.5522639887658334,0.007714646509308158,0.00012198809125258056,0.024174009050650203,0.02597170743075284,1.00042608873183,1.0184019848115669,1.0331142763328365,5762.67146864677,5762.67146864677,233.7408108710729,233.7408108710729,81873.50002805819,81873.50002805819,3,0.9813695048210492
