timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,daily_Estimated Revenue,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-16 00:00:00+00:00,1,1,0,7673659635,415,0.0921326292688255,81.32183837890625,3386,0.0238863471895456,29.91404151916504,153537,29552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153537.0,3386.0,29552.0,81.32183837890625,0.0238863471895456,29.91404151916504,153537.0,3386.0,29552.0,81.32183837890625,0.0238863471895456,29.91404151916504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33126660761736,5.195310120799919,0.1145738165330085,0.00019483151740393284,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-17 00:00:00+00:00,1,1,0,7673659635,378,0.0829672944520766,81.32907104492188,7423,0.0490177161991596,24.757178982098896,153336,490082,153537.0,3386.0,29552.0,81.32183837890625,0.0238863471895456,29.91404151916504,0.0,0.0,0.0,0.0,0.0,0.0,153436.5,5404.5,259817.0,81.32545471191406,0.0364520316943526,27.335610250631966,153436.5,5404.5,259817.0,81.32545471191406,0.0364520316943526,27.335610250631966,0.0,-0.13091306981378725,0.0,119.22622563496752,0.0,1558.371683811586,0.0,105.21227381561845,0.0,0.008893879134808103,0.0009263015189899148,0.0009263015189899148,20.654094827586206,0.3128776146081378,0.015146413974775702,0.00016145600202233576,0.0,0.0,1.0,1.0,1.0,142.12846301849606,142.12846301849606,2854.5900756500923,2854.5900756500923,325643.88593984075,325643.88593984075,1,0.9986908693018621
2025-08-18 00:00:00+00:00,1,0,0,7673659635,287,0.0763771183380144,80.69742584228516,6759,0.0540052875876426,23.63457266489665,186652,604210,153336.0,7423.0,490082.0,81.32907104492188,0.0490177161991596,24.757178982098896,0.0,0.0,0.0,0.0,0.0,0.0,164508.33333333334,5856.0,374614.6666666667,81.1161117553711,0.04230311699211594,26.10193105538686,164508.33333333334,5856.0,374614.6666666667,81.1161117553711,0.04230311699211594,26.10193105538686,0.0,21.727448218291844,0.0,-8.94517041627374,0.0,23.287531474324695,0.0,10.175038282523063,0.0,-0.7766536547403002,0.11657306848226728,0.11657306848226728,27.611242603550295,0.3089185731474601,0.011186489487943782,0.00012662305274973695,-0.3122062683105455,0.0,1.0,1.0,1.0,19177.24120757032,19177.24120757032,2164.6937427728662,2164.6937427728662,304232.613375577,304232.613375577,2,1.0
2025-08-19 00:00:00+00:00,1,0,0,7673659635,287,0.0584785513190303,80.80966186523438,5729,0.0461270958185195,24.97814933458964,175730,478781,186652.0,6759.0,604210.0,80.69742584228516,0.0540052875876426,23.63457266489665,0.0,0.0,0.0,0.0,0.0,0.0,167313.75,5824.25,400656.25,81.03949928283691,0.04325911169871682,25.820985625187557,167313.75,5824.25,400656.25,81.03949928283691,0.04325911169871682,25.820985625187557,0.0,-5.851531191736492,0.0,-15.238940671696998,0.0,-20.75917313516824,0.0,-14.587815602940656,0.0,0.1390825317880262,0.09941247869969592,0.09941247869969592,30.668411867364746,0.3670355192968825,0.011965779832992886,0.00014213854888772977,-0.21681747436524745,0.0,1.0,1.0,1.0,16633.07460804125,16633.07460804125,1768.6053592214025,1768.6053592214025,253806.3138384268,253806.3138384268,2,0.9414846880826351
2025-08-20 00:00:00+00:00,1,0,0,7673659635,239,0.0547348236121986,80.76766204833984,6008,0.045822124928236,24.7861514488856,190895,474179,175730.0,5729.0,478781.0,80.80966186523438,0.0461270958185195,24.97814933458964,0.0,0.0,0.0,0.0,0.0,0.0,172030.0,5861.0,415360.8,80.9851318359375,0.04377171434462066,25.614018789927165,172030.0,5861.0,415360.8,80.9851318359375,0.04377171434462066,25.614018789927165,0.0,8.629716041654811,0.0,4.869959853377548,0.0,-0.9611910247064981,0.0,-0.6611534606110192,0.0,-0.05197375651017078,0.10377512855942689,0.10377512855942689,31.768181061740723,0.4025791893373824,0.012670293981188577,0.0001298411252665619,-0.16277618408203423,-0.16277618408203423,1.0,1.0,1.0,17852.435366078207,17852.435366078207,1533.86000013039,1533.86000013039,222248.40305770477,222248.40305770477,3,1.0
2025-08-21 00:00:00+00:00,1,0,0,7673659635,189,0.0602314778448795,80.61443328857422,5090,0.0450822003185749,47.233137925465904,237201,412996,190895.0,6008.0,474179.0,80.76766204833984,0.045822124928236,24.7861514488856,0.0,0.0,0.0,0.0,0.0,0.0,182891.83333333334,5732.5,414966.6666666667,80.92334874471028,0.04399012867361304,29.217205312516956,182891.83333333334,5732.5,414966.6666666667,80.92334874471028,0.04399012867361304,29.217205312516956,0.0,24.257314230336057,0.0,-15.279627163781628,0.0,-12.90293328047003,0.0,-1.6147758551571578,0.0,-0.18971548250823478,0.16966164486877866,0.16966164486877866,46.59222156747201,0.5743407337099301,0.012324544730349132,0.00019912622121848005,-0.14597189767019558,-0.14597189767019558,1.0,1.0,1.0,31029.72927639986,31029.72927639986,1407.570495570293,1407.570495570293,198787.35919536397,198787.35919536397,4,1.0
2025-08-22 00:00:00+00:00,1,0,0,7673659635,144,0.0864655924711593,80.68970489501953,5034,0.0365254990756511,27.09017006556193,374828,392632,237201.0,5090.0,412996.0,80.61443328857422,0.0450822003185749,47.233137925465904,0.0,0.0,0.0,0.0,0.0,0.0,210311.2857142857,5632.714285714285,411776.0,80.88997105189732,0.04292375301676133,28.913343134380522,210311.2857142857,5632.714285714285,411776.0,80.88997105189732,0.04292375301676133,28.913343134380522,0.0,58.02125623416428,0.0,-1.1001964636542239,0.0,-4.930798361243205,0.0,-18.98022097958303,0.0,0.0933723694066746,0.3703039644792171,0.3703039644792171,74.44448857994041,0.9546523088991501,0.012821133221099602,7.227341018320869e-05,-0.11626570565359487,-0.11626570565359487,1.0,1.0,1.0,77879.10287472133,77879.10287472133,1311.7720475608194,1311.7720475608194,181663.44602863834,181663.44602863834,5,1.0
2025-08-23 00:00:00+00:00,1,1,0,7673659635,121,0.1313856342925964,80.82479095458984,6583,0.0449897646903991,29.055563767751057,627444,476194,374828.0,5034.0,392632.0,80.68970489501953,0.0365254990756511,27.09017006556193,153537.0,3386.0,29552.0,81.32183837890625,0.0238863471895456,29.91404151916504,278012.28571428574,6089.428571428572,475582.0,80.81896427699498,0.04593852694545469,28.790703455607098,262452.875,5751.5,419828.25,80.88182353973389,0.043182004475966054,28.93112071355184,308.65980187186153,67.39517858857928,94.41819255759007,30.770758839888757,1511.376556578235,21.282524093807954,88.34928728696487,23.173579633277374,-0.6112102655629781,0.16741424416666373,0.6254855869642242,0.6254855869642242,95.29829890643985,1.3176198826111152,0.013824168670397631,4.630774612555851e-05,-0.06155395507812154,-0.08294214521135121,0.9992228258465509,1.0592845885734181,1.063834981792539,164160.49056982316,164160.49056982316,1260.0815166374866,1260.0815166374866,169722.72119190675,169722.72119190675,6,1.0
2025-08-24 00:00:00+00:00,1,1,0,7673659635,108,0.1470608279132001,80.92756652832031,7040,0.0513417571783065,27.565287590026855,774628,501692,627444.0,6583.0,476194.0,80.82479095458984,0.0449897646903991,29.055563767751057,153336.0,7423.0,490082.0,81.32907104492188,0.0490177161991596,24.757178982098896,366768.28571428574,6034.714285714285,477240.5714285714,80.76160648890904,0.04627053279961853,29.191861828168232,319361.22222222225,5894.666666666667,428924.22222222225,80.88690609402127,0.04408864366511499,28.77936147760462,405.18338811498927,23.457710967034508,-5.159638959989222,6.942123651830467,2.368991311658042,5.354540376401218,4.741226559198086,14.11875019044706,-0.4936789655199614,0.12715847763615784,0.7190098775578251,0.7190098775578251,110.016758983099,1.5440279214579433,0.014032486002395888,3.558514797409709e-05,0.02295439583914484,-0.05500996907552287,0.998450928448585,1.1484433932278606,1.0494886880865866,229623.8732867174,229623.8732867174,1254.5118572576348,1254.5118572576348,161089.12819831897,161089.12819831897,7,1.0
2025-08-25 00:00:00+00:00,1,0,0,7673659635,98,0.1555859522734736,81.00362396240234,5692,0.0457343161106109,32.28124761581421,891328,404783,774628.0,7040.0,501692.0,80.92756652832031,0.0513417571783065,27.565287590026855,186652.0,6759.0,604210.0,80.69742584228516,0.0540052875876426,23.63457266489665,467436.28571428574,5882.285714285715,448751.0,80.80534907749721,0.04508896544575686,30.427101106870744,376557.9,5874.4,426510.1,80.89857788085938,0.04425321090966458,29.12955009142558,377.5346634378416,15.065295858140937,-15.78635892883563,-19.147727272727277,-33.00623955247348,-19.31643319008476,-15.315114216564696,-10.921794219510906,0.3794397614561129,0.09398210936617524,0.7491672926506142,0.7491672926506142,156.56560688564903,2.2019842681528914,0.014061820625321159,3.6216983421176924e-05,0.03971617562430383,-0.03364082105231843,0.9988475841503732,1.241339740088538,1.0188857377558056,282104.86246920074,282104.86246920074,1184.5001946437624,1184.5001946437624,152068.0317558559,152068.0317558559,8,1.0
