timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_Estimated Revenue,ccu_playing,platform_platform_share,session_session_length,visits_visits_gained,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-24 00:00:00+00:00,1,1,0,5617640646,96.83991241455078,5331,82,0.0006449088687077,12.646842320760092,14475,0.0008907502410823,8781.0,103.0,15897.0,96.83848571777344,0.0007369053782895,12.629309693972267,6898.0,106.0,13516.0,96.8250503540039,0.0006975081632845,11.007099529107412,5593.714285714285,88.28571428571429,11826.285714285714,96.83539254324776,0.0006690695050305143,12.174256997449058,6344.4,109.93333333333334,14619.966666666667,96.81731974283854,0.0008106223074718766,12.674267482757568,-22.716729486807775,-39.28937478647079,-22.64150943396226,-20.38834951456311,7.0952944658182915,-8.94508397810908,-7.541029244606234,-12.484168563858466,0.015349396145447614,0.0014732745630796629,0.22185672076320806,0.19380657943736465,64.2289156626506,0.36826471400939487,0.0056645482177397075,0.002371875904118547,0.0017201559884232444,0.0014005701321783614,1.0001866690841807,0.8816774298143695,0.8253776128085726,1329.5873275339059,1229.5864625824163,16.378255485467378,21.599701998796398,2165.1345122291877,2645.8119082850562,9,0.06240561896400351
2025-08-25 00:00:00+00:00,1,0,0,5617640646,96.84175872802734,4895,82,0.0006294469931162,11.025876939296722,10117,0.0008160138666503,5331.0,82.0,14475.0,96.83991241455078,0.0006449088687077,12.646842320760092,5570.0,72.0,9268.0,96.82711029052734,0.0006339362589642,14.564794699350992,5497.285714285715,89.71428571428571,11947.57142857143,96.83748517717633,0.0006684281813379428,11.668697317441303,6237.3,108.7,14372.866666666667,96.81866963704427,0.0008045184697644832,12.67628195087115,-12.118491921005381,-8.178578127930969,13.888888888888884,0.0,9.160552438498048,-30.107081174438687,-0.7081572925541568,-2.397528758207834,0.015128446419643282,0.001906562522124844,0.22668710262069938,0.194067437647554,58.975903614457835,0.48379126309547343,0.008104368452263293,0.002252017348712566,0.0012190682547451052,0.0014474972734463657,1.0001943379329896,0.8813566309598246,0.830842555465035,1351.3951622732993,1210.4568288390885,16.55178354321756,22.114357951028882,2197.54459005425,2710.044925614813,9,0.05730172666081358
2025-08-26 00:00:00+00:00,1,0,0,5617640646,96.84520721435548,4887,103,0.0007862810743972,10.936833461125692,12266,0.0008132868924823,4895.0,82.0,10117.0,96.84175872802734,0.0006294469931162,11.025876939296722,4123.0,73.0,9521.0,96.83379364013672,0.0006094435811974,10.86844269434611,5606.428571428572,94.0,12339.714285714286,96.83911568777901,0.0006936906803664858,11.678467426981245,6153.8,107.8,14240.866666666667,96.82014948527018,0.00080114531835225,12.673321680227916,18.530196458889158,-0.1634320735444339,41.095890410958916,25.609756097560975,28.83100514651822,21.241474745477905,29.01622047644834,24.9161697483949,0.011786767604271553,0.003560949711611805,0.23408009742501337,0.1973496086460206,46.99038461538461,0.3983859134262656,0.008396510964375967,0.0022374863873006736,0.0015190669468599389,0.0014955497291926922,1.0001958910682298,0.9110514757432109,0.8658737241243938,1381.1060148214967,1214.4500216858817,16.37154459809647,21.76425414804553,2026.6543045945584,2713.110096439568,9,0.057208077260755046
2025-08-27 00:00:00+00:00,1,0,0,5617640646,96.84691619873048,6941,111,0.0008091272320598,11.231856346130373,12493,0.0011526041179203,4887.0,103.0,12266.0,96.84520721435548,0.0007862810743972,10.936833461125692,5424.0,90.0,10416.0,96.8357391357422,0.000646652362775,10.778526226679483,5823.142857142857,97.0,12636.42857142857,96.84071241106305,0.0007169013759786,11.743228872617086,6183.566666666667,107.63333333333334,14110.3,96.8216766357422,0.0007980995171237167,12.713815287748973,27.968289085545717,42.02987517904646,23.33333333333334,7.7669902912621325,19.940476190476186,1.8506440567422233,25.125535548585386,2.9055967905770697,0.011542291191291021,0.0017646556026429394,0.23393090957311172,0.19773109179947462,61.973214285714285,0.555546662397951,0.008884264446934529,0.00161795683464857,0.0018724714006726538,0.0015368740603699511,1.0001966065449628,0.9417126346406642,0.8982606311581944,1379.874888818367,1222.683388214838,16.779926521469736,21.71839095667895,1990.052278567213,2699.3389631409873,9,0.08125256072578285
2025-08-28 00:00:00+00:00,1,0,0,5617640646,96.85252380371094,7145,129,0.0011098398827016,11.39938235282898,15584,0.001183763437268,6941.0,111.0,12493.0,96.84691619873048,0.0008091272320598,11.231856346130373,4669.0,84.0,10966.0,96.83659362792967,0.0007153756450861,9.998458941777548,6176.857142857143,103.42857142857143,13296.142857142857,96.84298815046039,0.0007732534099236714,11.943360788481575,6122.633333333333,107.06666666666666,14071.0,96.82331822713216,0.0008000344135021834,12.757027978367274,53.03062754337118,2.9390577726552403,53.571428571428584,16.216216216216207,42.11198249133685,24.741855439045857,55.14085366549259,37.16506362989096,0.016450574296822396,0.0057901740195376306,0.23636870316500563,0.18294822743219188,54.96153846153846,0.4584536413217838,0.008277189605389798,0.0015952116362760956,0.002549580165317628,0.0016089875387808607,1.0002031527496515,1.008856288882857,0.966525185508862,1400.0455958039233,1120.1249155505857,18.22267636945582,20.888758457244055,2182.9512788232964,2667.7843964996355,9,0.0836406204272754
2025-08-29 00:00:00+00:00,1,0,0,5617640646,96.85652923583984,9830,364,0.0015988070517778,12.407575170199076,19043,0.0016241019667397,7145.0,129.0,15584.0,96.85252380371094,0.0011098398827016,11.39938235282898,5258.0,114.0,12241.0,96.83611297607422,0.0006962644401937,13.733424405256908,6830.0,139.14285714285714,14267.857142857143,96.84590475899833,0.0009021880687213999,11.753953754901886,6214.366666666667,114.53333333333333,14115.266666666666,96.82506256103515,0.0008168114989529733,12.796341061592102,86.95321414986688,37.57872638208537,219.2982456140351,182.17054263565893,55.56735560820194,22.19584188911705,129.62641196109536,44.057451592561605,0.021083311936198612,0.004135599126997569,0.27245686566123667,0.20909684525724473,26.931506849315067,0.516173072883848,0.0191136315900021,0.0012620867836638263,0.0030182429722423257,0.0016913968808665693,1.0002152562302766,1.0990661424333936,1.1045242015787808,1709.5306035914296,1299.4044652717798,73.58948354155015,51.16284571453412,2803.10507579292,2740.3649131951915,9,0.11507170032191981
2025-08-30 00:00:00+00:00,1,1,0,5617640646,96.51026153564452,135827,3281,0.0214091744273901,17.018158713976543,162475,0.022219465891861,9830.0,364.0,19043.0,96.85652923583984,0.0015988070517778,12.407575170199076,8781.0,103.0,15897.0,96.83848571777344,0.0007369053782895,12.629309693972267,24979.428571428572,593.1428571428571,35207.57142857143,96.79901559012276,0.003855369361450057,12.380932186331068,10508.966666666667,218.96666666666667,18865.333333333332,96.81529261271159,0.0014918422539873133,12.971653359466128,1446.828379455643,1281.7599186164803,3085.4368932038833,801.3736263736265,922.0481851921747,753.2006511579058,2805.281337080879,1239.0718037917134,-0.3389398127160881,-0.35750579019013795,2.253459750656439,2.255596440136454,41.38543570993297,0.835981929638839,0.02019375169255767,0.00012529197745661088,-0.03400339399065441,-0.0004892504122395285,0.9998318755007648,2.376963346040547,2.58430095483999,34699.89997048318,23703.987802845993,848.9533569035476,580.5500651631344,40110.38503298749,27239.15907777565,10,1.0
2025-08-31 00:00:00+00:00,1,1,0,5617640646,95.53144073486328,412622,6119,0.0463184677064418,20.52749812602997,557035,0.0638332851925341,135827.0,3281.0,162475.0,96.51026153564452,0.0214091744273901,17.018158713976543,5331.0,82.0,14475.0,96.83991241455078,0.0006449088687077,12.646842320760092,83163.85714285714,1455.5714285714287,112716.14285714286,96.61209106445312,0.010380163481126357,13.50674015851248,24019.533333333333,418.3666666666667,36843.63333333333,96.77300211588542,0.00300577370023039,13.223086992899576,7640.0487713374605,203.78496175281794,7362.195121951219,86.49801889667785,3748.2556131260794,242.84351438682873,7082.172544666198,116.34868669752944,-1.3511698297352992,-1.0142142246912567,2.512384627855513,3.2109595322673714,67.4218954248366,0.7407456609626667,0.010984927365556266,4.974879763374792e-05,-0.16397258213587765,-0.00887655867087446,0.998337231997416,3.4623427519903447,3.45340817917554,111496.57903146527,77125.74951728054,1756.3002837821289,1223.1245596854587,147916.29993925546,101954.31752488155,11,1.0
2025-09-01 00:00:00+00:00,0,0,1,5617640646,94.79136657714844,415428,4889,0.0400598235428333,17.53939179579417,567096,0.0587548227297294,412622.0,6119.0,557035.0,95.53144073486328,0.0463184677064418,20.52749812602997,4895.0,82.0,10117.0,96.84175872802734,0.0006294469931162,11.025876939296722,141811.42857142858,2142.285714285714,192284.57142857142,96.31917790004185,0.01601307441680023,14.437242280869258,37640.36666666667,577.0666666666667,55173.333333333336,96.70590540568034,0.0043121991135800335,13.433733501036961,8386.782431052094,0.6800412968770431,5862.195121951219,-20.101323745710086,5505.377088069586,1.8061701688403708,6264.288650345176,-13.512200367409976,-2.117260340797067,-0.7746917161741917,2.0130160731399234,2.790066208619206,84.95460122699386,0.7325519267426913,0.008621100093987448,4.221995045072484e-05,-0.32624053955078264,-0.021445678099904646,0.9960009938998433,3.767535790160437,3.7134357656100914,148267.40478535974,105019.11511670341,2055.0624920312875,1468.4222810221515,198889.6407978224,140460.86243096535,12,1.0
2025-09-02 00:00:00+00:00,0,0,0,5617640646,94.30913543701172,396545,4271,0.0372097566723823,17.099430958429974,436096,0.0524050542751131,415428.0,4889.0,567096.0,94.79136657714844,0.0400598235428333,17.53939179579417,4887.0,103.0,12266.0,96.84520721435548,0.0007862810743972,10.936833461125692,197762.57142857142,2737.714285714286,252831.7142857143,95.95688193184989,0.02121642807365524,15.317613351912728,50644.6,715.0333333333333,69102.73333333334,96.62257232666016,0.00552387156252123,13.578047816620934,8014.282791078371,-4.545432662218241,4046.6019417475727,-12.640621804049912,3455.3236588945056,-23.100145301677323,4632.373432860386,-7.1145267712016125,-2.618685890908845,-0.508728967151495,1.668510519265798,2.4393629049008028,92.8242041198502,0.9093045813202109,0.009793692687636007,4.312092659724212e-05,-0.4664551871163527,-0.03619683152178454,0.9931104049625205,3.9049093373937485,3.84086194501806,169661.65789628305,123540.5585735392,2192.8211494343523,1612.5335705317748,215587.4474280158,156476.68136287984,12,0.9545456733778176
