timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,session_session_length,daily_Estimated Revenue,ccu_playing,platform_platform_share,visits_visits_gained,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-06-20 00:00:00+00:00,1,0,1,102815652,0.0,0.0,0.0,481,0.0106865093111991,18212,91.33438110351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,18212.0,91.33438110351562,0.0106865093111991,0.0,0.0,481.0,18212.0,91.33438110351562,0.0106865093111991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026409707351891507,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-06-21 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,416,0.0097490893676877,18711,91.321533203125,0.0,0.0,481.0,18212.0,91.33438110351562,0.0106865093111991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.5,18461.5,91.32795715332031,0.0102177993394434,0.0,0.0,448.5,18461.5,91.32795715332031,0.0102177993394434,0.0,0.0,0.0,0.0,-13.513513513513509,0.0,2.7399516802108392,0.0,-8.771993886993712,0.0,-0.014066882848928763,0.0,0.0,0.0,0.0,0.022231722958529286,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,45.96194077712559,45.96194077712559,352.8462838120872,352.8462838120872,0,0.0
2022-06-22 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,482,0.0115588475018739,20675,91.3244400024414,0.0,0.0,416.0,18711.0,91.321533203125,0.0097490893676877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.6666666666667,19199.333333333332,91.32678476969402,0.0106648153935869,0.0,0.0,459.6666666666667,19199.333333333332,91.32678476969402,0.0106648153935869,0.0,0.0,0.0,0.0,15.865384615384626,0.0,10.49649938538828,0.0,18.56335567283287,0.0,0.003183038232545954,0.0,0.0,0.0,0.0,0.023312052621396788,0.0,-0.004970550537110256,0.0,1.0,0.0,1.0,0.0,0.0,37.819747927945436,37.819747927945436,1302.0922906358576,1302.0922906358576,0,0.0
2022-06-23 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,490,0.0115927765145897,19578,91.2979736328125,0.0,0.0,482.0,20675.0,91.3244400024414,0.0115588475018739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.25,19294.0,91.31958198547363,0.0108968056738376,0.0,0.0,467.25,19294.0,91.31958198547363,0.0108968056738376,0.0,0.0,0.0,0.0,1.6597510373443924,0.0,-5.305925030229741,0.0,0.2935328345693433,0.0,-0.028980598871675145,0.0,0.0,0.0,0.0,0.025026814444047193,0.0,-0.010631561279301356,0.0,1.0,0.0,1.0,0.0,0.0,34.403245970886715,34.403245970886715,1079.8811663017993,1079.8811663017993,0,0.0
2022-06-24 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,420,0.0091890050098299,20464,91.28131866455078,0.0,0.0,490.0,19578.0,91.2979736328125,0.0115927765145897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.8,19528.0,91.31192932128906,0.01055524554103606,0.0,0.0,457.8,19528.0,91.31192932128906,0.01055524554103606,0.0,0.0,0.0,0.0,-14.28571428571429,0.0,4.525487792420058,0.0,-20.735080174577803,0.0,-0.01824242926650177,0.0,0.0,0.0,0.0,0.02052284387979477,0.0,-0.012968444824218325,-0.012968444824218325,1.0,0.0,1.0,0.0,0.0,36.526702561277,36.526702561277,1071.628433739979,1071.628433739979,0,0.0
2022-06-25 00:00:00+00:00,1,1,0,102815652,0.0,0.0,0.0,440,0.008912120014429,22222,91.27735137939452,0.0,0.0,420.0,20464.0,91.28131866455078,0.0091890050098299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.8333333333333,19977.0,91.30616633097331,0.01028139128660155,0.0,0.0,454.8333333333333,19977.0,91.30616633097331,0.01028139128660155,0.0,0.0,0.0,0.0,4.761904761904767,0.0,8.590695856137609,0.0,-3.0132206381942583,0.0,-0.004346218058970397,0.0,0.0,0.0,0.0,0.01979930702425415,0.0,-0.01235024588448046,-0.01235024588448046,1.0,0.0,1.0,0.0,0.0,33.46889102833654,33.46889102833654,1458.874908962383,1458.874908962383,0,0.0
2022-06-26 00:00:00+00:00,1,1,0,102815652,0.0,0.0,0.0,602,0.0121797528117895,29106,91.25057220458984,0.0,0.0,440.0,22222.0,91.27735137939452,0.008912120014429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.85714285714283,21281.14285714286,91.29822431291852,0.010552585790199829,0.0,0.0,475.85714285714283,21281.14285714286,91.29822431291852,0.010552585790199829,0.0,0.0,0.0,0.0,36.81818181818181,0.0,30.978309783097835,0.0,36.6650448161616,0.0,-0.02933824700210863,0.0,0.0,0.0,0.0,0.02068231009722747,0.0,-0.013675417218886961,-0.013675417218886961,1.0,0.0,1.0,0.0,0.0,63.46239981655428,63.46239981655428,3698.529006175808,3698.529006175808,0,0.0
2022-06-27 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,690,0.0151863666251301,27733,91.23616027832033,0.0,0.0,602.0,29106.0,91.25057220458984,0.0121797528117895,0.0,0.0,481.0,18212.0,91.33438110351562,0.0106865093111991,0.0,0.0,505.7142857142857,22641.285714285714,91.28419276646206,0.011195422549332828,0.0,0.0,502.625,22087.625,91.29046630859375,0.011131808394566112,0.0,0.0,0.0,43.45114345114345,14.617940199335555,52.27871732923348,-4.7172404315261485,42.10783131228175,24.68534345319653,-0.10753981579398886,-0.015793792763518777,0.0,0.0,0.0,0.0,0.024879209634383788,0.0,-0.015159879411967322,-0.01428894769576898,0.9999312793286597,0.0,1.005714628972393,0.0,0.0,95.83458591313918,95.83458591313918,4114.397263182751,4114.397263182751,0,0.0
2022-06-28 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,627,0.0139951175078749,31039,91.2480239868164,0.0,0.0,690.0,27733.0,91.23616027832033,0.0151863666251301,0.0,0.0,416.0,18711.0,91.321533203125,0.0097490893676877,0.0,0.0,535.8571428571429,24402.428571428572,91.27369144984654,0.011801997997930998,0.0,0.0,516.4444444444445,23082.222222222223,91.28575049506293,0.011449953851600421,0.0,0.0,0.0,50.721153846153854,-9.130434782608699,65.88637699748811,11.920816355965824,43.553074344155654,-7.844200964330373,-0.08049494322996953,0.013003296565616829,0.0,0.0,0.0,0.0,0.020199742268041238,0.0,-0.013700757707864306,-0.012831751505535841,0.9998678978356316,0.0,1.0307463375742227,0.0,0.0,98.76754415180007,98.76754415180007,4869.830022130592,4869.830022130592,0,0.0
2022-06-29 00:00:00+00:00,1,0,0,102815652,0.0,0.0,0.0,652,0.0143250897526741,31010,91.23268127441406,0.0,0.0,627.0,31039.0,91.2480239868164,0.0139951175078749,0.0,0.0,482.0,20675.0,91.3244400024414,0.0115588475018739,0.0,0.0,560.1428571428571,25878.85714285714,91.26058306012835,0.012197175462331027,0.0,0.0,530.0,23875.0,91.28044357299805,0.01173746744170779,0.0,0.0,0.0,35.269709543568474,3.987240829346095,49.987908101571946,-0.09343084506588939,23.931817167340785,2.357766875580203,-0.10047554414227555,-0.01681429551236846,0.0,0.0,0.0,0.0,0.021024797652445908,0.0,-0.01084491184778943,-0.012226867675778567,0.9997824231336714,0.0,1.0391658611967447,0.0,0.0,102.5117879400543,102.5117879400543,5231.174183042783,5231.174183042783,0,0.0
