timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,sort_sort_position,ratings_like_ratio,daily_rpv,visits_visits_gained,session_session_length,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-22 00:00:00+00:00,1,0,0,8238748429,6422,0.044461291283369,448.0,97.37989044189452,0.0266569494345082,199671,13.96968059539795,148537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148537.0,6422.0,199671.0,97.37989044189452,0.044461291283369,13.96968059539795,148537.0,6422.0,199671.0,97.37989044189452,0.044461291283369,13.96968059539795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12579791374747,0.7439050042068993,0.03216274690492407,9.404785708302219e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-23 00:00:00+00:00,1,1,0,8238748429,5575,0.0365338400006294,427.0,97.32955932617188,0.024333241103463,927851,19.6312881509463,148721,148537.0,6422.0,199671.0,97.37989044189452,0.044461291283369,13.96968059539795,0.0,0.0,0.0,0.0,0.0,0.0,148629.0,5998.5,563761.0,97.3547248840332,0.0404975656419992,16.800484373172125,148629.0,5998.5,563761.0,97.3547248840332,0.0404975656419992,16.800484373172125,0.0,0.12387485946263599,0.0,-13.18903768296481,0.0,364.689914910027,0.0,-17.83000685296091,0.0,-0.05168532794014302,0.0008753853402655252,0.0008753853402655252,26.671628407460545,0.1602852610114544,0.006008501355819678,0.00013199989343167992,0.0,0.0,1.0,1.0,1.0,130.10764773832474,130.10764773832474,598.9194436650057,598.9194436650057,514901.01592442015,514901.01592442015,2,1.0
2025-08-24 00:00:00+00:00,1,1,0,8238748429,6523,0.0455096922814846,377.0,97.38536834716795,0.0226437316942545,1014742,14.267297903696695,160395,148721.0,5575.0,927851.0,97.32955932617188,0.0365338400006294,19.6312881509463,0.0,0.0,0.0,0.0,0.0,0.0,152551.0,6173.333333333333,714088.0,97.3649393717448,0.04216827452182766,15.95608888334698,152551.0,6173.333333333333,714088.0,97.3649393717448,0.04216827452182766,15.95608888334698,0.0,7.849597568601618,0.0,17.00448430493273,0.0,9.364757919105537,0.0,24.56859799216442,0.0,0.05734025858377123,0.04453413103492899,0.04453413103492899,24.58537706928265,0.15806465282342425,0.00642822862537608,8.895045951081508e-05,0.002738952636710003,0.0,1.0,1.0,1.0,6793.726223509452,6793.726223509452,520.6268657429555,520.6268657429555,447611.6049512121,447611.6049512121,3,1.0
2025-08-25 00:00:00+00:00,1,0,0,8238748429,5270,0.0414236895740032,333.0,97.38301849365234,0.0214712784815965,805874,12.11553716659546,171129,160395.0,6523.0,1014742.0,97.38536834716795,0.0455096922814846,14.267297903696695,0.0,0.0,0.0,0.0,0.0,0.0,157195.5,5947.5,737034.5,97.36945915222168,0.04198212828487155,14.995950954159103,157195.5,5947.5,737034.5,97.36945915222168,0.04198212828487155,14.995950954159103,0.0,6.692228560740676,0.0,-19.208952935765755,0.0,-20.583360105327266,0.0,-8.978313195810749,0.0,-0.0024129430893915504,0.06882646914995683,0.06882646914995683,32.46613545816733,0.21235179153094463,0.006539475725143478,7.079727205396751e-05,0.006519317626942251,0.0,1.0,1.0,1.0,10819.21123126204,10819.21123126204,620.2453815493778,620.2453815493778,368343.4991603173,368343.4991603173,4,1.0
2025-08-26 00:00:00+00:00,1,0,0,8238748429,3973,0.0329780280590057,300.0,97.33000946044922,0.0210269131491535,662813,12.301572998364769,183501,171129.0,5270.0,805874.0,97.38301849365234,0.0414236895740032,12.11553716659546,0.0,0.0,0.0,0.0,0.0,0.0,162456.6,5552.6,722190.2,97.36156921386718,0.04018130823969838,14.457075363000234,162456.6,5552.6,722190.2,97.36156921386718,0.04018130823969838,14.457075363000234,0.0,7.229633785039358,0.0,-24.61100569259962,0.0,-17.752278892233775,0.0,-20.388482054234615,0.0,-0.05443354911676135,0.0925756586551326,0.0925756586551326,46.175390035228986,0.2768514243815007,0.005994140135845048,6.703781429284023e-05,-0.004630279541011451,-0.004630279541011451,1.0,1.0,1.0,15039.526747873417,15039.526747873417,1033.5658179332365,1033.5658179332365,320717.11248809285,320717.11248809285,5,1.0
2025-08-27 00:00:00+00:00,1,0,0,8238748429,3878,0.0315432772040367,285.0,97.3050308227539,0.0203036527921391,570443,13.414586385091146,189787,183501.0,3973.0,662813.0,97.33000946044922,0.0329780280590057,12.301572998364769,0.0,0.0,0.0,0.0,0.0,0.0,167011.66666666666,5273.5,696899.0,97.35214614868164,0.038741636400421435,14.283327200015387,167011.66666666666,5273.5,696899.0,97.35214614868164,0.038741636400421435,14.283327200015387,0.0,3.4255944109296443,0.0,-2.391140196325192,0.0,-13.936057379683264,0.0,-4.350626582043915,0.0,-0.02566386033843182,0.10464472572579438,0.10464472572579438,48.92678525393143,0.3327004929493517,0.006798213321553036,7.068195241580683e-05,-0.010722787039613784,-0.010722787039613784,1.0,1.0,1.0,17476.890051341128,17476.890051341128,1149.7771523212664,1149.7771523212664,293471.3644954138,293471.3644954138,6,1.0
2025-08-28 00:00:00+00:00,1,0,0,8238748429,3019,0.0244663693010807,280.0,97.26971435546876,0.0194568126443686,518027,12.6513010263443,193166,189787.0,3878.0,570443.0,97.3050308227539,0.0315432772040367,13.414586385091146,0.0,0.0,0.0,0.0,0.0,0.0,170748.0,4951.428571428572,671345.8571428572,97.34037017822266,0.036702312529087046,14.050180603776662,170748.0,4951.428571428572,671345.8571428572,97.34037017822266,0.036702312529087046,14.050180603776662,0.0,1.78041699378777,0.0,-22.15059308922125,0.0,-9.188648120846432,0.0,-22.43555055227534,0.0,-0.03629459544539637,0.10991921099401356,0.10991921099401356,63.96225165562914,0.37288717984356057,0.00582787030816867,6.54941114493899e-05,-0.015533719743995502,-0.015533719743995502,1.0,1.0,1.0,18768.485438805827,18768.485438805827,1351.9490692013092,1351.9490692013092,276300.4582903839,276300.4582903839,7,1.0
2025-08-29 00:00:00+00:00,1,0,0,8238748429,2991,0.0213715154677629,280.0,97.2376937866211,0.0186341692565544,496497,11.797147552172342,194331,193166.0,3019.0,518027.0,97.26971435546876,0.0244663693010807,12.6513010263443,148537.0,6422.0,199671.0,97.37989044189452,0.044461291283369,13.96968059539795,177290.0,4461.285714285715,713749.5714285715,97.32005637032645,0.0334037731268576,13.739818740458716,173695.875,4706.375,649489.75,97.32753562927246,0.034785962896421524,13.76855147232612,30.830028881692773,0.6031082074485106,-53.42572407349735,-0.9274594236502121,148.65754165602416,-4.156154022859814,-51.932310441561484,-12.649420088582985,-0.1460226075713944,-0.03291936144754759,0.1109590466172903,0.1109590466172903,64.95020053475936,0.3914033893389299,0.006024193450930316,6.070615005337434e-05,-0.020889009748183147,-0.018912179129461526,0.9999231537211165,1.020692057309939,0.9602658758166469,19273.12869135603,19273.12869135603,1430.757435516487,1430.757435516487,263168.13392568746,263168.13392568746,8,1.0
2025-08-30 00:00:00+00:00,1,1,0,8238748429,2770,0.0185259971767663,288.0,97.21244049072266,0.0146873476590783,486291,10.117341915766398,160853,194331.0,2991.0,496497.0,97.2376937866211,0.0213715154677629,11.797147552172342,148721.0,5575.0,927851.0,97.32955932617188,0.0365338400006294,19.6312881509463,179023.14285714287,4060.5714285714284,650669.5714285715,97.30332510811942,0.030831224152020015,12.380683564004444,172268.88888888888,4491.222222222223,631356.5555555555,97.31474728054471,0.032979300038682054,13.362861521597262,8.157556767369778,-17.227308046580315,-50.31390134529148,-7.388833166165165,-47.589537544282436,-2.0556015444202047,-49.2908569795917,-13.31453679683512,-0.12033223643469482,-0.02597068576497552,0.1075624451457298,0.1075624451457298,58.04871887405269,0.3307745140779614,0.005696166089510006,6.289767065641139e-05,-0.031061717442098423,-0.020911534627279113,0.9998826265006643,1.039207624846355,0.9348659345667579,18529.66291142693,18529.66291142693,1485.8667317240954,1485.8667317240954,252110.28944001428,252110.28944001428,8,0.8277269195341969
2025-08-31 00:00:00+00:00,1,1,0,8238748429,3093,0.0234433095902204,303.0,97.2008056640625,0.0163504315087009,555310,13.989566922187803,187663,160853.0,2770.0,486291.0,97.21244049072266,0.0185259971767663,10.117341915766398,160395.0,6523.0,1014742.0,97.38536834716795,0.0455096922814846,14.267297903696695,182918.57142857142,3570.5714285714284,585036.4285714285,97.27695901053292,0.0276788837675537,12.341007709503174,173808.3,4351.4,623751.9,97.30335311889648,0.032025700993835886,13.425532061656316,17.00052994170642,16.667391966578183,-52.58316725433083,11.660649819494594,-45.27574496768637,14.192942086117167,-48.487215766655055,26.542767801028113,-0.18951787751884108,-0.011968454450295152,0.10434198183206142,0.10434198183206142,60.65384615384615,0.3379421621397739,0.005569851848783835,7.454582084037324e-05,-0.030325480869839147,-0.021423386082500006,0.9997287441026692,1.052415629337445,0.8642709732686621,18135.50248086148,18135.50248086148,1469.0103395748372,1469.0103395748372,238905.27064622173,238905.27064622173,8,0.9656874096258445
