timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,platform_platform_share,daily_rpv,session_session_length,visits_visits_gained,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-29 00:00:00+00:00,1,0,0,8266226994,15354,92.41497039794922,0.1024721041321754,0.0310324292992025,15.495294173558554,552522,432512,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432512.0,15354.0,552522.0,92.41497039794922,0.1024721041321754,15.495294173558554,432512.0,15354.0,552522.0,92.41497039794922,0.1024721041321754,15.495294173558554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.167502442201236,0.7827945623983074,0.02778888842636415,3.582619290878784e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-30 00:00:00+00:00,1,1,0,8266226994,10410,92.40906524658205,0.0690396353602409,0.0265770720266176,11.25724478562673,2080228,405133,483,432512.0,15354.0,552522.0,92.41497039794922,0.1024721041321754,15.495294173558554,0.0,0.0,0.0,0.0,0.0,0.0,418822.5,12882.0,1316375.0,92.41201782226562,0.08575586974620815,13.376269479592642,418822.5,12882.0,1316375.0,92.41201782226562,0.08575586974620815,13.376269479592642,0.0,-6.330228987866238,0.0,-32.200078155529496,0.0,276.49686347330965,0.0,-32.625922005867146,0.0,-0.006389821196439716,0.0462245379894979,0.0462245379894979,38.91393718182692,0.19475403909858002,0.005004256742887442,2.7786472588394777e-05,0.0,0.0,1.0,1.0,1.0,19359.876562106485,19359.876562106485,3495.935926186291,3495.935926186291,1080251.2722593758,1080251.2722593758,1,0.9366977101213376
2025-08-31 00:00:00+00:00,1,1,0,8266226994,11213,92.42388153076172,0.0868628099560737,0.0085367273614769,12.784580926100412,2145711,149463,399,405133.0,10410.0,2080228.0,92.40906524658205,0.0690396353602409,11.25724478562673,0.0,0.0,0.0,0.0,0.0,0.0,329036.0,12325.666666666666,1592820.3333333333,92.41597239176433,0.08612484981616335,13.1790399617619,329036.0,12325.666666666666,1592820.3333333333,92.41597239176433,0.08612484981616335,13.1790399617619,0.0,-63.10767081427581,0.0,7.713736791546588,0.0,3.1478760981969334,0.0,25.815858532325,0.0,0.0160333665751633,0.4744652255776563,0.4744652255776563,13.328250401284109,0.06965659883525842,0.005225771212539241,8.553618882206024e-05,0.004455566406246215,0.0,1.0,1.0,1.0,156116.13996316973,156116.13996316973,2653.168734425561,2653.168734425561,901519.5353259592,901519.5353259592,1,0.3455696026931045
2025-09-01 00:00:00+00:00,0,0,1,8266226994,12261,92.41536712646484,0.0977181643247604,0.0088644187730058,11.041581511497498,2124983,173358,322,149463.0,11213.0,2145711.0,92.42388153076172,0.0868628099560737,12.784580926100412,0.0,0.0,0.0,0.0,0.0,0.0,290116.5,12309.5,1725861.0,92.41582107543945,0.0890231784433126,12.644675349195799,290116.5,12309.5,1725861.0,92.41582107543945,0.0890231784433126,12.644675349195799,0.0,15.987234298789677,0.0,9.346294479621875,0.0,-0.9660201210694219,0.0,12.497125494991712,0.0,-0.009212342260311868,0.5148122758886238,0.5148122758886238,14.137824172239439,0.08158084954992602,0.005769925797088355,6.369200048164501e-05,0.0016006469726359861,0.0,1.0,1.0,1.0,149355.5356378419,149355.5356378419,2166.54448373441,2166.54448373441,782703.1734090942,782703.1734090942,1,0.4008166247410476
2025-09-02 00:00:00+00:00,0,0,0,8266226994,13075,92.31226348876952,0.1135005876421928,0.0088726453539633,10.36302638053894,1961339,191644,264,173358.0,12261.0,2124983.0,92.41536712646484,0.0977181643247604,11.041581511497498,0.0,0.0,0.0,0.0,0.0,0.0,270422.0,12462.6,1772956.6,92.39510955810547,0.09391866028308864,12.188345555464426,270422.0,12462.6,1772956.6,92.39510955810547,0.09391866028308864,12.188345555464426,0.0,10.548114306810174,0.0,6.638936465214917,0.0,-7.700955725292857,0.0,16.150961723943634,0.0,-0.11156546892708841,0.5052732923980996,0.5052732923980996,14.656163964515143,0.09771074877379751,0.006666360753362497,5.407407644623622e-05,-0.019911193847660973,-0.019911193847660973,1.0,1.0,1.0,136637.01427687888,136637.01427687888,1907.2583202073074,1907.2583202073074,685972.4272485739,685972.4272485739,1,0.4430952204794318
2025-09-03 00:00:00+00:00,0,0,0,8266226994,11674,92.24169921875,0.1056949272751808,0.0086484600273223,10.05881683031718,1701169,203077,242,191644.0,13075.0,1961339.0,92.31226348876952,0.1135005876421928,10.36302638053894,0.0,0.0,0.0,0.0,0.0,0.0,259197.83333333334,12331.166666666666,1760992.0,92.36954116821289,0.09588137144843734,11.833424101273218,259197.83333333334,12331.166666666666,1760992.0,92.36954116821289,0.09588137144843734,11.833424101273218,0.0,5.965748992924391,0.0,-10.715105162523898,0.0,-13.264917487491967,0.0,-6.8771981970869644,0.0,-0.07644084041781296,0.48328427988820855,0.48328427988820855,17.394175588865096,0.11937490080356461,0.006862335921747974,4.953178990494874e-05,-0.03329358782086942,-0.03329358782086942,1.0,1.0,1.0,125266.2382310839,125266.2382310839,1736.0172138163455,1736.0172138163455,614251.9407174877,614251.9407174877,1,0.46952916913287956
2025-09-04 00:00:00+00:00,0,0,0,8266226994,12203,92.19662475585938,0.1061044335365295,0.0084540104239367,11.627620279788973,1866967,212526,226,203077.0,11674.0,1701169.0,92.24169921875,0.1056949272751808,10.05881683031718,0.0,0.0,0.0,0.0,0.0,0.0,252530.42857142858,12312.857142857143,1776131.2857142857,92.34483882359096,0.09734180888959336,11.804023555346898,252530.42857142858,12312.857142857143,1776131.2857142857,92.34483882359096,0.09734180888959336,11.804023555346898,0.0,4.6529149041989015,0.0,4.531437382216885,0.0,9.74612163753279,0.0,0.38744173623634914,0.0,-0.04886560337936663,0.45818055496743454,0.45818055496743454,17.414454277286136,0.11383483809042255,0.006536266288442009,5.47112615328357e-05,-0.03933525085448763,-0.03933525085448763,1.0,1.0,1.0,115704.53190902123,115704.53190902123,1585.4998610923337,1585.4998610923337,562161.5349401257,562161.5349401257,1,0.49137596182302457
2025-09-05 00:00:00+00:00,0,0,0,8266226994,12491,92.1098403930664,0.0922209024429321,0.0081017264633008,54.192566553751625,1946520,221045,219,212526.0,12203.0,1866967.0,92.19662475585938,0.1061044335365295,11.627620279788973,432512.0,15354.0,552522.0,92.41497039794922,0.1024721041321754,15.495294173558554,222320.85714285713,11903.857142857143,1975273.857142857,92.30124882289341,0.09587735150541574,17.33220532394591,248594.75,12335.125,1797429.875,92.31546401977539,0.0967016955837607,17.10259143014749,-48.89274748446286,4.0084507307341255,-18.646606747427384,2.3600753912972117,252.2972840900453,4.261082279440398,-10.003894987869689,-13.084779429897807,-0.3301737841487018,-0.09412965281839769,0.43322886000046396,0.43322886000046396,17.694924751841178,0.11355901117943243,0.006417089771957251,0.00024516420362165174,-0.054494857788093445,-0.04580670311337521,0.9998460149983222,0.8943103470320959,0.9914753916839966,107698.42014460034,107698.42014460034,1469.238231922535,1469.238231922535,523935.2226739587,523935.2226739587,1,0.5110725251553714
2025-09-06 00:00:00+00:00,0,1,0,8266226994,10540,92.08599853515624,0.0707867667078971,0.0098082429804637,8.951784315563383,2250473,287878,212,221045.0,12491.0,1946520.0,92.1098403930664,0.0922209024429321,54.192566553751625,405133.0,10410.0,2080228.0,92.40906524658205,0.0690396353602409,11.25724478562673,205570.14285714287,11922.42857142857,1999594.5714285714,92.25509643554688,0.09612694169793808,17.002853828222573,252959.55555555556,12135.666666666666,1847768.0,92.2899678548177,0.09382225904199808,16.1969461951937,-28.94234732791454,30.235020018548255,1.2487992315081575,-15.61924585701705,8.18395868145223,15.615200460308643,2.530620763768354,-23.242166544942254,-0.34960499877770834,-0.025884159399724993,0.40160602614444896,0.40160602614444896,27.310312114600134,0.12791882954435377,0.0046834577960020865,3.109564892042623e-05,-0.0621550423758315,-0.04736239115397305,0.9996221537391183,0.8126601203329323,1.0245643483697013,101590.08188193264,101590.08188193264,1498.959972781128,1498.959972781128,512835.201912125,512835.201912125,1,0.6655954054453981
2025-09-07 00:00:00+00:00,0,1,0,8266226994,8045,91.99280548095705,0.0660468190908432,0.0125766235437517,15.661288883375084,2034262,397464,201,287878.0,10540.0,2250473.0,92.08599853515624,0.0707867667078971,8.951784315563383,149463.0,11213.0,2145711.0,92.42388153076172,0.0868628099560737,12.784580926100412,240998.85714285713,11469.857142857143,1983673.2857142857,92.19351414271763,0.09315322871719085,17.41381210783324,267410.0,11726.6,1866417.4,92.26025161743163,0.09104471504688258,16.143380464011837,165.92802231990524,38.0668199723494,-28.252920717024878,-23.671726755218213,-5.1940359163000105,-9.60735809760881,-23.964215382575226,-6.696092839800672,-0.4664119734694272,-0.1012021975996813,0.39685289990261113,0.39685289990261113,49.39895600298285,0.19538476588327075,0.003954749213843048,3.940293833010475e-05,-0.06614548819405537,-0.050654232140741766,0.9992766389258211,0.9012335258324563,1.0231591001105613,106122.43396295725,106122.43396295725,1915.8765443872767,1915.8765443872767,487089.03651002725,487089.03651002725,1,0.9189664101805268
