timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,ccu_playing,daily_rpv,ratings_like_ratio,visits_visits_gained,platform_platform_share,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-12-06 00:00:00+00:00,0,0,0,4839802560,284325.0,8727,0.0049806364248313,96.08174896240234,439485,0.2006007730960846,0.0,0.0,294895.0,9147.0,448661.0,96.06871032714844,0.2142255455255508,0.0,302698.0,10581.0,547751.0,95.75304412841795,0.2694131731986999,0.0,375600.5714285714,13188.42857142857,635055.2857142857,95.96486336844308,0.24532877973147799,0.0,395465.63636363635,17448.733333333334,806478.0333333333,94.87906595865886,0.32614187250534693,0.0,-6.069746083555227,-3.584326624730838,-17.52197334845478,-4.5916693998032105,-19.765550405202358,-2.045196707536423,-25.541587029920098,-6.360012946187665,0.3432839519373898,0.013572197658850982,0.35821847418589736,0.35821847418589736,32.576191567369385,0.6469489358022781,0.019857287831694298,0.0,0.049928120204384155,0.11568723684953958,1.0114440145337995,0.94976791127106,0.7522149114031838,141663.09685113674,141663.09685113674,6867.632381903308,7406.360718926039,303830.96495501354,336190.69043609075,1,0.40353999633822846
2023-12-07 00:00:00+00:00,0,0,0,4839802560,257577.0,8226,0.0044636544369268,96.08165740966795,390621,0.1825939565896988,0.0,0.0,284325.0,8727.0,439485.0,96.08174896240234,0.2006007730960846,0.0,277551.0,9131.0,491331.0,95.80364990234376,0.2207502275705337,0.0,372747.14285714284,13059.142857142857,620668.1428571428,96.00457872663226,0.23987788387707298,0.0,383974.9166666667,17421.0,805551.5,95.00477701822916,0.32485750168561933,0.0,-7.196515235037881,-9.40754418359272,-9.911291205782502,-5.740804400137501,-20.497383637507095,-11.118468207106048,-17.284816147536375,-8.976444222256719,0.2901846720950285,-9.528629045796322e-05,0.3667260358465272,0.3667260358465272,31.308739516227057,0.6594021842087747,0.021058721730982895,0.0,0.03941127232142711,0.10573044077838216,1.0105236993315743,0.9707590956539726,0.7384095569053987,140813.5990536673,140813.5990536673,7130.804620305262,7440.343253112587,317767.8308234173,337333.41648273414,1,0.36557679288424116
2023-12-08 00:00:00+00:00,0,0,0,4839802560,249880.0,8033,0.0042872146716586,96.10194396972656,397757,0.1520514041185379,0.0,0.0,257577.0,8226.0,390621.0,96.08165740966795,0.1825939565896988,0.0,348217.0,12154.0,659053.0,95.8502426147461,0.244067445397377,0.0,358699.0,12470.42857142857,583340.1428571428,96.04053606305804,0.2267327351229531,0.0,373659.92307692306,17439.433333333334,806068.5333333333,95.12615051269532,0.32321707904338837,0.0,-28.240149102427516,-2.988232644995481,-33.90653282869837,-2.346219304643815,-39.6471907418675,1.8268347067873947,-37.70107116458063,-16.727033600455965,0.2625985580361423,0.021113873975031616,0.37428288806015686,0.37428288806015686,31.102813044560616,0.6282211797122874,0.020195696881018105,0.0,0.027795246669229876,0.09526384839491973,1.009612346819823,0.9599611246672468,0.7014874826355222,139854.51516156681,139854.51516156681,7170.908663129439,7415.50889589228,327601.7099008432,336673.4819805061,1,0.3546525078167468
2023-12-09 00:00:00+00:00,0,1,0,4839802560,443603.0,20885,0.007518229334285,96.17831420898438,768029,0.2949767410755157,0.0,0.0,249880.0,8033.0,397757.0,96.10194396972656,0.1520514041185379,0.0,558818.0,21711.0,1071170.0,95.91566467285156,0.3153261840343475,0.0,342239.71428571426,12352.42857142857,540034.2857142857,96.07805742536273,0.22382567184312002,0.0,378655.85714285716,17670.733333333334,813363.4666666667,95.24514592488607,0.32094159324963883,0.0,-20.61762505860585,77.52641267808549,-3.8045230528303664,159.99004108054277,-28.299989730855046,93.09000218726509,-6.453458034622073,93.99803821972897,0.2738338279035579,0.07946794425082171,0.3582723347366705,0.3582723347366705,21.239251173034567,0.5775855109826439,0.027192948192127912,0.0,0.0247184208461201,0.08468856217466064,1.0087449233489916,0.9038278632953932,0.6974031305098592,135661.9180002866,135661.9180002866,6221.678878400414,7411.00359871927,277693.3562308782,333269.1410205906,1,0.6296018745999372
2023-12-10 00:00:00+00:00,0,1,0,4839802560,596476.0,24156,0.0098851640202265,96.26446533203124,949027,0.3468668758869171,0.0,0.0,443603.0,20885.0,768029.0,96.17831420898438,0.2949767410755157,0.0,539281.0,21204.0,863330.0,95.99160766601562,0.2923624217510223,0.0,350410.4285714286,12774.142857142857,552276.7142857143,96.11703709193638,0.23161202243396214,0.0,393177.2,17828.5,817469.9666666667,95.35939915974934,0.32027678092320755,0.0,10.60578807708783,34.46166955588667,13.921901528013581,15.66195834330859,9.926331761898698,23.566558033615912,18.642770096599893,17.591263169497573,0.2842515847478744,0.0895743741771815,0.31690800419307075,0.36195303409363705,24.691642174111024,0.6285125412527344,0.02545341127975149,0.0,0.032340730939591514,0.07465600511255924,1.0079450787113058,0.8912277430416325,0.7231620780199347,117552.06680878258,142311.68047644076,5836.402721306548,7499.443178180543,216465.18188709306,334185.8103854783,1,0.8465731921422357
2023-12-11 00:00:00+00:00,0,0,0,4839802560,445467.0,14023,0.0072203431933456,96.30848693847656,648343,0.2977271676063537,0.0,0.0,596476.0,24156.0,949027.0,96.26446533203124,0.3468668758869171,0.0,326117.0,10245.0,472357.0,96.04241943359376,0.22996886074543,0.0,367460.4285714286,13313.857142857143,577417.5714285715,96.15504673549107,0.24129178055695125,0.0,396445.3125,17277.533333333333,791823.3,95.4529805501302,0.314687172571818,0.0,36.59729483590246,-25.316861030452188,36.8765251342118,-41.94817022685875,37.2569899461636,-31.683397837996175,29.46412250827757,-14.16673418438017,0.2770312393751917,0.04572986126656353,0.3179916724876628,0.34836134886147735,31.764617798060467,0.6870843256049258,0.021628950063546513,0.0,0.04219354901995462,0.06796291805348155,1.007355099665978,0.9268880649747336,0.7667671312591668,119123.29199073031,138106.2238123099,5836.159022153859,7130.5444041006185,216147.03335055851,315532.83839159855,1,0.6322474335665229
2023-12-12 00:00:00+00:00,0,0,0,4839802560,402840.0,14099,0.0064321576014324,96.26920318603516,605233,0.3088502287864685,0.0,0.0,445467.0,14023.0,648343.0,96.30848693847656,0.2977271676063537,0.0,294895.0,9147.0,448661.0,96.06871032714844,0.2142255455255508,0.0,382881.14285714284,14021.285714285714,599785.0,96.18368857247489,0.2548095924513681,0.0,396821.4705882353,16694.633333333335,761981.2,95.52242329915364,0.30944928824901574,0.0,36.60455416334627,-9.56905898753443,54.1379687329179,0.5419667688796981,34.89761757763657,-6.649258185867668,44.1705880728551,3.735991333791011,0.20869735651074528,-0.040789502244487075,0.310712279617979,0.33700235491889813,28.570212765957447,0.6655938033884415,0.02329512221719203,0.0,0.04209082467215875,0.06449052685492772,1.0069226182762379,0.9648700265375566,0.8234292406784314,118242.55672666352,133729.77007061557,5778.964046483524,6616.783584102675,215305.40141129604,287267.1835355396,1,0.5717473037013697
2023-12-13 00:00:00+00:00,0,0,0,4839802560,392009.0,12778,0.0061678994321928,96.23780822753906,613698,0.2754022479057312,0.0,0.0,402840.0,14099.0,605233.0,96.26920318603516,0.3088502287864685,0.0,284325.0,8727.0,439485.0,96.08174896240234,0.2006007730960846,0.0,398264.5714285714,14600.0,624672.5714285715,96.2059827532087,0.2654955174241747,0.0,396554.1111111111,16523.066666666666,755268.5666666667,95.58306783040365,0.3042791803677876,0.0,37.873560186406394,-2.6886605103763284,46.41915893204995,-9.369458826867149,39.64026075975289,1.398634905895757,37.28872708472459,-10.829838466418106,0.16242342257715148,-0.032611632232404375,0.30007561134876276,0.3271732368305228,30.676030988340244,0.6387642802090275,0.020821282094316596,0.0,0.03332655770439032,0.061492458254395754,1.0065170007297768,1.0043133087503942,0.8725392158059109,116109.02792217738,129741.89211067301,5716.150186143575,6650.424113690352,214200.2754345229,288334.5499046842,1,0.5563749597276096
2023-12-14 00:00:00+00:00,0,0,0,4839802560,396298.0,14556,0.0061486836532268,96.19718170166016,598436,0.3025929927825928,0.0,0.0,392009.0,12778.0,613698.0,96.23780822753906,0.2754022479057312,0.0,257577.0,8226.0,390621.0,96.08165740966795,0.1825939565896988,0.0,418081.85714285716,15504.285714285714,654360.4285714285,96.2224862234933,0.28263823688030243,0.0,396540.63157894736,16511.4,751234.6,95.6376564025879,0.30165466467539465,0.0,53.85612845867449,1.0941075332454142,76.95113056163385,13.914540616684935,53.20118478013214,-2.486890946361242,65.71906235787424,9.873102011196666,0.1202355320533588,-0.04221472478139754,0.28263950069444,0.31796607692360385,27.223878546403792,0.6622217543367138,0.024323362358945052,0.0,0.014622824532652907,0.05839556395941483,1.0061150580524847,1.054322870970717,0.936959609706167,111759.75684734163,126086.46896396602,5549.874640698862,6653.664920099719,210756.84218199813,289696.2275349343,1,0.5624623000750805
2023-12-15 00:00:00+00:00,0,0,0,4839802560,442080.0,17120,0.0067593994663741,96.18944549560548,676329,0.3153857588768005,0.0,0.0,396298.0,14556.0,598436.0,96.19718170166016,0.3025929927825928,0.0,249880.0,8033.0,397757.0,96.10194396972656,0.1520514041185379,0.0,445539.0,16802.428571428572,694156.4285714285,96.23498644147601,0.30597171613148283,0.0,398817.6,16601.766666666666,749989.4666666667,95.68820978800456,0.30069173971811924,0.0,76.9169201216584,11.552417625120492,113.12087638491222,17.614729321242105,70.03572532978677,13.016095288385054,107.42048434549712,4.227713925748122,0.09105073452675416,-0.008042029836863307,0.2773451518081864,0.30877597406764434,25.820921675135796,0.653645409785164,0.025313086806736357,0.0,-0.006137575422010175,0.055301614491905335,1.005714148636314,1.1171497947934095,1.0175594328541024,111525.7550999561,123145.29291532015,5562.108049655614,6642.5269738895795,210943.14802678648,289943.36181336653,1,0.6274402939636122
