timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-11-25 00:00:00+00:00,0,0,1,1393178180,0.0,5711,86.78833770751953,0.0059651690535247,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,5711.0,86.78833770751953,0.0059651690535247,0.0,0.0,245.0,5711.0,86.78833770751953,0.0059651690535247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428921568627451,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-11-26 00:00:00+00:00,0,0,0,1393178180,0.0,6396,86.79653930664062,0.0060854642651975,290,0.0,0.0,0.0,0.0,245.0,5711.0,86.78833770751953,0.0059651690535247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.5,6053.5,86.79243850708008,0.0060253166593611,0.0,0.0,267.5,6053.5,86.79243850708008,0.0060253166593611,0.0,0.0,0.0,0.0,18.36734693877551,0.0,11.994396778147443,0.0,2.0166270325854496,0.0,0.009450116614440063,0.0,0.0,0.0,0.0,0.045333750195404095,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,31.81980515339464,31.81980515339464,484.36814511278504,484.36814511278504,0,0.0
2021-11-27 00:00:00+00:00,0,1,0,1393178180,0.0,7761,86.80406951904297,0.0039048213511705,199,0.0,0.0,0.0,0.0,290.0,6396.0,86.79653930664062,0.0060854642651975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.66666666666666,6622.666666666667,86.7963155110677,0.005318484889964233,0.0,0.0,244.66666666666666,6622.666666666667,86.7963155110677,0.005318484889964233,0.0,0.0,0.0,0.0,-31.379310344827584,0.0,21.34146341463414,0.0,-35.833632718837904,0.0,0.008675705808669498,0.0,0.0,0.0,0.0,0.025637722236536976,0.0,0.007865905761732026,0.0,1.0,0.0,1.0,0.0,0.0,45.50091574170055,45.50091574170055,1043.6274878199276,1043.6274878199276,0,0.0
2021-11-28 00:00:00+00:00,0,1,0,1393178180,0.0,7116,86.62606048583984,0.0069146072492003,284,0.0,0.0,0.0,0.0,199.0,7761.0,86.80406951904297,0.0039048213511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.5,6746.0,86.75375175476074,0.00571751547977325,0.0,0.0,254.5,6746.0,86.75375175476074,0.00571751547977325,0.0,0.0,0.0,0.0,42.713567839195974,0.0,-8.31078469269424,0.0,77.07870930196572,0.0,-0.20506991687074816,0.0,0.0,0.0,0.0,0.03990445412392862,0.0,-0.047930145263684776,0.0,1.0,0.0,1.0,0.0,0.0,42.035699113967404,42.035699113967404,887.1020234448796,887.1020234448796,0,0.0
2021-11-29 00:00:00+00:00,0,0,0,1393178180,0.0,5400,86.62101745605469,0.0071111870929598,240,0.0,0.0,0.0,0.0,284.0,7116.0,86.62606048583984,0.0069146072492003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.6,6476.8,86.72720489501953,0.005996249802410559,0.0,0.0,251.6,6476.8,86.72720489501953,0.005996249802410559,0.0,0.0,0.0,0.0,-15.492957746478876,0.0,-24.11467116357504,0.0,2.842964707536133,0.0,-0.005821608136014067,0.0,0.0,0.0,0.0,0.04443621551564525,0.0,-0.0505119323730525,-0.0505119323730525,1.0,0.0,1.0,0.0,0.0,36.977019890737544,36.977019890737544,975.98960035443,975.98960035443,0,0.0
2021-11-30 00:00:00+00:00,0,0,0,1393178180,0.0,5116,86.59363555908203,0.0079841949045658,247,0.0,0.0,0.0,0.0,240.0,5400.0,86.62101745605469,0.0071111870929598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.83333333333334,6250.0,86.70494333902995,0.006327573986103101,0.0,0.0,250.83333333333334,6250.0,86.70494333902995,0.006327573986103101,0.0,0.0,0.0,0.0,2.9166666666666563,0.0,-5.259259259259263,0.0,12.27654117651178,0.0,-0.031611146782650756,0.0,0.0,0.0,0.0,0.04827047097908931,0.0,-0.04794529506137828,-0.04794529506137828,1.0,0.0,1.0,0.0,0.0,33.126525122123304,33.126525122123304,1034.7337821874764,1034.7337821874764,0,0.0
2021-12-01 00:00:00+00:00,0,0,0,1393178180,0.0,5652,86.62700653076172,0.0065357247367501,222,0.0,0.0,0.0,0.0,247.0,5116.0,86.59363555908203,0.0079841949045658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.71428571428572,6164.571428571428,86.69380950927734,0.0063573098076241,0.0,0.0,246.71428571428572,6164.571428571428,86.69380950927734,0.0063573098076241,0.0,0.0,0.0,0.0,-10.121457489878537,0.0,10.47693510555121,0.0,-18.141718546817863,0.0,0.038537441538544215,0.0,0.0,0.0,0.0,0.039271183442419956,0.0,-0.03831618172781213,-0.03831618172781213,1.0,0.0,1.0,0.0,0.0,32.14402114294499,32.14402114294499,971.2438514851042,971.2438514851042,0,0.0
2021-12-02 00:00:00+00:00,0,0,0,1393178180,0.0,5985,86.47058868408203,0.0073676849715411,251,0.0,0.0,0.0,0.0,222.0,5652.0,86.62700653076172,0.0065357247367501,0.0,0.0,245.0,5711.0,86.78833770751953,0.0059651690535247,0.0,0.0,247.57142857142858,6203.714285714285,86.64841679164341,0.006557669224483587,0.0,0.0,247.25,6142.125,86.66590690612793,0.006483606703113725,0.0,0.0,0.0,2.448979591836742,13.063063063063062,4.7977587112589815,5.891719745222934,23.511754745453217,12.729425860194565,-0.3661194946587454,-0.18056476027963342,0.0,0.0,0.0,0.0,0.0419311727363849,0.0,-0.04872867039271636,-0.044145856584816345,0.9997981892175494,0.0,1.0114230434943399,0.0,0.0,29.798130334445,29.798130334445,901.4355911544651,901.4355911544651,0,0.0
2021-12-03 00:00:00+00:00,0,0,0,1393178180,0.0,6372,86.38438415527344,0.0078382063657045,297,0.0,0.0,0.0,0.0,251.0,5985.0,86.47058868408203,0.0073676849715411,0.0,0.0,290.0,6396.0,86.79653930664062,0.0060854642651975,0.0,0.0,248.57142857142858,6200.285714285715,86.58953748430524,0.006808060953127443,0.0,0.0,252.77777777777777,6167.666666666667,86.63462660047743,0.006634117776734922,0.0,0.0,0.0,2.4137931034482696,18.32669322709164,-0.37523452157598447,6.466165413533842,28.80210981651563,6.386285461184427,-0.47485205592252555,-0.09969231171021997,0.0,0.0,0.0,0.0,0.04660285579789738,0.0,-0.05585752214704152,-0.049670282999674395,0.9994795485599526,0.0,1.0262194887468714,0.0,0.0,32.43369304356882,32.43369304356882,846.6901735581912,846.6901735581912,0,0.0
2021-12-04 00:00:00+00:00,0,1,0,1393178180,0.0,9959,86.29657745361328,0.0062018502503633,304,0.0,0.0,0.0,0.0,297.0,6372.0,86.38438415527344,0.0078382063657045,0.0,0.0,199.0,7761.0,86.80406951904297,0.0039048213511705,0.0,0.0,263.57142857142856,6514.285714285715,86.51703861781529,0.007136207938726415,0.0,0.0,257.9,6546.8,86.60082168579102,0.00659089102409776,0.0,0.0,0.0,52.76381909547738,2.3569023569023573,28.321092642700684,56.29315756434401,58.82545429393966,-20.876665387389615,-0.5846408679242354,-0.10164649840221918,0.0,0.0,0.0,0.0,0.030522088353413655,0.0,-0.05659866333007757,-0.054562886555987906,0.9990325372629868,0.0,1.082737965570187,0.0,0.0,34.60394967822797,34.60394967822797,1440.364984609418,1440.364984609418,0,0.0
