timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-16 00:00:00+00:00,1,0,0,7931043729,7760.0,23.683302688598634,116093.0,0.0041622091084718,496.0,86.68942260742188,0.0893279843315893,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116093.0,496.0,7760.0,86.68942260742188,0.0041622091084718,23.683302688598634,116093.0,496.0,7760.0,86.68942260742188,0.0041622091084718,23.683302688598634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.58752515090544,14.958510501224069,0.0639092900399433,0.00020400109125879575,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-17 00:00:00+00:00,1,0,0,7931043729,36840.0,27.96690773963928,139932.0,0.0038652312941849,520.0,86.85092163085938,0.1058662808119553,488.0,116093.0,496.0,7760.0,86.68942260742188,0.0041622091084718,23.683302688598634,0.0,0.0,0.0,0.0,0.0,0.0,128012.5,508.0,22300.0,86.77017211914062,0.00401372020132835,25.825105214118956,128012.5,508.0,22300.0,86.77017211914062,0.00401372020132835,25.825105214118956,0.0,20.53439914551265,0.0,4.8387096774193505,0.0,374.74226804123714,0.0,-7.135100773347225,0.0,0.18629611154392656,0.1316802543244301,0.1316802543244301,268.58349328214973,3.7982682337612985,0.014114709155560382,0.00019985927364981297,0.0,0.0,1.0,1.0,1.0,16856.718556706106,16856.718556706106,16.97056274847714,16.97056274847714,20562.665196904803,20562.665196904803,2,1.0
2025-07-18 00:00:00+00:00,1,0,0,7931043729,35806.0,25.51018782456716,119100.0,0.0033569515217095,457.0,86.6942138671875,0.0876028971888844,484.0,139932.0,520.0,36840.0,86.85092163085938,0.0038652312941849,27.96690773963928,0.0,0.0,0.0,0.0,0.0,0.0,125041.66666666667,491.0,26802.0,86.74485270182292,0.003794797308122067,25.720132750935022,125041.66666666667,491.0,26802.0,86.74485270182292,0.003794797308122067,25.720132750935022,0.0,-14.887230940742647,0.0,-12.115384615384617,0.0,-2.806731813246466,0.0,-13.150048051201713,0.0,-0.18043304633879043,0.10382746317874192,0.10382746317874192,260.04366812227073,3.3261652749462396,0.012762867595721508,0.0002141895351388079,0.0023956298828091156,0.0,1.0,1.0,1.0,12982.759041641855,12982.759041641855,31.796226191169293,31.796226191169293,16498.957906486095,16498.957906486095,2,0.8511276905925735
2025-07-19 00:00:00+00:00,1,1,0,7931043729,32843.0,22.43046573797862,143634.0,0.0028919812757521,431.0,86.63934326171875,0.1029534082824697,471.0,119100.0,457.0,35806.0,86.6942138671875,0.0033569515217095,25.51018782456716,0.0,0.0,0.0,0.0,0.0,0.0,129689.75,476.0,28312.25,86.71847534179688,0.003569093300029575,24.897715997695922,129689.75,476.0,28312.25,86.71847534179688,0.003569093300029575,24.897715997695922,0.0,20.599496221662463,0.0,-5.689277899343548,0.0,-8.275149416298945,0.0,-13.850966954703525,0.0,-0.06329211953269853,0.10871464414259249,0.10871464414259249,332.4861111111111,4.3732188527584945,0.013122640360492023,0.00015616295288737854,-0.03069458007813776,0.0,1.0,1.0,1.0,14099.175020191784,14099.175020191784,39.67366884975475,39.67366884975475,13805.813808561474,13805.813808561474,3,1.0
2025-07-20 00:00:00+00:00,1,1,0,7931043729,32275.0,25.416013677914936,141348.0,0.0032176470849663,451.0,86.52597045898438,0.098995402654398,476.0,143634.0,431.0,32843.0,86.63934326171875,0.0028919812757521,22.43046573797862,0.0,0.0,0.0,0.0,0.0,0.0,132021.4,471.0,29104.8,86.67997436523437,0.00349880405701692,25.001375533739726,132021.4,471.0,29104.8,86.67997436523437,0.00349880405701692,25.001375533739726,0.0,-1.5915451773257039,0.0,4.640371229698381,0.0,-1.729440063331611,0.0,11.260993006585295,0.0,-0.13085602737303859,0.10056539815463497,0.10056539815463497,312.716814159292,4.379353079687694,0.013973230883628703,0.00017981035364887573,-0.05384826660155988,-0.05384826660155988,1.0,1.0,1.0,13276.784655932324,13276.784655932324,36.13170353027933,36.13170353027933,12086.813008398864,12086.813008398864,3,0.984084548226743
2025-07-21 00:00:00+00:00,1,0,0,7931043729,34316.0,24.18827184041341,141030.0,0.0034048310481011,420.0,86.47342681884766,0.0965818996869516,482.0,141348.0,451.0,32275.0,86.52597045898438,0.0032176470849663,25.416013677914936,0.0,0.0,0.0,0.0,0.0,0.0,133522.83333333334,462.5,29973.333333333332,86.64554977416992,0.0034831418888642833,24.865858251518674,133522.83333333334,462.5,29973.333333333332,86.64554977416992,0.0034831418888642833,24.865858251518674,0.0,-0.22497665336616013,0.0,-6.873614190687361,0.0,6.3237800154918755,0.0,5.817417454181739,0.0,-0.06072586052257023,0.09310453714316479,0.09310453714316479,334.98812351543944,4.109624967217414,0.012238832065740012,0.00017151031929443463,-0.06027723039899489,-0.06027723039899489,1.0,1.0,1.0,12431.581595543936,12431.581595543936,38.4434649843117,38.4434649843117,11018.11870814009,11018.11870814009,3,0.9818705877438489
2025-07-22 00:00:00+00:00,1,0,0,7931043729,33731.0,23.126741250356037,142478.0,0.0033119395375251,467.0,86.34569549560547,0.0952156631387969,475.0,141030.0,420.0,34316.0,86.47342681884766,0.0034048310481011,24.18827184041341,0.0,0.0,0.0,0.0,0.0,0.0,134802.14285714287,463.14285714285717,30510.14285714286,86.60271344866071,0.003458684410101543,24.617412965638298,134802.14285714287,463.14285714285717,30510.14285714286,86.60271344866071,0.003458684410101543,24.617412965638298,0.0,1.0267319010139664,0.0,11.190476190476195,0.0,-1.7047441426739751,0.0,-2.7282267244304714,0.0,-0.14771164731307573,0.0878504995802256,0.0878504995802256,304.44017094017096,4.22382307601091,0.013844420728092019,0.00016231684143176213,-0.06980051313127796,-0.06980051313127796,1.0,1.0,1.0,11842.435594484941,11842.435594484941,35.135113355106604,35.135113355106604,10157.900101703623,10157.900101703623,3,0.9919517662948883
2025-07-23 00:00:00+00:00,1,0,0,7931043729,32743.0,22.018008708953857,142478.0,0.0032469911966472,413.0,86.39562225341797,0.0931116122967361,478.0,142478.0,467.0,33731.0,86.34569549560547,0.0033119395375251,23.126741250356037,116093.0,496.0,7760.0,86.68942260742188,0.0041622091084718,23.683302688598634,138571.42857142858,451.2857142857143,34079.142857142855,86.5607419695173,0.0033279389941266,24.379513825689042,135761.625,456.875,30789.25,86.57682704925537,0.00343222275841975,24.292487433552743,22.727468495085844,0.0,-16.733870967741936,-11.563169164882225,321.9458762886598,-2.9290563576531925,-21.988753759674317,-1.961036430225216,-0.33891142098662064,0.057821941818780864,0.08319610486774341,0.08319610486774341,344.1497584541063,4.3512704617639875,0.01261299780112387,0.00015453511541317568,-0.07960183279854524,-0.06379127502441002,0.9998142103344937,1.0206965964898298,0.9696162598895055,11294.838390515255,11294.838390515255,37.046062061786195,37.046062061786195,9437.463729353196,9437.463729353196,3,0.9919517662948883
2025-07-24 00:00:00+00:00,1,0,0,7931043729,33935.0,21.792183081309,141189.0,0.0037544928491115,493.0,86.12181854248047,0.0903683494530508,487.0,142478.0,413.0,32743.0,86.39562225341797,0.0032469911966472,22.018008708953857,139932.0,520.0,36840.0,86.85092163085938,0.0038652312941849,27.96690773963928,138751.0,447.42857142857144,33664.142857142855,86.45658438546317,0.0033121192162589713,23.49741030307043,136364.66666666666,460.8888888888889,31138.777777777777,86.52627054850261,0.003468030546274389,24.01467583885899,0.8982934568218859,-0.9047010766574437,-5.192307692307696,19.370460048426153,-7.8854505971769795,3.6404727728063913,-2.8649888362438203,15.629905402525868,-0.8394880269409155,-0.31691850095642016,0.07860632103655767,0.07860632103655767,285.8076923076923,4.160449080622348,0.014527345591702028,0.00015434650528584884,-0.08517510550362734,-0.07498779296875459,0.9991946242153085,1.0174996455582337,0.9550432650649778,10719.124766043173,10719.124766043173,36.685979762180416,36.685979762180416,8889.996256717122,8889.996256717122,3,0.982977567985296
2025-07-25 00:00:00+00:00,1,0,0,7931043729,32016.0,25.243764718373615,94455.0,0.0026288856752216,399.0,86.13861083984375,0.0591721531841318,497.0,141189.0,493.0,33935.0,86.12181854248047,0.0037544928491115,21.792183081309,119100.0,457.0,35806.0,86.6942138671875,0.0033569515217095,25.51018782456716,135230.2857142857,439.14285714285717,33122.71428571428,86.37721252441406,0.003208109809617843,23.459349859328494,132173.7,454.7,31226.5,86.48750457763671,0.00338411605916911,24.137584726810452,-20.692695214105793,-33.10031234727918,-12.691466083150981,-19.066937119675455,-10.584818186896051,-5.654928539855608,-21.688303860793866,-29.980272146643582,-0.6408767120201553,0.019498307917165114,0.1260960697939818,0.1260960697939818,236.1375,2.950151482025174,0.012462129493706469,0.0002672542212074788,-0.08529663085937428,-0.07568165172229863,0.9987247631462919,1.0231255212972452,0.9479904806827218,16666.584100128814,16666.584100128814,39.740966828254756,39.740966828254756,8386.158135748323,8386.158135748323,3,0.6576089226784745
