timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,platform_platform_share,visits_visits_gained,session_session_length,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-06-28 00:00:00+00:00,1,1,0,1686885941,89.14533233642578,40674,1.331557273864746,1384802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40674.0,1384802.0,89.14533233642578,1.331557273864746,0.0,0.0,40674.0,1384802.0,89.14533233642578,1.331557273864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029371686803104848,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-06-29 00:00:00+00:00,1,0,0,1686885941,89.27240753173828,44956,1.3477073907852173,1496973,0.0,0.0,0.0,0.0,0.0,40674.0,1384802.0,89.14533233642578,1.331557273864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42815.0,1440887.5,89.20886993408203,1.3396323323249817,0.0,0.0,42815.0,1440887.5,89.20886993408203,1.3396323323249817,0.0,0.0,0.0,0.0,10.527609775286418,0.0,8.100147169053763,0.0,1.2128743717945145,0.0,0.14254834435181163,0.0,0.0,0.0,0.0,0.030031249707743755,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3027.8312370407966,3027.8312370407966,79316.87475247623,79316.87475247623,0,0.0
2020-06-30 00:00:00+00:00,1,0,0,1686885941,89.24057006835938,46222,1.408479928970337,1551452,0.0,0.0,0.0,0.0,0.0,44956.0,1496973.0,89.27240753173828,1.3477073907852173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43950.666666666664,1477742.3333333333,89.21943664550781,1.3625815312067668,0.0,0.0,43950.666666666664,1477742.3333333333,89.21943664550781,1.3625815312067668,0.0,0.0,0.0,0.0,2.8160868404662365,0.0,3.639277395116669,0.0,4.509327365913718,0.0,-0.035663274083419516,0.0,0.0,0.0,0.0,0.02979271689184268,0.0,0.047618865966795355,0.0,1.0,0.0,1.0,0.0,0.0,2907.4210794677365,2907.4210794677365,84973.05178898388,84973.05178898388,0,0.0
2020-07-01 00:00:00+00:00,1,0,0,1686885941,89.19835662841797,47362,1.512896180152893,1599551,0.0,0.0,0.0,0.0,0.0,46222.0,1551452.0,89.24057006835938,1.408479928970337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44803.5,1508194.5,89.21416664123535,1.4001601934432983,0.0,0.0,44803.5,1508194.5,89.21416664123535,1.4001601934432983,0.0,0.0,0.0,0.0,2.466358011336589,0.0,3.1002570495252124,0.0,7.41340000910693,0.0,-0.04730296983656013,0.0,0.0,0.0,0.0,0.029609540671387987,0.0,0.012723541259750986,0.0,1.0,0.0,1.0,0.0,0.0,2923.131368926139,2923.131368926139,92319.82906721614,92319.82906721614,0,0.0
2020-07-02 00:00:00+00:00,1,0,0,1686885941,89.2549819946289,48516,1.564289927482605,1624631,0.0,0.0,0.0,0.0,0.0,47362.0,1599551.0,89.19835662841797,1.512896180152893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45546.0,1531481.8,89.22232971191406,1.4329861402511597,0.0,0.0,45546.0,1531481.8,89.22232971191406,1.4329861402511597,0.0,0.0,0.0,0.0,2.4365525104514063,0.0,1.5679400031633817,0.0,3.3970438952736437,0.0,0.06348252182137859,0.0,0.0,0.0,0.0,0.029862762767198972,0.0,0.014524841308592357,0.014524841308592357,1.0,0.0,1.0,0.0,0.0,3027.384019248302,3027.384019248302,95413.33678108109,95413.33678108109,0,0.0
2020-07-03 00:00:00+00:00,1,0,1,1686885941,89.25747680664062,47805,1.5704489946365356,1637650,0.0,0.0,0.0,0.0,0.0,48516.0,1624631.0,89.2549819946289,1.564289927482605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45922.5,1549176.5,89.22818756103516,1.4558966159820557,0.0,0.0,45922.5,1549176.5,89.22818756103516,1.4558966159820557,0.0,0.0,0.0,0.0,-1.4654959188721284,0.0,0.8013511991338262,0.0,0.3937292598848563,0.0,0.0027951515489288425,0.0,0.0,0.0,0.0,0.029191201299910666,0.0,0.013320922851568709,0.013320922851568709,1.0,0.0,1.0,0.0,0.0,2860.5168588910647,2860.5168588910647,95716.13404802767,95716.13404802767,0,0.0
2020-07-04 00:00:00+00:00,1,1,1,1686885941,89.16551208496094,45598,1.5561028718948364,1680260,0.0,0.0,0.0,0.0,0.0,47805.0,1637650.0,89.25747680664062,1.5704489946365356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45876.142857142855,1567902.7142857143,89.21923392159599,1.4702117953981673,0.0,0.0,45876.142857142855,1567902.7142857143,89.21923392159599,1.4702117953981673,0.0,0.0,0.0,0.0,-4.616671896245162,0.0,2.60189906268129,0.0,-0.9135045321875923,0.0,-0.10303307349692759,0.0,0.0,0.0,0.0,0.02713745066986617,0.0,0.0016103472028542556,0.0016103472028542556,1.0,0.0,1.0,0.0,0.0,2614.1614607474316,2614.1614607474316,100445.73812713391,100445.73812713391,0,0.0
2020-07-05 00:00:00+00:00,1,1,0,1686885941,89.14051055908203,49307,1.666390061378479,1660224,0.0,0.0,0.0,0.0,0.0,45598.0,1680260.0,89.16551208496094,1.5561028718948364,0.0,0.0,40674.0,1384802.0,89.14533233642578,1.331557273864746,0.0,0.0,47109.42857142857,1607248.7142857143,89.21854509626117,1.5180450507572718,0.0,0.0,46305.0,1579442.875,89.20939350128174,1.4947340786457062,0.0,0.0,0.0,21.224861090623005,8.134128689854814,19.888908306024966,-1.1924345041838813,25.14595459659843,7.087397078661506,-0.005408894910563511,-0.02803945751478354,0.0,0.0,0.0,0.0,0.02969898658314385,0.0,-0.017381668090821516,-0.005486715407596764,1.0001025855531605,0.0,1.0155953974988556,0.0,0.0,2707.1987103171537,2707.1987103171537,98556.65170628298,98556.65170628298,0,0.0
2020-07-06 00:00:00+00:00,1,0,0,1686885941,89.0928955078125,54991,1.7962656021118164,1844711,0.0,0.0,0.0,0.0,0.0,49307.0,1660224.0,89.14051055908203,1.666390061378479,0.0,0.0,44956.0,1496973.0,89.27240753173828,1.3477073907852173,0.0,0.0,48543.0,1656925.5714285714,89.19290052141461,1.5821247952325004,0.0,0.0,47270.11111111111,1608917.111111111,89.19644927978516,1.5282375812530518,0.0,0.0,0.0,22.3218257852122,11.527774960958892,23.229410283285002,11.112175224548015,33.28305642556837,7.7938259320810666,-0.2010834353962765,-0.053415726442329614,0.0,0.0,0.0,0.0,0.029810073333940475,0.0,-0.023149490356445115,-0.01160723368326431,0.9999602141296072,0.0,1.0352610187319597,0.0,0.0,3846.5262719902375,3846.5262719902375,127741.19243654772,127741.19243654772,0,0.0
2020-07-07 00:00:00+00:00,1,0,0,1686885941,89.21369171142578,59100,1.90417218208313,1981429,0.0,0.0,0.0,0.0,0.0,54991.0,1844711.0,89.0928955078125,1.7962656021118164,0.0,0.0,46222.0,1551452.0,89.24057006835938,1.408479928970337,0.0,0.0,50382.71428571428,1718350.857142857,89.18906075613839,1.6529379742486137,0.0,0.0,48453.1,1646168.3,89.19817352294922,1.5658310413360597,0.0,0.0,0.0,27.86119164034442,7.472131803386017,27.714489394451135,7.411350612643397,35.19341972271957,6.007273080576225,-0.03011898838499727,0.13558455242110856,0.0,0.0,0.0,0.0,0.02982694316730846,0.0,-0.014111927577425683,-0.007501128225615372,0.9998978368451851,0.0,1.0556298416706755,0.0,0.0,5210.22241901011,5210.22241901011,168467.3046380547,168467.3046380547,0,0.0
