timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,daily_Estimated Revenue,session_session_length,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-27 00:00:00+00:00,0,0,0,7691800287,3438,7695,20.480222702026367,88,0.0015390729531645,0.0759152549128007,82.35294342041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7695.0,88.0,3438.0,82.35294342041016,0.0015390729531645,20.480222702026367,7695.0,88.0,3438.0,82.35294342041016,0.0015390729531645,20.480222702026367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.46067415730337,2.2375690607734806,0.02558883396336144,0.0026611515984961494,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-28 00:00:00+00:00,0,0,0,7691800287,17574,6791,11.618417739868164,155,0.0014315483858808,0.0609664396969981,83.72093200683594,0.0,7695.0,88.0,3438.0,82.35294342041016,0.0015390729531645,20.480222702026367,0.0,0.0,0.0,0.0,0.0,0.0,7243.0,121.5,10506.0,83.03693771362305,0.00148531066952265,16.049320220947266,7243.0,121.5,10506.0,83.03693771362305,0.00148531066952265,16.049320220947266,0.0,-11.74788823911631,0.0,76.13636363636364,0.0,411.1692844677138,0.0,-6.986320373093302,0.0,1.6611289525405581,0.08825411158258166,0.08825411158258166,43.532051282051285,0.38640113798008535,0.008819345661450925,0.0017106033185907191,0.0,0.0,1.0,1.0,1.0,639.224530192639,639.224530192639,47.37615433949868,47.37615433949868,9995.661458853036,9995.661458853036,1,0.8825211176088369
2025-05-29 00:00:00+00:00,0,0,0,7691800287,19716,6822,11.455848217010498,240,0.0013004922075197,0.0523734615984903,81.75675964355469,0.0,6791.0,155.0,17574.0,83.72093200683594,0.0014315483858808,11.618417739868164,0.0,0.0,0.0,0.0,0.0,0.0,7102.666666666667,161.0,13576.0,82.61021169026692,0.0014237045155216666,14.518162886301676,7102.666666666667,161.0,13576.0,82.61021169026692,0.0014237045155216666,14.518162886301676,0.0,0.4564865262847828,0.0,54.83870967741935,0.0,12.188460225332886,0.0,-9.15485495661147,0.0,-2.3460947175323765,0.07225593677897953,0.07225593677897953,28.307053941908713,0.34599584115230514,0.012172237155753917,0.0016790045752616881,-0.29809188842773593,0.0,1.0,1.0,1.0,513.2098336288319,513.2098336288319,76.1774244773345,76.1774244773345,8844.847313549284,8844.847313549284,1,0.8865497076023392
2025-05-30 00:00:00+00:00,0,0,0,7691800287,29704,12308,10.964534838994345,209,0.0019820653833448,0.079193812449403,82.32044219970703,0.0,6822.0,240.0,19716.0,81.75675964355469,0.0013004922075197,11.455848217010498,0.0,0.0,0.0,0.0,0.0,0.0,8404.0,173.0,17608.0,82.53776931762695,0.00156329473247745,13.629755874474844,8404.0,173.0,17608.0,82.53776931762695,0.00156329473247745,13.629755874474844,0.0,80.41630020521842,0.0,-12.916666666666664,0.0,50.659362953946044,0.0,52.40886272782803,0.0,0.689462936899532,0.31368199413289954,0.31368199413289954,58.60952380952381,0.41434102003029794,0.007035852550075745,0.000890773810950877,-0.20616760253906619,0.0,1.0,1.0,1.0,2636.1834786928875,2636.1834786928875,66.66833331250052,66.66833331250052,10825.077921197611,10825.077921197611,2,1.0
2025-05-31 00:00:00+00:00,0,1,0,7691800287,33421,14544,11.005810300509134,179,0.0012909233337268,0.0776581415643829,83.33333587646484,0.0,12308.0,209.0,29704.0,82.32044219970703,0.0019820653833448,10.964534838994345,0.0,0.0,0.0,0.0,0.0,0.0,9632.0,174.2,20770.6,82.69688262939454,0.00150882045272732,13.104966759681702,9632.0,174.2,20770.6,82.69688262939454,0.00150882045272732,13.104966759681702,0.0,18.1670458238544,0.0,-14.35406698564593,0.0,12.513466199838398,0.0,-34.869790644931975,0.0,1.2304278860657325,0.37074301387080943,0.37074301387080943,80.8,0.4351624678355574,0.005355753695170846,0.0007566731041945091,0.056029510498048316,0.056029510498048316,1.0,1.0,1.0,3570.9967096036366,3570.9967096036366,57.79878891464768,57.79878891464768,11742.952260824362,11742.952260824362,3,1.0
2025-06-01 00:00:00+00:00,1,1,0,7691800287,23617,8559,12.004568616549172,93,0.0012778644450008,0.0395385995947467,84.01826477050781,0.0,14544.0,179.0,33421.0,83.33333587646484,0.0012909233337268,11.005810300509134,0.0,0.0,0.0,0.0,0.0,0.0,9453.166666666666,160.66666666666666,21245.0,82.91711298624675,0.0014703277847728999,12.921567069159613,9453.166666666666,160.66666666666666,21245.0,82.91711298624675,0.0014703277847728999,12.921567069159613,0.0,-41.150990099009896,0.0,-48.044692737430175,0.0,-29.33484934621944,0.0,-1.0115928951644149,0.0,0.8219146477687289,0.34103868145962724,0.34103868145962724,91.05319148936171,0.36239309001608944,0.003937674654924211,0.00140240287576509,0.22078574044364704,0.22078574044364704,1.0,1.0,1.0,3223.895495618099,3223.895495618099,61.41226804691931,61.41226804691931,10567.302134414442,10567.302134414442,3,0.588490099009901
2025-06-02 00:00:00+00:00,1,0,0,7691800287,19646,6792,11.468520720799765,112,0.0013059271732345,0.0285646016916423,84.25531768798828,0.0,8559.0,93.0,23617.0,84.01826477050781,0.0012778644450008,12.004568616549172,0.0,0.0,0.0,0.0,0.0,0.0,9073.0,153.71428571428572,21016.571428571428,83.10828508649554,0.0014468419831245572,12.713989019393921,9073.0,153.71428571428572,21016.571428571428,83.10828508649554,0.0014468419831245572,12.713989019393921,0.0,-20.644935155976164,0.0,20.430107526881724,0.0,-16.814159292035402,0.0,2.196064562519573,0.0,0.28214450527865864,0.3427901279561896,0.3427901279561896,60.10619469026549,0.3457016338372271,0.005700615870107396,0.0016882851053731437,0.2813701629638649,0.2813701629638649,1.0,1.0,1.0,3110.1348309465084,3110.1348309465084,59.00201772175334,59.00201772175334,9665.496328989748,9665.496328989748,3,0.466996699669967
2025-06-03 00:00:00+00:00,1,0,0,7691800287,24703,8467,12.358330011367798,188,0.003189408686012,0.0327234309361063,84.70587921142578,0.0,6792.0,112.0,19646.0,84.25531768798828,0.0013059271732345,11.468520720799765,7695.0,88.0,3438.0,82.35294342041016,0.0015390729531645,20.480222702026367,9183.285714285714,168.0,24054.428571428572,83.44441877092633,0.0016826042306742003,11.553718635014125,8997.25,158.0,21477.375,83.30798435211182,0.0016646628209854874,12.669531643390656,10.032488628979852,24.661366313309774,113.63636363636363,67.85714285714286,618.5282140779523,25.740608775323224,107.22920765089347,144.22561620434945,2.8571362398110534,0.534757372948258,0.32091866497629007,0.32091866497629007,44.7989417989418,0.34273801813471505,0.007610103626943005,0.0014594154477288377,0.3446350097656298,0.3207129523867694,1.001637711197499,1.020676952878459,1.0107778040468829,2887.385458457926,2887.385458457926,55.95406279133931,55.95406279133931,9042.92898089836,9042.92898089836,3,0.5821644664466447
2025-06-04 00:00:00+00:00,1,0,0,7691800287,32262,9576,12.9005659421285,245,0.0029086009599268,0.033193763042622,84.50704193115234,0.0,8467.0,188.0,24703.0,84.70587921142578,0.003189408686012,12.358330011367798,6791.0,155.0,17574.0,83.72093200683594,0.0014315483858808,11.618417739868164,9581.142857142857,180.85714285714286,26152.714285714286,83.55672018868583,0.0018936117412522,11.736882663908458,9061.555555555555,167.66666666666666,22675.666666666668,83.4412129720052,0.0018028781697567446,12.695202121028194,41.01016050655279,13.097909531120822,58.06451612903225,30.319148936170205,83.57801297371117,30.59952232522365,103.17866923772905,-8.804382057299753,0.9389646119231099,-0.23473846458418324,0.2988209592620112,0.2988209592620112,38.926829268292686,0.29681058798003906,0.007593838142764157,0.001347036226597943,0.49798938206264254,0.30443623860677205,1.001384294553812,1.0573397468460863,1.050327067584216,2707.7827235171176,2707.7827235171176,59.837279349916976,59.837279349916976,9191.075576340345,9191.075576340345,3,0.6584158415841584
2025-06-05 00:00:00+00:00,1,0,0,7691800287,38076,14471,11.551143964131674,286,0.0032552378252148,0.0449443018272182,84.96732330322266,0.0,9576.0,245.0,32262.0,84.50704193115234,0.0029086009599268,12.9005659421285,6822.0,240.0,19716.0,81.75675964355469,0.0013004922075197,11.455848217010498,10673.857142857143,187.42857142857142,28775.571428571428,84.01537214006696,0.002172861115208643,11.750496342068628,9602.5,179.5,24215.7,83.59382400512695,0.00194811413530255,12.580796305338541,112.1225447082967,51.11737677527151,19.166666666666664,16.73469387755102,93.12233718807059,18.021201413427555,150.308137672212,11.917649415089372,3.926970288041587,0.5446662923609402,0.32002575583299,0.32002575583299,50.42160278745644,0.38004569687738005,0.0075110959371799246,0.0007981719157083799,0.39198820931570855,0.30465055523497003,1.0050428143461192,1.1115706475248261,1.1153664335335203,3073.047320386286,3073.047320386286,67.69744784291684,67.69744784291684,9940.155387227216,9940.155387227216,3,0.9949807480748075
