timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,sort_sort_position,visits_visits_gained,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-23 00:00:00+00:00,0,0,0,7058980030,0.0174927770850046,389,3415216,8.088293676790984,22303,0.2260250598192215,241555,92.57569885253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241555.0,22303.0,3415216.0,92.57569885253906,0.2260250598192215,8.088293676790984,241555.0,22303.0,3415216.0,92.57569885253906,0.2260250598192215,8.088293676790984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.830120157819225,0.07072903420192626,0.006530478151168725,3.348413484571273e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-24 00:00:00+00:00,0,1,0,7058980030,0.0099622669770425,329,5018453,7.682214081287384,26811,0.2749643921852112,180321,92.7031021118164,241555.0,22303.0,3415216.0,92.57569885253906,0.2260250598192215,8.088293676790984,0.0,0.0,0.0,0.0,0.0,0.0,210938.0,24557.0,4216834.5,92.63940048217773,0.25049472600221634,7.885253879039184,210938.0,24557.0,4216834.5,92.63940048217773,0.25049472600221634,7.885253879039184,0.0,-25.349920308004393,0.0,20.21252746267319,0.0,46.94394146665979,0.0,21.652170960659035,0.0,0.13762062923259322,0.2052687360227984,0.2052687360227984,6.7253841563479035,0.03593158371084003,0.005342481967554151,4.26027555222734e-05,0.0,0.0,1.0,1.0,1.0,43298.97663917705,43298.97663917705,3187.637369588956,3187.637369588956,1133659.754549177,1133659.754549177,1,0.7465007969199561
2025-05-25 00:00:00+00:00,0,1,0,7058980030,0.0074236468520473,329,5709030,6.812249918778737,22088,0.2400137186050415,175377,93.0293197631836,180321.0,26811.0,5018453.0,92.7031021118164,0.2749643921852112,7.682214081287384,0.0,0.0,0.0,0.0,0.0,0.0,199084.33333333334,23734.0,4714233.0,92.76937357584636,0.24700105686982474,7.527585892285702,199084.33333333334,23734.0,4714233.0,92.76937357584636,0.24700105686982474,7.527585892285702,0.0,-2.741777164057435,0.0,-17.615903920032828,0.0,13.76075455922372,0.0,-12.710981702906288,0.0,0.35189507571571355,0.1851660178932163,0.1851660178932163,7.939562678256146,0.030719223630069622,0.0038689577968660533,3.88432409924776e-05,0.22681045532226818,0.0,1.0,1.0,1.0,36863.65322825904,36863.65322825904,2666.9276330639345,2666.9276330639345,1176778.6635340564,1176778.6635340564,1,0.726033408540498
2025-05-26 00:00:00+00:00,0,0,1,7058980030,0.0044271466526439,250,4153969,6.596232374509175,17021,0.1908475309610366,126831,93.12557983398438,175377.0,22088.0,5709030.0,93.0293197631836,0.2400137186050415,6.812249918778737,0.0,0.0,0.0,0.0,0.0,0.0,181021.0,22055.75,4574167.0,92.85842514038086,0.2329626753926277,7.29474751284157,181021.0,22055.75,4574167.0,92.85842514038086,0.2329626753926277,7.29474751284157,0.0,-27.680938777604812,0.0,-22.94005795001811,0.0,-27.238620220948217,0.0,-20.484740593062156,0.0,0.10347283098040005,0.25976110274454106,0.25976110274454106,7.451004582305252,0.030532478568694527,0.004097525981169821,5.200763509610489e-05,0.19758605957029624,0.0,1.0,1.0,1.0,47022.21457991957,47022.21457991957,4000.9699969715675,4000.9699969715675,1000839.2908237899,1000839.2908237899,1,0.5250605452174453
2025-05-27 00:00:00+00:00,0,0,0,7058980030,0.003805585152743,217,3574770,6.9956706166267395,17517,0.1954899877309799,123131,93.10225677490234,126831.0,17021.0,4153969.0,93.12557983398438,0.1908475309610366,6.596232374509175,0.0,0.0,0.0,0.0,0.0,0.0,169443.0,21148.0,4374287.6,92.90719146728516,0.22546813786029815,7.234932133598605,169443.0,21148.0,4374287.6,92.90719146728516,0.22546813786029815,7.234932133598605,0.0,-2.917267860381134,0.0,2.9140473532695,0.0,-13.943267270410542,0.0,2.432547461612744,0.0,-0.025044739719859432,0.2847873730188067,0.2847873730188067,7.028827491722799,0.03444444413362422,0.004900174025133358,5.681439931639817e-05,0.14755935668944578,0.14755935668944578,1.0,1.0,1.0,48255.22684642566,48255.22684642566,4015.703051770636,4015.703051770636,975201.6905565227,975201.6905565227,1,0.5097431226842748
2025-05-28 00:00:00+00:00,0,0,0,7058980030,0.0042183655712343,183,3908911,7.427737216154735,11205,0.1852715015411377,152480,93.1170654296875,123131.0,17517.0,3574770.0,93.10225677490234,0.1954899877309799,6.9956706166267395,0.0,0.0,0.0,0.0,0.0,0.0,166615.83333333334,19490.833333333332,4296724.833333333,92.94217046101888,0.21876869847377142,7.267066314024626,166615.83333333334,19490.833333333332,4296724.833333333,92.94217046101888,0.21876869847377142,7.267066314024626,0.0,23.835589737758966,0.0,-36.033567391676655,0.0,9.347202757100458,0.0,-5.227114855572134,0.0,0.015905795732717998,0.2623569478056534,0.2623569478056534,13.606996252007853,0.039008296937869155,0.0028665265424240812,4.871254265223034e-05,0.11430162702287898,0.11430162702287898,1.0,1.0,1.0,43712.82148942878,43712.82148942878,5420.138832785251,5420.138832785251,892698.4745418614,892698.4745418614,1,0.63124340212374
2025-05-29 00:00:00+00:00,0,0,0,7058980030,0.0043965995620628,152,4275884,6.825025856494904,17545,0.1843652129173278,177725,93.18643188476562,152480.0,11205.0,3908911.0,93.1170654296875,0.1852715015411377,7.427737216154735,0.0,0.0,0.0,0.0,0.0,0.0,168202.85714285713,19212.85714285714,4293747.571428572,92.97706495012555,0.21385391482285088,7.203917677234665,168202.85714285713,19212.85714285714,4293747.571428572,92.97706495012555,0.21385391482285088,7.203917677234665,0.0,16.556269674711444,0.0,56.581883087907194,0.0,9.388113466896542,0.0,-0.4891678516507625,0.0,0.07449381566959623,0.23854806755006874,0.23854806755006874,10.129089251111365,0.04156449483557205,0.00410324412373111,3.840195501218113e-05,0.09760938371931169,0.09760938371931169,1.0,1.0,1.0,40124.466527828845,40124.466527828845,5002.247775702819,5002.247775702819,814956.555484372,814956.555484372,1,0.7357537620831694
2025-05-30 00:00:00+00:00,0,0,0,7058980030,0.004986888898852,148,4481412,6.861977517604828,20695,0.1941375136375427,223367,93.20006561279295,177725.0,17545.0,4275884.0,93.18643188476562,0.1843652129173278,6.825025856494904,241555.0,22303.0,3415216.0,92.57569885253906,0.2260250598192215,8.088293676790984,165604.57142857142,18983.14285714286,4446061.285714285,93.0662602015904,0.20929855108261106,7.0287296544937865,175098.375,19398.125,4317205.625,93.00494003295898,0.21138936467468736,7.161175157280936,-7.5295481360352685,25.68124912083274,-7.209792404609249,17.953833000854935,31.218991712383648,4.80667857219701,-14.107969358434403,5.300512263447965,0.6744391541115169,0.014630593479725285,0.23961769194314206,0.23961769194314206,10.792761886354851,0.049842984790734526,0.004617963129039881,3.072050391105632e-05,0.06416429792131338,0.08365631103515775,1.0006593216296864,0.9457801731659212,0.9901091826672836,41956.668480494765,41956.668480494765,4660.733401438631,4660.733401438631,757414.8532526256,757414.8532526256,1,0.9247045186396473
2025-05-31 00:00:00+00:00,0,1,0,7058980030,0.0054615868878511,145,4748623,7.135407368342082,18710,0.1676626056432724,270224,93.2258529663086,223367.0,20695.0,4481412.0,93.20006561279295,0.1941375136375427,6.861977517604828,180321.0,26811.0,5018453.0,92.7031021118164,0.2749643921852112,7.682214081287384,178447.85714285713,17825.85714285714,4407514.142857143,93.14093889508929,0.19396972443376265,6.950614409787314,185667.88888888888,19321.666666666668,4365140.888888889,93.02948591444228,0.20653083589341903,7.158312069621063,49.85719910603868,20.977583976146885,-30.2152101749282,-9.59168881372312,-5.376756542304973,5.962651949876507,-39.02388439797041,-13.637193295727123,0.5638979091138197,0.027668814765413607,0.2717508677916471,0.2717508677916471,14.441985997541552,0.056905747854536386,0.003940088749919976,2.6405430172419582e-05,0.02938379560198068,0.07328694661458171,1.001198039304974,0.9611131909279558,0.9391804550380138,50455.409926598666,50455.409926598666,4365.746700164818,4365.746700164818,722943.7793864824,722943.7793864824,2,1.0
2025-06-01 00:00:00+00:00,1,1,0,7058980030,0.0056934580727325,145,5017250,7.4519056876500445,18442,0.1816743910312652,310927,93.32260131835938,270224.0,18710.0,4748623.0,93.2258529663086,0.1676626056432724,7.135407368342082,175377.0,22088.0,5709030.0,93.0293197631836,0.2400137186050415,6.812249918778737,197812.14285714287,17305.0,4308688.428571428,93.1828362601144,0.18563553478036604,7.041993805340359,198193.8,19233.7,4430351.8,93.05879745483398,0.20404519140720362,7.1876714314239605,77.29063674256031,15.062688732310981,-16.506700470843892,-1.4323890967397168,-12.117294881967688,5.656945181792694,-24.30666376607311,8.35713207142026,0.3152571210048194,0.10377845734030888,0.3123312428443062,0.3123312428443062,16.85880821992084,0.06197158563524129,0.003675718037626581,2.3966660087383716e-05,0.03290203639439404,0.06928771047880967,1.001332907889129,0.9980743235012542,0.9097765720433064,61902.11587803585,61902.11587803585,4125.454669891954,4125.454669891954,712109.8018286224,712109.8018286224,3,1.0
