timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-02-24 00:00:00+00:00,0,0,0,372226183,0.0,0.0,793678,0.0,0.0,92.64582061767578,2.216728687286377,17656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17656.0,793678.0,92.64582061767578,2.216728687286377,0.0,0.0,17656.0,793678.0,92.64582061767578,2.216728687286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022245769385356044,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-02-25 00:00:00+00:00,0,0,0,372226183,0.0,0.0,1300866,0.0,0.0,92.64671325683594,2.2347867488861084,17739,0.0,17656.0,793678.0,92.64582061767578,2.216728687286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17697.5,1047272.0,92.64626693725586,2.2257577180862427,0.0,0.0,17697.5,1047272.0,92.64626693725586,2.2257577180862427,0.0,0.0,0.0,0.0,0.47009515178975114,0.0,63.90349738810954,0.0,0.8146266028540072,0.0,0.0009634964148519387,0.0,0.0,0.0,0.0,0.013636290258727448,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.68986283848344,58.68986283848344,358636.0741364427,358636.0741364427,0,0.0
2020-02-26 00:00:00+00:00,0,0,0,372226183,0.0,0.0,1184679,0.0,0.0,92.64682006835938,2.21880841255188,17722,0.0,17739.0,1300866.0,92.64671325683594,2.2347867488861084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17705.666666666668,1093074.3333333333,92.64645131429036,2.2234412829081216,0.0,0.0,17705.666666666668,1093074.3333333333,92.64645131429036,2.2234412829081216,0.0,0.0,0.0,0.0,-0.09583403799537926,0.0,-8.931511777538958,0.0,-0.7149825969834822,0.0,0.00011528905849989002,0.0,0.0,0.0,0.0,0.014959313907553095,0.0,0.000499725341806299,0.0,1.0,0.0,1.0,0.0,0.0,43.84442191811084,43.84442191811084,265713.1499424395,265713.1499424395,0,0.0
2020-02-27 00:00:00+00:00,0,0,0,372226183,0.0,0.0,1079695,0.0,0.0,92.64652252197266,1.984527587890625,16002,0.0,17722.0,1184679.0,92.64682006835938,2.21880841255188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17279.75,1089729.5,92.64646911621094,2.1637128591537476,0.0,0.0,17279.75,1089729.5,92.64646911621094,2.1637128591537476,0.0,0.0,0.0,0.0,-9.705450852048303,0.0,-8.86180982358934,0.0,-10.558857778613051,0.0,-0.0003211620069665244,0.0,0.0,0.0,0.0,0.014820838458232687,0.0,0.00022125244138256175,0.0,1.0,0.0,1.0,0.0,0.0,852.5852352306682,852.5852352306682,217056.9902314444,217056.9902314444,0,0.0
2020-02-28 00:00:00+00:00,0,0,0,372226183,0.0,0.0,1190692,0.0,0.0,92.64704895019533,1.9526625871658323,17584,0.0,16002.0,1079695.0,92.64652252197266,1.984527587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17340.6,1109922.0,92.6465850830078,2.1215028047561644,0.0,0.0,17340.6,1109922.0,92.6465850830078,2.1215028047561644,0.0,0.0,0.0,0.0,9.886264216972872,0.0,10.280403262032323,0.0,-1.6056718444847795,0.0,0.0005682115295169154,0.0,0.0,0.0,0.0,0.014767870475429015,0.0,0.0002265930175747029,0.0002265930175747029,1.0,0.0,1.0,0.0,0.0,750.7927809988589,750.7927809988589,193323.53203244557,193323.53203244557,0,0.0
2020-02-29 00:00:00+00:00,0,1,0,372226183,0.0,0.0,1846057,0.0,0.0,92.64794921875,1.9316810369491575,28180,0.0,17584.0,1190692.0,92.64704895019533,1.9526625871658323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19147.166666666668,1232611.1666666667,92.64681243896484,2.0898658434549966,0.0,0.0,19147.166666666668,1232611.1666666667,92.64681243896484,2.0898658434549966,0.0,0.0,0.0,0.0,60.25932666060054,0.0,55.04068222512623,0.0,-1.0745097670523895,0.0,0.0009717185435187403,0.0,0.0,0.0,0.0,0.015264959172463705,0.0,0.00032435825893125286,0.00032435825893125286,1.0,0.0,1.0,0.0,0.0,4475.829595356226,4475.829595356226,346720.31975955295,346720.31975955295,0,0.0
2020-03-01 00:00:00+00:00,0,1,0,372226183,0.0,0.0,1866698,0.0,0.0,92.64778900146484,2.061012506484986,29559,0.0,28180.0,1846057.0,92.64794921875,1.9316810369491575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20634.571428571428,1323195.0,92.64695194789341,2.0857439381735667,0.0,0.0,20634.571428571428,1323195.0,92.64695194789341,2.0857439381735667,0.0,0.0,0.0,0.0,4.893541518807676,0.0,1.1181128210017377,0.0,6.695280797501169,0.0,-0.00017293128072859432,0.0,0.0,0.0,0.0,0.015834904288265006,0.0,0.00030735560825690815,0.00030735560825690815,1.0,0.0,1.0,0.0,0.0,5672.814053511212,5672.814053511212,397010.2846795449,397010.2846795449,0,0.0
2020-03-02 00:00:00+00:00,0,0,0,372226183,0.0,0.0,1034985,0.0,0.0,92.6485366821289,1.8345125913619995,14052,0.0,29559.0,1866698.0,92.64778900146484,2.061012506484986,0.0,0.0,17656.0,793678.0,92.64582061767578,2.216728687286377,0.0,0.0,20119.714285714286,1357667.4285714286,92.64733995710101,2.0311416387557983,0.0,0.0,19811.75,1287168.75,92.64715003967285,2.0543400198221207,0.0,0.0,0.0,-20.412324422292706,-52.46117933624277,30.403639763228906,-44.55530567879753,-17.242348967490006,-10.98973996568693,0.00293166430500591,0.0008070140389948577,0.0,0.0,0.0,0.0,0.013576995244380117,0.0,0.00031552995955054264,0.0003369649251343619,1.000002049900381,0.0,0.9887076234496318,0.0,0.0,5744.548738959896,5744.548738959896,381423.0638459647,381423.0638459647,0,0.0
2020-03-03 00:00:00+00:00,0,0,0,372226183,0.0,0.0,986298,0.0,0.0,92.64842987060548,1.8891873359680176,13723,0.0,14052.0,1034985.0,92.6485366821289,1.8345125913619995,0.0,0.0,17739.0,1300866.0,92.64671325683594,2.2347867488861084,0.0,0.0,19546.0,1312729.142857143,92.6475851876395,1.981770294053214,0.0,0.0,19135.222222222223,1253738.6666666667,92.6472922431098,2.0359897216161094,0.0,0.0,0.0,-22.639382152319744,-2.3413037290065497,-24.181429908999085,-4.704126146755749,-15.464536519663408,2.980341746546733,0.0018528598686451403,-0.00011528678945937898,0.0,0.0,0.0,0.0,0.013913630653584764,0.0,0.0003427777971552723,0.0003211975097661194,1.0000031619329892,0.0,0.9733694983883034,0.0,0.0,5744.04636945459,5744.04636945459,370616.0326733046,370616.0326733046,0,0.0
2020-03-04 00:00:00+00:00,0,0,0,372226183,0.0,0.0,954412,0.0,0.0,92.64813995361328,1.8153772354125977,12675,0.0,13723.0,986298.0,92.64842987060548,1.8891873359680176,0.0,0.0,17722.0,1184679.0,92.64682006835938,2.21880841255188,0.0,0.0,18825.0,1279833.857142857,92.64777374267578,1.9241372687476022,0.0,0.0,18489.2,1223806.0,92.64737701416016,2.013928472995758,0.0,0.0,0.0,-28.478727005981263,-7.636814107702394,-19.437079580206962,-3.232897156843062,-18.182334935141643,-3.9069762511190986,0.0014246417231911224,-0.00031292164649476817,0.0,0.0,0.0,0.0,0.013280414244147973,0.0,0.0002929142543268186,0.0002798369436541257,1.0000042821343509,0.0,0.9554148990631283,0.0,0.0,5788.048736645001,5788.048736645001,362013.92812923033,362013.92812923033,0,0.0
