timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-28 00:00:00+00:00,1,1,0,7008097940,2331558,235,26.4992638501254,477798,51152,0.4214160740375519,0.1446011433882492,92.54061889648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477798.0,51152.0,2331558.0,92.54061889648438,0.4214160740375519,26.4992638501254,477798.0,51152.0,2331558.0,92.54061889648438,0.4214160740375519,26.4992638501254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.340566535687056,0.2049264033206966,0.02193896873293792,5.546111199505524e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-29 00:00:00+00:00,1,1,0,7008097940,9328636,170,18.15105287233989,790185,111934,0.9826695919036864,0.0938928012729142,92.0328369140625,477798.0,51152.0,2331558.0,92.54061889648438,0.4214160740375519,26.4992638501254,0.0,0.0,0.0,0.0,0.0,0.0,633991.5,81543.0,5830097.0,92.28672790527344,0.7020428329706192,22.325158361232646,633991.5,81543.0,5830097.0,92.28672790527344,0.7020428329706192,22.325158361232646,0.0,65.38055831125287,0.0,118.82624335314355,0.0,300.1031070211421,0.0,133.1827503608991,0.0,-0.548712542099894,0.348413134962412,0.348413134962412,7.059320141153348,0.08470530046350823,0.011998966194096737,2.2970608024363742e-05,0.0,0.0,1.0,1.0,1.0,220890.96605452202,220890.96605452202,42979.36437408073,42979.36437408073,4947681.302291205,4947681.302291205,2,1.0
2025-06-30 00:00:00+00:00,1,0,0,7008097940,15375100,80,16.14585800965627,1479392,168049,1.4878509044647217,0.0711965074670405,91.26827239990234,790185.0,111934.0,9328636.0,92.0328369140625,0.9826695919036864,18.15105287233989,0.0,0.0,0.0,0.0,0.0,0.0,915791.6666666666,110378.33333333333,9011764.666666666,91.9472427368164,0.9639788568019867,20.26539157737385,915791.6666666666,110378.33333333333,9011764.666666666,91.9472427368164,0.9639788568019867,20.26539157737385,0.0,87.22096724184843,0.0,50.13222077295549,0.0,64.81616390649178,0.0,51.409071444082,0.0,-0.8307518705243044,0.5595975695009962,0.5595975695009962,8.80328473668551,0.09621998580692251,0.010929944460202245,1.0913839669145568e-05,-0.6361732482910255,0.0,1.0,1.0,1.0,512474.79083593306,512474.79083593306,58464.02506100083,58464.02506100083,6527541.846503731,6527541.846503731,3,1.0
2025-07-01 00:00:00+00:00,1,0,0,7008097940,20561763,65,17.89479915301005,1926773,199049,1.7721930742263794,0.0503059475269304,90.5878677368164,1479392.0,168049.0,15375100.0,91.26827239990234,1.4878509044647217,16.14585800965627,0.0,0.0,0.0,0.0,0.0,0.0,1168537.0,132546.0,11899264.25,91.6073989868164,1.1660324111580849,19.672743471282903,1168537.0,132546.0,11899264.25,91.6073989868164,1.1660324111580849,19.672743471282903,0.0,30.24086922195064,0.0,18.447000577212602,0.0,33.73417408667261,0.0,19.110931673893393,0.0,-0.7454996629109645,0.5615629608482536,0.5615629608482536,9.679844260236122,0.0937066002702881,0.009680541027511064,9.287440640682328e-06,-0.6622817993164168,0.0,1.0,1.0,1.0,656207.0975807358,656207.0975807358,65148.419776179784,65148.419776179784,7858529.362858268,7858529.362858268,4,1.0
2025-07-02 00:00:00+00:00,1,0,0,7008097940,25330465,18,15.453757921854654,3591054,249188,2.109164237976074,0.0576449393949891,90.13274383544922,1926773.0,199049.0,20561763.0,90.5878677368164,1.7721930742263794,17.89479915301005,0.0,0.0,0.0,0.0,0.0,0.0,1653040.4,155874.4,14585504.4,91.31246795654297,1.3546587765216827,18.82894636139725,1653040.4,155874.4,14585504.4,91.31246795654297,1.3546587765216827,18.82894636139725,0.0,86.37659963057402,0.0,25.189275002637544,0.0,23.1920871765714,0.0,19.014359589278595,0.0,-0.5024115400192986,0.7400823934718636,0.7400823934718636,14.410965171014771,0.14176817749819526,0.009837481868671505,4.303403295648397e-06,-0.6260719299316472,-0.6260719299316472,1.0,1.0,1.0,1223386.0957376866,1223386.0957376866,76839.4994927739,76839.4994927739,9077267.955036873,9077267.955036873,5,1.0
2025-07-03 00:00:00+00:00,1,0,0,7008097940,30077341,12,16.728638251622517,5427868,280866,2.462820529937744,0.0599438609722159,89.5706558227539,3591054.0,249188.0,25330465.0,90.13274383544922,2.109164237976074,15.453757921854654,0.0,0.0,0.0,0.0,0.0,0.0,2282178.3333333335,176706.33333333334,17167477.166666668,91.0221659342448,1.5393524020910263,18.478895009768127,2282178.3333333335,176706.33333333334,17167477.166666668,91.0221659342448,1.5393524020910263,18.478895009768127,0.0,51.14971816074054,0.0,12.712490168065882,0.0,18.73979020914145,0.0,16.76760328067357,0.0,-0.6236224359501219,0.8281707537864398,0.8281707537864398,19.325403126746824,0.18046368592011888,0.009338125689430935,3.0819900501693236e-06,-0.6065856933593661,-0.6065856933593661,1.0,1.0,1.0,1890033.3505917476,1890033.3505917476,85599.43705578131,85599.43705578131,10291595.35878094,10291595.35878094,6,1.0
2025-07-04 00:00:00+00:00,1,0,1,7008097940,33737041,7,15.10638944307963,22000000,290234,2.453798770904541,0.178561792887279,89.02995300292969,5427868.0,280866.0,30077341.0,89.5706558227539,2.462820529937744,16.728638251622517,0.0,0.0,0.0,0.0,0.0,0.0,5099010.0,192924.57142857142,19534557.714285713,90.73756408691406,1.669987597635814,17.9971085002412,5099010.0,192924.57142857142,19534557.714285713,90.73756408691406,1.669987597635814,17.9971085002412,0.0,305.3156782736795,0.0,3.335398375025811,0.0,12.167631440558523,0.0,-0.3663181674643301,0.0,-0.6036606686169455,1.5002417483242174,1.5002417483242174,75.8006443054766,0.6521022204614145,0.00860282890242719,6.866540343829817e-07,-0.5925674438476594,-0.5925674438476594,1.0,1.0,1.0,7649747.677122668,7649747.677122668,89147.4719137848,89147.4719137848,11290952.34054609,11290952.34054609,7,1.0
2025-07-05 00:00:00+00:00,1,1,0,7008097940,36156261,6,16.911633769671123,25000000,302323,2.298044204711914,0.1580955409625061,88.64798736572266,22000000.0,290234.0,33737041.0,89.02995300292969,2.453798770904541,15.10638944307963,477798.0,51152.0,2331558.0,92.54061889648438,0.4214160740375519,26.4992638501254,8602181.714285715,228806.14285714287,24366658.14285714,90.18147386823382,1.9380773305892944,16.627447060176305,7586633.75,206599.375,21612270.625,90.47636699676514,1.7484946735203266,17.86142415891994,5132.336677842938,13.636363636363647,491.0286987801063,4.16525975592108,1450.733929844336,7.1708126388440485,445.31479606236803,-6.347487334310276,-4.206403174281769,-0.42903048280218403,1.3158980307440395,1.3158980307440395,82.69274023894894,0.6914431585875774,0.008361566801346887,6.76465323728232e-07,-0.5588714054652558,-0.5691763559977192,0.9967406612542051,1.133860154285913,1.1084262136682819,9983236.411601268,9983236.411601268,91147.95244457928,91147.95244457928,11992018.304703662,11992018.304703662,8,1.0
2025-07-06 00:00:00+00:00,1,1,0,7008097940,38266810,5,14.752840320269266,27000000,315300,2.518796682357788,0.1381526624848182,88.5702133178711,25000000.0,302323.0,36156261.0,88.64798736572266,2.298044204711914,16.911633769671123,790185.0,111934.0,9328636.0,92.0328369140625,0.9826695919036864,18.15105287233989,12346441.0,257858.42857142858,28500683.0,89.68681335449219,2.157524057797023,16.141988124166215,9743674.444444444,218677.22222222222,23462775.0,90.26457214355469,1.8340837856133778,17.51602595462542,3316.9213538601716,8.000000000000007,181.6838494112602,4.292428958431871,310.2079875342977,5.837298829101822,156.3218301563829,9.606102319234889,-3.7623784208941635,-0.08773357428939477,1.1660323233399628,1.1660323233399628,85.63245914221649,0.7055722516307931,0.008239515960710707,5.464014731062146e-07,-0.46702602931431453,-0.5255003611246741,0.9935992740524638,1.2671237191262663,1.1763497800486122,11361439.350323776,11361439.350323776,92640.83938627956,92640.83938627956,12516059.208866483,12516059.208866483,9,1.0
2025-07-07 00:00:00+00:00,1,0,0,7008097940,44909333,4,15.379069566726685,36000000,387198,3.17098331451416,0.1541270501705456,87.21900939941406,27000000.0,315300.0,38266810.0,88.5702133178711,2.518796682357788,14.752840320269266,1479392.0,168049.0,15375100.0,91.26827239990234,1.4878509044647217,16.14585800965627,17277956.42857143,289165.4285714286,32719859.14285714,89.10834721156529,2.397971544946943,16.03244691803342,12369307.0,235529.3,25607430.8,89.96001586914062,1.9677737385034562,17.302330315835547,2333.4321126516843,33.33333333333333,130.40779772566333,22.803044719314936,192.09132298326517,17.35844456331741,113.1250722097704,25.892785897505433,-4.4366600725671335,-1.5255737429553995,1.0956825024931183,1.0956825024931183,92.9754467341083,0.8016150940915757,0.008621771144501942,4.271963649869533e-07,-0.5055108751569439,-0.5483036850437939,0.9905328089446516,1.3968411026237306,1.2186215813463717,13552833.247865645,13552833.247865645,102316.46346621512,102316.46346621512,13610344.391109446,13610344.391109446,10,1.0
