timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,daily_Estimated Revenue,ccu_playing,daily_rpv,platform_platform_share,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-14 00:00:00+00:00,0,1,0,5367389312,123981,14.44021162779435,177500.0,1153,0.0896817533030961,0.0150542082265019,92.9860382080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177500.0,1153.0,123981.0,92.9860382080078,0.0150542082265019,14.44021162779435,177500.0,1153.0,123981.0,92.9860382080078,0.0150542082265019,14.44021162779435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.81282495667244,1.4316594344340308,0.009299737058605281,8.135284661942383e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-15 00:00:00+00:00,0,1,0,5367389312,143932,10.810841878255207,203186.0,1184,0.0967049623812289,0.0162663403898477,92.69406127929688,0.0,177500.0,1153.0,123981.0,92.9860382080078,0.0150542082265019,14.44021162779435,0.0,0.0,0.0,0.0,0.0,0.0,190343.0,1168.5,133956.5,92.84004974365234,0.0156602743081748,12.62552675302478,190343.0,1168.5,133956.5,92.84004974365234,0.0156602743081748,12.62552675302478,0.0,14.470985915492962,0.0,2.6886383347788367,0.0,16.091981835926482,0.0,8.051782897568295,0.0,-0.3140008267238703,0.09542113333065917,0.09542113333065917,171.4649789029536,1.411670707898814,0.008226049620309449,5.320636594986494e-05,0.0,0.0,1.0,1.0,1.0,18162.74478155766,18162.74478155766,21.920310216782973,21.920310216782973,14107.487391452809,14107.487391452809,2,1.0
2024-09-16 00:00:00+00:00,0,0,0,5367389312,95171,10.530160546302795,132623.0,1018,0.0593280741626621,0.0148865645751357,92.69981384277344,0.0,203186.0,1184.0,143932.0,92.69406127929688,0.0162663403898477,10.810841878255207,0.0,0.0,0.0,0.0,0.0,0.0,171103.0,1118.3333333333333,121028.0,92.79330444335938,0.015402371063828434,11.927071350784118,171103.0,1118.3333333333333,121028.0,92.79330444335938,0.015402371063828434,11.927071350784118,0.0,-34.7282785231266,0.0,-14.020270270270274,0.0,-33.8778034071645,0.0,-8.482398509090338,0.0,0.006205967671690793,0.20872690215734552,0.20872690215734552,130.15014720314034,1.3935085949649055,0.010696423317782542,7.939860467413738e-05,-0.14311218261718586,0.0,1.0,1.0,1.0,35713.79913982829,35713.79913982829,88.2628649735172,88.2628649735172,24514.259870532496,24514.259870532496,2,0.652717214768734
2024-09-17 00:00:00+00:00,0,0,0,5367389312,82583,11.74297113003938,114276.0,774,0.0491867449391901,0.0137661434710025,92.64930725097656,0.0,132623.0,1018.0,95171.0,92.69981384277344,0.0148865645751357,10.530160546302795,0.0,0.0,0.0,0.0,0.0,0.0,156896.25,1032.25,111416.75,92.75730514526367,0.01499331416562195,11.881046295597933,156896.25,1032.25,111416.75,92.75730514526367,0.01499331416562195,11.881046295597933,0.0,-13.833950370599368,0.0,-23.968565815324162,0.0,-13.226718222988099,0.0,-7.526391320698556,0.0,-0.054484027209089625,0.2594974309482228,0.2594974309482228,147.45290322580644,1.3837547224643998,0.009372275501307759,0.00010275883274884168,-0.10044403076171712,0.0,1.0,1.0,1.0,40714.1738004101,40714.1738004101,186.64114408850654,186.64114408850654,27751.344668622216,27751.344668622216,2,0.5624206392172689
2024-09-18 00:00:00+00:00,0,0,0,5367389312,66918,11.071214485168458,107233.0,879,0.0443058699046288,0.0144750215113163,92.6858139038086,0.0,114276.0,774.0,82583.0,92.64930725097656,0.0137661434710025,11.74297113003938,0.0,0.0,0.0,0.0,0.0,0.0,146963.6,1001.6,102517.0,92.74300689697266,0.01488965563476082,11.719079933512038,146963.6,1001.6,102517.0,92.74300689697266,0.01488965563476082,11.719079933512038,0.0,-6.1631488676537565,0.0,13.56589147286822,0.0,-18.96879503045421,0.0,5.149430861352022,0.0,0.03940304996898902,0.2835503535511925,0.2835503535511925,121.85568181818182,1.6024298031949074,0.013135282954019037,0.00010324350938292386,-0.06452026367188497,-0.06452026367188497,1.0,1.0,1.0,41671.58073915604,41671.58073915604,175.56565723398182,175.56565723398182,31203.054313640514,31203.054313640514,2,0.5277578179598988
2024-09-19 00:00:00+00:00,0,0,0,5367389312,94642,10.290584206581116,122986.0,1011,0.0490587483967411,0.016978183761239,92.55625915527344,0.0,107233.0,879.0,66918.0,92.6858139038086,0.0144750215113163,11.071214485168458,0.0,0.0,0.0,0.0,0.0,0.0,142967.33333333334,1003.1666666666666,101204.5,92.71188227335612,0.015237743655840517,11.480997312356884,142967.33333333334,1003.1666666666666,101204.5,92.71188227335612,0.015237743655840517,11.480997312356884,0.0,14.690440442774143,0.0,15.017064846416384,0.0,41.42980961774112,0.0,17.29297775458072,0.0,-0.13977840089920424,0.26954537134846085,0.26954537134846085,121.52766798418972,1.2994727555128218,0.01068224802679543,8.367212962818115e-05,-0.06354697091238304,-0.06354697091238304,1.0,1.0,1.0,38536.18295403252,38536.18295403252,157.07758168073082,157.07758168073082,28093.42300788567,28093.42300788567,2,0.6052877658893822
2024-09-20 00:00:00+00:00,0,0,0,5367389312,115912,10.658638993899029,151884.0,1368,0.0582188007885521,0.0186826381832361,92.53355407714844,0.0,122986.0,1011.0,94642.0,92.55625915527344,0.016978183761239,10.290584206581116,0.0,0.0,0.0,0.0,0.0,0.0,144241.14285714287,1055.2857142857142,103305.57142857143,92.68640681675502,0.015729871445468457,11.363517552577191,144241.14285714287,1055.2857142857142,103305.57142857143,92.68640681675502,0.015729871445468457,11.363517552577191,0.0,23.49698339648416,0.0,35.31157270029674,0.0,22.47416580376578,0.0,10.039085722987352,0.0,-0.024531110410275225,0.24500379837252376,0.24500379837252376,110.94521548575602,1.3103275732661566,0.011801954914461708,7.017571843104341e-05,-0.05882344927106477,-0.05882344927106477,1.0,1.0,1.0,35339.62788159383,35339.62788159383,198.93693664552276,198.93693664552276,26241.22434171815,26241.22434171815,2,0.7475121317413601
2024-09-21 00:00:00+00:00,0,1,0,5367389312,175042,10.31087346871694,234386.0,1608,0.0850952953370615,0.0205548163503408,92.45787811279295,0.0,151884.0,1368.0,115912.0,92.53355407714844,0.0186826381832361,10.658638993899029,177500.0,1153.0,123981.0,92.9860382080078,0.0150542082265019,14.44021162779435,152367.7142857143,1120.2857142857142,110600.0,92.61095537458148,0.016515672606016874,10.773612101280417,155509.25,1124.375,112272.625,92.65784072875977,0.0163329895585775,11.231937042094659,32.04845070422535,54.31908561797161,39.462272333044226,17.543859649122815,41.18453634024568,51.01283732486714,36.53867437648071,10.020951798898526,-0.5679993527989202,-0.08178218713223995,0.29371474260404834,0.29371474260404834,145.67184586699813,1.3390195551950093,0.00918631421993453,4.399080780383272e-05,-0.040504183088027876,-0.05825969151087654,0.999493994746591,0.9797983996817828,1.0111849117875322,45675.35933629861,45675.35933629861,268.5308907476275,268.5308907476275,35121.141203137384,35121.141203137384,3,1.0
2024-09-22 00:00:00+00:00,0,1,0,5367389312,207326,10.833051164944967,309066.0,1863,0.1042815788813054,0.0276844389736652,92.56533813476562,0.0,234386.0,1608.0,175042.0,92.45787811279295,0.0205548163503408,10.31087346871694,203186.0,1184.0,143932.0,92.69406127929688,0.0162663403898477,10.810841878255207,167493.42857142858,1217.2857142857142,119656.28571428571,92.59256635393415,0.018146829546562226,10.776784856521813,172571.11111111112,1206.4444444444443,122834.11111111111,92.64756266276042,0.017594261715809467,11.187616389078027,52.109889460888056,31.861971278148005,57.34797297297298,15.858208955223873,44.044409860211765,18.443573542349846,70.19463696298811,34.685897951144604,-0.13886881506183224,0.11622592272946264,0.38635668444543175,0.38635668444543175,165.8079399141631,1.4907175621120259,0.008985805032629614,3.505081799397855e-05,-0.03351947239467339,-0.046948623657229946,0.9994063922757853,0.9705762887716864,1.031406139096831,66674.0023199531,66674.0023199531,351.72969419396156,351.72969419396156,45642.2243033916,45642.2243033916,4,1.0
2024-09-23 00:00:00+00:00,0,0,0,5367389312,174931,10.886273264884949,247934.0,1487,0.0789435741208021,0.0237929224967956,92.61349487304688,0.0,309066.0,1863.0,207326.0,92.56533813476562,0.0276844389736652,10.833051164944967,132623.0,1018.0,95171.0,92.69981384277344,0.0148865645751357,10.530160546302795,183966.42857142858,1284.2857142857142,131050.57142857143,92.58023507254464,0.019419166392513645,10.82765810203355,180107.4,1234.5,128043.8,92.64415588378907,0.01821412779390808,11.15748207665872,86.94645725100474,-19.779594002575507,46.07072691552063,-20.182501341921633,83.80704206113208,-15.625150728803916,59.82816167361913,-14.056692572211427,-0.09311665919088385,0.052024590685495475,0.37325953575830206,0.37325953575830206,166.622311827957,1.4173164429606933,0.008500445887544875,4.3907771250065336e-05,-0.015956061226977562,-0.03600269664417474,0.9993100394662281,1.0214262632819562,1.0661595554967283,67226.80451063481,67226.80451063481,343.27677527680834,343.27677527680834,46077.68604770763,46077.68604770763,4,0.8022040599742449
