timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ratings_like_ratio,visits_visits_gained,ccu_playing,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-02-24 00:00:00+00:00,0,0,0,1214576306,0.7613413333892822,90.35295104980467,0,6064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064.0,0.0,90.35295104980467,0.7613413333892822,0.0,0.0,6064.0,0.0,90.35295104980467,0.7613413333892822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6064.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-02-25 00:00:00+00:00,0,0,0,1214576306,0.7379999160766602,90.35474395751952,295981,5858,0.0,0.0,0.0,0.0,0.0,6064.0,0.0,90.35295104980467,0.7613413333892822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5961.0,147990.5,90.3538475036621,0.7496706247329712,0.0,0.0,5961.0,147990.5,90.3538475036621,0.7496706247329712,0.0,0.0,0.0,0.0,-3.3970976253298146,0.0,inf,0.0,-3.0658282020119,0.0,0.00198433774880602,0.0,0.0,0.0,0.0,0.01979174409254617,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,145.6639969244288,145.6639969244288,209290.1722023755,209290.1722023755,0,0.0
2020-02-26 00:00:00+00:00,0,0,0,1214576306,0.7727392911911011,90.35111236572266,301100,6172,0.0,0.0,0.0,0.0,0.0,5858.0,295981.0,90.35474395751952,0.7379999160766602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6031.333333333333,199027.0,90.35293579101562,0.7573601802190145,0.0,0.0,6031.333333333333,199027.0,90.35293579101562,0.7573601802190145,0.0,0.0,0.0,0.0,5.360191191532948,0.0,1.7295029072811996,0.0,4.707232935624384,0.0,-0.0040192596844401685,0.0,0.0,0.0,0.0,0.020498105286930298,0.0,-0.0009193420410149639,0.0,1.0,0.0,1.0,0.0,0.0,159.52847185795196,159.52847185795196,172381.44066865204,172381.44066865204,0,0.0
2020-02-27 00:00:00+00:00,0,0,0,1214576306,0.9398043751716614,90.35336303710938,334699,7578,0.0,0.0,0.0,0.0,0.0,6172.0,301100.0,90.35111236572266,0.7727392911911011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6418.0,232945.0,90.35304260253906,0.8029712289571762,0.0,0.0,6418.0,232945.0,90.35304260253906,0.8029712289571762,0.0,0.0,0.0,0.0,22.780298120544384,0.0,11.158751245433418,0.0,21.61985107849842,0.0,0.0024910278664913577,0.0,0.0,0.0,0.0,0.02264117119808784,0.0,-0.00023956298829284803,0.0,1.0,0.0,1.0,0.0,0.0,784.2261578566905,784.2261578566905,156243.28344177443,156243.28344177443,0,0.0
2020-02-28 00:00:00+00:00,0,0,0,1214576306,0.8361890912055969,90.35284423828124,372108,7530,0.0,0.0,0.0,0.0,0.0,7578.0,334699.0,90.35336303710938,0.9398043751716614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6640.4,260777.6,90.35300292968749,0.8096148014068604,0.0,0.0,6640.4,260777.6,90.35300292968749,0.8096148014068604,0.0,0.0,0.0,0.0,-0.6334125098970689,0.0,11.17690820707562,0.0,-11.025197020086065,0.0,-0.0005741887304511195,0.0,0.0,0.0,0.0,0.020236006116487373,0.0,-0.00015945434570859658,-0.00015945434570859658,1.0,0.0,1.0,0.0,0.0,841.7640999710075,841.7640999710075,148937.03645937098,148937.03645937098,0,0.0
2020-02-29 00:00:00+00:00,0,1,0,1214576306,0.699668824672699,90.35197448730467,503413,10207,0.0,0.0,0.0,0.0,0.0,7530.0,372108.0,90.35284423828124,0.8361890912055969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7234.833333333333,301216.8333333333,90.3528315226237,0.7912904719511668,0.0,0.0,7234.833333333333,301216.8333333333,90.3528315226237,0.7912904719511668,0.0,0.0,0.0,0.0,35.55112881806109,0.0,35.286798456362135,0.0,-16.32648260647198,0.0,-0.000962616045896425,0.0,0.0,0.0,0.0,0.020275558486653134,0.0,-0.00023803710937191465,-0.00023803710937191465,1.0,0.0,1.0,0.0,0.0,1639.1947311612087,1639.1947311612087,166005.36804262284,166005.36804262284,0,0.0
2020-03-01 00:00:00+00:00,0,1,0,1214576306,0.7498267292976379,90.35104370117188,508747,10754,0.0,0.0,0.0,0.0,0.0,10207.0,503413.0,90.35197448730467,0.699668824672699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7737.571428571428,330864.0,90.35257611955915,0.7853670801435199,0.0,0.0,7737.571428571428,330864.0,90.35257611955915,0.7853670801435199,0.0,0.0,0.0,0.0,5.359067306750265,0.0,1.0595673929755467,0.0,7.168806563362673,0.0,-0.0010301779657662102,0.0,0.0,0.0,0.0,0.021138166636527317,0.0,-0.00034032549176613914,-0.00034032549176613914,1.0,0.0,1.0,0.0,0.0,2002.0868993080578,2002.0868993080578,170638.50666052295,170638.50666052295,0,0.0
2020-03-02 00:00:00+00:00,0,0,0,1214576306,0.7510640025138855,90.35132598876952,283259,5753,0.0,0.0,0.0,0.0,0.0,10754.0,508747.0,90.35104370117188,0.7498267292976379,0.0,0.0,6064.0,0.0,90.35295104980467,0.7613413333892822,0.0,0.0,7693.142857142857,371329.5714285714,90.35234396798269,0.7838988900184631,0.0,0.0,7489.5,324913.375,90.35241985321044,0.7810791954398155,0.0,0.0,0.0,-5.128627968337729,-46.503626557559976,inf,-44.3222269615349,-1.3498979268135702,0.16500788354216755,-0.00179856995955463,0.00031243424101212725,0.0,0.0,0.0,0.0,0.020309962578549744,0.0,-0.0004207066127221392,-0.00033106122697689134,0.9999991601195866,0.0,1.003609998314012,0.0,0.0,1981.9297954987494,1981.9297954987494,158874.59396548092,158874.59396548092,0,0.0
2020-03-03 00:00:00+00:00,0,0,0,1214576306,0.7389898300170898,90.35292053222656,259464,5368,0.0,0.0,0.0,0.0,0.0,5753.0,283259.0,90.35132598876952,0.7510640025138855,0.0,0.0,5858.0,295981.0,90.35474395751952,0.7379999160766602,0.0,0.0,7623.142857142857,366112.85714285716,90.35208347865512,0.7840403062956673,0.0,0.0,7253.777777777777,317641.22222222225,90.35247548421222,0.7764025992817349,0.0,0.0,0.0,-8.364629566404913,-6.69216061185468,-12.337616265908958,-8.400439174042129,0.13413469552845392,-1.6076089995502696,-0.0020180736650776687,0.0017648257395252998,0.0,0.0,0.0,0.0,0.02068872487618754,0.0,-1.6076224181070036e-05,-0.00019836425781692222,0.999995661374467,0.0,1.009837302220521,0.0,0.0,1984.218912933864,1984.218912933864,150206.36599673278,150206.36599673278,0,0.0
2020-03-04 00:00:00+00:00,0,0,0,1214576306,0.7281560301780701,90.35661315917967,264720,5084,0.0,0.0,0.0,0.0,0.0,5368.0,259464.0,90.35292053222656,0.7389898300170898,0.0,0.0,6172.0,301100.0,90.35111236572266,0.7727392911911011,0.0,0.0,7467.714285714285,360915.71428571426,90.35286930629184,0.7776712690080915,0.0,0.0,7036.8,312349.1,90.35288925170897,0.7715779423713685,0.0,0.0,0.0,-17.627997407647445,-5.290611028315951,-12.08236466290269,2.0257145499953833,-5.769508749103503,-1.466028272509412,0.006088240988955107,0.004086892743870862,0.0,0.0,0.0,0.0,0.019205125396171818,0.0,0.0003305162702364213,8.142644708671941e-05,0.9999997792498136,0.0,1.0078972276190217,0.0,0.0,1992.6013037121993,1992.6013037121993,142601.31262949706,142601.31262949706,0,0.0
