timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,daily_rpv,sort_sort_position,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-29 00:00:00+00:00,1,0,0,6761020312,19652,21.915100415547688,0.0282881405240012,411,451071,93.05350494384766,155382,0.1357026994228363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155382.0,19652.0,451071.0,93.05350494384766,0.1357026994228363,21.915100415547688,155382.0,19652.0,451071.0,93.05350494384766,0.1357026994228363,21.915100415547688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.906273851320409,0.34447272275822927,0.04356732406356413,0.00014103924120108176,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-30 00:00:00+00:00,1,1,0,6761020312,13990,18.985732674598697,0.1869356139810474,384,1421631,94.0110321044922,1209052,0.0868424847722053,155382.0,19652.0,451071.0,93.05350494384766,0.1357026994228363,21.915100415547688,0.0,0.0,0.0,0.0,0.0,0.0,682217.0,16821.0,936351.0,93.53226852416992,0.1112725920975208,20.450416545073193,682217.0,16821.0,936351.0,93.53226852416992,0.1112725920975208,20.450416545073193,0.0,678.1158692770076,0.0,-28.81131691430897,0.0,215.16790039705504,0.0,-36.00533729869836,0.0,1.0290070870757173,1.0921117505615217,1.0921117505615217,86.41641054963905,0.8504676315671004,0.009840802683113492,1.5702978012211788e-05,0.0,0.0,1.0,1.0,1.0,745057.2021328296,745057.2021328296,4003.638595078232,4003.638595078232,686289.5575484156,686289.5575484156,2,1.0
2025-08-31 00:00:00+00:00,1,1,0,6761020312,11520,19.6122324069341,0.0268453328562027,234,1195573,94.27743530273438,208600,0.0846714973449707,1209052.0,13990.0,1421631.0,94.0110321044922,0.0868424847722053,18.985732674598697,0.0,0.0,0.0,0.0,0.0,0.0,524344.6666666666,15054.0,1022758.3333333334,93.78065745035808,0.10240556051333743,20.171021832360164,524344.6666666666,15054.0,1022758.3333333334,93.78065745035808,0.10240556051333743,20.171021832360164,0.0,-82.7468132057182,0.0,-17.655468191565404,0.0,-15.901313350651469,0.0,-2.4999139913249424,0.0,0.28337440008749937,1.132023849792275,1.132023849792275,18.10606718166826,0.17447686215993322,0.0096355390799733,9.401792132796152e-05,0.6119651794433545,0.0,1.0,1.0,1.0,593570.6681780472,593570.6681780472,4169.103980473502,4169.103980473502,507833.9887811108,507833.9887811108,2,0.172531867942818
2025-09-01 00:00:00+00:00,0,0,1,6761020312,7397,24.907634973526,0.052683285994459,145,735473,94.48404693603516,459438,0.0589975081384182,208600.0,11520.0,1195573.0,94.27743530273438,0.0846714973449707,19.6122324069341,0.0,0.0,0.0,0.0,0.0,0.0,508118.0,13139.75,950937.0,93.95650482177734,0.09155354741960763,21.355175117651623,508118.0,13139.75,950937.0,93.95650482177734,0.09155354741960763,21.355175117651623,0.0,120.248322147651,0.0,-35.78993055555556,0.0,-38.483639225710185,0.0,-30.321879276506603,0.0,0.21915279370650076,0.9559468195680979,0.9559468195680979,62.10300081103001,0.6246828575857202,0.010057459543097377,5.4213149022015984e-05,0.45580291748045304,0.0,1.0,1.0,1.0,485733.7860653028,485733.7860653028,5122.9904271496225,5122.9904271496225,438820.5280005331,438820.5280005331,2,0.3799985443140576
2025-09-02 00:00:00+00:00,0,0,0,6761020312,5632,26.33398095766703,0.068356904951573,112,460296,94.48675537109376,635533,0.0478306971490383,459438.0,7397.0,735473.0,94.48404693603516,0.0589975081384182,24.907634973526,0.0,0.0,0.0,0.0,0.0,0.0,533601.0,11638.2,852808.8,94.06255493164062,0.08280897736549377,22.350936285654704,533601.0,11638.2,852808.8,94.06255493164062,0.08280897736549377,22.350936285654704,0.0,38.328348982887796,0.0,-23.861024739759362,0.0,-37.41496968617475,0.0,-18.92759769307656,0.0,0.0028665527636029253,0.7955374658684817,0.7955374658684817,112.82318480383455,1.3807020249969042,0.012235578333119702,4.143599076944275e-05,0.3339515686035132,0.3339515686035132,1.0,1.0,1.0,424499.58732488775,424499.58732488775,5563.904672080571,5563.904672080571,438826.0589598116,438826.0589598116,2,0.5256457125086431
2025-09-03 00:00:00+00:00,0,0,0,6761020312,6153,23.374821821848553,0.0923880647604815,97,442052,94.5069351196289,901674,0.054845605045557,635533.0,5632.0,460296.0,94.48675537109376,0.0478306971490383,26.33398095766703,0.0,0.0,0.0,0.0,0.0,0.0,594946.5,10724.0,784349.3333333334,94.13661829630534,0.07814841531217097,22.521583875020344,594946.5,10724.0,784349.3333333334,94.13661829630534,0.07814841531217097,22.521583875020344,0.0,41.87681835561647,0.0,9.25071022727273,0.0,-3.963536506943355,0.0,14.66612095295321,0.0,0.021357224571727507,0.6863432835015425,0.6863432835015425,146.51836204094897,2.0397418409104793,0.01391914544183616,2.5923777216678463e-05,0.25431235177176936,0.25431235177176936,1.0,1.0,1.0,408337.5343177504,408337.5343177504,5457.123601312326,5457.123601312326,426819.44599030004,426819.44599030004,2,0.7457694127299735
2025-09-04 00:00:00+00:00,0,0,0,6761020312,6039,26.51417016983032,0.0915952205808665,95,404813,94.56546020507812,934101,0.0497472658753395,901674.0,6153.0,442052.0,94.5069351196289,0.054845605045557,23.374821821848553,0.0,0.0,0.0,0.0,0.0,0.0,643397.1428571428,10054.714285714286,730129.8571428572,94.19788142613002,0.07409110824976647,23.091953345707484,643397.1428571428,10054.714285714286,730129.8571428572,94.19788142613002,0.07409110824976647,23.091953345707484,0.0,3.5963108617970585,0.0,-1.8527547537786404,0.0,-8.424122048989712,0.0,-9.29580258250886,0.0,0.06192676270280195,0.6126621441279553,0.6126621441279553,154.6524834437086,2.3074819546754806,0.014917962323437431,2.8384662670490287e-05,0.2048925672258762,0.2048925672258762,1.0,1.0,1.0,394185.0730686575,394185.0730686575,5287.006264238321,5287.006264238321,415199.50315257226,415199.50315257226,2,0.7725895991239418
2025-09-05 00:00:00+00:00,0,0,0,6761020312,7082,38.48927931352095,0.0907624634730619,95,472995,94.62864685058594,968781,0.0496219918131828,934101.0,6039.0,404813.0,94.56546020507812,0.0497472658753395,26.51417016983032,155382.0,19652.0,451071.0,93.05350494384766,0.1357026994228363,21.915100415547688,759597.0,8259.0,733261.8571428572,94.4229016985212,0.06179386430553026,25.45969318827509,684070.125,9683.125,697988.0,94.25172710418701,0.07103246869519352,25.01661909168417,523.4834150673823,3.712660622352404,-63.96295542438428,17.271071369432022,4.860432171431994,16.84283854520483,-63.43330528852227,-0.2518209995110432,1.692727111879111,0.06681789034894692,0.5593682186436691,0.5593682186436691,136.7755188479458,2.0481801114597165,0.0149726424747778,3.9729556611829035e-05,0.08756365094866103,0.17249216352190444,1.0018161427869112,1.1104080886444208,0.8699382893574077,382647.08724860207,382647.08724860207,5006.381825444686,5006.381825444686,395004.03387126495,395004.03387126495,2,0.8012732289430066
2025-09-06 00:00:00+00:00,0,1,0,6761020312,7312,44.12210906635631,0.1236591180139597,93,605741,94.72825622558594,1389768,0.0493291430175304,968781.0,7082.0,472995.0,94.62864685058594,0.0496219918131828,38.48927931352095,1209052.0,13990.0,1421631.0,94.0110321044922,0.0868424847722053,18.985732674598697,785413.5714285715,7305.0,616706.1428571428,94.52536228724888,0.05643481548343384,29.050604101383325,762481.0,9419.666666666666,687738.3333333334,94.30467478434245,0.06862098806434205,27.139451311092184,14.946917088760458,43.45533201002083,-47.734095782701935,3.2476701496752414,-57.3911232943007,28.06499011617458,-43.19699263911594,-0.5901592921842447,0.7629148463092594,0.10526344644585794,0.561734136689562,0.561734136689562,190.04074935047177,2.2943233257723583,0.012071145801347768,3.174780058150406e-05,0.06144169398716341,0.15251312255859362,1.0023401544346673,1.0300762529539378,0.8224133326456634,428311.60627719393,428311.60627719393,4749.27039133381,4749.27039133381,370769.6918961284,370769.6918961284,3,1.0
2025-09-07 00:00:00+00:00,0,1,0,6761020312,4798,91.0843267855437,0.0875014315180476,101,503423,94.8302764892578,1035164,0.0403505228459835,1389768.0,7312.0,605741.0,94.72825622558594,0.0493291430175304,44.12210906635631,208600.0,11520.0,1195573.0,94.27743530273438,0.0846714973449707,19.6122324069341,903494.1428571428,6344.714285714285,517827.5714285714,94.60433959960938,0.05010324769786424,39.26090329832755,789749.3,8957.5,669306.8,94.35723495483398,0.0657939415425062,33.53393885853733,396.24352828379676,-25.51533781177866,-58.35069444444445,-34.38183807439825,-57.892742643067386,-16.89137766801323,-52.34462114023282,-18.201451763222632,0.5863982030781756,0.10769781661441602,0.5228495916005533,0.5228495916005533,215.70410502187957,2.056246821764556,0.009530733536740402,8.799015305342017e-05,0.058692932128903905,0.13958781849254553,1.0026188203256876,1.1440265193741137,0.7615176492427501,412920.0989718229,412920.0989718229,4710.135366066104,4710.135366066104,354390.9083549157,354390.9083549157,3,0.7448466218822134
