timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,sort_sort_position,daily_rpv,ccu_playing,session_session_length,daily_Estimated Revenue,platform_platform_share,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-02-24 00:00:00+00:00,0,0,0,7204130482,89.1917953491211,402.0,0.3893000332213082,3132,19.691556930541992,251139.0,0.0436586625874042,37826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251139.0,3132.0,37826.0,89.1917953491211,0.0436586625874042,19.691556930541992,251139.0,3132.0,37826.0,89.1917953491211,0.0436586625874042,19.691556930541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1592722630067,6.639146641287969,0.08279800142755175,7.840868412256906e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-02-25 00:00:00+00:00,0,0,0,7204130482,88.09370422363281,388.0,0.7163357036738683,5127,16.510684370994568,567562.0,0.0797914192080497,301327,251139.0,3132.0,37826.0,89.1917953491211,0.0436586625874042,19.691556930541992,0.0,0.0,0.0,0.0,0.0,0.0,409350.5,4129.5,169576.5,88.64274978637695,0.06172504089772696,18.10112065076828,409350.5,4129.5,169576.5,88.64274978637695,0.06172504089772696,18.10112065076828,0.0,125.99516602359651,0.0,63.69731800766283,0.0,696.6134404906678,0.0,82.76194111147608,0.0,-1.23115710496694,0.5465850146106843,0.5465850146106843,110.67901716068643,1.8835355493017576,0.01701468167578187,2.9090487524723365e-05,0.0,0.0,1.0,1.0,1.0,223744.84902339094,223744.84902339094,1410.6780284671622,1410.6780284671622,186323.34394943647,186323.34394943647,2,1.0
2025-02-26 00:00:00+00:00,0,0,0,7204130482,86.27227783203125,321.0,0.7045902235686167,4809,16.285205503304798,843149.0,0.0926103591918945,496444,567562.0,5127.0,301327.0,88.09370422363281,0.0797914192080497,16.510684370994568,0.0,0.0,0.0,0.0,0.0,0.0,553950.0,4356.0,278532.3333333333,87.85259246826172,0.0720201469957828,17.495815601613785,553950.0,4356.0,278532.3333333333,87.85259246826172,0.0720201469957828,17.495815601613785,0.0,48.55628107590009,0.0,-6.202457577530717,0.0,64.75257776435566,0.0,16.065562075566596,0.0,-2.0676010932378586,0.534776859023415,0.534776859023415,175.2908523908524,1.6983734351237296,0.009686873671806545,1.9314719211652492e-05,-1.459758758544925,0.0,1.0,1.0,1.0,296239.64105602074,296239.64105602074,1071.8735932935376,1071.8735932935376,230157.15305489275,230157.15305489275,3,1.0
2025-02-27 00:00:00+00:00,0,0,0,7204130482,85.63667297363281,255.0,0.6353140902749276,6593,17.23862385749817,1089909.0,0.0948365777730941,544547,843149.0,4809.0,496444.0,86.27227783203125,0.0926103591918945,16.285205503304798,0.0,0.0,0.0,0.0,0.0,0.0,687939.75,4915.25,345036.0,87.29861259460449,0.07772425469011063,17.43151766558488,687939.75,4915.25,345036.0,87.29861259460449,0.07772425469011063,17.43151766558488,0.0,29.26647603211294,0.0,37.097109586192545,0.0,9.689511807978345,0.0,2.403854817782025,0.0,-0.7367428731114956,0.5247498119203778,0.5247498119203778,165.2879890809827,2.001492981334979,0.01210728898095301,1.581655719967536e-05,-1.2486793518066495,0.0,1.0,1.0,1.0,360996.25442505174,360996.25442505174,1420.2057069312177,1420.2057069312177,230229.94474075985,230229.94474075985,4,1.0
2025-02-28 00:00:00+00:00,0,0,0,7204130482,85.32054138183594,200.0,0.664176621158112,12327,15.570758938789368,1577255.0,0.1479161530733108,898353,1089909.0,6593.0,544547.0,85.63667297363281,0.0948365777730941,17.23862385749817,0.0,0.0,0.0,0.0,0.0,0.0,865802.8,6397.6,455699.4,86.90299835205079,0.09176263436675067,17.05936592022578,865802.8,6397.6,455699.4,86.90299835205079,0.09176263436675067,17.05936592022578,0.0,44.71437523683171,0.0,86.97102988017595,0.0,64.97253680582209,0.0,55.96951782382409,0.0,-0.3691544531327251,0.5842906314153663,0.5842906314153663,127.94086632057106,1.7557165660752887,0.013721762245172839,9.872055607199699e-06,-1.0199539184570354,-1.0199539184570354,1.0,1.0,1.0,505880.4646931921,505880.4646931921,3535.469671769226,3535.469671769226,317783.43425877317,317783.43425877317,5,1.0
2025-03-01 00:00:00+00:00,0,1,0,7204130482,84.95711517333984,165.0,0.7983051536261618,12914,15.872448960940044,2950653.0,0.1477145254611969,1608213,1577255.0,12327.0,898353.0,85.32054138183594,0.1479161530733108,15.570758938789368,0.0,0.0,0.0,0.0,0.0,0.0,1213277.8333333333,7483.666666666667,647785.0,86.5786844889323,0.10108794954915838,16.86154642701149,1213277.8333333333,7483.666666666667,647785.0,86.5786844889323,0.10108794954915838,16.86154642701149,0.0,87.07520343888591,0.0,4.761904761904767,0.0,79.01793615649973,0.0,-0.1363120983912891,0.0,-0.4259539409972146,0.794486017359071,0.794486017359071,228.467131242741,1.834739033486837,0.008030025854768084,5.3792986100505324e-06,-0.8608141217912874,-0.8608141217912874,1.0,1.0,1.0,963932.2737550427,963932.2737550427,4132.4183557169845,4132.4183557169845,549700.2048713462,549700.2048713462,6,1.0
2025-03-02 00:00:00+00:00,0,1,0,7204130482,85.13202667236328,150.0,0.5694856925712458,13070,15.9613219499588,3011264.0,0.1649613678455352,1678341,2950653.0,12914.0,1608213.0,84.95711517333984,0.1477145254611969,15.872448960940044,0.0,0.0,0.0,0.0,0.0,0.0,1470133.0,8281.714285714286,795007.2857142857,86.37201908656529,0.11021272359149792,16.732942930289678,1470133.0,8281.714285714286,795007.2857142857,86.37201908656529,0.11021272359149792,16.732942930289678,0.0,2.054155469992569,0.0,1.2079913272417642,0.0,4.360616410885876,0.0,11.675793108693888,0.0,0.20588210730385637,0.7562664645892996,0.7562664645892996,230.3774768571647,1.794189742019207,0.007787447373658051,5.300537133051657e-06,-0.6930078778948094,-0.6930078778948094,1.0,1.0,1.0,1111812.2863860608,1111812.2863860608,4323.06541373463,4323.06541373463,635239.6444698946,635239.6444698946,7,1.0
2025-03-03 00:00:00+00:00,0,0,0,7204130482,84.77937316894531,108.0,0.2993263153438438,11349,13.57754913965861,2042030.0,0.1554106175899505,1334512,3011264.0,13070.0,1678341.0,85.13202667236328,0.1649613678455352,15.9613219499588,251139.0,3132.0,37826.0,89.1917953491211,0.0436586625874042,19.691556930541992,1725974.5714285714,9455.57142857143,980248.1428571428,85.74167306082589,0.12617728859186167,15.859513245877764,1541620.125,8665.125,862445.375,86.1729383468628,0.11586246034130449,16.338518706460793,713.107482310593,-32.18694873647744,262.35632183908046,-13.16755929609793,3428.0283402950354,-20.48624206880485,255.96742634710813,-5.789689052850067,-4.947116674694518,-0.4142430495343241,0.6804589493695381,0.6804589493695381,179.91453744493393,1.530168683257488,0.008504225886147231,6.649041635341779e-06,-0.46082333156040317,-0.5947257450648703,0.9949953512748866,1.119584872718609,1.0890264907216025,1049009.210584436,1049009.210584436,4146.695394700288,4146.695394700288,618276.2449032766,618276.2449032766,7,0.6781305126352256
2025-03-04 00:00:00+00:00,0,0,0,7204130482,84.62103271484375,93.0,0.2434472261145715,11093,14.984356999397278,1966325.0,0.1587893515825271,1144363,2042030.0,11349.0,1334512.0,84.77937316894531,0.1554106175899505,13.57754913965861,567562.0,5127.0,301327.0,88.09370422363281,0.0797914192080497,16.510684370994568,1925797.857142857,10307.857142857143,1100681.857142857,85.24557713099888,0.1374627075025013,15.641466478506723,1588809.5555555555,8934.888888888889,893769.5555555555,86.00050438774957,0.12063211492366256,16.188056294564845,246.4511366159116,-3.7073402447564408,116.36434562122098,-2.2557053484888567,279.7744642863069,-14.248579255937754,99.00554866494684,2.1740689567886218,-3.9420200789529902,-0.18676766315083304,0.624000436199538,0.624000436199538,177.2422029926086,1.7182688375377064,0.009693593996315858,7.620484598890152e-06,-0.24488748822893083,-0.5197683970133407,0.9912218275680459,1.2121011296847768,1.1395199992099065,991417.8557046608,991417.8557046608,3962.404618550598,3962.404618550598,585929.3167460797,585929.3167460797,7,0.6529899072283267
2025-03-05 00:00:00+00:00,0,0,0,7204130482,84.80320739746094,87.0,0.2291991562495482,11321,15.504958550135294,2112360.0,0.1728314757347107,1193230,1966325.0,11093.0,1144363.0,84.62103271484375,0.1587893515825271,14.984356999397278,843149.0,4809.0,496444.0,86.27227783203125,0.0926103591918945,16.285205503304798,2107113.714285714,11238.142857142857,1200222.7142857143,85.03570992606026,0.14892286700861787,15.530002628053937,1641164.6,9173.5,923715.6,85.8807746887207,0.12585205100476737,16.119746520121893,150.532230957992,7.426798723507044,135.41276772717822,2.0553502208600083,140.35540765927274,4.270235930382227,86.62218486443074,8.843240439133293,-1.702830238736175,0.21528298198756346,0.5784105616843651,0.5784105616843651,186.57127715951245,1.770285887644555,0.009487685117131554,7.3401083196173824e-06,-0.1456127166748041,-0.4433204882072686,0.9901600239899626,1.283913700238059,1.1833169647984247,949266.9381024964,949266.9381024964,3811.2315959250986,3811.2315959250986,560477.3972832247,560477.3972832247,7,0.7014861533229899
