timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue,session_session_length,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-06 00:00:00+00:00,0,0,0,6738135827,454.0,0.1128161475252178,75.19637298583984,1479,0.019325852394104,146910,14.598771731058756,17704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146910.0,1479.0,17704.0,75.19637298583984,0.019325852394104,14.598771731058756,146910.0,1479.0,17704.0,75.19637298583984,0.019325852394104,14.598771731058756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.26351351351352,8.297656029370234,0.08353572437164643,9.937153603922617e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-07 00:00:00+00:00,0,0,0,6738135827,454.0,0.1120695547421897,75.8275146484375,1550,0.0194467604160308,154108,13.293858320816703,135183,146910.0,1479.0,17704.0,75.19637298583984,0.019325852394104,14.598771731058756,0.0,0.0,0.0,0.0,0.0,0.0,150509.0,1514.5,76443.5,75.51194381713867,0.019386306405067402,13.946315025937729,150509.0,1514.5,76443.5,75.51194381713867,0.019386306405067402,13.946315025937729,0.0,4.8995983935743,0.0,4.800540906017581,0.0,663.5732037957523,0.0,0.6256284041768145,0.0,0.839324607739389,0.03381694523902736,0.03381694523902736,99.36041263700838,1.139986980707776,0.011465853947212688,8.626269926361668e-05,0.0,0.0,1.0,1.0,1.0,5089.754610980769,5089.754610980769,50.204581464244875,50.204581464244875,83070.19754701441,83070.19754701441,2,1.0
2025-05-08 00:00:00+00:00,0,0,0,6738135827,453.0,0.0986714015480358,76.66360473632812,1383,0.017147148028016,148994,13.433520277341207,130784,154108.0,1550.0,135183.0,75.8275146484375,0.0194467604160308,13.293858320816703,0.0,0.0,0.0,0.0,0.0,0.0,150004.0,1470.6666666666667,94557.0,75.89583079020183,0.0186399202793836,13.775383443072222,150004.0,1470.6666666666667,94557.0,75.89583079020183,0.0186399202793836,13.775383443072222,0.0,-3.3184519947050073,0.0,-10.774193548387101,0.0,-3.2541073951606325,0.0,-11.825169533734424,0.0,1.1026209836456191,0.024691108979379088,0.024691108979379088,107.65462427745665,1.139228504797951,0.010574607179722445,9.016087974322096e-05,0.7336158752441274,0.0,1.0,1.0,1.0,3703.7651113427805,3703.7651113427805,83.81129597693463,83.81129597693463,66592.9839172266,66592.9839172266,2,0.9668154800529499
2025-05-09 00:00:00+00:00,0,0,0,6738135827,411.0,0.0986388293294191,78.11071014404297,1649,0.0179940704256296,161958,13.806267738342283,148479,148994.0,1383.0,130784.0,76.66360473632812,0.017147148028016,13.433520277341207,0.0,0.0,0.0,0.0,0.0,0.0,152992.5,1515.25,108037.5,76.44955062866211,0.0184784578159451,13.783104516889738,152992.5,1515.25,108037.5,76.44955062866211,0.0184784578159451,13.783104516889738,0.0,8.701021517645003,0.0,19.233550253073027,0.0,13.529942500611703,0.0,4.9391443768365795,0.0,1.8876041802259769,0.04378313217925898,0.04378313217925898,98.15636363636364,1.0907731681034483,0.011105872844827586,8.524544939362606e-05,0.9579101562499864,0.0,1.0,1.0,1.0,6698.49084993528,6698.49084993528,112.39921411350407,112.39921411350407,60690.30009537493,60690.30009537493,3,1.0
2025-05-10 00:00:00+00:00,0,1,0,6738135827,412.0,0.1083318783727669,79.79212188720703,1334,0.0146995019167661,197474,13.49469248453776,181269,161958.0,1649.0,148479.0,78.11071014404297,0.0179940704256296,13.806267738342283,0.0,0.0,0.0,0.0,0.0,0.0,161888.8,1479.0,122683.8,77.1180648803711,0.0177226666361093,13.725422110419341,161888.8,1479.0,122683.8,77.1180648803711,0.0177226666361093,13.725422110419341,0.0,21.92914212326653,0.0,-19.10248635536689,0.0,22.08393106095812,0.0,-18.309189810499603,0.0,2.1526007637920452,0.12799724264969362,0.12799724264969362,147.92059925093633,1.0893915154189882,0.007359187951674298,6.833620703652493e-05,1.1474693298339842,1.1474693298339842,1.0,1.0,1.0,20721.320015867717,20721.320015867717,126.67083326480488,126.67083326480488,61927.8201836622,61927.8201836622,4,1.0
2025-05-11 00:00:00+00:00,0,1,0,6738135827,414.0,0.0843943890613702,81.07228088378906,1206,0.013678123243153,167891,12.607539296150208,155682,197474.0,1334.0,181269.0,79.79212188720703,0.0146995019167661,13.49469248453776,0.0,0.0,0.0,0.0,0.0,0.0,162889.16666666666,1433.5,128183.5,77.77710088094075,0.01704857607061658,13.539108308041152,162889.16666666666,1433.5,128183.5,77.77710088094075,0.01704857607061658,13.539108308041152,0.0,-14.980706320832105,0.0,-9.595202398800595,0.0,-14.115485824934215,0.0,-6.948389676034717,0.0,1.6043676572377041,0.11477126806263521,0.11477126806263521,139.09776304888152,1.078415755092078,0.007746510537438256,7.509315093125466e-05,1.22058476039342,1.22058476039342,1.0,1.0,1.0,18694.996211999263,18694.996211999263,158.92734188930487,158.92734188930487,57004.59745231081,57004.59745231081,4,0.850192936791679
2025-05-12 00:00:00+00:00,0,0,0,6738135827,438.0,0.0447880860944793,81.48191833496094,915,0.0110976370051503,94597,13.845203955968222,88383,167891.0,1206.0,155682.0,81.07228088378906,0.013678123243153,12.607539296150208,0.0,0.0,0.0,0.0,0.0,0.0,153133.14285714287,1359.4285714285713,122497.71428571429,78.30636051722935,0.016198441918407115,13.582836257745019,153133.14285714287,1359.4285714285713,122497.71428571429,78.30636051722935,0.016198441918407115,13.582836257745019,0.0,-43.65570518967663,0.0,-24.12935323383084,0.0,-43.228504258681156,0.0,-18.8657916888886,0.0,0.5052743634523571,0.20207054325909582,0.20207054325909582,103.27183406113537,1.070295528602462,0.010352552498189718,0.00014635831577801035,1.159810202462331,1.159810202462331,1.0,1.0,1.0,30943.697368115587,30943.697368115587,243.83249519759607,243.83249519759607,54168.56920673428,54168.56920673428,4,0.47903521476244976
2025-05-13 00:00:00+00:00,0,0,0,6738135827,488.0,0.0371879876765112,81.74453735351562,769,0.0096774408593773,81676,12.98378038406372,75022,94597.0,915.0,88383.0,81.48191833496094,0.0110976370051503,13.845203955968222,146910.0,1479.0,17704.0,75.19637298583984,0.019325852394104,14.598771731058756,143814.0,1258.0,130686.0,79.24181256975446,0.014820097413446157,13.3521232081743,144201.0,1285.625,116563.25,78.73613262176514,0.015383316786028388,13.507954273534857,-44.404056905588455,-13.65899552839942,-48.00540906017579,-15.956284153005463,323.7573429733394,-15.117160539922835,-49.92489509891048,-12.797284188642166,8.708085387188635,0.32230343114296733,0.2648853468826721,0.2648853468826721,106.07272727272728,1.0886794716287005,0.010250189941751196,0.00015896495199460952,1.0839023590087924,1.059721537998746,1.0064224636282115,0.9973162460731895,0.963387650373698,38196.7319058282,38196.7319058282,307.46797161888026,307.46797161888026,52884.78562673498,52884.78562673498,4,0.41360381619858816
2025-05-14 00:00:00+00:00,0,0,0,6738135827,0.0,0.0331090517436679,82.01771545410156,767,0.009456530213356,75097,13.552356799443563,69526,81676.0,769.0,75022.0,81.74453735351562,0.0096774408593773,12.98378038406372,154108.0,1550.0,135183.0,75.8275146484375,0.0194467604160308,13.293858320816703,132526.7142857143,1146.142857142857,121306.42857142857,80.12612697056362,0.0133929216702069,13.389051562263854,136522.77777777778,1228.0,111336.88888888889,79.10075293646918,0.014724784944620345,13.512887887524714,-51.26988864951851,-8.054997796170237,-50.516129032258064,-0.2600780234070177,-48.56897686839321,-7.325851083682123,-51.37220796138067,-2.282738269665985,8.163528548131849,0.33418514487952855,0.3113862873588097,0.3113862873588097,97.78255208333333,1.0801127619485955,0.011031685532239275,0.00018046228660475064,0.8935636792864148,0.9605772654215499,1.012962885889569,0.9707296939228119,0.9095495601855946,42511.32091213403,42511.32091213403,335.56705738197843,335.56705738197843,51894.45188178705,51894.45188178705,4,0.3802880379189159
2025-05-15 00:00:00+00:00,0,0,0,6738135827,0.0,0.0289015245311037,82.1977767944336,696,0.0082695232704281,67449,13.262240290641785,61399,75097.0,767.0,69526.0,82.01771545410156,0.009456530213356,13.552356799443563,148994.0,1383.0,130784.0,76.66360473632812,0.017147148028016,13.433520277341207,120877.42857142857,1048.0,111394.28571428571,80.9167229788644,0.012124689561980057,13.364582992735365,129615.4,1174.8,106343.1,79.41045532226562,0.01407925877720112,13.487823127836421,-54.73039182785884,-10.184161817382853,-49.67462039045552,-9.256844850065193,-53.05312576461952,-11.689152259586344,-51.77318550631933,-12.55224607913189,7.218773598162187,0.2195395706099612,0.35216260993041637,0.35216260993041637,96.77044476327116,1.0985179153094462,0.011335504885993485,0.000196623280810108,0.6208801269531248,0.8675302216500962,1.018968127691574,0.9325853916388683,0.8611738553746776,45645.69755117489,45645.69755117489,358.32381382704045,358.32381382704045,51411.938260053525,51411.938260053525,4,0.34155888876510326
