timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,ratings_like_ratio,visits_visits_gained,session_session_length,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2019-11-04 00:00:00+00:00,0,0,0,245662005,4.976935863494873,24438,88.11660766601562,778441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24438.0,778441.0,88.11660766601562,4.976935863494873,0.0,0.0,24438.0,778441.0,88.11660766601562,4.976935863494873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031393475686049825,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2019-11-05 00:00:00+00:00,0,0,0,245662005,4.892536640167236,24380,88.11532592773438,1132515,0.0,0.0,0.0,0.0,0.0,24438.0,778441.0,88.11660766601562,4.976935863494873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24409.0,955478.0,88.115966796875,4.934736251831055,0.0,0.0,24409.0,955478.0,88.115966796875,4.934736251831055,0.0,0.0,0.0,0.0,-0.23733529748751758,0.0,45.48501427853877,0.0,-1.6958069310616053,0.0,-0.0014545933112897202,0.0,0.0,0.0,0.0,0.021527289680675594,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.012193308819754,41.012193308819754,250368.12644184564,250368.12644184564,0,0.0
2019-11-06 00:00:00+00:00,0,0,0,245662005,4.851755142211914,20167,88.11368560791016,1013421,0.0,0.0,0.0,0.0,0.0,24380.0,1132515.0,88.11532592773438,4.892536640167236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22995.0,974792.3333333334,88.11520640055339,4.907075881958008,0.0,0.0,22995.0,974792.3333333334,88.11520640055339,4.907075881958008,0.0,0.0,0.0,0.0,-17.2805578342904,0.0,-10.515887206791962,0.0,-0.8335450698623292,0.0,-0.0018615601848459562,0.0,0.0,0.0,0.0,0.019899903495286267,0.0,-0.0014610290527364096,0.0,1.0,0.0,1.0,0.0,0.0,2449.2915302184833,2449.2915302184833,180170.0024569388,180170.0024569388,0,0.0
2019-11-07 00:00:00+00:00,0,0,0,245662005,4.858061790466309,20998,88.12161254882812,966706,0.0,0.0,0.0,0.0,0.0,20167.0,1013421.0,88.11368560791016,4.851755142211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22495.75,972770.75,88.11680793762207,4.894822359085083,0.0,0.0,22495.75,972770.75,88.11680793762207,4.894822359085083,0.0,0.0,0.0,0.0,4.120593048048793,0.0,-4.60963410073405,0.0,0.12998694430237379,0.0,0.008996265294403116,0.0,0.0,0.0,0.0,0.02172116266873003,0.0,0.0013374328613162006,0.0,1.0,0.0,1.0,0.0,0.0,2235.252763484852,2235.252763484852,147163.74231985043,147163.74231985043,0,0.0
2019-11-08 00:00:00+00:00,0,0,0,245662005,5.062530040740967,25932,88.12060546875,1124440,0.0,0.0,0.0,0.0,0.0,20998.0,966706.0,88.12161254882812,4.858061790466309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23183.0,1003104.6,88.11756744384766,4.928363895416259,0.0,0.0,23183.0,1003104.6,88.11756744384766,4.928363895416259,0.0,0.0,0.0,0.0,23.497475950090486,0.0,16.31664642611095,0.0,4.208844166533998,0.0,-0.0011428298336779719,0.0,0.0,0.0,0.0,0.02306212598082069,0.0,0.0014282226562492653,0.0014282226562492653,1.0,0.0,1.0,0.0,0.0,2471.604539565341,2471.604539565341,144373.08464287932,144373.08464287932,0,0.0
2019-11-09 00:00:00+00:00,0,1,0,245662005,4.113726615905762,42288,88.1196060180664,1969133,0.0,0.0,0.0,0.0,0.0,25932.0,1124440.0,88.12060546875,5.062530040740967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26367.166666666668,1164109.3333333333,88.11790720621745,4.792591015497844,0.0,0.0,26367.166666666668,1164109.3333333333,88.11790720621745,4.792591015497844,0.0,0.0,0.0,0.0,63.07265155020825,0.0,75.12121589413397,0.0,-18.74168483346591,0.0,-0.001134184993711873,0.0,0.0,0.0,0.0,0.021475430316067877,0.0,0.001107352120543787,0.001107352120543787,1.0,0.0,1.0,0.0,0.0,8106.822273040569,8106.822273040569,414981.9453781895,414981.9453781895,0,0.0
2019-11-10 00:00:00+00:00,0,1,0,245662005,4.053932189941406,41805,88.11943817138672,1993396,0.0,0.0,0.0,0.0,0.0,42288.0,1969133.0,88.1196060180664,4.113726615905762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28572.571428571428,1282578.857142857,88.11812591552734,4.687068326132638,0.0,0.0,28572.571428571428,1282578.857142857,88.11812591552734,4.687068326132638,0.0,0.0,0.0,0.0,-1.1421679909194071,0.0,1.2321666438986023,0.0,-1.4535342658201889,0.0,-0.00019047597609178624,0.0,0.0,0.0,0.0,0.020971738193646325,0.0,0.0008561270577537522,0.0008561270577537522,1.0,0.0,1.0,0.0,0.0,9424.107948185207,9424.107948185207,491684.39300681103,491684.39300681103,0,0.0
2019-11-11 00:00:00+00:00,0,0,1,245662005,4.213802337646484,30924,88.11939239501953,1308108,0.0,0.0,0.0,0.0,0.0,41805.0,1993396.0,88.11943817138672,4.053932189941406,0.0,0.0,24438.0,778441.0,88.11660766601562,4.976935863494873,0.0,0.0,29499.14285714286,1358245.5714285714,88.11852373395648,4.57804925101144,0.0,0.0,28866.5,1285770.0,88.11828422546387,4.627910077571869,0.0,0.0,0.0,26.540633439725013,-26.027987082884817,68.04202245256865,-34.37791587822991,-15.333400847012435,3.943582186740735,0.003160277134650613,-5.194809242770049e-05,0.0,0.0,0.0,0.0,0.023640231815544425,0.0,0.0007749285016789657,0.0006762913295257068,1.0000027180340008,0.0,0.9892260597711118,0.0,0.0,8764.546504444563,8764.546504444563,455300.76777444605,455300.76777444605,0,0.0
2019-11-12 00:00:00+00:00,0,0,0,245662005,4.454052925109863,21900,88.11981201171875,1004429,0.0,0.0,0.0,0.0,0.0,30924.0,1308108.0,88.11939239501953,4.213802337646484,0.0,0.0,24380.0,1132515.0,88.11532592773438,4.892536640167236,0.0,0.0,29144.85714285714,1339947.5714285714,88.1191646030971,4.515408720288958,0.0,0.0,28092.444444444445,1254509.888888889,88.11845397949219,4.6085926161872015,0.0,0.0,0.0,-10.172272354388845,-29.18121847109042,-11.309872275422405,-23.215132083895217,-8.962298032833637,5.70151535863368,0.005091150645064602,0.00047619109462271325,0.0,0.0,0.0,0.0,0.02180341088975837,0.0,0.00045612880162348274,0.0005752563476573339,1.0000080644129898,0.0,0.9797804007299442,0.0,0.0,8521.007805874711,8521.007805874711,436097.6856326013,436097.6856326013,0,0.0
2019-11-13 00:00:00+00:00,0,0,0,245662005,4.706890106201172,20440,88.12012481689453,979959,0.0,0.0,0.0,0.0,0.0,21900.0,1004429.0,88.11981201171875,4.454052925109863,0.0,0.0,20167.0,1013421.0,88.11368560791016,4.851755142211914,0.0,0.0,29183.85714285714,1335167.2857142857,88.12008449009487,4.494713715144566,0.0,0.0,27327.2,1227054.8,88.11862106323242,4.618422365188598,0.0,0.0,0.0,1.3536966331135103,-6.666666666666665,-3.301885396098958,-2.4362100257957486,-2.985827432847288,5.676564363793957,0.007307842067838521,0.0003549771256272649,0.0,0.0,0.0,0.0,0.020857994203845053,0.0,-0.0002237047467870296,0.0005095048384237125,1.000016607464402,0.0,0.9732140890845135,0.0,0.0,8390.23577737837,8390.23577737837,420223.4726697478,420223.4726697478,0,0.0
