timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,session_session_length,visits_visits_gained,platform_platform_share,ratings_like_ratio,daily_rpv,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-12 00:00:00+00:00,1,0,0,6069634717,0.0,104743.0,35.462169594234894,45654,0.0080752624198794,78.35882568359375,0.0574402483516149,578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104743.0,578.0,45654.0,78.35882568359375,0.0080752624198794,35.462169594234894,104743.0,578.0,45654.0,78.35882568359375,0.0080752624198794,35.462169594234894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.90328151986182,2.2942284525243677,0.012660168656226043,0.000338560390993612,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-07-13 00:00:00+00:00,1,1,0,6069634717,0.0,187907.0,7.918673833211263,102721,0.0058384402655065,78.11508178710938,0.0993207717486463,414,104743.0,578.0,45654.0,78.35882568359375,0.0080752624198794,35.462169594234894,0.0,0.0,0.0,0.0,0.0,0.0,146325.0,496.0,74187.5,78.23695373535156,0.00695685134269295,21.69042171372308,146325.0,496.0,74187.5,78.23695373535156,0.00695685134269295,21.69042171372308,0.0,79.39814593815338,0.0,-28.373702422145332,0.0,124.99890480571251,0.0,-27.699683775803607,0.0,-0.3110611910757677,0.40188503912932194,0.40188503912932194,452.7879518072289,1.8292770779385137,0.004030295360292829,4.214122779876994e-05,0.0,0.0,1.0,1.0,1.0,58805.828350598036,58805.828350598036,115.96551211459379,115.96551211459379,40352.462681972705,40352.462681972705,2,1.0
2024-07-14 00:00:00+00:00,1,1,0,6069634717,0.0,191653.0,8.040647347768148,101108,0.0082589825615286,78.08506774902344,0.0963994437159022,544,187907.0,414.0,102721.0,78.11508178710938,0.0058384402655065,7.918673833211263,0.0,0.0,0.0,0.0,0.0,0.0,161434.33333333334,512.0,83161.0,78.18632507324219,0.007390895082304834,17.140496925071435,161434.33333333334,512.0,83161.0,78.18632507324219,0.007390895082304834,17.140496925071435,0.0,1.99353935723523,0.0,31.400966183574887,0.0,-1.5702728750693673,0.0,41.458714758506,0.0,-0.03842284665045437,0.30434572359617507,0.30434572359617507,351.65688073394494,1.8955088073267463,0.005380332116824417,4.195397616417162e-05,-0.13687896728514704,0.0,1.0,1.0,1.0,49131.84899159946,49131.84899159946,86.55634003352961,86.55634003352961,32492.02562168139,32492.02562168139,3,1.0
2024-07-15 00:00:00+00:00,1,0,0,6069634717,0.0,184495.0,8.40779576698939,94359,0.0071112560108304,78.0528335571289,0.0883283166837782,489,191653.0,544.0,101108.0,78.08506774902344,0.0082589825615286,8.040647347768148,0.0,0.0,0.0,0.0,0.0,0.0,167199.5,506.25,85960.5,78.15295219421387,0.007320985314436225,14.957321635550924,167199.5,506.25,85960.5,78.15295219421387,0.007320985314436225,14.957321635550924,0.0,-3.734875008478866,0.0,-10.110294117647056,0.0,-6.675040550698263,0.0,-13.896706309133734,0.0,-0.0412808656299557,0.24964285324816482,0.24964285324816482,376.5204081632653,1.9552246714709622,0.005182280627384485,4.5571696768436115e-05,-0.09479904174805283,0.0,1.0,1.0,1.0,41740.160241666534,41740.160241666534,71.60249064569379,71.60249064569379,27114.01765999769,27114.01765999769,3,0.9626512499152113
2024-07-16 00:00:00+00:00,1,0,0,6069634717,0.0,177651.0,8.385569115479788,90762,0.0068274792283773,78.23434448242188,0.0814747454079216,454,184495.0,489.0,94359.0,78.0528335571289,0.0071112560108304,8.40779576698939,0.0,0.0,0.0,0.0,0.0,0.0,169289.8,495.8,86920.8,78.16923065185547,0.007222284097224441,13.642971131536697,169289.8,495.8,86920.8,78.16923065185547,0.007222284097224441,13.642971131536697,0.0,-3.70958562562671,0.0,-7.157464212678932,0.0,-3.8120370075986343,0.0,-3.9905296901266096,0.0,0.23254879678407114,0.21530518213615413,0.21530518213615413,390.44175824175824,1.957306391370933,0.005002038275508743,4.720222184653023e-05,-0.031121063232425205,-0.031121063232425205,1.0,1.0,1.0,36448.9712227931,36448.9712227931,66.26613011184521,66.26613011184521,23579.4051176021,23579.4051176021,3,0.9269408775234408
2024-07-17 00:00:00+00:00,1,0,0,6069634717,0.0,152323.0,8.56922435760498,76161,0.0061959964223206,78.42179107666016,0.0672209558762871,381,177651.0,454.0,90762.0,78.23434448242188,0.0068274792283773,8.385569115479788,0.0,0.0,0.0,0.0,0.0,0.0,166462.0,476.6666666666667,85127.5,78.21132405598958,0.007051236151407133,12.797346669214745,166462.0,476.6666666666667,85127.5,78.21132405598958,0.007051236151407133,12.797346669214745,0.0,-14.25716714231836,0.0,-16.079295154185026,0.0,-16.08712897468103,0.0,-9.249135514496254,0.0,0.2395962993981371,0.2002179304313536,0.2002179304313536,398.75130890052355,1.999986870092697,0.005002494682387542,5.62565607363579e-05,0.018296595982146197,0.018296595982146197,1.0,1.0,1.0,33328.677135463986,33328.677135463986,75.56101287480645,75.56101287480645,21542.660604020108,21542.660604020108,3,0.7947853673044513
2024-07-18 00:00:00+00:00,1,0,0,6069634717,0.0,141923.0,8.60706732670466,70877,0.0054454328492283,78.5040283203125,0.0606846430984175,366,152323.0,381.0,76161.0,78.42179107666016,0.0061959964223206,8.56922435760498,0.0,0.0,0.0,0.0,0.0,0.0,162956.42857142858,460.85714285714283,83091.71428571429,78.25313895089286,0.0068218356796673,12.198735334570445,162956.42857142858,460.85714285714283,83091.71428571429,78.25313895089286,0.0068218356796673,12.198735334570445,0.0,-6.827596620339671,0.0,-3.937007874015752,0.0,-6.937934113260069,0.0,-12.113686353795373,0.0,0.10486529639694986,0.19518764964322335,0.19518764964322335,386.71117166212537,2.0023561612912326,0.005163802590366545,6.0645608401008006e-05,0.042796543666296434,0.042796543666296434,1.0,1.0,1.0,31807.082287110956,31807.082287110956,80.66892952355443,80.66892952355443,20389.935897514784,20389.935897514784,3,0.7405206284274183
2024-07-19 00:00:00+00:00,1,0,0,6069634717,0.0,136250.0,8.843664248784384,66455,0.0052447193302214,78.57382202148438,0.0565926053754294,340,141923.0,366.0,70877.0,78.5040283203125,0.0054454328492283,8.60706732670466,104743.0,578.0,45654.0,78.35882568359375,0.0080752624198794,35.462169594234894,167457.42857142858,426.85714285714283,86063.28571428571,78.28385271344867,0.006417472381144728,8.396091713791803,159618.125,445.75,81012.125,78.2932243347168,0.0066246961359865625,11.779351448847189,30.080291761740654,-3.9972379388823476,-41.17647058823529,-7.103825136612018,45.56227274718536,-6.2389773833542606,-35.05202608264306,-3.6859056858141948,0.2743741193350191,0.08890461122210702,0.1937397934822397,0.1937397934822397,399.5601173020528,2.050228722763934,0.005116167087998074,6.490715113125323e-05,0.0922535487583742,0.055254618326825794,0.9998803009922281,1.0491128659193847,0.9687195079460087,30924.382573522325,30924.382573522325,86.04442374229059,86.04442374229059,19772.562681204046,19772.562681204046,3,0.7109202569226676
2024-07-20 00:00:00+00:00,1,1,0,6069634717,0.0,138549.0,8.550789753595987,69814,0.0060119479894638,78.4766616821289,0.0559739207337683,415,136250.0,340.0,66455.0,78.57382202148438,0.0052447193302214,8.843664248784384,187907.0,414.0,102721.0,78.11508178710938,0.0058384402655065,7.918673833211263,160406.2857142857,427.0,81362.28571428571,78.33550698416573,0.006442259198852914,8.486393988132477,157277.11111111112,442.3333333333333,79767.88888888889,78.31360626220703,0.006556613008595145,11.420622371597055,-26.26724922435034,1.687339449541292,0.24154589371980784,22.058823529411775,-32.03531897080442,5.0545481905048595,2.971816376753633,14.628593275171742,0.46288102981824064,-0.12365484693986906,0.18926750565404132,0.18926750565404132,333.0504807692308,1.9845162214423835,0.005944281314903674,6.171627393429078e-05,0.08880152021135423,0.05090738932291426,1.0002796541112584,1.0198959313346232,0.9825590118568348,29767.446516473512,29767.446516473512,81.13722943261004,81.13722943261004,18868.441035525728,18868.441035525728,3,0.722915894872504
2024-07-21 00:00:00+00:00,1,1,0,6069634717,0.0,160637.0,8.336143096288046,83002,0.0049415887333452,78.34953308105469,0.0627281986060832,306,138549.0,415.0,69814.0,78.4766616821289,0.0060119479894638,8.550789753595987,191653.0,544.0,101108.0,78.08506774902344,0.0082589825615286,8.040647347768148,155975.42857142858,393.0,78775.71428571429,78.37328774588448,0.005968345794826714,8.528607666492462,157613.1,428.7,80091.3,78.3171989440918,0.00639511058107015,11.112174444066154,-16.183414817404373,15.942374178088613,-43.75,-26.265060240963855,-17.907583969616645,18.890193943908095,-40.167100529261866,-17.80386753169607,0.3386887399281946,-0.16199542430735958,0.17819028040719673,0.17819028040719673,523.2475570032574,1.9353155910027349,0.0036866137368528847,5.1893967157758726e-05,0.054527282714846886,0.038983200535629585,1.0007161747681084,0.9896095475022607,0.9332670200407978,28085.12248484754,28085.12248484754,87.80919972050512,87.80919972050512,17818.710715612022,17818.710715612022,3,0.8381658518259563
