timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,platform_platform_share,ccu_playing,session_session_length,ratings_like_ratio,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-02-22 00:00:00+00:00,0,0,0,1451439645,0,0.5028005242347717,15961,0.0,90.10592651367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15961.0,0.0,90.10592651367188,0.5028005242347717,0.0,0.0,15961.0,0.0,90.10592651367188,0.5028005242347717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15961.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-02-23 00:00:00+00:00,0,0,0,1451439645,1579333,0.4916931092739105,14975,0.0,90.13151550292967,0.0,0.0,0.0,0.0,15961.0,0.0,90.10592651367188,0.5028005242347717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15468.0,789666.5,90.11872100830078,0.4972468167543411,0.0,0.0,15468.0,789666.5,90.11872100830078,0.4972468167543411,0.0,0.0,0.0,0.0,-6.177557797130506,0.0,inf,0.0,-2.209109661881503,0.0,0.028398786015393362,0.0,0.0,0.0,0.0,0.009481844878917315,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,697.2072862499358,697.2072862499358,1116757.0740516935,1116757.0740516935,0,0.0
2021-02-24 00:00:00+00:00,0,0,0,1451439645,1566166,0.4930956959724426,15175,0.0,90.16545104980467,0.0,0.0,0.0,0.0,14975.0,1579333.0,90.13151550292967,0.4916931092739105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15370.333333333334,1048499.6666666666,90.13429768880208,0.4958631098270416,0.0,0.0,15370.333333333334,1048499.6666666666,90.13429768880208,0.4958631098270416,0.0,0.0,0.0,0.0,1.3355592654423987,0.0,-0.8337063811115208,0.0,0.2852565293427256,0.0,0.03765114420370974,0.0,0.0,0.0,0.0,0.00968926046839194,0.0,0.029762268066392438,0.0,1.0,0.0,1.0,0.0,0.0,521.2152466432016,521.2152466432016,908051.2131605427,908051.2131605427,0,0.0
2021-02-25 00:00:00+00:00,0,0,0,1451439645,1555004,0.4961288869380951,15405,0.0,90.2031021118164,0.0,0.0,0.0,0.0,15175.0,1566166.0,90.16545104980467,0.4930956959724426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15379.0,1175125.75,90.15149879455566,0.495929554104805,0.0,0.0,15379.0,1175125.75,90.15149879455566,0.495929554104805,0.0,0.0,0.0,0.0,1.5156507413509157,0.0,-0.7126958445017983,0.0,0.6151323141587506,0.0,0.04175774819885625,0.0,0.0,0.0,0.0,0.009906720557168626,0.0,0.0325462341308466,0.0,1.0,0.0,1.0,0.0,0.0,425.92331078102166,425.92331078102166,783480.2680367366,783480.2680367366,0,0.0
2021-02-26 00:00:00+00:00,0,0,0,1451439645,1857276,0.5014230012893677,17023,0.0,90.26019287109376,0.0,0.0,0.0,0.0,15405.0,1555004.0,90.2031021118164,0.4961288869380951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15707.8,1311555.8,90.17323760986328,0.49702824354171754,0.0,0.0,15707.8,1311555.8,90.17323760986328,0.49702824354171754,0.0,0.0,0.0,0.0,10.50308341447581,0.0,19.438663823372803,0.0,1.067084479588698,0.0,0.06329134801437153,0.0,0.0,0.0,0.0,0.009165568733150737,0.0,0.03801193237303982,0.03801193237303982,1.0,0.0,1.0,0.0,0.0,822.5601497762947,822.5601497762947,743940.0449748621,743940.0449748621,0,0.0
2021-02-27 00:00:00+00:00,0,1,0,1451439645,1756165,0.4067336320877075,16378,0.0,90.27053833007812,0.0,0.0,0.0,0.0,17023.0,1857276.0,90.26019287109376,0.5014230012893677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15819.5,1385657.3333333333,90.18945439656575,0.4819791416327159,0.0,0.0,15819.5,1385657.3333333333,90.18945439656575,0.4819791416327159,0.0,0.0,0.0,0.0,-3.788991364624328,0.0,-5.444048165162318,0.0,-18.8841295589102,0.0,0.011461817945734865,0.0,0.0,0.0,0.0,0.009325997656258007,0.0,0.03562120710101368,0.03562120710101368,1.0,0.0,1.0,0.0,0.0,784.9493614240349,784.9493614240349,689712.7343089053,689712.7343089053,0,0.0
2021-02-28 00:00:00+00:00,0,1,0,1451439645,1779777,0.365387350320816,14202,0.0,90.2859115600586,0.0,0.0,0.0,0.0,16378.0,1756165.0,90.27053833007812,0.4067336320877075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15588.42857142857,1441960.142857143,90.20323399135044,0.4653231714453016,0.0,0.0,15588.42857142857,1441960.142857143,90.20323399135044,0.4653231714453016,0.0,0.0,0.0,0.0,-13.28611552082062,0.0,1.3445205888968248,0.0,-10.165444532989998,0.0,0.01703017425713771,0.0,0.0,0.0,0.0,0.007979646899781883,0.0,0.032597950526649516,0.032597950526649516,1.0,0.0,1.0,0.0,0.0,941.9196457488393,941.9196457488393,647000.5855833075,647000.5855833075,0,0.0
2021-03-01 00:00:00+00:00,0,0,0,1451439645,1319709,0.3757266998291015,11279,0.0,90.31383514404295,0.0,0.0,0.0,0.0,14202.0,1779777.0,90.2859115600586,0.365387350320816,0.0,0.0,15961.0,0.0,90.10592651367188,0.5028005242347717,0.0,0.0,14919.57142857143,1630490.0,90.2329352242606,0.4471697679587773,0.0,0.0,15049.75,1426678.75,90.21705913543701,0.4541236124932766,0.0,0.0,0.0,-29.33400162897062,-20.581608224193772,inf,-25.849755334516633,-25.273208415816185,2.8296955270091795,0.23073801959023754,0.030927952658243996,0.0,0.0,0.0,0.0,0.008546574626243645,0.0,0.030547005789619407,0.030948729742142217,1.000175976572233,0.0,0.9846873310631865,0.0,0.0,1755.5240772243158,1755.5240772243158,600563.5116478404,600563.5116478404,0,0.0
2021-03-02 00:00:00+00:00,0,0,0,1451439645,1086184,0.3716480433940887,10993,0.0,90.34368896484376,0.0,0.0,0.0,0.0,11279.0,1319709.0,90.31383514404295,0.3757266998291015,0.0,0.0,14975.0,1579333.0,90.13151550292967,0.4916931092739105,0.0,0.0,14350.714285714286,1560040.142857143,90.26324571881976,0.4300204728330885,0.0,0.0,14599.0,1388846.0,90.23112911648221,0.4449596603711446,0.0,0.0,0.0,-26.590984974958264,-2.535685787747144,-31.225143779051034,-17.695188863605537,-24.414632545307356,-1.0855380884211785,0.2354042986298044,0.033055645077184614,0.0,0.0,0.0,0.0,0.010120743703881014,0.0,0.027924946376261518,0.030106099446614024,1.000355937054673,0.0,0.9664257485148312,0.0,0.0,2127.254509925881,2127.254509925881,573126.3541624133,573126.3541624133,0,0.0
2021-03-03 00:00:00+00:00,0,0,0,1451439645,1054535,0.3617082834243774,10872,0.0,90.3625030517578,0.0,0.0,0.0,0.0,10993.0,1086184.0,90.34368896484376,0.3716480433940887,0.0,0.0,15175.0,1566166.0,90.16545104980467,0.4930956959724426,0.0,0.0,13736.0,1486950.0,90.29139600481305,0.41125084246907917,0.0,0.0,14226.3,1355414.9,90.24426651000977,0.4366345226764679,0.0,0.0,0.0,-28.355848434925868,-1.1007004457382008,-32.66773764722258,-2.9137788809262544,-26.645418652246367,-2.6745088925899108,0.21854490789856573,0.020825015150038872,0.0,0.0,0.0,0.0,0.010309747604633697,0.0,0.02458899361746784,0.02906119606711566,1.000522243646338,0.0,0.9418651552062519,0.0,0.0,2326.2552191117043,2326.2552191117043,550593.4175387396,550593.4175387396,0,0.0
