timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,daily_Estimated Revenue,platform_platform_share,ccu_playing,session_session_length,ratings_like_ratio,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-27 00:00:00+00:00,0,0,0,6161049307,45975,111029,0.0152398319914937,1366,6.670491790771484,94.15413665771484,0.0947778201568705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111029.0,1366.0,45975.0,94.15413665771484,0.0152398319914937,6.670491790771484,111029.0,1366.0,45975.0,94.15413665771484,0.0152398319914937,6.670491790771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.22092172640819,2.414933878545328,0.029711153645380198,6.0078283263725874e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-28 00:00:00+00:00,0,0,0,6161049307,432026,124308,0.0253226310014724,2155,7.55838018655777,94.4922332763672,0.0898072349041805,0.0,111029.0,1366.0,45975.0,94.15413665771484,0.0152398319914937,6.670491790771484,0.0,0.0,0.0,0.0,0.0,0.0,117668.5,1760.5,239000.5,94.32318496704102,0.02028123149648305,7.114435988664627,117668.5,1760.5,239000.5,94.32318496704102,0.02028123149648305,7.114435988664627,0.0,11.959938394473513,0.0,57.75988286969253,0.0,839.6976617727025,0.0,66.16082785956262,0.0,0.3590884380167747,0.0797976599291753,0.0797976599291753,57.65677179962894,0.2877320167489532,0.004988114168790377,6.080316136850727e-05,0.0,0.0,1.0,1.0,1.0,9389.670947376164,9389.670947376164,557.907250356186,557.907250356186,272979.27998384787,272979.27998384787,2,1.0
2025-05-29 00:00:00+00:00,0,0,0,6161049307,607425,153942,0.0281946025788784,2644,8.100559194882711,94.74057006835938,0.0790426630314877,417.0,124308.0,2155.0,432026.0,94.4922332763672,0.0253226310014724,7.55838018655777,0.0,0.0,0.0,0.0,0.0,0.0,129759.66666666667,2055.0,361808.6666666667,94.46231333414714,0.022919021857281497,7.443143724070655,129759.66666666667,2055.0,361808.6666666667,94.46231333414714,0.022919021857281497,7.443143724070655,0.0,23.839173665411728,0.0,22.69141531322505,0.0,40.59917690139019,0.0,11.341521255192655,0.0,0.26281185593937106,0.1693114325097364,0.1693114325097364,58.20113421550094,0.25343334002825035,0.004352793591318119,5.2620510155594677e-05,0.29321670532225563,0.0,1.0,1.0,1.0,21969.795045319228,21969.795045319228,644.8418410742281,644.8418410742281,287235.75865538284,287235.75865538284,3,1.0
2025-05-30 00:00:00+00:00,0,0,0,6161049307,604550,154348,0.0271703675389289,2896,8.052688161532084,94.9148178100586,0.0603594881161786,329.0,153942.0,2644.0,607425.0,94.74057006835938,0.0281946025788784,8.100559194882711,0.0,0.0,0.0,0.0,0.0,0.0,135906.75,2265.25,422494.0,94.575439453125,0.02398185827769335,7.595529833436013,135906.75,2265.25,422494.0,94.575439453125,0.02398185827769335,7.595529833436013,0.0,0.2637356926634693,0.0,9.531013615733741,0.0,-0.4733094620735123,0.0,-3.632734446545427,0.0,0.1839209343721393,0.16001341476361416,0.16001341476361416,53.27856403175699,0.2553101392603767,0.00479033199845836,5.217194903453915e-05,0.25303802490231875,0.0,1.0,1.0,1.0,21746.903156924818,21746.903156924818,673.8206363714309,673.8206363714309,264071.5043834403,264071.5043834403,4,1.0
2025-05-31 00:00:00+00:00,0,1,0,6161049307,813554,200218,0.0324587933719158,3717,8.13534665107727,95.13227081298828,0.0613842770607854,209.0,154348.0,2896.0,604550.0,94.9148178100586,0.0271703675389289,8.052688161532084,0.0,0.0,0.0,0.0,0.0,0.0,148769.0,2555.6,500706.0,94.68680572509766,0.025677245296537844,7.703493196964264,148769.0,2555.6,500706.0,94.68680572509766,0.025677245296537844,7.703493196964264,0.0,29.718558063596557,0.0,28.349447513812166,0.0,34.57183028699031,0.0,19.46394661540667,0.0,0.2291033243774887,0.23108664114892627,0.23108664114892627,53.85099515868747,0.24610259908672433,0.004568836771945351,4.063224095154441e-05,0.23788528442381945,0.23788528442381945,1.0,1.0,1.0,34378.52851708461,34378.52851708461,872.9497694598471,872.9497694598471,287899.12172582257,287899.12172582257,5,1.0
2025-06-01 00:00:00+00:00,1,1,0,6161049307,1003606,241519,0.0511031374335289,5267,7.623602787653605,95.36568450927734,0.057975834660352,177.0,200218.0,3717.0,813554.0,95.13227081298828,0.0324587933719158,8.13534665107727,0.0,0.0,0.0,0.0,0.0,0.0,164227.33333333334,3007.5,584522.6666666666,94.79995218912761,0.02991489398603635,7.690178128745821,164227.33333333334,3007.5,584522.6666666666,94.79995218912761,0.02991489398603635,7.690178128745821,0.0,20.628015463145168,0.0,41.700295937584066,0.0,23.360711151318792,0.0,57.44004050916036,0.0,0.24535701113233,0.29701347232461744,0.29701347232461744,45.84643128321944,0.24065097194419727,0.005248070210749825,3.156509931953298e-05,0.23291713169643036,0.23291713169643036,1.0,1.0,1.0,48777.73052394573,48777.73052394573,1354.5902332439873,1354.5902332439873,329332.8484968766,329332.8484968766,6,1.0
2025-06-02 00:00:00+00:00,1,0,0,6161049307,963411,241446,0.0442957729101181,4347,8.320408324400583,95.43562316894533,0.0468045296669332,156.0,241519.0,5267.0,1003606.0,95.36568450927734,0.0511031374335289,7.623602787653605,0.0,0.0,0.0,0.0,0.0,0.0,175258.57142857142,3198.8571428571427,638649.5714285715,94.89076232910156,0.031969305260905176,7.7802110138393585,175258.57142857142,3198.8571428571427,638649.5714285715,94.89076232910156,0.031969305260905176,7.7802110138393585,0.0,-0.030225365292169126,0.0,-17.467248908296938,0.0,-4.005057761711273,0.0,-13.32083481618972,0.0,0.07333734354015853,0.30378199307642867,0.30378199307642867,55.53035878564857,0.25061552067028436,0.0045120882862160734,3.4460599321592664e-05,0.21368081229074146,0.21368081229074146,1.0,1.0,1.0,53240.398132299066,53240.398132299066,1336.1955231890565,1336.1955231890565,333003.7391926489,333003.7391926489,6,0.9996977463470783
2025-06-03 00:00:00+00:00,1,0,0,6161049307,830724,248368,0.0326213873922824,1800,8.168626447518667,95.51332092285156,0.0408057992422334,155.0,241446.0,4347.0,963411.0,95.43562316894533,0.0442957729101181,8.320408324400583,111029.0,1366.0,45975.0,94.15413665771484,0.0152398319914937,6.670491790771484,194878.42857142858,3260.8571428571427,750756.5714285715,95.08493150983539,0.03445238460387499,7.994230250517527,184397.25,3024.0,662658.875,94.96858215332031,0.032050815527327324,7.828762943049272,123.69651172216267,2.866893632530676,31.77159590043923,-58.59213250517599,1706.9037520391519,-13.77262663598402,114.05345813845211,-26.35552954798769,1.4435736053508341,0.08141378588653048,0.30183339608541093,0.30183339608541093,137.90560799555803,0.2989773992596828,0.0021667820277468477,3.288907410956547e-05,0.1751512799944248,0.19433375767299893,1.00122513523817,1.0568402108568786,1.07493004583612,55657.248196310546,55657.248196310546,1332.275818718803,1332.275818718803,315691.97345895687,315691.97345895687,7,1.0
2025-06-04 00:00:00+00:00,1,0,0,6161049307,717556,242979,0.0344676226377487,3231,8.395842770735422,95.5543975830078,0.0354794384341109,122.0,248368.0,1800.0,830724.0,95.51332092285156,0.0326213873922824,8.168626447518667,124308.0,2155.0,432026.0,94.4922332763672,0.0253226310014724,7.55838018655777,211831.42857142858,3414.5714285714284,791546.5714285715,95.2366692679269,0.03575881198048588,8.113867762542906,190906.33333333334,3047.0,668758.5555555555,95.03367275661893,0.03231934965070748,7.891771812792178,95.4652958779805,-2.169764220833603,49.93039443155452,79.5,66.09092971256361,-13.622815760709939,36.113907894264855,5.6595852998670315,1.124075778306577,0.043006210818918866,0.29126428129248183,0.29126428129248183,75.17914603960396,0.33861978908992596,0.004502778176507232,3.4553637215966014e-05,0.1407800401960127,0.17508799235026024,1.0021360482597348,1.1096092249677167,1.1064211491552434,55604.1959725163,55604.1959725163,1248.138614097008,1248.138614097008,295869.22663404484,295869.22663404484,7,0.978302357791664
2025-06-05 00:00:00+00:00,1,0,0,6161049307,700035,260401,0.0329141728579998,3226,8.381186425685883,95.61610412597656,0.0344390822487942,92.0,242979.0,3231.0,717556.0,95.5543975830078,0.0344676226377487,8.395842770735422,153942.0,2644.0,607425.0,94.74057006835938,0.0281946025788784,8.100559194882711,227039.85714285713,3497.714285714286,804776.5714285715,95.36174556187221,0.036433036306074654,8.15395736694336,197855.8,3064.9,671886.2,95.09191589355468,0.03237883197143671,7.940713274081548,69.15526626911435,7.170166969161951,22.01210287443267,-0.15475085112968134,15.246326707000858,-2.4417606430717553,16.73926868065523,-4.506982672044135,0.9241384730801716,0.06457739730414414,0.28730018278731884,0.28730018278731884,80.69445305237062,0.37198229805324295,0.004608334428515105,3.218556856585542e-05,0.11056246076311962,0.15910570549242517,1.0028375668507885,1.147501650913732,1.1252115684165012,56844.0075055312,56844.0075055312,1178.1169956993047,1178.1169956993047,279123.46701208135,279123.46701208135,8,1.0
