timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,visits_visits_gained,ratings_like_ratio,daily_rpv,ccu_playing,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-14 00:00:00+00:00,0,1,0,6375110339,117418.0,0.0065259621478617,49115,88.6030044555664,0.0452866292003538,528,22.923119627911113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117418.0,528.0,49115.0,88.6030044555664,0.0065259621478617,22.923119627911113,117418.0,528.0,49115.0,88.6030044555664,0.0065259621478617,22.923119627911113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.96219281663517,2.3906262724977605,0.010750061079892499,0.0001952249604230245,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-15 00:00:00+00:00,0,1,0,6375110339,129786.0,0.0061031728982925,51971,88.63922119140625,0.049209917286654,459,16.890742619832356,0.0,117418.0,528.0,49115.0,88.6030044555664,0.0065259621478617,22.923119627911113,0.0,0.0,0.0,0.0,0.0,0.0,123602.0,493.5,50543.0,88.62111282348633,0.0063145675230771,19.906931123871736,123602.0,493.5,50543.0,88.62111282348633,0.0063145675230771,19.906931123871736,0.0,10.533308351360105,0.0,-13.068181818181824,0.0,5.81492415758933,0.0,-6.478573427026868,0.0,0.04087529092537956,0.07075530064008041,0.07075530064008041,282.1434782608696,2.497229277303163,0.008831678596167167,0.0001301420220810432,0.0,0.0,1.0,1.0,1.0,8745.49666971522,8745.49666971522,48.79036790187178,48.79036790187178,2019.4969670687797,2019.4969670687797,2,1.0
2024-09-16 00:00:00+00:00,0,0,0,6375110339,87395.0,0.006609751842916,36540,88.52867889404297,0.0325315500522569,450,16.117928584416706,0.0,129786.0,459.0,51971.0,88.63922119140625,0.0061031728982925,16.890742619832356,0.0,0.0,0.0,0.0,0.0,0.0,111533.0,479.0,45875.333333333336,88.59030151367188,0.006412962296356733,18.643930277386726,111533.0,479.0,45875.333333333336,88.59030151367188,0.006412962296356733,18.643930277386726,0.0,-32.662228591681696,0.0,-1.9607843137254943,0.0,-29.691558753920454,0.0,8.300255507511945,0.0,-0.12471036622103693,0.1954545848543568,0.1954545848543568,193.78048780487805,2.391696997892778,0.012314933909854683,0.0001844240993228146,-0.03716278076172986,0.0,1.0,1.0,1.0,21799.636212560978,21799.636212560978,42.67317658670374,42.67317658670374,8209.781990609334,8209.781990609334,2,0.673377714083183
2024-09-17 00:00:00+00:00,0,0,0,6375110339,84115.0,0.0060150153003633,33398,88.62953186035156,0.0309181312603787,339,17.1450369876364,0.0,87395.0,450.0,36540.0,88.52867889404297,0.006609751842916,16.117928584416706,0.0,0.0,0.0,0.0,0.0,0.0,104678.5,444.0,42756.0,88.6001091003418,0.006313475547358375,18.269206954949144,104678.5,444.0,42756.0,88.6001091003418,0.006313475547358375,18.269206954949144,0.0,-3.753075118713889,0.0,-24.66666666666667,0.0,-8.598795840175155,0.0,-8.997864922721854,0.0,0.11392123724029979,0.21462577002088068,0.21462577002088068,247.39705882352942,2.5184885775023202,0.01015000449115243,0.00020382610903557467,-0.003096008300786596,0.0,1.0,1.0,1.0,22466.703667130758,22466.703667130758,78.19207120929845,78.19207120929845,9157.218027326859,9157.218027326859,2,0.6481053426409629
2024-09-18 00:00:00+00:00,0,0,0,6375110339,79852.0,0.0058954008854925,27700,88.64874267578125,0.0289432360382913,337,16.67825150489807,0.0,84115.0,339.0,33398.0,88.62953186035156,0.0060150153003633,17.1450369876364,0.0,0.0,0.0,0.0,0.0,0.0,99713.2,422.6,39744.8,88.60983581542969,0.0062298606149852,17.95101586493893,99713.2,422.6,39744.8,88.60983581542969,0.0062298606149852,17.95101586493893,0.0,-5.068061582357486,0.0,-0.5899705014749235,0.0,-17.060901850410204,0.0,-1.9885970175932077,0.0,0.0216754111484585,0.2246612028504236,0.2246612028504236,236.24852071005918,2.882639615898343,0.012165625789682683,0.00020886192760319677,0.008178710937495682,0.008178710937495682,1.0,1.0,1.0,22401.687452064856,22401.687452064856,82.9174288072176,82.9174288072176,10403.249910484705,10403.249910484705,2,0.6152589647573699
2024-09-19 00:00:00+00:00,0,0,0,6375110339,72794.0,0.0059798401780426,30135,88.56893920898438,0.0261057564362682,344,15.920373400052387,0.0,79852.0,337.0,27700.0,88.64874267578125,0.0058954008854925,16.67825150489807,0.0,0.0,0.0,0.0,0.0,0.0,95226.66666666667,409.5,38143.166666666664,88.60301971435547,0.0061881905421614335,17.612575454124507,95226.66666666667,409.5,38143.166666666664,88.60301971435547,0.0061881905421614335,17.612575454124507,0.0,-8.838851875970544,0.0,2.0771513353115667,0.0,8.790613718411544,0.0,1.4322909364465675,0.0,-0.09002210791498877,0.2399813371208455,0.2399813371208455,210.99710144927536,2.4155163259888504,0.011414919033713831,0.00021870146850817208,-0.0011688232421815626,-0.0011688232421815626,1.0,1.0,1.0,22852.622796227715,22852.622796227715,80.8077966535408,80.8077966535408,10098.19107398284,10098.19107398284,2,0.5608771362088361
2024-09-20 00:00:00+00:00,0,0,0,6375110339,95971.0,0.007337181828916,37076,88.61549377441406,0.0340192889379485,540,15.941293756167092,0.0,72794.0,344.0,30135.0,88.56893920898438,0.0059798401780426,15.920373400052387,0.0,0.0,0.0,0.0,0.0,0.0,95333.0,428.14285714285717,37990.71428571428,88.60480172293526,0.006352332154554942,17.373820925844875,95333.0,428.14285714285717,37990.71428571428,88.60480172293526,0.006352332154554942,17.373820925844875,0.0,31.83916256834354,0.0,56.9767441860465,0.0,23.033018085282887,0.0,22.69862756294774,0.0,0.05256308345280569,0.2188475333227385,0.2188475333227385,177.39556377079484,2.5884240904064515,0.014564285136337892,0.00016610359017387458,0.0006059919084882281,0.0006059919084882281,1.0,1.0,1.0,20863.39189425663,20863.39189425663,88.73824536509717,88.73824536509717,9227.165214992194,9227.165214992194,2,0.7394557194150371
2024-09-21 00:00:00+00:00,0,1,0,6375110339,129051.0,0.0061741145327687,52268,88.61844635009766,0.0449963235733612,483,16.319679299990337,0.0,95971.0,540.0,37076.0,88.61549377441406,0.007337181828916,15.941293756167092,117418.0,528.0,49115.0,88.6030044555664,0.0065259621478617,22.923119627911113,96994.85714285714,421.7142857142857,38441.142857142855,88.6070077078683,0.0063020682095416575,16.430472307570476,99547.75,435.0,39775.375,88.60650730133057,0.006330054951831662,17.24205322261306,9.907339590182085,34.46874576695043,-8.52272727272727,-10.555555555555552,6.419627405069739,40.97529399072175,-5.391505606698721,-15.851689698674566,0.01742818387044931,0.0033318955386274496,0.22801380066798616,0.22801380066798616,266.63429752066116,2.468977787981404,0.009240658899156288,0.00012645816647545438,0.0018111637660411563,0.0015410468691896924,1.0000056475145334,0.9743550923336504,0.9955787520798842,22698.26082544652,22698.26082544652,84.41394603804684,84.41394603804684,9922.587824000351,9922.587824000351,2,0.9943368313993806
2024-09-22 00:00:00+00:00,0,1,0,6375110339,118652.0,0.0057588126510381,48322,88.53600311279297,0.0405955958442303,359,16.43446358044942,0.0,129051.0,483.0,52268.0,88.61844635009766,0.0061741145327687,16.319679299990337,129786.0,459.0,51971.0,88.63922119140625,0.0061031728982925,16.890742619832356,95404.28571428571,407.42857142857144,37919.857142857145,88.5922622680664,0.006252873888505314,16.36528958765863,101670.44444444444,426.55555555555554,40725.0,88.59867350260417,0.006266583585076822,17.15232104015043,-8.57873730602684,-8.058054567574057,-21.786492374727672,-25.672877846790886,-7.021223374574282,-7.549552307339102,-5.64231512023431,-6.726501096252968,-0.11644741145727666,-0.09303168888674662,0.21802491574687696,0.21802491574687696,329.5888888888889,2.4553939118018335,0.007429174513171781,0.00013850862245749724,-0.0011945452008954856,-0.0036215464274108734,0.9999276373529726,0.9383679419874796,0.997812253457505,22166.690083947535,22166.690083947535,82.92633946930117,82.92633946930117,9709.099816666838,9709.099816666838,2,0.9142126269397316
2024-09-23 00:00:00+00:00,0,0,0,6375110339,70456.0,0.0058689205907285,29618,88.64555358886719,0.0238408820041554,365,15.787025411923729,0.0,118652.0,359.0,48322.0,88.53600311279297,0.0057588126510381,16.43446358044942,87395.0,450.0,36540.0,88.52867889404297,0.006609751842916,16.117928584416706,92984.42857142857,395.2857142857143,36931.0,88.6089586530413,0.006147040852478527,16.31801770587392,98549.0,420.4,39614.3,88.60336151123047,0.00622681728564199,17.01579147732776,-19.38211568167515,-40.619627144928025,-18.88888888888889,1.671309192200554,-18.94362342638205,-38.70700716029965,-11.208155310421919,1.9119903070740074,0.1320190205979399,0.12373551122999427,0.2345308227209257,0.2345308227209257,192.50273224043715,2.378743374185489,0.012323170937573855,0.00022406610289855839,-0.00456809997558536,-7.675633286071284e-05,1.0000631707614176,0.9435349782486739,0.9871882489072846,23112.778048324508,23112.778048324508,80.57046605301473,80.57046605301473,9804.5446270821,9804.5446270821,2,0.5428628665649607
