timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,daily_rpv,sort_sort_position,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-03-08 00:00:00+00:00,0,1,0,6669140287,1995.0,0.0221455991268157,0.0501746013772268,172.0,80.67256164550781,229900.0,850420.0,12.609697977701822,559681.0,1854.0,144873.0,80.64273071289062,0.0220926143229007,13.34046709537506,1133124.0,2527.0,261584.0,80.39876556396484,0.0271609146147966,14.716294368108114,799971.4285714285,2274.5714285714284,205335.14285714287,80.58005196707589,0.029203192463942873,13.53884351821173,798196.3,2150.9,192368.56666666668,80.01905746459961,0.027779332486291674,14.495750419241217,-24.949078829854454,51.947269962710905,-21.052631578947366,7.605177993527512,-12.112361612331025,58.69071531617347,-18.46519367668378,0.2398303937260815,0.3405476186386647,0.03699147133719993,0.3623846627890613,0.2984217904193165,426.062124248497,3.6990704694629426,0.008677648205096977,1.4827594776824447e-05,0.03359276907785032,0.05144942032216883,1.0070107611892887,1.0022239248308074,1.0512560904173573,303303.04632967775,238199.1689520739,1211.918241539348,893.7513867845522,77110.1970345608,59628.025637500665,1,0.5502370674037496
2025-03-09 00:00:00+00:00,0,1,0,6669140287,1826.0,0.0244315434247255,0.0522780340607308,172.0,80.7044448852539,228382.0,898274.0,13.43479343255361,850420.0,1995.0,229900.0,80.67256164550781,0.0221455991268157,12.609697977701822,1334278.0,5072.0,331217.0,80.47772216796875,0.0619822666049003,14.541726549466452,737685.1428571428,1810.857142857143,190644.42857142858,80.61244092668805,0.023838803438203614,13.380710215795608,806509.6666666666,2154.9333333333334,195238.53333333333,80.07079722086588,0.027845593790213216,14.391530477943054,-32.677148240471624,5.627101902589304,-63.99842271293375,-8.471177944862152,-31.04762134793806,-0.6602870813397166,-60.58301065293092,10.322341178576622,0.2817210914741741,0.039521789188001755,0.34535776720911676,0.2940545376935391,491.6661193212917,3.9331911744744574,0.007995341159368254,1.4956214335869984e-05,0.03230203901018374,0.04989330728804721,1.0067645599222412,0.9146637335495581,0.8561068446880148,280436.3040506095,237157.827177037,910.996399312555,891.9409263465569,71934.87218249634,59204.74233494414,1,0.5811994678923776
2025-03-10 00:00:00+00:00,0,0,0,6669140287,1586.0,0.0231481026858091,0.0304224475730953,180.0,80.73023986816406,139749.0,528354.0,13.144354422887169,898274.0,1826.0,228382.0,80.7044448852539,0.0244315434247255,13.43479343255361,1155856.0,2342.0,306063.0,80.49887084960938,0.0332815796136856,13.214918772379557,648042.0,1702.857142857143,166885.2857142857,80.64549364362445,0.022391163877078398,13.370629594439553,795692.1,2137.8333333333335,193314.7,80.1208127339681,0.027846079133450937,14.310679916483192,-54.28894256724022,-41.18119860977831,-32.28010247651581,-13.14348302300109,-54.33979278775938,-38.80910054207425,-30.4477042421074,-5.253211868790563,0.2874189614248568,0.031962282804665065,0.35318288741296866,0.3045336862343108,332.92627599243855,3.7807084078711988,0.011348837209302326,2.48778840417658e-05,0.02869905744280382,0.048347619112925865,1.0065486219092472,0.8144381476201662,0.8041047276268184,270874.92732352955,242315.04832051985,919.8632632499917,897.9475479395079,68266.47913745203,60061.44712746128,1,0.34185456070064285
2025-03-11 00:00:00+00:00,0,0,0,6669140287,1554.0,0.0225919187068939,0.0312997649432764,190.0,80.77685546875,140062.0,547928.0,13.391982833544413,528354.0,1586.0,139749.0,80.73023986816406,0.0231481026858091,13.144354422887169,669795.0,1749.0,165117.0,80.55060577392578,0.0236255880445241,13.860695600509644,630632.4285714285,1675.0,163306.0,80.67781502859933,0.022243496828845518,13.303670627730233,781206.6666666666,2125.4,190582.0,80.1679089864095,0.027732251832882516,14.210241266034076,-18.19467150396763,3.7047131279407397,-11.1492281303602,-2.0176544766708715,-15.17408867651423,0.22397298012866163,-4.375211045253879,-2.4027195077900187,0.2808789488923491,0.05774242794529538,0.3632078248825215,0.31201472340685976,352.3652733118971,3.9120110236108037,0.011095007246738968,2.4441091516500153e-05,0.029218128749303823,0.0473605333101228,1.0063604757643894,0.8072542842757298,0.8020804427598301,275767.35708117887,243747.98202359487,929.5426885786958,903.5324775186748,68905.57892918347,60572.11457485172,1,0.3545192914893837
2025-03-12 00:00:00+00:00,0,0,0,6669140287,1386.0,0.0209910348057746,0.0271960869208705,218.0,80.80989837646484,124349.0,479618.0,13.339165290196735,547928.0,1554.0,140062.0,80.77685546875,0.0225919187068939,13.391982833544413,546870.0,1483.0,138108.0,80.59890747070312,0.0211045201867818,13.676837046941122,621025.0,1661.142857142857,161340.42857142858,80.70795658656529,0.02222728463155877,13.255431805338178,775583.9333333333,2137.866666666667,189723.33333333334,80.21405283610027,0.02763112386067704,14.1487832678113,-12.297621006820636,-12.466966462746932,-6.540795684423461,-10.81081081081081,-9.962493121325345,-11.218603190015852,-0.5377302113614535,-7.086090924321509,0.26177886572273934,0.040906405087315356,0.3750258021932147,0.32080669161200404,345.79524152847875,3.8570004020908724,0.011145958986731002,2.7812003465660732e-05,0.0320974077497227,0.046382909993309455,1.006157321977911,0.8007192688107085,0.804429264029731,282040.13681864727,248812.5157200918,943.1118849174406,890.1210197973405,69938.81618537796,61343.31826151347,1,0.3103214903154342
2025-03-13 00:00:00+00:00,0,0,0,6669140287,1125.0,0.0171958450227975,0.025290934023785,214.0,80.8187255859375,114315.0,449142.0,13.512792547543844,479618.0,1386.0,124349.0,80.80989837646484,0.0209910348057746,13.339165290196735,482900.0,1427.0,122068.0,80.61896514892578,0.0201901793479919,13.52756158510844,616202.4285714285,1618.0,160232.85714285713,80.73649379185268,0.021799522585102427,13.25332194282895,769640.8666666667,2114.233333333333,188196.9,80.25847244262695,0.0273537034168839,14.1309016664247,-6.990681300476287,-6.3542235695908005,-21.16327960756833,-18.83116883116883,-6.351377920503321,-8.06922452130696,-14.83064748254559,-18.080050926946424,0.24778342991962354,0.010923426028242034,0.3902939539195921,0.33072136592480217,398.8827708703375,3.928951327898107,0.009841142097344205,3.0085724474262863e-05,0.03125245230538814,0.045263917984501724,1.0059560235159901,0.8006363165721906,0.7969495849562663,290012.8011343769,254536.67869554856,976.1125408003386,907.7056215548622,71563.6449048393,62661.2477094647,1,0.2906029690363055
2025-03-14 00:00:00+00:00,0,0,0,6669140287,1659.0,0.0193386971950531,0.0264334738536542,213.0,80.82198333740234,123258.0,472343.0,13.545995632807411,449142.0,1125.0,114315.0,80.8187255859375,0.0171958450227975,13.512792547543844,559681.0,1854.0,144873.0,80.64273071289062,0.0220926143229007,13.34046709537506,603725.5714285715,1590.142857142857,157145.0,80.76210130964007,0.02140610585255277,13.282683162462144,762126.6,2104.5,186947.96666666667,80.30198847452799,0.027099760870138757,14.085280115016992,-15.604960682960467,5.165626906412668,-10.517799352750812,47.466666666666654,-14.919964382597172,7.82312032541661,-12.465329306875883,12.461453155775137,0.222279953725657,0.004030936446008937,0.41369904817850867,0.34115115009593916,284.54397590361447,3.8321177358245646,0.01345946340632327,2.8678242198074732e-05,0.027017320905416416,0.04378243723223206,1.0057297813398236,0.7921591654569877,0.7899001749546865,298707.94039524667,260000.36610870776,967.1140738651941,911.0756337126064,73634.37921679557,63594.117685838115,1,0.30561443419567896
2025-03-15 00:00:00+00:00,0,1,0,6669140287,1977.0,0.0207558758556842,0.0438930796327945,211.0,80.88037109375,191733.0,791573.0,14.3703187306722,472343.0,1659.0,123258.0,80.82198333740234,0.0193386971950531,13.545995632807411,850420.0,1995.0,229900.0,80.67256164550781,0.0221455991268157,12.609697977701822,595318.8571428572,1587.5714285714287,151692.57142857142,80.79178837367466,0.021207573956676846,13.534200412886483,767271.5,2116.5666666666666,188397.43333333332,80.3456403096517,0.02697750988105928,14.072064320188788,-6.9197572963947245,67.5843613645169,-0.9022556390977488,19.168173598553338,-16.60156589821662,55.554203378279695,-6.275392520081824,7.328201307136761,0.25759619380296694,0.07224241961980571,0.39505068754732653,0.3375189453781341,400.1885743174924,4.128495728457134,0.010311160253267547,1.815410654047783e-05,0.02689770289830281,0.042471369487692125,1.0055528596486818,0.7758907468123828,0.7861205148354531,275605.1933497671,258968.667498699,953.842872424345,906.7559335281494,70224.30662018467,63175.83568961797,1,0.5121619977846102
2025-03-16 00:00:00+00:00,0,1,0,6669140287,1794.0,0.0243952646851539,0.0490306352085964,220.0,80.89598083496094,208635.0,894102.0,14.579890370368958,791573.0,1977.0,191733.0,80.88037109375,0.0207558758556842,14.3703187306722,898274.0,1826.0,228382.0,80.7044448852539,0.0244315434247255,13.43479343255361,594722.8571428572,1583.0,148871.57142857142,80.81915065220424,0.02120239127959519,13.697785689717248,773770.1,2105.5,189666.4,80.38819274902343,0.02694771743069088,14.071688610920006,-0.4644462602724775,12.95256407179124,-1.7524644030668113,-9.256449165402126,-8.646478268865321,8.815383893226514,-0.1484913946733557,17.534258032638107,0.2373301123368865,0.019299789305926573,0.3243274066043265,0.3355588212044599,498.10696378830085,4.285463678368067,0.008598707797312064,1.6306723465158887e-05,0.025583539690292232,0.041013452447163895,1.0053609602162135,0.7686040816811831,0.7867972986627687,216068.21558942876,259645.38263925706,305.5193470609855,908.6608088375118,55901.434584591676,63187.64911922101,1,0.5785001086990279
2025-03-17 00:00:00+00:00,0,0,0,6669140287,1484.0,0.0199903864413499,0.0288799119351126,220.0,80.89743041992188,129033.0,531558.0,14.205689430236816,894102.0,1794.0,208635.0,80.89598083496094,0.0243952646851539,14.579890370368958,528354.0,1586.0,139749.0,80.73023986816406,0.0231481026858091,13.144354422887169,595180.5714285715,1568.4285714285713,147340.7142857143,80.84303501674107,0.02075128895895816,13.849404976481482,757438.1,2070.766666666667,186034.86666666667,80.42862269083659,0.026707796007394743,14.054760347414707,0.6064116103975836,-40.54839380741795,-6.431273644388402,-17.279821627647717,-7.66803340274349,-38.153713422963556,-13.641360967329009,-18.056283875799274,0.2070978013082092,0.0017919122136555998,0.26675496782746183,0.3418535908321606,357.95151515151514,4.119518886495032,0.01150084473859603,2.6724577008830283e-05,0.021269117082874597,0.03944602516522277,1.0051525478373222,0.7857811370045572,0.7769749684029573,165817.89852190146,258932.93431808913,246.52745428102943,911.9422124513014,40634.90665198314,63445.42913931044,1,0.3439276064474052
