timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-11 00:00:00+00:00,1,0,0,8152909596,20.51030135154724,150405,55669,432.0,0.121473373753057,98.65016174316406,2091,0.0159557983279228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150405.0,2091.0,55669.0,98.65016174316406,0.0159557983279228,20.51030135154724,150405.0,2091.0,55669.0,98.65016174316406,0.0159557983279228,20.51030135154724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.89531548757171,2.701724447637866,0.03756062511226873,0.00013636624437553848,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-12 00:00:00+00:00,1,0,0,8152909596,22.506585200627644,151171,220791,425.0,0.1108853670192345,98.66990661621094,2224,0.0175457876175642,150405.0,2091.0,55669.0,98.65016174316406,0.0159557983279228,20.51030135154724,0.0,0.0,0.0,0.0,0.0,0.0,150788.0,2157.5,138230.0,98.6600341796875,0.0167507929727435,21.50844327608744,150788.0,2157.5,138230.0,98.6600341796875,0.0167507929727435,21.50844327608744,0.0,0.5092915794022712,0.0,6.360593017694893,0.0,296.6139143868221,0.0,9.96496231002686,0.0,0.020015043764742835,0.0035920881926207356,0.0035920881926207356,67.94202247191011,0.6846760752201166,0.010072828725678466,0.0001488806472139526,0.0,0.0,1.0,1.0,1.0,541.6437943888955,541.6437943888955,94.04520189781083,94.04520189781083,116758.8859230851,116758.8859230851,2,1.0
2025-08-13 00:00:00+00:00,1,0,0,8152909596,36.61981360117594,158160,198646,392.0,0.0999293464111507,98.70364379882812,2374,0.0184743944555521,151171.0,2224.0,220791.0,98.66990661621094,0.0175457876175642,22.506585200627644,0.0,0.0,0.0,0.0,0.0,0.0,153245.33333333334,2229.6666666666665,158368.66666666666,98.67457071940105,0.017325326800346368,26.54556671778361,153245.33333333334,2229.6666666666665,158368.66666666666,98.67457071940105,0.017325326800346368,26.54556671778361,0.0,4.623241230130115,0.0,6.744604316546754,0.0,-10.029847231091848,0.0,5.2924773639589695,0.0,0.03419196771758948,0.027886158958574242,0.027886158958574242,66.59368421052632,0.7961861996405685,0.01195084748322401,0.00023153504088350443,0.026741027832031587,0.0,1.0,1.0,1.0,4273.423724993029,4273.423724993029,141.58507454295227,141.58507454295227,89627.09638459417,89627.09638459417,3,1.0
2025-08-14 00:00:00+00:00,1,0,0,8152909596,27.78699851036072,167416,223358,362.0,0.0934745807829669,98.75518035888672,2850,0.0222218390554189,158160.0,2374.0,198646.0,98.70364379882812,0.0184743944555521,36.61981360117594,0.0,0.0,0.0,0.0,0.0,0.0,156788.0,2384.75,174616.0,98.69472312927246,0.018549454864114502,26.855924665927887,156788.0,2384.75,174616.0,98.69472312927246,0.018549454864114502,26.855924665927887,0.0,5.852301466868992,0.0,20.050547598989056,0.0,12.440220291372594,0.0,20.28453278337672,0.0,0.052213432123782155,0.05037307124636363,0.05037307124636363,58.721851981760786,0.7495377396926025,0.012759727613393685,0.00016597477263575815,0.034879302978500164,0.0,1.0,1.0,1.0,7897.893094574861,7897.893094574861,331.00994446290184,331.00994446290184,80070.26684523205,80070.26684523205,4,1.0
2025-08-15 00:00:00+00:00,1,0,0,8152909596,20.53225251038869,168979,248683,348.0,0.0834120698765961,98.79863739013672,2818,0.0188724510371685,167416.0,2850.0,223358.0,98.75518035888672,0.0222218390554189,27.78699851036072,0.0,0.0,0.0,0.0,0.0,0.0,159226.2,2471.4,189429.4,98.71550598144532,0.0186140540987253,25.59119023482005,159226.2,2471.4,189429.4,98.71550598144532,0.0186140540987253,25.59119023482005,0.0,0.9336025230563427,0.0,-1.1228070175438587,0.0,11.33829994896085,0.0,-15.072505969903672,0.0,0.04400481179021032,0.05493321451037316,0.05493321451037316,59.94288754877616,0.6794928503643177,0.011331649804571263,0.00012150699793104918,0.038222503662107686,0.038222503662107686,1.0,1.0,1.0,8746.80700027158,8746.80700027158,346.0011560674328,346.0011560674328,76848.030698906,76848.030698906,5,1.0
2025-08-16 00:00:00+00:00,1,1,0,8152909596,19.699899057547253,173643,342072,332.0,0.0749394463568569,98.7703628540039,3149,0.0222881883382797,168979.0,2818.0,248683.0,98.79863739013672,0.0188724510371685,20.53225251038869,0.0,0.0,0.0,0.0,0.0,0.0,161629.0,2584.3333333333335,214869.83333333334,98.7246487935384,0.0192264098053177,24.60930837194125,161629.0,2584.3333333333335,214869.83333333334,98.7246487935384,0.0192264098053177,24.60930837194125,0.0,2.760106285396402,0.0,11.745919091554292,0.0,37.55343147702095,0.0,18.099065640091204,0.0,-0.02861834624414694,0.0605714116280063,0.0605714116280063,55.124761904761904,0.507619718598077,0.009205637393188004,0.00011344992661737378,0.029678126743872008,0.029678126743872008,1.0,1.0,1.0,9790.09669002303,9790.09669002303,415.0868182280264,415.0868182280264,92778.17494953578,92778.17494953578,6,1.0
2025-08-17 00:00:00+00:00,1,1,0,8152909596,29.322979768117268,179622,344791,310.0,0.0670659323157317,98.79156494140624,3751,0.0266035534441471,173643.0,3149.0,342072.0,98.7703628540039,0.0222881883382797,19.699899057547253,0.0,0.0,0.0,0.0,0.0,0.0,164199.42857142858,2751.0,233430.0,98.73420824323382,0.020280287468007613,25.282689999966397,164199.42857142858,2751.0,233430.0,98.73420824323382,0.020280287468007613,25.282689999966397,0.0,3.4432715398835523,0.0,19.117180057161008,0.0,0.7948619004186197,0.0,19.36166834365722,0.0,0.021466041826401216,0.06839474262018894,0.06839474262018894,47.87366737739872,0.5209575628204831,0.010879022715144203,0.00016324735567336738,0.02571841648646961,0.02571841648646961,1.0,1.0,1.0,11230.377655524955,11230.377655524955,581.3994610707283,581.3994610707283,97900.54458139309,97900.54458139309,7,1.0
2025-08-18 00:00:00+00:00,1,0,0,8152909596,23.513206958770752,179937,312714,305.0,0.0598515009247693,98.8017578125,2815,0.0215544812381267,179622.0,3751.0,344791.0,98.79156494140624,0.0266035534441471,29.322979768117268,150405.0,2091.0,55669.0,98.65016174316406,0.0159557983279228,20.51030135154724,168418.2857142857,2854.4285714285716,270150.71428571426,98.75586482456752,0.021080099312322458,25.71167651528404,166166.625,2759.0,243340.5,98.74265193939209,0.0204395616892725,25.06150461981694,19.63498553904457,0.1753682733740769,34.62458153993304,-24.953345774460146,461.73813073703496,-9.303317081942398,35.08870440162277,-18.97893909781897,0.153670370790282,0.010317552009442288,0.07096789089130498,0.07096789089130498,63.89808238636363,0.5754025230641319,0.009001806756951218,0.00013067393746051835,0.020949227469309026,0.022774741763171583,1.0001338113258649,1.013550619531965,1.0313381291041157,11792.49491277639,11792.49491277639,538.7466937253536,538.7466937253536,94873.83227212867,94873.83227212867,8,1.0
2025-08-19 00:00:00+00:00,1,0,0,8152909596,24.39220682779948,170800,270926,305.0,0.0516057498467387,98.79926300048828,2474,0.019355459138751,179937.0,2815.0,312714.0,98.8017578125,0.0215544812381267,23.513206958770752,151171.0,2224.0,220791.0,98.66990661621094,0.0175457876175642,22.506585200627644,171222.42857142858,2890.1428571428573,277312.85714285716,98.77434430803571,0.021338623815349143,25.981051033451443,166681.44444444444,2727.3333333333335,246405.55555555556,98.74894205729167,0.020319105850325665,24.987138198481667,12.984633296068694,-5.077888372041328,11.241007194244613,-12.113676731793966,22.70699439741657,-13.363009011428971,10.31399422260888,-10.202157384729604,0.13110013854629177,-0.002525068447112311,0.06682486976928406,0.06682486976928406,69.01010101010101,0.63042812270464,0.009131611098192502,0.00014281067925714415,0.01331928798130126,0.019716389973955587,1.0002572407381265,1.0272434891725315,1.050175336086806,11138.465817956156,11138.465817956156,512.827456363249,512.827456363249,89221.43595447105,89221.43595447105,8,0.9492211162795867
2025-08-20 00:00:00+00:00,1,0,0,8152909596,24.85969885190328,185530,206682,295.0,0.0521684546114277,98.81768798828124,1946,0.0151595324277877,170800.0,2474.0,270926.0,98.79926300048828,0.019355459138751,24.39220682779948,158160.0,2374.0,198646.0,98.70364379882812,0.0184743944555521,36.61981360117594,175132.42857142858,2829.0,278460.85714285716,98.79063633510044,0.020865072097097086,24.30103464069821,168566.3,2649.2,242433.2,98.75581665039063,0.01980314850807187,24.97439426382383,17.30526049570056,8.624121779859495,-18.028643639427123,-21.34195634599838,4.045387271830281,-23.712748130485817,-17.943007743716265,-21.67825976580817,0.11554202566781413,0.018648912181529198,0.07163391694729117,0.07163391694729117,95.29019003595275,0.8976548627608463,0.009415384913127833,0.0001339921568465824,0.007863180977963007,0.018088970762310825,1.0003525836339655,1.0389527952587712,1.0536239774494631,12075.064334312166,12075.064334312166,542.9722317434331,542.9722317434331,85051.5411380391,85051.5411380391,9,1.0
