timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-03-30 00:00:00+00:00,0,1,0,6601115643,0.08483011090031,95.4365692138672,10507,0.1327390521764755,19.81531221216375,218718.0,885758,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218718.0,10507.0,885758.0,95.4365692138672,0.1327390521764755,19.81531221216375,218718.0,10507.0,885758.0,95.4365692138672,0.1327390521764755,19.81531221216375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8144271031595,0.24692721157786712,0.011862143088582786,9.059712330507981e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-03-31 00:00:00+00:00,0,0,0,6601115643,0.3929602130835199,95.54767608642578,10755,0.1389814019203186,18.899582942326862,1354972.0,752761,412,218718.0,10507.0,885758.0,95.4365692138672,0.1327390521764755,19.81531221216375,0.0,0.0,0.0,0.0,0.0,0.0,786845.0,10631.0,819259.5,95.49212265014648,0.13586022704839706,19.357447577245306,786845.0,10631.0,819259.5,95.49212265014648,0.13586022704839706,19.357447577245306,0.0,519.5063963642681,0.0,2.360331207766242,0.0,-15.015049257246337,0.0,4.702722854720975,0.0,0.11641960044643795,1.0211069633159509,1.0211069633159509,125.97359613239122,1.8000005313764509,0.014287384325988825,1.3948309628551169e-05,0.0,0.0,1.0,1.0,1.0,803452.9085503394,803452.9085503394,175.36248173426378,175.36248173426378,94043.08057746726,94043.08057746726,2,1.0
2025-04-01 00:00:00+00:00,0,0,0,6601115643,0.323776930895224,95.53301239013672,11975,0.1597935706377029,17.892743786176045,1361529.0,802782,259,1354972.0,10755.0,752761.0,95.54767608642578,0.1389814019203186,18.899582942326862,0.0,0.0,0.0,0.0,0.0,0.0,978406.3333333334,11079.0,813767.0,95.50575256347656,0.1438380082448323,18.86921298022222,978406.3333333334,11079.0,813767.0,95.50575256347656,0.1438380082448323,18.86921298022222,0.0,0.48392143896700546,0.0,11.343561134356106,0.0,6.645004191237325,0.0,14.974786863436872,0.0,-0.015346994180998053,0.6724379655827202,0.6724379655827202,113.68812625250501,1.696011250861067,0.014916857980301028,1.3141644904024182e-05,0.04822158813476048,0.0,1.0,1.0,1.0,657917.5642999155,657917.5642999155,785.8040468208343,785.8040468208343,67175.53997550001,67175.53997550001,3,1.0
2025-04-02 00:00:00+00:00,0,0,0,6601115643,0.300057169243014,95.71318817138672,11617,0.1653468310832977,19.41591413815816,1513886.0,854790,228,1361529.0,11975.0,802782.0,95.53301239013672,0.1597935706377029,17.892743786176045,0.0,0.0,0.0,0.0,0.0,0.0,1112276.25,11213.5,824022.75,95.5576114654541,0.14921521395444867,19.005888269706205,1112276.25,11213.5,824022.75,95.5576114654541,0.14921521395444867,19.005888269706205,0.0,11.190139908881847,0.0,-2.9895615866388336,0.0,6.478471116691709,0.0,3.475271516515277,0.0,0.18860054419116423,0.5396253260185289,0.5396253260185289,130.30521604406954,1.771059826320118,0.013590456614540865,1.2825206992436134e-05,0.0815193176269416,0.0,1.0,1.0,1.0,600212.4340289168,600212.4340289168,695.7152195163383,695.7152195163383,58558.43588174693,58558.43588174693,4,1.0
2025-04-03 00:00:00+00:00,0,0,0,6601115643,0.2680297032486911,95.90663146972656,12998,0.1838325262069702,19.44426719347636,1583284.0,865756,190,1513886.0,11617.0,854790.0,95.71318817138672,0.1653468310832977,19.41591413815816,0.0,0.0,0.0,0.0,0.0,0.0,1206477.8,11570.4,832369.4,95.62741546630859,0.156138676404953,19.093564054460238,1206477.8,11570.4,832369.4,95.62741546630859,0.156138676404953,19.093564054460238,0.0,4.584096821028805,0.0,11.887750710166145,0.0,1.282888194761278,0.0,11.179951259156473,0.0,0.20210725610085856,0.46487160931037613,0.46487160931037613,121.80044618816832,1.8287856754262455,0.01501345065647751,1.2280964699012723e-05,0.1105636596679605,0.1105636596679605,1.0,1.0,1.0,560857.2764832422,560857.2764832422,999.9513988189627,999.9513988189627,54038.41819298563,54038.41819298563,5,1.0
2025-04-04 00:00:00+00:00,0,0,0,6601115643,0.2553445746819598,96.08556365966795,13427,0.1638807654380798,19.725840489069626,1738888.0,938978,172,1583284.0,12998.0,865756.0,95.90663146972656,0.1838325262069702,19.44426719347636,0.0,0.0,0.0,0.0,0.0,0.0,1295212.8333333333,11879.833333333334,850137.5,95.70377349853516,0.15742902457714078,19.198943460228467,1295212.8333333333,11879.833333333334,850137.5,95.70377349853516,0.15742902457714078,19.198943460228467,0.0,9.827927270154934,0.0,3.3005077704262087,0.0,8.457579271757854,0.0,-10.853226673514483,0.0,0.18656915293482346,0.4221007381689289,0.4221007381689289,129.49717009234436,1.8518923213405198,0.014299574324878404,1.134393310272802e-05,0.1286289760044796,0.1286289760044796,1.0,1.0,1.0,546710.2930358698,546710.2930358698,1172.3549661543075,1172.3549661543075,65041.162184419794,65041.162184419794,6,1.0
2025-04-05 00:00:00+00:00,0,1,0,6601115643,0.2788475262233369,96.2703628540039,12526,0.1476683467626571,20.15927251180013,2190428.0,1154683,146,1738888.0,13427.0,938978.0,96.08556365966795,0.1638807654380798,19.725840489069626,0.0,0.0,0.0,0.0,0.0,0.0,1423100.7142857143,11972.142857142857,893644.0,95.7847148350307,0.15603464203221454,19.336133324738707,1423100.7142857143,11972.142857142857,893644.0,95.7847148350307,0.15603464203221454,19.336133324738707,0.0,25.9671698234734,0.0,-6.710359722946302,0.0,22.972316710295672,0.0,-9.892813614876816,0.0,0.1923277413353297,0.42369640063278274,0.42369640063278274,174.85654985231898,1.8969934631466272,0.010847989579833097,9.203344418741775e-06,0.14109911237444608,0.14109911237444608,1.0,1.0,1.0,602962.6503807993,602962.6503807993,1097.7222521462993,1097.7222521462993,129518.34919294897,129518.34919294897,7,1.0
2025-04-06 00:00:00+00:00,0,1,0,6601115643,0.2360192001709393,96.48023986816406,11329,0.1456366926431656,20.314984560012817,2125001.0,1102900,125,2190428.0,12526.0,1154683.0,96.2703628540039,0.1476683467626571,20.15927251180013,218718.0,10507.0,885758.0,95.4365692138672,0.1327390521764755,19.81531221216375,1695426.857142857,12089.57142857143,924664.2857142857,95.93381064278739,0.15787716209888455,19.407515088717144,1510838.25,11891.75,919801.0,95.87165546417236,0.15473489835858342,19.45848972914797,871.5711555518978,-2.9869504955196025,7.823355857999426,-9.556123263611681,24.51482233296227,-4.484607463693502,9.71653801591319,-1.3758223505792588,1.0935752017217526,0.2180079184685768,0.40435072744428513,0.40435072744428513,187.55525154457195,1.926737757967397,0.010272000841417316,9.559983736491927e-06,0.1658845629010858,0.15202649434408122,1.0006483165260274,1.1221762866692429,1.0203074017150238,610908.5454381508,610908.5454381508,1041.4202870530778,1041.4202870530778,140897.42013759006,140897.42013759006,7,0.970130495044804
2025-04-07 00:00:00+00:00,0,0,0,6601115643,0.1360718007511606,96.56459045410156,9464,0.1319184452295303,20.007073720296223,1351552.0,724669,111,2125001.0,11329.0,1102900.0,96.48023986816406,0.1456366926431656,20.314984560012817,1354972.0,10755.0,752761.0,95.54767608642578,0.1389814019203186,18.899582942326862,1694938.2857142857,11905.142857142857,920651.1428571428,96.07908412388393,0.1568681682859148,19.565728056998477,1493139.7777777778,11622.0,898119.6666666666,95.94864824083116,0.15219973689979974,19.51944350594222,-0.25240373970827346,-36.39758287172571,-12.00371920037192,-16.462176714626175,-3.731861772860179,-34.294224317707865,-5.081943765999464,-9.419499416432986,1.0643004721077265,0.0874278360550873,0.384367193800404,0.384367193800404,142.79471737982038,1.8650585783874039,0.013059737535705907,1.4803025645532378e-05,0.17830603463309103,0.1526142120361312,1.0013594342957848,1.1351504466894868,1.030673058187929,573913.9463362033,573913.9463362033,1266.4407802972867,1266.4407802972867,146973.78869121528,146973.78869121528,7,0.6170264441469886
2025-04-08 00:00:00+00:00,0,0,0,6601115643,0.1043093260198069,96.603515625,7855,0.1154618114233017,19.289769212404888,1105650.0,602038,100,1351552.0,9464.0,724669.0,96.56459045410156,0.1319184452295303,20.007073720296223,1361529.0,11975.0,802782.0,95.53301239013672,0.1597935706377029,17.892743786176045,1658384.142857143,11316.57142857143,891973.4285714285,96.23201315743583,0.1505350598267146,19.765303117888315,1454390.8,11245.3,868511.5,96.01413497924804,0.14852594435214994,19.496476076588486,-18.793503480278417,-18.194046547968558,-34.40501043841336,-17.00126796280642,-25.006041490716036,-16.92234661617925,-27.743143255064872,-12.474854276515346,1.1205584416113412,0.04030998393447227,0.3814603181824539,0.3814603181824539,140.7395621181263,1.8365089304845699,0.01304732749871686,1.7446526265887597e-05,0.15648487636021613,0.1467121933445799,1.002269230236099,1.140260336394553,1.0135270338345812,554792.3773296337,554792.3773296337,1686.621807703856,1686.621807703856,167235.12207551114,167235.12207551114,7,0.5047643656856103
