timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,visits_visits_gained,session_session_length,daily_Estimated Revenue,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-27 00:00:00+00:00,0,0,0,7504629039,0.0,47342,15.761457880338034,21230,511,0.0053703729063272,95.01988220214844,0.0262903075445569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21230.0,511.0,47342.0,95.01988220214844,0.0053703729063272,15.761457880338034,21230.0,511.0,47342.0,95.01988220214844,0.0053703729063272,15.761457880338034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.46484375,0.44842954607861774,0.010793570327186702,0.0007423794395147677,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-28 00:00:00+00:00,0,0,0,7504629039,0.0,45067,16.93673865000407,18461,528,0.0064869103953242,95.12775421142578,0.0216828074226744,21230.0,511.0,47342.0,95.01988220214844,0.0053703729063272,15.761457880338034,0.0,0.0,0.0,0.0,0.0,0.0,19845.5,519.5,46204.5,95.07381820678711,0.0059286416508257,16.34909826517105,19845.5,519.5,46204.5,95.07381820678711,0.0059286416508257,16.34909826517105,0.0,-13.042863871879417,0.0,3.326810176125239,0.0,-4.805458155548981,0.0,20.790688253352595,0.0,0.113525724066732,0.0986610907815651,0.0986610907815651,34.89792060491494,0.4096254548681992,0.011715629715097186,0.0009173837422816635,0.0,0.0,1.0,1.0,1.0,1957.97867710555,1957.97867710555,12.020815280171307,12.020815280171307,1608.6679271993955,1608.6679271993955,1,0.8695713612812058
2025-05-29 00:00:00+00:00,0,0,0,7504629039,0.0,52188,15.709487954775492,19032,597,0.0059461137279868,95.20393371582033,0.0211019503169251,18461.0,528.0,45067.0,95.12775421142578,0.0064869103953242,16.93673865000407,0.0,0.0,0.0,0.0,0.0,0.0,19574.333333333332,545.3333333333334,48199.0,95.11719004313152,0.0059344656765460664,16.135894828372532,19574.333333333332,545.3333333333334,48199.0,95.11719004313152,0.0059344656765460664,16.135894828372532,0.0,3.0930068793673104,0.0,13.068181818181813,0.0,15.800918632258632,0.0,-8.336737127234095,0.0,0.08008126022320816,0.07468947570914514,0.07468947570914514,31.82608695652174,0.36467454827645673,0.01143919216693173,0.00082538159800218,0.09202575683593817,0.0,1.0,1.0,1.0,1461.9966940227098,1461.9966940227098,45.544849690533965,45.544849690533965,3637.031344379644,3637.031344379644,1,0.8964672633066415
2025-05-30 00:00:00+00:00,0,0,0,7504629039,0.0,54748,15.484485824902851,33891,521,0.0051697115413844,95.32696533203124,0.035480284032349,19032.0,597.0,52188.0,95.20393371582033,0.0059461137279868,15.709487954775492,0.0,0.0,0.0,0.0,0.0,0.0,23153.5,539.25,49836.25,95.16963386535645,0.00574327714275565,15.973042577505112,23153.5,539.25,49836.25,95.16963386535645,0.00574327714275565,15.973042577505112,0.0,78.07377049180329,0.0,-12.730318257956451,0.0,4.905342224266107,0.0,-13.057304688742787,0.0,0.12922955114245127,0.31343780079566513,0.31343780079566513,64.92528735632185,0.6190250050229228,0.009516155546220022,0.0004568773110144828,0.09974288940428193,0.0,1.0,1.0,1.0,7257.182120722432,7257.182120722432,39.12693019732912,39.12693019732912,4420.522018570507,4420.522018570507,2,1.0
2025-05-31 00:00:00+00:00,0,1,0,7504629039,0.0,87417,14.182040214538574,46788,1047,0.0095536550506949,95.54629516601562,0.0457220879712755,33891.0,521.0,54748.0,95.32696533203124,0.0051697115413844,15.484485824902851,0.0,0.0,0.0,0.0,0.0,0.0,27880.4,640.8,57352.4,95.24496612548828,0.006505352724343499,15.614842104911805,27880.4,640.8,57352.4,95.24496612548828,0.006505352724343499,15.614842104911805,0.0,38.05435071257857,0.0,100.95969289827255,0.0,59.67158617666399,0.0,84.8005439803808,0.0,0.23008162823650036,0.44106505907506993,0.44106505907506993,44.64503816793893,0.5352215790798234,0.011976938387975016,0.00030310629025066945,0.12520370483398358,0.12520370483398358,1.0,1.0,1.0,12297.070273036581,12297.070273036581,229.587020539054,229.587020539054,17237.120272829798,17237.120272829798,3,1.0
2025-06-01 00:00:00+00:00,1,1,0,7504629039,0.0,333123,12.687968333562216,104686,2635,0.025966078042984,95.9618682861328,0.0849942122910433,46788.0,1047.0,87417.0,95.54629516601562,0.0095536550506949,14.182040214538574,0.0,0.0,0.0,0.0,0.0,0.0,40681.333333333336,973.1666666666666,103314.16666666667,95.36444981892903,0.009748806944116917,15.127029809686874,40681.333333333336,973.1666666666666,103314.16666666667,95.36444981892903,0.009748806944116917,15.127029809686874,0.0,123.74540480465078,0.0,151.6714422158548,0.0,281.07347541096124,0.0,171.7920827704085,0.0,0.4349442533539305,0.816808741923528,0.816808741923528,39.713960546282244,0.3142553523612829,0.007909967459564607,0.00012119908234606222,0.1739595685686417,0.1739595685686417,1.0,1.0,1.0,33228.86869977169,33228.86869977169,839.6271593193414,839.6271593193414,113633.6157260107,113633.6157260107,4,1.0
2025-06-02 00:00:00+00:00,1,0,0,7504629039,0.0,255868,13.00024308760961,103946,783,0.0084120761603116,95.9889907836914,0.0678007740780483,104686.0,2635.0,333123.0,95.9618682861328,0.025966078042984,12.687968333562216,0.0,0.0,0.0,0.0,0.0,0.0,49719.142857142855,946.0,125107.57142857143,95.45366995675224,0.009557845403573299,14.823203135104407,49719.142857142855,946.0,125107.57142857143,95.45366995675224,0.009557845403573299,14.823203135104407,0.0,-0.7068758000114639,0.0,-70.28462998102466,0.0,-23.191133605304948,0.0,-67.60359363325364,0.0,0.028263828167385263,0.7768676109423256,0.7768676109423256,132.5841836734694,0.40624694667974626,0.003060159691091926,0.0001250660729757435,0.17563983372280176,0.17563983372280176,1.0,1.0,1.0,38625.191729528764,38625.191729528764,769.8339647828832,769.8339647828832,118680.94324821366,118680.94324821366,4,0.9929312419998854
2025-06-03 00:00:00+00:00,1,0,0,7504629039,0.0,225777,14.593511621157328,81258,1844,0.0284345243126153,96.04427337646484,0.0458006465075563,103946.0,783.0,255868.0,95.9889907836914,0.0084120761603116,13.00024308760961,21230.0,511.0,47342.0,95.01988220214844,0.0053703729063272,15.761457880338034,58294.57142857143,1136.4285714285713,150598.2857142857,95.60001155308315,0.01285272417590017,14.656353669507164,53661.5,1058.25,137691.25,95.52749538421631,0.01191743026720355,14.794491695861023,282.75082430522843,-21.826717718815537,260.8610567514677,135.50446998722862,376.906341092476,-11.760360811043192,429.4702026951362,238.02029095706652,1.0780808716822854,0.05759263882461063,0.6980452841165786,0.6980452841165786,44.042276422764225,0.35990220482066454,0.008167314795950004,0.0001795925573925021,0.17694909232003256,0.16631017412458343,1.0007591130550966,1.086338835637681,1.0784811731829909,37458.157013621785,37458.157013621785,780.2444214109173,780.2444214109173,115498.0147383495,115498.0147383495,4,0.7762069426666411
2025-06-04 00:00:00+00:00,1,0,0,7504629039,0.0,283221,16.50307897726695,160957,3056,0.0329006090760231,96.25413513183594,0.0791489979862272,81258.0,1844.0,225777.0,96.04427337646484,0.0284345243126153,14.593511621157328,18461.0,528.0,45067.0,95.12775421142578,0.0064869103953242,16.93673865000407,78651.14285714286,1497.5714285714287,184620.2857142857,95.76092311314174,0.0166261097017143,14.594402287687574,65583.22222222222,1280.2222222222222,153861.22222222222,95.60823313395183,0.014248894579294612,14.984334727128347,771.8758463788527,98.08141967560118,478.7878787878788,65.72668112798266,528.4443162402645,25.442804182888423,407.1845774182119,15.706556980896536,1.18407180927107,0.21850522471913436,0.7634371410541039,0.7634371410541039,52.6519463526333,0.5683068405702947,0.010790122236266957,0.00010253034317813932,0.17956842694964578,0.16485977172851804,1.0015970379765935,1.1992570689900122,1.166835055813668,50068.6676744493,50068.6676744493,987.9922542431416,987.9922542431416,118429.42834213312,118429.42834213312,5,1.0
2025-06-05 00:00:00+00:00,1,0,0,7504629039,0.0,293724,16.590009450912476,174021,3424,0.0367134548723697,96.38211059570312,0.0750413445344719,160957.0,3056.0,283221.0,96.25413513183594,0.0329006090760231,16.50307897726695,19032.0,597.0,52188.0,95.20393371582033,0.0059461137279868,15.709487954775492,100792.42857142857,1901.4285714285713,219125.42857142858,95.92923409598214,0.021021444150911856,14.72019107285,76427.0,1494.6,167847.5,95.68562088012695,0.01649535060860212,15.14490219950676,814.3600252206809,8.11645346272607,473.5343383584589,12.041884816753923,462.81903885950794,3.7084114525405942,517.4361364729551,11.588982403141213,1.237529620781852,0.13295580879917335,0.7634156589972356,0.7634156589972356,50.80905109489051,0.5924623372201889,0.011657162311686101,9.533282832580062e-05,0.16655431474958424,0.16210951371626314,1.0025459751801202,1.3188065549011287,1.2743860163814544,58345.56857018173,58345.56857018173,1152.062614039127,1152.062614039127,120097.03156961597,120097.03156961597,6,1.0
