timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,platform_platform_share,daily_rpv,session_session_length,visits_visits_gained,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-02-19 00:00:00+00:00,0,0,0,7018190066,93.10227966308594,69361,0.937355637550354,0.0577921871160908,17.51442942412003,5394006,1479392.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479392.0,69361.0,5394006.0,93.10227966308594,0.937355637550354,17.51442942412003,1479392.0,69361.0,5394006.0,93.10227966308594,0.937355637550354,17.51442942412003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32856607364263,0.27426586580254714,0.01285890062804887,1.1838929496165003e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-02-20 00:00:00+00:00,0,0,0,7018190066,93.2145538330078,75155,1.0282161235809326,0.0852505760260267,16.66832443078359,6404145,2689261.0,67,1479392.0,69361.0,5394006.0,93.10227966308594,0.937355637550354,17.51442942412003,0.0,0.0,0.0,0.0,0.0,0.0,2084326.5,72258.0,5899075.5,93.15841674804688,0.9827858805656433,17.09137692745181,2084326.5,72258.0,5899075.5,93.15841674804688,0.9827858805656433,17.09137692745181,0.0,81.781502130605,0.0,8.353397442366738,0.0,18.72706481972768,0.0,9.69327781161371,0.0,0.12059228874754524,0.41044748711268947,0.41044748711268947,35.78238597051466,0.41992499858685295,0.011735366432932666,6.198103580381379e-06,0.0,0.0,1.0,1.0,1.0,855506.5742473871,855506.5742473871,4096.976690194856,4096.976690194856,714276.136840998,714276.136840998,2,1.0
2025-02-21 00:00:00+00:00,0,0,0,7018190066,93.3248062133789,96008,1.153600573539734,0.0877634061069812,16.76338521639506,8029415,3375137.0,62,2689261.0,75155.0,6404145.0,93.2145538330078,1.0282161235809326,16.66832443078359,0.0,0.0,0.0,0.0,0.0,0.0,2514596.6666666665,80174.66666666667,6609188.666666667,93.21387990315755,1.0397241115570068,16.98204635709956,2514596.6666666665,80174.66666666667,6609188.666666667,93.21387990315755,1.0397241115570068,16.98204635709956,0.0,25.504255630078298,0.0,27.74665690905462,0.0,25.37840726591918,0.0,12.194367223315794,0.0,0.11827807551234581,0.38171773164182354,0.38171773164182354,35.154381360080826,0.4203465108794961,0.011957033986033355,4.966725869103741e-06,0.11126327514649256,0.0,1.0,1.0,1.0,959866.1355940907,959866.1355940907,14014.75801907879,14014.75801907879,1329615.4813517828,1329615.4813517828,3,1.0
2025-02-22 00:00:00+00:00,0,1,0,7018190066,93.46741485595705,127180,1.440090894699097,0.1096439772199271,18.525185346603394,11316969,5293247.0,51,3375137.0,96008.0,8029415.0,93.3248062133789,1.153600573539734,16.76338521639506,0.0,0.0,0.0,0.0,0.0,0.0,3209259.25,91926.0,7786133.75,93.27726364135742,1.1398158073425293,17.36783110447552,3209259.25,91926.0,7786133.75,93.27726364135742,1.1398158073425293,17.36783110447552,0.0,56.830581988227436,0.0,32.46812765602867,0.0,40.94387947316211,0.0,24.834446838067127,0.0,0.15280893512072957,0.4970412378002124,0.4970412378002124,41.61979383712976,0.46772652043789104,0.01123799038081748,3.4997765732124007e-06,0.12056579589843298,0.0,1.0,1.0,1.0,1595134.1900417814,1595134.1900417814,26140.344973495154,26140.344973495154,2592177.4249133198,2592177.4249133198,4,1.0
2025-02-23 00:00:00+00:00,0,1,0,7018190066,93.60956573486328,131205,1.6945030689239502,0.1065596925190243,19.67054835955302,12928412,6488680.0,43,5293247.0,127180.0,11316969.0,93.46741485595705,1.440090894699097,18.525185346603394,0.0,0.0,0.0,0.0,0.0,0.0,3865143.4,99781.8,8814589.4,93.34372406005859,1.2507532596588136,17.828374555491017,3865143.4,99781.8,8814589.4,93.34372406005859,1.2507532596588136,17.828374555491017,0.0,22.58411519432213,0.0,3.1648057870734325,0.0,14.23917481792165,0.0,17.666396972672473,0.0,0.1520860281899461,0.5212641031437639,0.5212641031437639,49.45414081673094,0.5018930010976599,0.01014857740079931,3.031517246656604e-06,0.1267433166503898,0.1267433166503898,1.0,1.0,1.0,2014760.5079230384,2014760.5079230384,28654.0781512859,28654.0781512859,3213742.8291257685,3213742.8291257685,5,1.0
2025-02-24 00:00:00+00:00,0,0,0,7018190066,93.634765625,113987,1.619315266609192,0.0606704580372101,19.447155396143597,8925814,4336463.0,35,6488680.0,131205.0,12928412.0,93.60956573486328,1.6945030689239502,19.67054835955302,0.0,0.0,0.0,0.0,0.0,0.0,3943696.6666666665,102149.33333333333,8833126.833333334,93.39223098754883,1.31218026081721,18.09817136226645,3943696.6666666665,102149.33333333333,8833126.833333334,93.39223098754883,1.31218026081721,18.09817136226645,0.0,-33.16879550232097,0.0,-13.122975496360656,0.0,-30.959703326286323,0.0,-4.437159406415492,0.0,0.026920208355729613,0.45954348003362977,0.45954348003362977,38.0431536652981,0.48583384262389484,0.012770486504593698,4.484565165568905e-06,0.11400211879186355,0.11400211879186355,1.0,1.0,1.0,1812300.0903970255,1812300.0903970255,26276.914588030813,26276.914588030813,2874817.5935202157,2874817.5935202157,5,0.6683120449767903
2025-02-25 00:00:00+00:00,0,0,0,7018190066,93.65943145751952,105113,1.6147856712341309,0.0522496041484294,19.059638341267902,8759719,4204476.0,23,4336463.0,113987.0,8925814.0,93.634765625,1.619315266609192,19.447155396143597,0.0,0.0,0.0,0.0,0.0,0.0,3980950.8571428573,102572.71428571429,8822640.0,93.43040248325893,1.3554096051624842,18.235523787838083,3980950.8571428573,102572.71428571429,8822640.0,93.43040248325893,1.3554096051624842,18.235523787838083,0.0,-3.043655624410957,0.0,-7.785098300683413,0.0,-1.8608386865332394,0.0,-0.27972288463294914,0.0,0.026342600800965954,0.41631501618023875,0.41631501618023875,39.99920086762943,0.47997835547254936,0.011999584461603796,4.533176978080247e-06,0.09987994602748722,0.09987994602748722,1.0,1.0,1.0,1657329.620504164,1657329.620504164,24013.57172318941,24013.57172318941,2624484.072293956,2624484.072293956,5,0.6479709278312384
2025-02-26 00:00:00+00:00,0,0,0,7018190066,93.6709442138672,109508,1.6481451988220217,0.0471359603309549,18.62798511981964,8867222,4205120.0,25,4204476.0,105113.0,8759719.0,93.65943145751952,1.6147856712341309,19.059638341267902,1479392.0,69361.0,5394006.0,93.10227966308594,0.937355637550354,17.51442942412003,4370340.571428572,108308.0,9318813.714285715,93.51164027622768,1.4569509710584367,18.394603172938027,4008972.0,103439.625,8828212.75,93.46047019958496,1.3920015543699265,18.28458145433578,184.24650126538472,0.015317009777193746,57.881230086071426,4.181214502487807,64.39028803453314,1.2272425633744755,75.8292298885848,2.065879588985653,0.610795517402063,0.01229214844520321,0.3832490246981218,0.3832490246981218,38.3997662292597,0.4742318987579313,0.01234975143852816,4.429833319854444e-06,0.07877758571080105,0.08663177490235052,1.0005475050203947,1.0901399589292646,1.0466590116114554,1536434.6090420787,1536434.6090420787,22367.053819257722,22367.053819257722,2429851.22956505,2429851.22956505,5,0.6480701776016077
2025-02-27 00:00:00+00:00,0,0,0,7018190066,93.68614196777344,121035,1.7840237617492676,0.0464125953473143,18.799707889556885,9491671,4570305.0,24,4205120.0,109508.0,8867222.0,93.6709442138672,1.6481451988220217,18.62798511981964,2689261.0,75155.0,6404145.0,93.2145538330078,1.0282161235809326,16.66832443078359,4639061.142857143,114862.28571428571,9759888.857142856,93.57901000976562,1.5649234907967704,18.699086524191358,4071342.3333333335,105394.66666666667,8901930.333333334,93.4855448404948,1.4355595774120755,18.341817724915902,69.94650203159902,8.684294383989034,61.047169183687046,10.52617160390108,48.21136935531598,7.042216829577508,73.50668996865268,8.244332054260894,0.505916850291932,0.01622461910018025,0.35598379331373103,0.35598379331373103,37.75988135761261,0.48150684094435625,0.01275170486295776,4.11344620897526e-06,0.055033275059295846,0.07568702697753879,1.000999782045773,1.1394426611773028,1.0901139286868908,1449331.8876987768,1449331.8876987768,21728.993321136622,21728.993321136622,2283651.333265216,2283651.333265216,5,0.7043504996393719
2025-02-28 00:00:00+00:00,0,0,0,7018190066,93.69670867919922,177313,2.1524055004119873,0.0562688462361291,17.825695117314655,13590468,6164441.0,23,4570305.0,121035.0,9491671.0,93.68614196777344,1.7840237617492676,18.799707889556885,3375137.0,96008.0,8029415.0,93.3248062133789,1.153600573539734,16.76338521639506,5037533.142857143,126477.28571428571,10554325.0,93.63213893345424,1.707609908921378,18.850845081465586,4280652.2,112586.5,9370784.1,93.50666122436523,1.5072441697120667,18.29020546415578,82.64268976340811,34.880297923223935,84.68565119573368,46.49729417110753,69.25850762477714,43.18309178647257,86.58152134993288,20.648925567085197,0.3985033357261747,0.011278841463457923,0.3546918925915635,0.3546918925915635,34.76567558117238,0.453585597377103,0.013046863945607765,2.8916964613041466e-06,0.03132901872908192,0.0665631380948217,1.0013419119819489,1.1768143982492065,1.132935156251152,1518312.63034424,1518312.63034424,30609.03136240094,30609.03136240094,2614163.4353814665,2614163.4353814665,5,0.9500300523373013
