timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue,session_session_length,sort_sort_position,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-02-19 00:00:00+00:00,0,0,0,5674379281,0.4623156931175902,89.43168640136719,0.2692252099514007,20112,1589659.0,22.92330982374108,74,694097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589659.0,20112.0,694097.0,89.43168640136719,0.2692252099514007,22.92330982374108,1589659.0,20112.0,694097.0,89.43168640136719,0.2692252099514007,22.92330982374108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.03639437179933,2.2902515206786362,0.028975735414883776,1.4420259567291798e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-02-20 00:00:00+00:00,0,0,0,5674379281,0.6411475368154924,89.2879409790039,0.2441170662641525,18161,2668928.0,23.53121280670166,68,716951,1589659.0,20112.0,694097.0,89.43168640136719,0.2692252099514007,22.92330982374108,0.0,0.0,0.0,0.0,0.0,0.0,2129293.5,19136.5,705524.0,89.35981369018555,0.2566711381077766,23.22726131522137,2129293.5,19136.5,705524.0,89.35981369018555,0.2566711381077766,23.22726131522137,0.0,67.89311418360793,0.0,-9.70067621320605,0.0,3.292623365322145,0.0,-9.326074512777094,0.0,-0.16073209412394984,0.3584092228828125,0.3584092228828125,146.9512168263407,3.7226034657829254,0.025330845021702988,8.816724913514619e-06,0.0,0.0,1.0,1.0,1.0,763158.4286244239,763158.4286244239,1379.5653300949543,1379.5653300949543,16160.218377237357,16160.218377237357,2,1.0
2025-02-21 00:00:00+00:00,0,0,0,5674379281,0.473995896201876,88.97715759277344,0.1891671568155288,15707,2306335.0,21.757027467091877,65,689404,2668928.0,18161.0,716951.0,89.2879409790039,0.2441170662641525,23.53121280670166,0.0,0.0,0.0,0.0,0.0,0.0,2188307.3333333335,17993.333333333332,700150.6666666666,89.23226165771484,0.23416981101036063,22.73718336584487,2188307.3333333335,17993.333333333332,700150.6666666666,89.23226165771484,0.23416981101036063,22.73718336584487,0.0,-13.5857168121433,0.0,-13.512471780188317,0.0,-3.8422430542673025,0.0,-22.509655014927922,0.0,-0.3480687121047543,0.2509838160957042,0.2509838160957042,146.8255029284441,3.345399293593751,0.022783414683676503,9.433589670842356e-06,-0.22726440429687583,0.0,1.0,1.0,1.0,549229.7253102142,549229.7253102142,2207.2812084855277,2207.2812084855277,14737.518866258764,14737.518866258764,2,0.864142831878567
2025-02-22 00:00:00+00:00,0,1,0,5674379281,0.5153006016051108,88.83749389648438,0.1845254302024841,16686,2891309.0,21.938769976298016,55,857756,2306335.0,15707.0,689404.0,88.97715759277344,0.1891671568155288,21.757027467091877,0.0,0.0,0.0,0.0,0.0,0.0,2364057.75,17666.5,739552.0,89.13356971740723,0.22175871580839152,22.537580018458158,2364057.75,17666.5,739552.0,89.13356971740723,0.22175871580839152,22.537580018458158,0.0,25.363791470016285,0.0,6.232889794359209,0.0,24.41993373986806,0.0,-2.4537698251558493,0.0,-0.15696578770055813,0.24101994693871565,0.24101994693871565,173.26715407203213,3.37077867041598,0.019453061881162147,7.587830421607512e-06,-0.20933609008789406,0.0,1.0,1.0,1.0,569785.0734650595,569785.0734650595,1917.1177150434273,1917.1177150434273,79716.09989205444,79716.09989205444,3,1.0
2025-02-23 00:00:00+00:00,0,1,0,5674379281,0.4655106078199953,88.81134033203125,0.2359342277050018,18621,3016797.0,23.130215485890705,46,865597,2891309.0,16686.0,857756.0,88.83749389648438,0.1845254302024841,21.938769976298016,0.0,0.0,0.0,0.0,0.0,0.0,2494605.6,17857.4,764761.0,89.06912384033203,0.22459381818771357,22.656107111944667,2494605.6,17857.4,764761.0,89.06912384033203,0.22459381818771357,22.656107111944667,0.0,4.34017948271872,0.0,11.596548004315,0.0,0.914129426083865,0.0,27.860006854397046,0.0,-0.02943978190514951,0.2298271056558386,0.2298271056558386,162.00177209751905,3.485217156231877,0.021512295545969375,7.667140950733428e-06,-0.16911392211914827,-0.16911392211914827,1.0,1.0,1.0,573327.9848008467,573327.9848008467,1714.2693195644606,1714.2693195644606,89126.0951770019,89126.0951770019,4,1.0
2025-02-24 00:00:00+00:00,0,0,0,5674379281,0.2774656665247381,88.66756439208984,0.2084704637527465,15101,2013144.0,22.129692157109577,49,591000,3016797.0,18621.0,865597.0,88.81134033203125,0.2359342277050018,23.130215485890705,0.0,0.0,0.0,0.0,0.0,0.0,2414362.0,17398.0,735800.8333333334,89.002197265625,0.2219065924485524,22.568371286138817,2414362.0,17398.0,735800.8333333334,89.002197265625,0.2219065924485524,22.568371286138817,0.0,-33.26882783296325,0.0,-18.90338864722625,0.0,-31.723423255856943,0.0,-11.640432259194867,0.0,-0.16188916798675068,0.2274636384107596,0.2274636384107596,133.3031386571315,3.406329261710217,0.025551564210551252,1.0992597233239323e-05,-0.15400216238838876,-0.15400216238838876,1.0,1.0,1.0,549179.5649606783,549179.5649606783,1901.9110389290029,1901.9110389290029,106709.49439186126,106709.49439186126,4,0.6673117216703676
2025-02-25 00:00:00+00:00,0,0,0,5674379281,0.2408414310699423,88.66326141357422,0.2028249204158783,13611,1880450.0,22.552951018015545,47,533349,2013144.0,15101.0,591000.0,88.66756439208984,0.2084704637527465,22.129692157109577,0.0,0.0,0.0,0.0,0.0,0.0,2338088.8571428573,16857.0,706879.1428571428,88.95377785818917,0.21918063930102755,22.56616839069264,2338088.8571428573,16857.0,706879.1428571428,88.95377785818917,0.21918063930102755,22.56616839069264,0.0,-6.591381441168642,0.0,-9.866896232037615,0.0,-9.75482233502538,0.0,-2.708078274130965,0.0,-0.004852934153687372,0.23113796866772565,0.23113796866772565,138.14648839259476,3.5257335708259117,0.025519827505390457,1.1993373407770554e-05,-0.13256590706961272,-0.13256590706961272,1.0,1.0,1.0,540421.1090046442,540421.1090046442,2250.1455508477666,2250.1455508477666,123872.29749951974,123872.29749951974,4,0.6233266606934441
2025-02-26 00:00:00+00:00,0,0,0,5674379281,0.2091338412888652,88.5408935546875,0.1903811693191528,12966,1742839.0,21.867518663406372,45,518844,1880450.0,13611.0,533349.0,88.66326141357422,0.2028249204158783,22.552951018015545,1589659.0,20112.0,694097.0,89.43168640136719,0.2692252099514007,22.92330982374108,2359971.714285714,15836.142857142857,681843.0,88.82652173723493,0.20791720492499208,22.415341082073393,2263682.625,16370.625,683374.75,88.90216732025146,0.21558070555329317,22.478837174781855,9.63602885901944,-7.317982397830303,-35.53102625298329,-4.738814194401586,-25.249064612006677,-2.719607611526409,-29.285534087420885,-6.135218034948786,-0.9960595427909391,-0.1380141638552268,0.2397827218227443,0.2397827218227443,134.40572221793784,3.3590744827453287,0.024990122290857578,1.2547060351728427e-05,-0.10853086199078744,-0.1227842966715494,0.999149114298372,1.0425364793731693,0.9644518250896688,542791.9811653546,542791.9811653546,2496.4639528455327,2496.4639528455327,132559.2264437189,132559.2264437189,4,0.5777117253829144
2025-02-27 00:00:00+00:00,0,0,0,5674379281,0.1926915985113963,88.40657806396484,0.188340350985527,13080,1704449.0,21.61033296585083,45,507734,1742839.0,12966.0,518844.0,88.5408935546875,0.1903811693191528,21.867518663406372,2668928.0,18161.0,716951.0,89.2879409790039,0.2441170662641525,23.53121280670166,2222189.0,15110.285714285714,651954.8571428572,88.70061274937221,0.1999491027423313,22.140929676237562,2201545.5555555555,16005.0,663859.1111111111,88.84710184733073,0.21255399949020803,22.382336707122853,-36.137318054289956,-2.2027278480685863,-27.977534276746873,0.8792225821379063,-29.18149218007925,-2.1412987333379596,-22.848347365550836,-1.0719643864591455,-0.9871018475454796,-0.15169881998050583,0.24567909538045377,0.24567909538045377,130.29959483219938,3.3569657400021664,0.02576147005819965,1.2678772017865488e-05,-0.08760779244558796,-0.11898829142252658,0.9983512225507339,1.0093767964021236,0.9406979083992375,540873.7205277474,540873.7205277474,2580.0049418557323,2580.0049418557323,137124.74759178635,137124.74759178635,4,0.5649863083263474
2025-02-28 00:00:00+00:00,0,0,0,5674379281,0.1805871348859969,88.3833999633789,0.1420446187257766,11883,1690202.0,21.567827224731445,44,522373,1704449.0,13080.0,507734.0,88.40657806396484,0.188340350985527,21.61033296585083,2306335.0,15707.0,689404.0,88.97715759277344,0.1891671568155288,21.757027467091877,2134170.0,14564.0,628093.2857142857,88.61579023088727,0.19321731158665245,22.11390107018607,2150411.2,15592.8,649710.5,88.80073165893555,0.2055030614137649,22.300885758883712,-26.714809427078023,-0.8358712991705874,-24.34583306805883,-9.151376146788992,-24.22831895376296,2.8832026218452933,-24.910528277223598,-24.580888809805824,-0.6673146743032765,-0.026217619880242182,0.24877296937401414,0.24877296937401414,142.2250084146752,3.2356166271675084,0.02274806939089618,1.2760495174089412e-05,-0.08208847045898039,-0.11182976925011481,0.9979173434205633,0.9924473979674212,0.9402162199307775,534964.179599137,534964.179599137,2759.69401685525,2759.69401685525,136805.64433226676,136805.64433226676,4,0.5602637499308041
