timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,daily_Estimated Revenue,session_session_length,ccu_playing,platform_platform_share,sort_sort_position,daily_rpv,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-26 00:00:00+00:00,1,1,0,7646835559,33016,144988,40.36900011698405,3503,0.0246094278991222,470,0.1654771922918395,93.30780792236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144988.0,3503.0,33016.0,93.30780792236328,0.0246094278991222,40.36900011698405,144988.0,3503.0,33016.0,93.30780792236328,0.0246094278991222,40.36900011698405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37785388127854,4.391313565738862,0.10609685919374867,0.0002784280194841267,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-27 00:00:00+00:00,1,1,0,7646835559,306078,144646,29.12570556004842,3932,0.0282375272363424,420,0.1385714708312085,93.02698516845705,144988.0,3503.0,33016.0,93.30780792236328,0.0246094278991222,40.36900011698405,0.0,0.0,0.0,0.0,0.0,0.0,144817.0,3717.5,169547.0,93.16739654541016,0.0264234775677323,34.747352838516235,144817.0,3717.5,169547.0,93.16739654541016,0.0264234775677323,34.747352838516235,0.0,-0.23588159020057065,0.0,12.24664573222951,0.0,827.0596074630482,0.0,14.742721172114726,0.0,-0.30096383160120865,0.0016699042181912292,0.0016699042181912292,36.77752351894228,0.47257734114395306,0.012846356659555212,0.00020135713537127226,0.0,0.0,1.0,1.0,1.0,241.83051916579925,241.83051916579925,303.3488091290289,303.3488091290289,193083.99188436105,193083.99188436105,1,0.9976411840979943
2025-07-28 00:00:00+00:00,1,0,0,7646835559,338868,172793,22.213729699452717,4088,0.0303212832659482,304,0.1268357178345859,92.78443908691406,144646.0,3932.0,306078.0,93.02698516845705,0.0282375272363424,29.12570556004842,0.0,0.0,0.0,0.0,0.0,0.0,154142.33333333334,3841.0,225987.33333333334,93.0397440592448,0.027722746133804266,30.569478458828396,154142.33333333334,3841.0,225987.33333333334,93.0397440592448,0.027722746133804266,30.569478458828396,0.0,19.459231503117948,0.0,3.967446592065116,0.0,10.712955521141666,0.0,7.3793856387111445,0.0,-0.2607265849836726,0.10479182415978605,0.10479182415978605,42.258009293225726,0.5099109095255099,0.01206365881800932,0.0001285561402563325,-0.2616844177246058,0.0,1.0,1.0,1.0,16152.856290245796,16152.856290245796,302.93068514100713,302.93068514100713,167920.36100882266,167920.36100882266,2,1.0
2025-07-29 00:00:00+00:00,1,0,0,7646835559,329193,206248,28.77310021718343,4158,0.0316580981016159,235,0.1221454156101204,92.51736450195312,172793.0,4088.0,338868.0,92.78443908691406,0.0303212832659482,22.213729699452717,0.0,0.0,0.0,0.0,0.0,0.0,167168.75,3920.25,251788.75,92.90914916992188,0.028706584125757176,30.120383898417153,167168.75,3920.25,251788.75,92.90914916992188,0.028706584125757176,30.120383898417153,0.0,19.361316720006027,0.0,1.7123287671232834,0.0,-2.8550940189100205,0.0,4.408833306765048,0.0,-0.2878441553230249,0.17467925491753902,0.17467925491753902,49.59076701130079,0.6265241772328779,0.012630849893983487,0.000139506616842668,-0.2613876342773589,0.0,1.0,1.0,1.0,29200.91269549635,29200.91269549635,293.76904193600797,293.76904193600797,146495.7934626452,146495.7934626452,3,1.0
2025-07-30 00:00:00+00:00,1,0,0,7646835559,367070,231239,22.844176769256592,5106,0.0417735427618026,194,0.1134503255995669,92.79611206054688,206248.0,4158.0,329193.0,92.51736450195312,0.0316580981016159,28.77310021718343,0.0,0.0,0.0,0.0,0.0,0.0,179982.8,4157.4,274845.0,92.88654174804688,0.03131997585296626,28.66514247258504,179982.8,4157.4,274845.0,92.88654174804688,0.03131997585296626,28.66514247258504,0.0,12.116965982700446,0.0,22.799422799422796,0.0,11.506016227562554,0.0,31.952155267566074,0.0,0.301292152121202,0.21233552278007375,0.21233552278007375,45.27883297434893,0.6299571472548907,0.013910115481746038,9.878990126819146e-05,-0.15330123901367484,-0.15330123901367484,1.0,1.0,1.0,38216.741929421456,38216.741929421456,588.1545715201065,588.1545715201065,136944.20924960647,136944.20924960647,4,1.0
2025-07-31 00:00:00+00:00,1,0,0,7646835559,369847,251352,23.86334029833476,4009,0.0309171546250581,171,0.1031365957770325,92.51517486572266,231239.0,5106.0,367070.0,92.79611206054688,0.0417735427618026,22.844176769256592,0.0,0.0,0.0,0.0,0.0,0.0,191877.66666666666,4132.666666666667,290678.6666666667,92.8246472676595,0.03125283898164823,27.86484211020999,191877.66666666666,4132.666666666667,290678.6666666667,92.8246472676595,0.03125283898164823,27.86484211020999,0.0,8.6979272527558,0.0,-21.484528006267134,0.0,0.7565314517666843,0.0,-25.98866990680879,0.0,-0.3027467299932973,0.23408058933267215,0.23408058933267215,62.681296758104736,0.6796089204213623,0.010839588155134002,9.493954835762756e-05,-0.14065311976840703,-0.14065311976840703,1.0,1.0,1.0,44914.837293111355,44914.837293111355,529.5385412476289,529.5385412476289,128480.36098278471,128480.36098278471,5,1.0
2025-08-01 00:00:00+00:00,1,0,0,7646835559,313574,469232,26.189876159032185,3557,0.0243219267576932,147,0.1699085856109455,92.44217681884766,251352.0,4009.0,369847.0,92.51517486572266,0.0309171546250581,23.86334029833476,0.0,0.0,0.0,0.0,0.0,0.0,231499.7142857143,4050.4285714285716,293949.4285714286,92.77000863211495,0.03026270866394037,27.625561260041735,231499.7142857143,4050.4285714285716,293949.4285714286,92.77000863211495,0.03026270866394037,27.625561260041735,0.0,86.68321716159014,0.0,-11.274632077824897,0.0,-15.215210614118813,0.0,-21.33193674303884,0.0,-0.07890386304836294,0.4862345613067809,0.4862345613067809,131.88083192804947,1.4963948018815276,0.011343378777007095,5.5814224828671866e-05,-0.1288871765136712,-0.1288871765136712,1.0,1.0,1.0,112563.1620183594,112563.1620183594,530.1109497526145,530.1109497526145,117604.7950380952,117604.7950380952,6,1.0
2025-08-02 00:00:00+00:00,1,1,0,7646835559,335117,548504,21.921263972918194,3604,0.0247741490602493,134,0.1767588685067325,92.12921142578124,469232.0,3557.0,313574.0,92.44217681884766,0.0243219267576932,26.189876159032185,144988.0,3503.0,33016.0,93.30780792236328,0.0246094278991222,40.36900011698405,289144.85714285716,4064.8571428571427,337106.71428571426,92.6016377040318,0.0302862402583871,24.990170382318045,271125.25,3994.625,299095.375,92.68990898132324,0.029576638713478987,26.91252409915129,278.3099290975805,16.893988474784337,2.8832429346274724,1.3213382063536727,915.0139326387207,6.870148673040499,0.6693416921446538,1.8593193995745327,-1.2631274089759947,-0.33855259994549636,0.5644698607911465,0.5644698607911465,152.1509015256588,1.6367488466749025,0.010754420830871515,3.9965477020115026e-05,-0.12071555001394567,-0.13932455153692147,0.9990476711190942,1.0664622979337304,1.023991960404369,153042.03212446478,153042.03212446478,515.5429696654087,515.5429696654087,109849.40972328241,109849.40972328241,7,1.0
2025-08-03 00:00:00+00:00,1,1,0,7646835559,296214,554679,22.222215175628666,3506,0.0262587741017341,130,0.1619707460815494,91.93192291259766,548504.0,3604.0,335117.0,92.12921142578124,0.0247741490602493,21.921263972918194,144646.0,3932.0,306078.0,93.02698516845705,0.0282375272363424,29.12570556004842,347721.0,4004.0,335697.5714285714,92.44520023890904,0.03000356123915734,24.00395747025808,302631.22222222225,3940.3333333333335,298775.22222222225,92.6056883070204,0.029207987089951776,26.391378663204335,283.47344551525794,1.125789419949541,-10.834181078331639,-2.719200887902329,-3.2227079371924816,-11.608781410671497,-7.007529795532507,5.992637881827045,-1.1771447326562323,-0.21414327782726117,0.5668457883434943,0.5668457883434943,158.1633875106929,1.8725554073899027,0.01183599750181456,4.006312680397466e-05,-0.13170678274972,-0.14805959065755364,0.9982669739727079,1.1489924848027355,1.0272382395526072,171545.23373791078,171545.23373791078,509.0085952123008,509.0085952123008,102759.20248179452,102759.20248179452,8,1.0
2025-08-04 00:00:00+00:00,1,0,0,7646835559,269088,596708,28.473026672999065,3450,0.0268967226147651,128,0.1611202270399737,91.80484771728516,554679.0,3506.0,296214.0,91.93192291259766,0.0262587741017341,22.222215175628666,172793.0,4088.0,338868.0,92.78443908691406,0.0303212832659482,22.213729699452717,408280.28571428574,3912.8571428571427,325729.0,92.30525861467633,0.02951433828898833,24.89814275219327,332038.9,3891.3,295806.5,92.52560424804688,0.02897686064243311,26.599543464183807,245.33111873744886,7.577175267136482,-15.606653620352251,-1.597261836851116,-20.59208895499133,-9.157568514654946,-11.294247084288124,2.429467996332968,-1.0557711823976135,-0.1382274962673402,0.5618739599776682,0.5618739599776682,172.90872210953347,2.217511678292312,0.012821036906005076,4.771677094362422e-05,-0.1518532889229955,-0.15136191628196263,0.9976185442379838,1.2296158242732576,1.0185485119726239,186564.01160962897,186564.01160962897,504.3259638148503,504.3259638148503,97336.08877635149,97336.08877635149,9,1.0
