timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,sort_sort_position,daily_rpv,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-08 00:00:00+00:00,0,0,0,8514465257,11.479719543457032,133881,447,0.0223124074387686,92.59822082519533,168391,0.0368561558425426,3993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168391.0,3993.0,133881.0,92.59822082519533,0.0368561558425426,11.479719543457032,168391.0,3993.0,133881.0,92.59822082519533,0.0368561558425426,11.479719543457032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.160991487230845,1.2577568306419085,0.029824771067059053,6.817259456183805e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-09 00:00:00+00:00,0,0,0,8514465257,10.133383253346318,782904,444,0.0214870139628354,92.26425170898438,171192,0.0484785661101341,4814,168391.0,3993.0,133881.0,92.59822082519533,0.0368561558425426,11.479719543457032,0.0,0.0,0.0,0.0,0.0,0.0,169791.5,4403.5,458392.5,92.43123626708984,0.042667360976338345,10.806551398401675,169791.5,4403.5,458392.5,92.43123626708984,0.042667360976338345,10.806551398401675,0.0,1.663390561253264,0.0,20.56098171800651,0.0,484.776032446725,0.0,31.534515746148138,0.0,-0.3606647225343651,0.011664930777474252,0.011664930777474252,35.55389408099688,0.2186625452641125,0.006148894182563657,5.919274300553363e-05,0.0,0.0,1.0,1.0,1.0,1980.6060941035196,1980.6060941035196,580.5346673541555,580.5346673541555,458928.56444603665,458928.56444603665,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,8514465257,21.149691104888916,821652,394,0.0224118684713834,92.03157806396484,198179,0.0418360084295272,4322,171192.0,4814.0,782904.0,92.26425170898438,0.0484785661101341,10.133383253346318,0.0,0.0,0.0,0.0,0.0,0.0,179254.0,4376.333333333333,579479.0,92.29801686604817,0.04239024346073463,14.25426463389742,179254.0,4376.333333333333,579479.0,92.29801686604817,0.04239024346073463,14.25426463389742,0.0,15.76417122295435,0.0,-10.220191109264643,0.0,4.949265810367565,0.0,-13.702050645467256,0.0,-0.25218179382565653,0.09176508708021686,0.09176508708021686,45.84293314827666,0.24119549250109232,0.0052601280589251185,0.00010671960392011766,-0.28332138061525286,0.0,1.0,1.0,1.0,16449.258919477194,16449.258919477194,413.1880120881211,413.1880120881211,386385.2159167066,386385.2159167066,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,8514465257,11.82359803350348,672367,353,0.022871625830107,91.8434600830078,219122,0.0371388718485832,3878,198179.0,4322.0,821652.0,92.03157806396484,0.0418360084295272,21.149691104888916,0.0,0.0,0.0,0.0,0.0,0.0,189221.0,4251.75,602701.0,92.18437767028809,0.04107740055769678,13.646597983798937,189221.0,4251.75,602701.0,92.18437767028809,0.04107740055769678,13.646597983798937,0.0,10.567719082243832,0.0,-10.273021749190193,0.0,-18.16888415046759,0.0,-11.227496975138852,0.0,-0.20440590601010777,0.1270283207006805,0.1270283207006805,56.48930136633153,0.3258959379387478,0.005767674844727887,5.3958726530320776e-05,-0.24969558715823056,0.0,1.0,1.0,1.0,24036.425871303465,24036.425871303465,419.4046375518516,419.4046375518516,318882.5309138147,318882.5309138147,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,8514465257,15.53918018795195,811921,327,0.0234924600856791,91.57803344726562,241527,0.0389656946063041,5097,219122.0,3878.0,672367.0,91.8434600830078,0.0371388718485832,11.82359803350348,0.0,0.0,0.0,0.0,0.0,0.0,199682.2,4420.8,644545.0,92.0631088256836,0.04065505936741824,14.025114424629539,199682.2,4420.8,644545.0,92.0631088256836,0.04065505936741824,14.025114424629539,0.0,10.224897545659495,0.0,31.433728726147493,0.0,20.75562899428438,0.0,4.918896742929979,0.0,-0.28899895049934177,0.15681352877809,0.15681352877809,47.37681443703413,0.29747561957922064,0.006277696626030579,6.433697206101136e-05,-0.24611663818359636,-0.24611663818359636,1.0,1.0,1.0,31312.87041617232,31312.87041617232,524.2277176952779,524.2277176952779,291580.44013873773,291580.44013873773,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,8514465257,19.7669824163119,1009090,309,0.0232055587671776,91.3725357055664,262107,0.0256075505167245,3898,241527.0,5097.0,811921.0,91.57803344726562,0.0389656946063041,15.53918018795195,0.0,0.0,0.0,0.0,0.0,0.0,210086.33333333334,4333.666666666667,705302.5,91.94801330566406,0.03814714122563595,14.982092423243266,210086.33333333334,4333.666666666667,705302.5,91.94801330566406,0.03814714122563595,14.982092423243266,0.0,8.520786495919719,0.0,-23.523641357661372,0.0,24.28425918285153,0.0,-34.28180666236202,0.0,-0.22439632514881236,0.18024261742822742,0.18024261742822742,67.22416004103616,0.25974565227516644,0.003862882534875447,7.541541050373091e-05,-0.23929138183593165,-0.23929138183593165,1.0,1.0,1.0,37866.510605899064,37866.510605899064,515.1747923439837,515.1747923439837,300273.48416851595,300273.48416851595,6,1.0
2025-09-14 00:00:00+00:00,0,1,0,8514465257,16.87452793121338,901875,298,0.022278113093899,91.17082977294922,272698,0.0295576509088277,3277,262107.0,3898.0,1009090.0,91.3725357055664,0.0256075505167245,19.7669824163119,0.0,0.0,0.0,0.0,0.0,0.0,219030.85714285713,4182.714285714285,733384.2857142857,91.8369870867048,0.03692007118037762,15.252440352953283,219030.85714285713,4182.714285714285,733384.2857142857,91.8369870867048,0.03692007118037762,15.252440352953283,0.0,4.040716196057326,0.0,-15.931246793227293,0.0,-10.624919481909444,0.0,15.425530019059641,0.0,-0.2207511601376111,0.1912599451632707,0.1912599451632707,83.19035997559487,0.302367509502415,0.003633537204671152,6.187968394168434e-05,-0.2328267778669057,-0.2328267778669057,1.0,1.0,1.0,41891.829726207034,41891.829726207034,616.9904683990169,616.9904683990169,284001.60428168613,284001.60428168613,7,1.0
2025-09-15 00:00:00+00:00,0,0,0,8514465257,17.64015833536784,492808,292,0.0211410753087648,91.02298736572266,273702,0.0243861563503742,2670,272698.0,3277.0,901875.0,91.17082977294922,0.0295576509088277,16.87452793121338,168391.0,3993.0,133881.0,92.59822082519533,0.0368561558425426,11.479719543457032,234075.2857142857,3993.714285714286,784659.5714285715,91.61195373535156,0.035138642681496426,16.13250303751197,225864.75,3993.625,703312.25,91.73523712158203,0.0353533318266272,15.550905100755102,62.539565653746344,0.36817285055261717,-33.132982719759575,-18.52303936527312,268.09405367453184,-45.357394317394316,-33.834238018318864,-17.496297572514386,-1.701148732054325,-0.16215976929764286,0.1918583311218058,0.1918583311218058,102.4717334331711,0.5553916426039297,0.005417920533107147,6.444999994654e-05,-0.21129335675920297,-0.22305116199311276,0.9986560956280401,1.0363515586840608,0.9939273292208042,43334.03399424389,43334.03399424389,782.5169897744806,782.5169897744806,276349.6227606048,276349.6227606048,8,1.0
2025-09-16 00:00:00+00:00,0,0,0,8514465257,16.074439421943996,394479,296,0.0205950388346797,90.95516967773438,276070,0.0164668280631303,2262,273702.0,2670.0,492808.0,91.02298736572266,0.0243861563503742,17.64015833536784,171192.0,4814.0,782904.0,92.26425170898438,0.0484785661101341,10.133383253346318,249057.85714285713,3629.1428571428573,729170.2857142857,91.42494201660156,0.03056553724621017,16.98122534731164,231443.11111111112,3801.222222222222,668997.4444444445,91.64856296115451,0.03325483140846088,15.6090755808872,61.26337679330809,0.865174532886126,-53.012048192771076,-15.280898876404493,-49.61336255786149,-19.95280109089138,-66.03276585012685,-32.474688398864394,-1.4188399157878062,-0.07450611098468451,0.18948060888855572,0.18948060888855572,121.99292973928414,0.6998326911377003,0.005734131007909146,5.8225744181547486e-05,-0.1884776524135007,-0.20814030965169614,0.9975600169023083,1.0761083185720293,0.9191307233159965,43853.981616394994,43853.981616394994,932.1806125662799,932.1806125662799,278245.44501712476,278245.44501712476,9,1.0
2025-09-17 00:00:00+00:00,0,0,0,8514465257,38.9990436152408,353157,302,0.0196945612401884,90.83434295654295,270229,0.0277243629097938,2344,276070.0,2262.0,394479.0,90.95516967773438,0.0164668280631303,16.074439421943996,198179.0,4322.0,821652.0,92.03157806396484,0.0418360084295272,21.149691104888916,259350.7142857143,3346.5714285714284,662242.4285714285,91.253908429827,0.028549587886248257,19.53113284879048,235321.7,3655.5,637413.4,91.56714096069337,0.03270178455859417,17.94807238432256,36.356021576453614,-2.1157677400659214,-45.76584914391485,3.625110521662256,-57.01866483620803,-10.475082323773888,-33.730860207432265,68.36492616249177,-1.3008959887548355,-0.13284206012645905,0.1832673966821751,0.1832673966821751,115.2362473347548,0.7651787585160184,0.006637255845825381,0.00014431796475313917,-0.16509383065359917,-0.1957867709073125,0.9965792037669843,1.1021113407123706,0.8730284377934752,43126.7953418238,43126.7953418238,992.3503245662125,992.3503245662125,280702.2719091054,280702.2719091054,9,0.9788423225993408
