timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,platform_platform_share,ccu_playing,ratings_like_ratio,daily_Estimated Revenue,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-11-18 00:00:00+00:00,0,0,0,6749060816,0.49165765972885,0.0049165841192007,309,74.46808624267578,48848.0,7751,15.417353749275208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48848.0,309.0,7751.0,74.46808624267578,0.0049165841192007,15.417353749275208,48848.0,309.0,7751.0,74.46808624267578,0.0049165841192007,15.417353749275208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.5741935483871,6.3013415892672855,0.039860681114551086,0.00031561247414021185,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-11-19 00:00:00+00:00,0,0,0,6749060816,1.522884386897812,0.0045778285712003,263,73.46939086914062,173732.0,22111,15.002434631188711,417.0,48848.0,309.0,7751.0,74.46808624267578,0.0049165841192007,15.417353749275208,0.0,0.0,0.0,0.0,0.0,0.0,111290.0,286.0,14931.0,73.9687385559082,0.0047472063452005005,15.20989419023196,111290.0,286.0,14931.0,73.9687385559082,0.0047472063452005005,15.20989419023196,0.0,255.6583688175565,0.0,-14.886731391585762,0.0,185.2664172364856,0.0,-6.890059028532858,0.0,-1.3411051954264286,0.7934794075092174,0.7934794075092174,658.0757575757576,7.856910274963821,0.011893994211287989,8.635339648304415e-05,0.0,0.0,1.0,1.0,1.0,88306.3232617008,88306.3232617008,32.526911934581186,32.526911934581186,10154.053377838822,10154.053377838822,2,1.0
2024-11-20 00:00:00+00:00,0,0,0,6749060816,1.7527734846725538,0.0077902390621602,443,74.17582702636719,242970.0,29967,15.137004812558493,410.0,173732.0,263.0,22111.0,73.46939086914062,0.0045778285712003,15.002434631188711,0.0,0.0,0.0,0.0,0.0,0.0,155183.33333333334,338.3333333333333,19943.0,74.0377680460612,0.005761550584187067,15.185597731007471,155183.33333333334,338.3333333333333,19943.0,74.0377680460612,0.005761550584187067,15.185597731007471,0.0,39.85333732415444,0.0,68.44106463878327,0.0,35.52982678304917,0.0,70.17323696150576,0.0,0.9615380621364134,0.6339681214696028,0.6339681214696028,547.2297297297297,8.107648158035238,0.014782434596903364,6.229963581068726e-05,-0.14612960815430134,0.0,1.0,1.0,1.0,98381.28631672454,98381.28631672454,93.51648695996516,93.51648695996516,11265.559551127499,11265.559551127499,3,1.0
2024-11-21 00:00:00+00:00,0,0,0,6749060816,1.5562654675198564,0.007311469875276,393,74.25149536132812,271000.0,38280,13.12411411603292,313.0,242970.0,443.0,29967.0,74.17582702636719,0.0077902390621602,15.137004812558493,0.0,0.0,0.0,0.0,0.0,0.0,184137.5,352.0,24527.25,74.09119987487793,0.0061490304069593,14.670226827263832,184137.5,352.0,24527.25,74.09119987487793,0.0061490304069593,14.670226827263832,0.0,11.53640367123514,0.0,-11.28668171557562,0.0,27.740514566022622,0.0,-6.145757313273503,0.0,0.10201212173075458,0.5377777349979459,0.5377777349979459,687.8172588832488,7.079229905174891,0.010266189493482406,4.842828667065037e-05,0.0056663513183473875,0.0,1.0,1.0,1.0,99025.04767818426,99025.04767818426,81.10076037456945,81.10076037456945,12987.299446638885,12987.299446638885,4,1.0
2024-11-22 00:00:00+00:00,0,0,0,6749060816,1.811686914617724,0.0103271026164293,747,74.33413696289062,393955.0,52515,13.84175439675649,284.0,271000.0,393.0,38280.0,74.25149536132812,0.007311469875276,13.12411411603292,0.0,0.0,0.0,0.0,0.0,0.0,226101.0,431.0,30124.8,74.13978729248046,0.0069846448488533,14.504532341162365,226101.0,431.0,30124.8,74.13978729248046,0.0069846448488533,14.504532341162365,0.0,45.37084870848709,0.0,90.07633587786259,0.0,37.18652037617556,0.0,41.24523238960158,0.0,0.11129957876314656,0.5622205670670678,0.5622205670670678,526.677807486631,7.501618554345343,0.014224236423185314,3.513528007380644e-05,0.05142059326171611,0.05142059326171611,1.0,1.0,1.0,127118.6324344311,127118.6324344311,190.09997369805183,190.09997369805183,16827.515865391422,16827.515865391422,5,1.0
2024-11-23 00:00:00+00:00,0,1,0,6749060816,1.9554260597084931,0.0087027177214622,668,72.2762680053711,552368.0,80218,12.949299653371176,197.0,393955.0,747.0,52515.0,74.33413696289062,0.0103271026164293,13.84175439675649,0.0,0.0,0.0,0.0,0.0,0.0,280478.8333333333,470.5,38473.666666666664,73.8292007446289,0.00727099032762145,14.245326893197166,280478.8333333333,470.5,38473.666666666664,73.8292007446289,0.00727099032762145,14.245326893197166,0.0,40.21093779746418,0.0,-10.575635876840694,0.0,52.752546891364375,0.0,-15.729338182259179,0.0,-2.76840364548373,0.6243811534669946,0.6243811534669946,825.6621823617339,6.885750258666899,0.008327204278288185,2.3443204910795457e-05,-0.23683384486606882,-0.23683384486606882,1.0,1.0,1.0,175125.6974797436,175125.6974797436,195.6320525885265,195.6320525885265,25392.00031243436,25392.00031243436,6,1.0
2024-11-24 00:00:00+00:00,0,1,0,6749060816,2.0842501941195977,0.0253302007913589,1671,70.91917419433594,769419.0,101926,13.912367622057596,164.0,552368.0,668.0,80218.0,72.2762680053711,0.0087027177214622,12.949299653371176,0.0,0.0,0.0,0.0,0.0,0.0,350327.4285714286,642.0,47538.28571428572,73.41348266601562,0.0098508775367268,14.197761283034371,350327.4285714286,642.0,47538.28571428572,73.41348266601562,0.0098508775367268,14.197761283034371,0.0,39.29463690872752,0.0,150.14970059880238,0.0,27.06125807175448,0.0,191.06081114053427,0.0,-1.8776478759726545,0.6975041881617943,0.6975041881617943,460.1788277511962,7.548726049035094,0.01639408596348367,1.808162982773725e-05,-0.4598097120012513,-0.4598097120012513,1.0,1.0,1.0,244354.84865652327,244354.84865652327,487.6258811835155,487.6258811835155,33353.649913786474,33353.649913786474,7,1.0
2024-11-25 00:00:00+00:00,0,0,0,6749060816,2.3699437222705546,0.0319908298552036,1937,71.08287811279297,1174569.0,152854,14.542108496030172,146.0,769419.0,1671.0,101926.0,70.91917419433594,0.0253302007913589,13.912367622057596,48848.0,309.0,7751.0,74.46808624267578,0.0049165841192007,15.417353749275208,511144.71428571426,874.5714285714286,68267.28571428571,72.9298815046038,0.013718626927584356,14.072726246856508,453357.625,803.875,60702.75,73.1221570968628,0.0126183715765364,14.240804684658846,2304.5385686210284,52.656614926327535,526.8608414239483,15.918611609814493,1872.0552186814605,49.96566136216472,550.6718705425998,26.29520831164076,-4.54585084790703,0.2308316760830431,0.8137481150281161,0.8137481150281161,606.0727554179566,7.684203984168002,0.012672140263648556,1.2380793393352608e-05,-0.5588596888950824,-0.5007568541027191,0.997370487962981,1.1274646903439955,1.0871947179851524,368918.9127773735,368918.9127773735,642.9919878416615,642.9919878416615,48373.207595438915,48373.207595438915,8,1.0
2024-11-26 00:00:00+00:00,0,0,0,6749060816,2.3043327823408415,0.0482380054891109,3062,70.41847229003906,1537701.0,194461,14.513447006543478,120.0,1174569.0,1937.0,152854.0,71.08287811279297,0.0319908298552036,14.542108496030172,173732.0,263.0,22111.0,73.46939086914062,0.0045778285712003,15.002434631188711,705997.4285714285,1274.4285714285713,92888.71428571429,72.49403599330357,0.019955795058714445,14.00287087190719,573840.2222222222,1054.7777777777778,75564.77777777778,72.82174767388238,0.016576108677933566,14.27109827597936,785.0994635415468,30.91619138594668,1064.2585551330799,58.07950438822922,779.4762787752702,27.220092375731085,953.7311465217879,50.78697772907115,-4.152639001098679,-0.9346917856922432,0.8708573120421128,0.8708573120421128,502.02448579823704,7.9074626405158845,0.015746006931945573,9.438400292477657e-06,-0.7508664812360467,-0.5307754516601555,0.9954998102758202,1.230303142288321,1.2038890095647106,499732.95346609317,499732.95346609317,963.498154873399,963.498154873399,63524.720687653906,63524.720687653906,9,1.0
2024-11-27 00:00:00+00:00,0,0,0,6749060816,2.2671782114321943,0.0515720285475254,3244,71.291015625,2008472.0,253399,14.98697280883789,112.0,1537701.0,3062.0,194461.0,70.41847229003906,0.0482380054891109,14.513447006543478,242970.0,443.0,29967.0,74.17582702636719,0.0077902390621602,15.137004812558493,958212.0,1674.5714285714287,124807.57142857143,72.08192007882255,0.026210336413766615,13.98143772851853,717303.4,1273.7,93348.2,72.66867446899414,0.020075700664892747,14.342685729265213,726.6337407910441,30.615249648663823,632.2799097065463,5.943827563683857,745.5934861681183,30.30839088557602,562.008291863956,6.911610512518207,-3.8891529990514706,1.2390830226579164,0.9118394681583967,0.9118394681583967,618.9436055469954,7.926093133385951,0.012801894238358327,7.461874174478766e-06,-0.639505658830916,-0.469512985691878,0.9919256213979526,1.3358531410836754,1.305575175246649,654065.5507642097,654065.5507642097,1142.1254114831504,1142.1254114831504,82155.42900948989,82155.42900948989,10,1.0
