timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-01 00:00:00+00:00,1,0,0,65241,1329761.0,12583,0.5912835597991943,90.67880249023438,0.0004458989797285,1710239,10.317774573961891,0.0,1375527.0,13515.0,1809503.0,90.6779327392578,0.5360913276672363,10.05281150341034,1250566.0,12521.0,1512647.0,90.67253112792967,0.5936358571052551,12.765002528826397,1286031.857142857,12639.57142857143,1672793.4285714286,77.72237614222935,0.5496521506990705,10.183265969866797,1173413.6,11601.9,1533693.4,87.64767862955729,0.5722339669863383,10.230705412228902,6.332732538706476,-3.3271611535069856,0.49516811756249446,-6.896041435442102,13.062664322872418,-5.485705190872858,-0.39625256424558053,10.295304043085917,0.0069164963486523234,0.0009591649812623615,0.04517669073616186,0.11757287908711424,105.67077240940877,0.7775288848348769,0.007357446908036299,7.759113716561227e-06,3.239366258893694,-0.4231499931836159,0.8867590945645325,1.0959749035999387,0.9605374416933083,57121.13025284567,137961.61531197545,525.8198621890518,1099.28369624383,91909.7787729281,173589.95397309135,14,0.40383395371959957
2024-07-02 00:00:00+00:00,1,0,0,65241,1334269.0,12814,0.5541964769363403,90.67970275878906,0.0004471573891206,1688933,10.480066617329916,0.0,1329761.0,12583.0,1710239.0,90.67880249023438,0.5912835597991943,10.317774573961891,1272161.0,12788.0,1637211.0,90.67301177978516,0.6133027672767639,10.289559205373129,1294904.4285714286,12643.285714285714,1680182.2857142857,77.72333199637276,0.5412083949361529,10.210481314432053,1179750.3,11675.1,1539147.6333333333,87.64821548461914,0.5713568528493246,10.248168484369915,4.8820864654709695,0.3390082879555001,0.203315608382848,1.8358102201382787,3.1591529741737734,-1.2457907929827372,-9.637375452074359,-6.27230070043705,0.0073792398339600496,0.0009928103701817292,0.0452906227816013,0.11943743193913153,104.11775263363246,0.7900065958764523,0.007587034188428914,7.854532154159141e-06,6.477742058890208,-0.3827891094135617,0.886764568641012,1.0976088995878437,0.9472335760692762,57667.34655126474,140906.34616142002,529.9498058337989,1104.609381730392,91973.63449604847,175872.91812681349,14,0.4052029842922874
2024-07-03 00:00:00+00:00,1,0,0,65241,1302125.0,12778,0.550038754940033,90.68082427978516,0.0004361385253408,1650883,10.46657689412435,0.0,1334269.0,12814.0,1688933.0,90.67970275878906,0.5541964769363403,10.480066617329916,1213886.0,12082.0,1576556.0,90.67395782470705,0.5273537039756775,10.195889949798584,1307510.0,12742.714285714286,1690800.4285714286,77.72431291852679,0.5444491165024894,10.249150877907164,1191832.1,11773.333333333334,1552804.0666666667,87.64877192179362,0.5708964367707571,10.264062640402052,7.269134004346367,-2.409109407473309,5.760635656348279,-0.2809427189012004,4.714516959752779,-2.25290168408101,4.3016766153977315,-0.7502252665501863,0.007572687067858297,0.0012367938601265394,0.042807018795498274,0.11329421282946481,101.89568823851631,0.7887440910445556,0.007740095609382609,8.03806766328631e-06,9.716134207589286,-0.3424244728979464,0.8867701305373437,1.0970588894190716,0.9536740491535287,54795.7359380175,135027.679594388,518.3201363407043,1065.2971848052136,89401.48536244563,167652.9988155626,14,0.39544120107833935
2024-07-04 00:00:00+00:00,1,0,1,65241,1291190.0,12252,0.5557756423950195,90.68175506591795,0.0004322388423994,1626479,10.545245051383972,0.0,1302125.0,12778.0,1650883.0,90.68082427978516,0.550038754940033,10.46657689412435,1215384.0,12303.0,1566671.0,0.0,0.5245250463485718,10.255920132001242,1318339.4285714286,12735.42857142857,1699344.4285714286,90.67884935651507,0.5489134873662677,10.290483009247552,1205065.0,11859.366666666667,1567254.1333333333,87.64935226440429,0.5706861654917399,10.28499863015281,6.23720568972439,-0.8397811270039357,-0.4145330407217762,-4.116450148693063,3.8175213557919863,-1.4782392210713868,5.957884425919335,1.0429969531168704,inf,0.0010264420732708501,0.03919040755218195,0.10276893878597886,105.37745858157186,0.7938554424278196,0.007532831636417294,8.167068273697673e-06,0.0009583064487997928,-0.30205978546312306,1.0345638274995115,1.0939986046988575,0.9618482461254138,50406.83936004285,123843.2512181256,403.848954464362,991.3096347528875,81214.71714028418,153668.54808424474,14,0.39212036050328575
2024-07-05 00:00:00+00:00,1,0,0,65241,1322948.0,14030,0.5647650361061096,90.68212127685548,0.0004426286306856,1700588,10.317718187967936,0.0,1291190.0,12252.0,1626479.0,90.68175506591795,0.5557756423950195,10.545245051383972,1271993.0,12646.0,1665299.0,90.67599487304688,0.5086266398429871,10.125918904940288,1325618.7142857143,12933.142857142857,1704385.7142857143,90.67972455705915,0.5569332582609994,10.31788290682293,1219008.9333333333,12000.366666666667,1583845.1333333333,87.64992904663086,0.5706721285978953,10.296930661466385,4.005918271562825,2.4595915395875023,10.944172070219826,14.51191642180869,2.11907891615859,4.556406814966563,11.037250483075844,1.6174501049293744,0.006756367897797766,0.00040384191644093903,0.035859683814294656,0.09172670417740794,94.28750623619129,0.7779351742249303,0.008250082765441856,7.79902943194933e-06,0.0009010859898188367,-0.2616972196619272,1.0345670047127635,1.087456111302532,0.9759251071702916,46407.015772413535,111815.67181748427,501.4477501732563,989.1197230045739,79228.1857392523,139152.88008236195,14,0.40176491971522466
2024-07-06 00:00:00+00:00,1,1,0,65241,1419199.0,13559,0.541810154914856,90.68345642089844,0.0004745462537291,1828127,10.271180669466654,0.0,1322948.0,14030.0,1700588.0,90.68212127685548,0.5647650361061096,10.317718187967936,1323511.0,12560.0,1744075.0,90.67693328857422,0.5463820099830627,10.044987519582111,1339288.4285714286,13075.857142857143,1716393.142857143,90.68065643310547,0.5562801361083984,10.350196213949292,1235177.9666666666,12134.533333333333,1603317.8666666667,87.65054270426432,0.5704151471455892,10.307143296135797,7.229860575393787,7.27549382137469,7.953821656050963,-3.3570919458303594,4.819288161346269,7.499700103728824,-0.8367506588199181,-4.064501115281649,0.0071938166495533196,0.0014723343743527906,0.043767162217995106,0.08419723573300557,104.66069321533924,0.7763127089569221,0.007416876717604019,7.237303177470867e-06,0.0009021759033229663,-0.22133216051689344,1.0345703932383492,1.0842878230622277,0.9752197831563141,57055.5510583928,103998.57043164782,546.0166493053604,913.0987306714811,90324.61453697535,130556.9114190626,14,0.43099530162555677
2024-07-07 00:00:00+00:00,1,1,0,65241,1421074.0,13781,0.5913703441619873,90.68426513671876,0.0004748821327665,1830923,10.28377922375997,0.0,1419199.0,13559.0,1828127.0,90.68345642089844,0.541810154914856,10.271180669466654,1375527.0,13515.0,1809503.0,90.6779327392578,0.5360913276672363,10.05281150341034,1345795.142857143,13113.857142857143,1719453.142857143,90.68156106131417,0.5641771384647915,10.38319160257067,1250630.7666666666,12258.833333333334,1619731.0333333334,87.65115966796876,0.5726685921351115,10.333584152327642,3.3112399829301697,0.1321167785490296,1.9681834998150238,1.6372888856110324,1.1837504552354883,0.15294342242087033,10.311492397255106,9.147150306719443,0.006983394161808043,0.0008918008336245009,0.049596874951282975,0.0762822001710772,103.11086924974605,0.7761512766231695,0.00752680067550592,7.2366196180778424e-06,0.0008997235979368125,-0.18096518171774958,1.0345734318270845,1.076093103357852,0.9851721330854537,64984.63841250748,95400.86648297441,605.0633061057108,872.7507478174531,97770.5248179722,127023.85989400173,14,0.4315647187337621
2024-07-08 00:00:00+00:00,1,0,0,65241,1373912.0,13751,0.5114209651947021,90.68540954589844,0.0004588481822353,1755769,10.355987151463829,0.0,1421074.0,13781.0,1830923.0,90.68426513671876,0.5913703441619873,10.28377922375997,1329761.0,12583.0,1710239.0,90.67880249023438,0.5912835597991943,10.317774573961891,1352102.4285714286,13280.714285714286,1725957.4285714286,90.68250492640904,0.5527681963784354,10.388650542213805,1258289.5666666667,12328.766666666666,1627627.9666666666,87.6518056233724,0.5708856205145518,10.346807418929208,3.3202207013139917,-3.3187575031279115,9.282365095764122,-0.2176910238734453,2.6622010140103125,-4.104705659385999,-13.506648930272014,-13.519341941398666,0.007286218479540807,0.0012619710574313103,0.04899667785811294,0.07611891158826292,99.90634089586969,0.7825125158762253,0.007831891420858085,7.537585823457402e-06,0.0009179796491380595,-0.14059716077216877,1.0345765758215995,1.0745558609003503,0.9682643536899971,64629.90787179287,95779.63227753366,638.507497352842,905.9559509475582,86292.31741513216,127897.78873782791,14,0.4172421322499325
2024-07-09 00:00:00+00:00,1,0,0,65241,1374420.0,14116,0.5266826748847961,90.68645477294922,0.0004587488986602,1748697,10.43322972456614,0.0,1373912.0,13751.0,1755769.0,90.68540954589844,0.5114209651947021,10.355987151463829,1334269.0,12814.0,1688933.0,90.67970275878906,0.5541964769363403,10.480066617329916,1357838.2857142857,13466.714285714286,1734495.142857143,90.6834694998605,0.5488376532282148,10.381959557533264,1261543.0666666667,12403.166666666666,1630102.2666666666,87.65245717366537,0.5674025893211365,10.357444086339738,3.00921328457755,0.03697471162635857,10.16076166692681,2.6543524107337735,3.538565472993893,-0.4027864713410434,-4.964629548647359,2.9841775618806965,0.007446003851718785,0.001152585687180796,0.04877924779221772,0.07773114961534493,97.35921229723029,0.7859676170499423,0.00807229149916109,7.590999937112529e-06,0.0009408678327352089,-0.10022496784621625,1.0345798899874512,1.0763312974340675,0.9672808400202516,64699.397094571534,98061.19286126773,706.0396589427265,958.3076708207219,85252.17747762265,129542.63628463916,14,0.4173964063251156
2024-07-10 00:00:00+00:00,1,0,0,65241,1374094.0,14434,0.6166094541549683,90.6871566772461,0.0004583735677416,1727255,10.556214928627014,0.0,1374420.0,14116.0,1748697.0,90.68645477294922,0.5266826748847961,10.43322972456614,1302125.0,12778.0,1650883.0,90.68082427978516,0.550038754940033,10.46657689412435,1368119.5714285714,13703.285714285714,1745405.4285714286,90.6843741280692,0.5583477531160627,10.394764991033645,1270992.4333333333,12518.033333333333,1640292.0,87.65311686197917,0.5677518924077352,10.371200648943583,5.5270423346452935,-0.023719096055063726,12.959774612615437,2.2527628223292684,4.626130379923965,-1.2261701140906633,12.102910679847101,17.074185948843336,0.006983171482199957,0.0007739902266878929,0.04259283233865473,0.07444582639038999,95.1918254243159,0.7955358093994174,0.0083566072429333,7.68230357335338e-06,0.000958033970423388,-0.05985378651518131,1.0345824241579809,1.0764183448681202,0.983436181512683,56981.32086810188,94620.08203543266,735.9019583529094,988.8692770666087,76537.3326166134,124497.97834417106,14,0.41729740367056894
