timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,ratings_like_ratio,visits_visits_gained,platform_platform_share,ccu_playing,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-10-03 00:00:00+00:00,0,1,0,2936053166,0.0,88.14038848876953,0,0.3876300156116485,18373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18373.0,0.0,88.14038848876953,0.3876300156116485,0.0,0.0,18373.0,0.0,88.14038848876953,0.3876300156116485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18373.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-10-04 00:00:00+00:00,0,0,0,2936053166,0.0,88.30731964111328,2088766,0.3706320524215698,12008,0.0,0.0,0.0,0.0,18373.0,0.0,88.14038848876953,0.3876300156116485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15190.5,1044383.0,88.2238540649414,0.3791310340166092,0.0,0.0,15190.5,1044383.0,88.2238540649414,0.3791310340166092,0.0,0.0,0.0,0.0,-34.64322647362978,0.0,inf,0.0,-4.385099838890771,0.0,0.1893923491896432,0.0,0.0,0.0,0.0,0.005748846089582993,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4500.734662252375,4500.734662252375,1476980.6029119,1476980.6029119,0,0.0
2021-10-05 00:00:00+00:00,0,0,0,2936053166,0.0,88.22158813476562,2025524,0.3937295973300934,13179,0.0,0.0,0.0,0.0,12008.0,2088766.0,88.30731964111328,0.3706320524215698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14520.0,1371430.0,88.22309875488281,0.38399722178777057,0.0,0.0,14520.0,1371430.0,88.22309875488281,0.38399722178777057,0.0,0.0,0.0,0.0,9.751832111925385,0.0,-3.027720673354506,0.0,6.231934005063233,0.0,-0.0970831259470617,0.0,0.0,0.0,0.0,0.0065064612878142705,0.0,0.04059982299804766,0.0,1.0,0.0,1.0,0.0,0.0,3387.7746383134754,3387.7746383134754,1188114.0817766618,1188114.0817766618,0,0.0
2021-10-06 00:00:00+00:00,0,0,0,2936053166,0.0,88.14390563964844,1949889,0.3862467408180237,12279,0.0,0.0,0.0,0.0,13179.0,2025524.0,88.22158813476562,0.3937295973300934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13959.75,1516044.75,88.20330047607422,0.38455960154533386,0.0,0.0,13959.75,1516044.75,88.20330047607422,0.38455960154533386,0.0,0.0,0.0,0.0,-6.829046209879353,0.0,-3.7340954735663456,0.0,-1.9005064802878557,0.0,-0.08805383892944718,0.0,0.0,0.0,0.0,0.006297278308007118,0.0,-0.007518005371101797,0.0,1.0,0.0,1.0,0.0,0.0,2984.4371188997543,2984.4371188997543,1012289.6906918081,1012289.6906918081,0,0.0
2021-10-07 00:00:00+00:00,0,0,0,2936053166,0.0,88.09513092041016,1813745,0.3644362986087799,12309,0.0,0.0,0.0,0.0,12279.0,1949889.0,88.14390563964844,0.3862467408180237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13629.6,1575584.8,88.18166656494141,0.3805349409580231,0.0,0.0,13629.6,1575584.8,88.18166656494141,0.3805349409580231,0.0,0.0,0.0,0.0,0.2443195699975531,0.0,-6.9821410346948,0.0,-5.6467640770384016,0.0,-0.05533532793258189,0.0,0.0,0.0,0.0,0.006786507041228485,0.0,-0.02539291381835894,-0.02539291381835894,1.0,0.0,1.0,0.0,0.0,2687.9627601587044,2687.9627601587044,886720.3060608796,886720.3060608796,0,0.0
2021-10-08 00:00:00+00:00,0,0,0,2936053166,0.0,87.87767791748047,2123183,0.379480242729187,14869,0.0,0.0,0.0,0.0,12309.0,1813745.0,88.09513092041016,0.3644362986087799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13836.166666666666,1666851.1666666667,88.13100179036458,0.38035915791988373,0.0,0.0,13836.166666666666,1666851.1666666667,88.13100179036458,0.38035915791988373,0.0,0.0,0.0,0.0,20.797790234787563,0.0,17.060722427904686,0.0,4.128003763027088,0.0,-0.24683884416512036,0.0,0.0,0.0,0.0,0.007003161289836397,0.0,-0.05793718610490134,-0.05793718610490134,1.0,0.0,1.0,0.0,0.0,2456.854445559742,2456.854445559742,824011.9046784255,824011.9046784255,0,0.0
2021-10-09 00:00:00+00:00,0,1,0,2936053166,0.0,87.571533203125,2661209,0.4172057807445526,20908,0.0,0.0,0.0,0.0,14869.0,2123183.0,87.87767791748047,0.379480242729187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14846.42857142857,1808902.2857142857,88.05107770647321,0.3856229611805507,0.0,0.0,14846.42857142857,1808902.2857142857,88.05107770647321,0.3856229611805507,0.0,0.0,0.0,0.0,40.61470172842827,0.0,25.340538239049582,0.0,9.941370792863147,0.0,-0.348375971703474,0.0,0.0,0.0,0.0,0.007856576519703444,0.0,-0.09615380423409299,-0.09615380423409299,1.0,0.0,1.0,0.0,0.0,3489.1998059317675,3489.1998059317675,840880.0898474791,840880.0898474791,0,0.0
2021-10-10 00:00:00+00:00,0,1,0,2936053166,0.0,87.40299224853516,2541973,0.4803201854228973,22627,0.0,0.0,0.0,0.0,20908.0,2661209.0,87.571533203125,0.4172057807445526,0.0,0.0,18373.0,0.0,88.14038848876953,0.3876300156116485,0.0,0.0,15454.142857142857,2172041.285714286,87.94573538643974,0.3988644140107291,0.0,0.0,15819.0,1900536.125,87.97006702423096,0.39746011421084404,0.0,0.0,0.0,23.15354052141729,8.221733307824763,inf,-4.4805199441306565,23.912020761599507,15.127883550824638,-0.8366156002685754,-0.19246089274114198,0.0,0.0,0.0,0.0,0.00890134989578965,0.0,-0.15283284868512656,-0.118109657650896,0.9997234100346369,0.0,1.0035331842106303,0.0,0.0,4242.930624664312,4242.930624664312,820513.3011141671,820513.3011141671,0,0.0
2021-10-11 00:00:00+00:00,0,0,1,2936053166,0.0,87.34646606445312,2065432,0.4569368362426758,19251,0.0,0.0,0.0,0.0,22627.0,2541973.0,87.40299224853516,0.4803201854228973,0.0,0.0,12008.0,2088766.0,88.30731964111328,0.3706320524215698,0.0,0.0,16488.85714285714,2168707.8571428573,87.80847058977399,0.4111936688423157,0.0,0.0,16200.333333333334,1918857.888888889,87.90077802870009,0.40406863888104755,0.0,0.0,0.0,60.31812125249834,-14.920228046139572,-1.1171189113572288,-18.746894636567735,23.28583921903762,-4.868283676155238,-1.08807919951045,-0.06467305366536502,0.0,0.0,0.0,0.0,0.009320563775247127,0.0,-0.16538538251603505,-0.12425015767415397,0.9989498677827862,0.0,1.0176332169232407,0.0,0.0,4130.482871287569,4130.482871287569,769485.5430286595,769485.5430286595,0,0.0
2021-10-12 00:00:00+00:00,0,0,0,2936053166,0.0,87.35844421386719,1768702,0.467208594083786,15661,0.0,0.0,0.0,0.0,19251.0,2065432.0,87.34646606445312,0.4569368362426758,0.0,0.0,13179.0,2025524.0,88.22158813476562,0.3937295973300934,0.0,0.0,16843.428571428572,2132019.0,87.68516431535993,0.42169066837855745,0.0,0.0,16146.4,1903842.3,87.8465446472168,0.4103826344013214,0.0,0.0,0.0,18.83299188102283,-18.648381902238842,-12.67928694007081,-14.366486042629333,18.662299520269386,2.2479601175456443,-0.9783817534319561,0.013713376114399267,0.0,0.0,0.0,0.0,0.008854510904318023,0.0,-0.15458570207868264,-0.11994559548117871,0.9981629290883898,0.0,1.0275548549799933,0.0,0.0,3897.9895444817303,3897.9895444817303,727030.1934210083,727030.1934210083,0,0.0
