timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,daily_rpv,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-06-15 00:00:00+00:00,1,1,0,6002149925,0.0,5816,2.797969446364308,97.23076629638672,29350.0,0.0020144283771514,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29350.0,153.0,5816.0,97.23076629638672,0.0020144283771514,0.0,29350.0,153.0,5816.0,97.23076629638672,0.0020144283771514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.58441558441558,5.045556128588619,0.02630221763795771,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-06-16 00:00:00+00:00,1,1,0,6002149925,0.0,6290,2.5543726753013303,97.9209976196289,47740.0,0.0020934070926159,157,0.0,29350.0,153.0,5816.0,97.23076629638672,0.0020144283771514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38545.0,155.0,6053.0,97.57588195800781,0.00205391773488365,0.0,38545.0,155.0,6053.0,97.57588195800781,0.00205391773488365,0.0,0.0,62.65758091993185,0.0,2.614379084967311,0.0,8.149931224209084,0.0,3.920651454294144,0.0,0.7098898317207114,0.3373639565707773,0.3373639565707773,302.1518987341772,7.588618661580035,0.024956286758861867,0.0,0.0,0.0,1.0,1.0,1.0,13003.69370602061,13003.69370602061,2.8284271247461903,2.8284271247461903,335.1686142824235,335.1686142824235,2,1.0
2024-06-17 00:00:00+00:00,1,0,0,6002149925,0.0,7643,1.5963278502057587,97.58308410644533,48088.0,0.002322154585272,154,0.0,47740.0,157.0,6290.0,97.9209976196289,0.0020934070926159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41726.0,154.66666666666666,6583.0,97.57828267415364,0.002143330018346433,0.0,41726.0,154.66666666666666,6583.0,97.57828267415364,0.002143330018346433,0.0,0.0,0.7289484708839611,0.0,-1.9108280254777066,0.0,21.510333863275033,0.0,10.927042975203616,0.0,-0.34508789881430024,0.2568984015656797,0.2568984015656797,310.2451612903226,6.290947148090005,0.020146520146520148,0.0,0.17615890502931233,0.0,1.0,1.0,1.0,10719.342703729553,10719.342703729553,2.0816659994661317,2.0816659994661317,948.08702132241,948.08702132241,3,1.0
2024-06-18 00:00:00+00:00,1,0,0,6002149925,0.0,14465,1.676245154633054,97.0443344116211,71741.0,0.0061564887873828,396,0.0,48088.0,154.0,7643.0,97.58308410644533,0.002322154585272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49229.75,215.0,8553.5,97.44479560852051,0.003146619710605525,0.0,49229.75,215.0,8553.5,97.44479560852051,0.003146619710605525,0.0,0.0,49.186907336549666,0.0,157.14285714285717,0.0,89.25814470757555,0.0,165.1196792164323,0.0,-0.552093326171732,0.35290034345681776,0.35290034345681776,180.70780856423173,4.959283837964883,0.027374533388635422,0.0,-0.08972091674806563,0.0,1.0,1.0,1.0,17373.195683293274,17373.195683293274,120.67863660703718,120.67863660703718,4016.307632639711,4016.307632639711,4,1.0
2024-06-19 00:00:00+00:00,1,0,1,6002149925,0.0,26803,1.8515828564635313,96.362548828125,135220.0,0.0070935110561549,470,0.0,71741.0,396.0,14465.0,97.0443344116211,0.0061564887873828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66427.8,266.0,12203.4,97.22834625244141,0.0039359979797154,0.0,66427.8,266.0,12203.4,97.22834625244141,0.0039359979797154,0.0,0.0,88.48357285234385,0.0,18.686868686868685,0.0,85.2955409609402,0.0,15.220075941540689,0.0,-0.7025506307295037,0.6216448234255807,0.6216448234255807,287.0912951167728,5.044769437397403,0.017534696313982988,0.0,-0.2613098144531304,-0.2613098144531304,1.0,1.0,1.0,41294.49800154979,41294.49800154979,154.68516412377755,154.68516412377755,8871.6906675109,8871.6906675109,5,1.0
2024-06-20 00:00:00+00:00,1,0,0,6002149925,0.0,24986,1.3159721564494384,96.46133422851562,137742.0,0.0082381628453731,547,0.0,135220.0,470.0,26803.0,96.362548828125,0.0070935110561549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78313.5,312.8333333333333,14333.833333333334,97.10051091512044,0.004653025457325017,0.0,78313.5,312.8333333333333,14333.833333333334,97.10051091512044,0.004653025457325017,0.0,0.0,1.8651087117290244,0.0,16.382978723404264,0.0,-6.779091892698574,0.0,16.13660400550174,0.0,0.10251430829919528,0.600533228835052,0.600533228835052,251.35401459854015,5.51254652419258,0.021891383519430103,0.0,-0.25889304024832005,-0.25889304024832005,1.0,1.0,1.0,47029.85901637384,47029.85901637384,179.7280352829426,179.7280352829426,9497.262414331124,9497.262414331124,6,1.0
2024-06-21 00:00:00+00:00,1,0,0,6002149925,0.0,40906,1.4116132280674352,96.6252212524414,204874.0,0.012824835255742,889,0.0,137742.0,547.0,24986.0,96.46133422851562,0.0082381628453731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96393.57142857143,395.14285714285717,18129.85714285714,97.03261239188058,0.005820426857098872,0.0,96393.57142857143,395.14285714285717,18129.85714285714,97.03261239188058,0.005820426857098872,0.0,0.0,48.73749473653641,0.0,62.52285191956124,0.0,63.71568078123748,0.0,55.67591338577349,0.0,0.16989918834995343,0.6668072856616036,0.6668072856616036,230.19550561797752,5.008287090229056,0.021732221869117756,0.0,-0.21273204258509051,-0.21273204258509051,1.0,1.0,1.0,64275.935719513625,64275.935719513625,272.6581672909803,272.6581672909803,13267.764386268089,13267.764386268089,7,1.0
2024-06-22 00:00:00+00:00,1,1,0,6002149925,0.0,61490,1.7094416355315118,96.9578628540039,360963.0,0.0227873101830482,1708,0.0,204874.0,889.0,40906.0,96.6252212524414,0.012824835255742,0.0,29350.0,153.0,5816.0,97.23076629638672,0.0020144283771514,0.0,143766.85714285713,617.2857142857143,26083.285714285714,96.99362618582589,0.008787981400798414,0.0,129464.75,559.25,23549.875,97.023268699646,0.007941287272842538,0.0,1129.8568994889267,76.18780323515917,1016.3398692810457,92.12598425196849,957.2558459422285,50.3202464186183,1031.2047845191548,77.68111424936824,-0.28067601725046964,0.3442596014279209,0.8563255064104963,0.8563255064104963,211.21299005266238,5.870176123335122,0.027776422565903954,0.0,-0.19243322099957752,-0.1480504898797864,0.9996944803631398,1.110471052103813,1.1066192543936024,110863.9676060583,110863.9676060583,528.3666881464587,528.3666881464587,19644.303684983523,19644.303684983523,8,1.0
2024-06-23 00:00:00+00:00,1,1,0,6002149925,0.0,105540,1.7884300034387874,97.31503295898438,583489.0,0.0226023197174072,1707,0.0,360963.0,1708.0,61490.0,96.9578628540039,0.0227873101830482,0.0,47740.0,157.0,6290.0,97.9209976196289,0.0020934070926159,0.0,220302.42857142858,838.7142857142857,40261.857142857145,96.90705980573382,0.011717826061482885,0.0,179911.88888888888,686.7777777777778,32659.88888888889,97.0556869506836,0.009570290877794168,0.0,1122.2224549643904,61.64786972626004,987.2611464968152,-0.05854800936767601,1577.9014308426074,71.63766466092048,979.6906056701839,-0.8118135232065171,-0.6188301542825236,0.3683766271934896,1.0197383437009941,1.0197383437009941,341.6211943793911,5.528552884660938,0.016173809230536,0.0,-0.02551514761787719,-0.08418439229329734,0.9984686405339103,1.2245017821333883,1.2243960200490476,183463.05158767285,183463.05158767285,625.015955351897,625.015955351897,32933.15216254149,32933.15216254149,9,1.0
2024-06-24 00:00:00+00:00,1,0,0,6002149925,0.0,116961,1.499792255977255,97.44820404052734,696969.0,0.0301263649016618,2044,0.0,583489.0,1707.0,105540.0,97.31503295898438,0.0226023197174072,0.0,48088.0,154.0,7643.0,97.58308410644533,0.002322154585272,0.0,312999.71428571426,1108.7142857142858,55878.71428571428,96.88779122488839,0.015689856106681426,0.0,231617.6,822.5,41090.0,97.09493865966797,0.01162589828018093,0.0,1349.3615870903345,19.448524308084636,1227.2727272727273,19.74223784417106,1430.302237341358,10.821489482660596,1197.3453659258873,33.288818485564335,-0.13822074507385818,0.1368453336485942,1.027643219348429,1.027643219348429,340.8161369193154,5.958935380721944,0.017475761358389904,0.0,0.12903949192593253,-0.0398149894945546,0.9978665475498608,1.3513641203678575,1.3495607589676288,238020.2561217567,238020.2561217567,729.0028577904661,729.0028577904661,40923.709091158606,40923.709091158606,10,1.0
