timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,visits_visits_gained,ratings_like_ratio,ccu_playing,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-06-08 00:00:00+00:00,1,0,0,1742264997,0.0197200030088424,20377,82.1498794555664,587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,20377.0,82.1498794555664,0.0197200030088424,0.0,0.0,587.0,20377.0,82.1498794555664,0.0197200030088424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02880557463931691,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-06-09 00:00:00+00:00,1,0,0,1742264997,0.0198621600866317,28459,82.105712890625,595,0.0,0.0,0.0,0.0,0.0,587.0,20377.0,82.1498794555664,0.0197200030088424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,24418.0,82.1277961730957,0.01979108154773705,0.0,0.0,591.0,24418.0,82.1277961730957,0.01979108154773705,0.0,0.0,0.0,0.0,1.3628620102214661,0.0,39.66236443048534,0.0,0.7208775664261147,0.0,-0.05376339592232382,0.0,0.0,0.0,0.0,0.02090653548840478,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.656854249492381,5.656854249492381,5714.837005549677,5714.837005549677,0,0.0
2020-06-10 00:00:00+00:00,1,0,0,1742264997,0.0198632106184959,28599,81.94014739990234,601,0.0,0.0,0.0,0.0,0.0,595.0,28459.0,82.105712890625,0.0198621600866317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.3333333333334,25811.666666666668,82.06524658203125,0.019815124571323332,0.0,0.0,594.3333333333334,25811.666666666668,82.06524658203125,0.019815124571323332,0.0,0.0,0.0,0.0,1.0084033613445342,0.0,0.4919357672441116,0.0,0.005289111857020856,0.0,-0.20164917262603943,0.0,0.0,0.0,0.0,0.021013986013986016,0.0,-0.10486602783203854,0.0,1.0,0.0,1.0,0.0,0.0,7.023769168568479,7.023769168568479,4707.079915758105,4707.079915758105,0,0.0
2020-06-11 00:00:00+00:00,1,0,0,1742264997,0.0197584144771099,30471,81.8619613647461,601,0.0,0.0,0.0,0.0,0.0,601.0,28599.0,81.94014739990234,0.0198632106184959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,26976.5,82.01442527770996,0.019800947047769975,0.0,0.0,596.0,26976.5,82.01442527770996,0.019800947047769975,0.0,0.0,0.0,0.0,0.0,0.0,6.545683415504033,0.0,-0.5275891365136065,0.0,-0.0954184702337324,0.0,0.0,0.0,0.0,0.01972302441585718,0.0,-0.10293197631836393,0.0,1.0,0.0,1.0,0.0,0.0,6.633249580710785,6.633249580710785,4494.264604285481,4494.264604285481,0,0.0
2020-06-12 00:00:00+00:00,1,0,0,1742264997,0.0190456509590148,28382,81.59077453613281,575,0.0,0.0,0.0,0.0,0.0,601.0,30471.0,81.8619613647461,0.0197584144771099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.8,27257.6,81.92969512939453,0.01964988783001894,0.0,0.0,591.8,27257.6,81.92969512939453,0.01964988783001894,0.0,0.0,0.0,0.0,-4.3261231281197965,0.0,-6.8556988612123,0.0,-3.6073922779625622,0.0,-0.33127330947395617,0.0,0.0,0.0,0.0,0.020258605503294225,0.0,-0.1361961364746115,-0.1361961364746115,1.0,0.0,1.0,0.0,0.0,11.00908715561829,11.00908715561829,3942.57489465958,3942.57489465958,0,0.0
2020-06-13 00:00:00+00:00,1,1,0,1742264997,0.0180917121469974,28473,81.7451171875,527,0.0,0.0,0.0,0.0,0.0,575.0,28382.0,81.59077453613281,0.0190456509590148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,27460.166666666668,81.89893213907878,0.01939019188284868,0.0,0.0,581.0,27460.166666666668,81.89893213907878,0.01939019188284868,0.0,0.0,0.0,0.0,-8.347826086956523,0.0,0.3206257487139652,0.0,-5.0086962848905685,0.0,0.1891667927466978,0.0,0.0,0.0,0.0,0.01850811266418487,0.0,-0.10419464111327872,-0.10419464111327872,1.0,0.0,1.0,0.0,0.0,28.227646023003746,28.227646023003746,3561.083678694825,3561.083678694825,0,0.0
2020-06-14 00:00:00+00:00,1,1,0,1742264997,0.0184681043028831,28923,81.60060119628906,544,0.0,0.0,0.0,0.0,0.0,527.0,28473.0,81.7451171875,0.0180917121469974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.7142857142857,27669.14285714286,81.85631343296596,0.019258465085710743,0.0,0.0,575.7142857142857,27669.14285714286,81.85631343296596,0.019258465085710743,0.0,0.0,0.0,0.0,3.2258064516129004,0.0,1.5804446317563947,0.0,2.0804673036331156,0.0,-0.17678853023044283,0.0,0.0,0.0,0.0,0.01880791038583875,0.0,-0.09708568028040684,-0.09708568028040684,1.0,0.0,1.0,0.0,0.0,29.318448604444054,29.318448604444054,3297.493210939255,3297.493210939255,0,0.0
2020-06-15 00:00:00+00:00,1,0,0,1742264997,0.0183475855737924,27738,81.78160095214844,512,0.0,0.0,0.0,0.0,0.0,544.0,28923.0,81.60060119628906,0.0184681043028831,0.0,0.0,587.0,20377.0,82.1498794555664,0.0197200030088424,0.0,0.0,565.0,28720.714285714286,81.80370221819196,0.01906240545213217,0.0,0.0,567.75,27677.75,81.84697437286377,0.01914460514672095,0.0,0.0,0.0,-12.776831345826235,-5.882352941176472,36.12406144182165,-4.097085364588738,-6.95951939984295,-0.6525776934879324,-0.448300722847883,0.22181179207734214,0.0,0.0,0.0,0.0,0.01845776704279174,0.0,-0.06315258571079188,-0.07094982692173336,0.9994713041623912,0.0,0.9957063781697865,0.0,0.0,35.27342180331084,35.27342180331084,3052.982558089712,3052.982558089712,0,0.0
2020-06-16 00:00:00+00:00,1,0,0,1742264997,0.0175682716071605,27654,81.6738052368164,529,0.0,0.0,0.0,0.0,0.0,512.0,27738.0,81.78160095214844,0.0183475855737924,0.0,0.0,595.0,28459.0,82.105712890625,0.0198621600866317,0.0,0.0,555.5714285714286,28605.714285714286,81.74200112479073,0.018734707097922,0.0,0.0,563.4444444444445,27675.11111111111,81.82773335774739,0.018969456975658675,0.0,0.0,0.0,-11.092436974789921,3.3203125,-2.8286306616536083,-0.3028336577979629,-11.54903831942785,-4.247501468231696,-0.5260384918452043,-0.1318092505857238,0.0,0.0,0.0,0.0,0.019128548182968722,0.0,-0.0339257376534565,-0.06120948791503861,0.9989522839086616,0.0,0.987624849881686,0.0,0.0,35.43342740658567,35.43342740658567,2855.814658046126,2855.814658046126,0,0.0
2020-06-17 00:00:00+00:00,1,0,0,1742264997,0.0171231348067522,25170,81.7162857055664,497,0.0,0.0,0.0,0.0,0.0,529.0,27654.0,81.6738052368164,0.0175682716071605,0.0,0.0,601.0,28599.0,81.94014739990234,0.0198632106184959,0.0,0.0,540.7142857142857,28115.85714285714,81.71002088274274,0.01834326769624433,0.0,0.0,556.8,27424.6,81.8165885925293,0.01878482475876803,0.0,0.0,0.0,-17.304492512479197,-6.049149338374294,-11.989929717822301,-8.9824256888696,-13.794727672032225,-2.53375409011134,-0.2732014786883341,0.05201235405505322,0.0,0.0,0.0,0.0,0.019744944579079098,0.0,-0.008374350411550248,-0.05059495405717176,0.9986974804056266,0.0,0.9764939482697278,0.0,0.0,39.465315292179156,39.465315292179156,2806.6081229048627,2806.6081229048627,0,0.0
