timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,ccu_playing,daily_rpv,ratings_like_ratio,sort_sort_position,visits_visits_gained,daily_Estimated Revenue,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-03-09 00:00:00+00:00,0,1,0,7074860883,19.426827549934387,11456,0.0962523082169127,96.18799591064452,386,1260578,263896.0,0.161143273115158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263896.0,11456.0,1260578.0,96.18799591064452,0.161143273115158,19.426827549934387,263896.0,11456.0,1260578.0,96.18799591064452,0.161143273115158,19.426827549934387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.033603910273197,0.20934507079683226,0.00908788739142886,7.361518906972943e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-03-10 00:00:00+00:00,0,0,0,7074860883,18.47855246067047,10105,0.0565191576281351,96.1707534790039,166,996641,217624.0,0.1557813286781311,263896.0,11456.0,1260578.0,96.18799591064452,0.161143273115158,19.426827549934387,0.0,0.0,0.0,0.0,0.0,0.0,240760.0,10780.5,1128609.5,96.17937469482422,0.15846230089664454,18.95269000530243,240760.0,10780.5,1128609.5,96.17937469482422,0.15846230089664454,18.95269000530243,0.0,-17.534180131566977,0.0,-11.792946927374304,0.0,-20.937776162998244,0.0,-3.3274391995222086,0.0,-0.017925762437787096,0.1358998379260007,0.1358998379260007,21.534138135760934,0.2183572436240897,0.01013904691955587,8.491006300135771e-05,0.0,0.0,1.0,1.0,1.0,32719.244979063926,32719.244979063926,955.3012613830257,955.3012613830257,186631.6425060338,186631.6425060338,1,0.8246581986843302
2025-03-11 00:00:00+00:00,0,0,0,7074860883,17.032274683316547,10024,0.0443134664644723,96.19190216064452,99,989093,215073.0,0.1459815204143524,217624.0,10105.0,996641.0,96.1707534790039,0.1557813286781311,18.47855246067047,0.0,0.0,0.0,0.0,0.0,0.0,232197.66666666666,10528.333333333334,1082104.0,96.18355051676433,0.1543020407358805,18.31255156464047,232197.66666666666,10528.333333333334,1082104.0,96.18355051676433,0.1543020407358805,18.31255156464047,0.0,-1.1722052714774112,0.0,-0.8015833745670498,0.0,-0.7573439182213093,0.0,-6.290746360256483,0.0,0.02199076213458273,0.11835251637648644,0.11835251637648644,21.45366583541147,0.21744444916256694,0.010134527153132058,7.919262525138579e-05,0.0019531250000074823,0.0,1.0,1.0,1.0,27481.178146748607,27481.178146748607,804.4030913250729,804.4030913250729,154609.08635329295,154609.08635329295,1,0.8149915118076818
2025-03-12 00:00:00+00:00,0,0,0,7074860883,16.85599680741628,15462,0.0436341101961766,96.25021362304688,83,1275951,259103.0,0.2365865558385849,215073.0,10024.0,989093.0,96.19190216064452,0.1459815204143524,17.032274683316547,0.0,0.0,0.0,0.0,0.0,0.0,238924.0,11761.75,1130565.75,96.20021629333496,0.1748731695115566,17.94841287533442,238924.0,11761.75,1130565.75,96.20021629333496,0.1748731695115566,17.94841287533442,0.0,20.472118768976124,0.0,54.24980047885075,0.0,29.002126190358247,0.0,62.06609930288447,0.0,0.060619928593341754,0.10949931615939469,0.10949931615939469,16.75632154174481,0.20306641629152195,0.012118010708866792,6.505494630502145e-05,0.020780181884750688,0.0,1.0,1.0,1.0,26162.01461406722,26162.01461406722,2552.77161467035,2552.77161467035,159154.4676540687,159154.4676540687,1,0.9818375420620244
2025-03-13 00:00:00+00:00,0,0,0,7074860883,15.560388724009195,14012,0.0445614071513996,96.31765747070312,72,1700626,331933.0,0.228849321603775,259103.0,15462.0,1275951.0,96.25021362304688,0.2365865558385849,16.85599680741628,0.0,0.0,0.0,0.0,0.0,0.0,257525.8,12211.8,1244577.8,96.2237045288086,0.18566839993000028,17.470808045069376,257525.8,12211.8,1244577.8,96.2237045288086,0.18566839993000028,17.470808045069376,0.0,28.108512830804735,0.0,-9.377829517526838,0.0,33.28301792153461,0.0,-3.270360907611658,0.0,0.07007137451184864,0.18392454301962555,0.18392454301962555,23.68750446014415,0.19518271790345562,0.008239314088274502,4.6877959847467254e-05,0.033878326416007624,0.033878326416007624,1.0,1.0,1.0,47365.31508076348,47365.31508076348,2429.0342113687902,2429.0342113687902,289812.60524121445,289812.60524121445,2,1.0
2025-03-14 00:00:00+00:00,0,0,0,7074860883,17.23395534356435,20325,0.0439622617891973,96.35955810546876,64,1799286,402295.0,0.2520267963409424,331933.0,14012.0,1700626.0,96.31765747070312,0.228849321603775,15.560388724009195,0.0,0.0,0.0,0.0,0.0,0.0,281654.0,13564.0,1337029.1666666667,96.24634679158528,0.19672813266515732,17.43133259481854,281654.0,13564.0,1337029.1666666667,96.24634679158528,0.19672813266515732,17.43133259481854,0.0,21.197651333250978,0.0,45.0542392235227,0.0,5.801393134057697,0.0,10.127831961545585,0.0,0.0435025475763684,0.2581793673326784,0.2581793673326784,19.79213814818459,0.223585787036754,0.011296141193706173,4.28389925417214e-05,0.03876669747489749,0.03876669747489749,1.0,1.0,1.0,72717.2515267182,72717.2515267182,3961.165838487452,3961.165838487452,344204.3115891587,344204.3115891587,3,1.0
2025-03-15 00:00:00+00:00,0,1,0,7074860883,16.832922140757244,37111,0.0494224017287007,96.4982681274414,53,2764601,564244.0,0.4158547818660736,402295.0,20325.0,1799286.0,96.35955810546876,0.2520267963409424,17.23395534356435,0.0,0.0,0.0,0.0,0.0,0.0,322024.0,16927.85714285714,1540968.0,96.28233555385044,0.22803193969385965,17.345845387095498,322024.0,16927.85714285714,1540968.0,96.28233555385044,0.22803193969385965,17.345845387095498,0.0,40.25627959581899,0.0,82.58794587945879,0.0,53.649892235031004,0.0,65.00419316662835,0.0,0.14395045463038159,0.39051853452275465,0.39051853452275465,15.203815477473594,0.2040959241149359,0.013423632045408345,2.9832647415142792e-05,0.051220757620679604,0.051220757620679604,1.0,1.0,1.0,125756.34056115554,125756.34056115554,9606.47905371806,9606.47905371806,624393.9789534595,624393.9789534595,4,1.0
2025-03-16 00:00:00+00:00,0,1,0,7074860883,16.77707592646281,36304,0.0600054591752546,96.68119049072266,47,4378414,901084.0,0.4825655519962311,564244.0,37111.0,2764601.0,96.4982681274414,0.4158547818660736,16.832922140757244,263896.0,11456.0,1260578.0,96.18799591064452,0.161143273115158,19.426827549934387,413050.85714285716,20477.571428571428,1986373.142857143,96.35279192243304,0.2739494081054415,16.96730944088527,394406.5,19349.875,1895648.75,96.33219242095947,0.2598486412316561,17.27474920451641,241.45420923394062,59.69757764371442,216.89944134078215,-2.174557408854516,247.33384209465817,58.37417406707153,199.4636652635042,16.041842739141977,0.5127402597474795,0.1895602551536646,0.5971480362412013,0.5971480362412013,24.819831979066244,0.20580141443878663,0.008291584968533133,1.8618749536905853e-05,0.0804781232561455,0.06738508315313749,1.0002138381880021,1.0472719317325074,1.0542653092467569,235519.06695576536,235519.06695576536,11226.322301213087,11226.322301213087,1157825.5095079558,1157825.5095079558,5,1.0
2025-03-17 00:00:00+00:00,0,0,0,7074860883,18.512561043103535,38622,0.0428007998263985,96.7322235107422,46,3589756,811295.0,0.5506443977355957,901084.0,36304.0,4378414.0,96.68119049072266,0.4825655519962311,16.77707592646281,217624.0,10105.0,996641.0,96.1707534790039,0.1557813286781311,18.47855246067047,497861.0,24551.428571428572,2356818.1428571427,96.43300192696708,0.33035841797079357,16.97216780980428,440727.44444444444,21491.222222222223,2083882.888888889,96.37664031982422,0.2921592808432049,17.412283853248315,272.79665845678784,-9.964553804084852,282.2068283028204,6.384971353018942,260.18546297011665,-18.01241271382743,253.47265452672718,14.107688677267284,0.5838261752424412,0.05278484859414512,0.5910072607946394,0.5910072607946394,21.005488957357016,0.22600276286110732,0.010758945521939229,2.2818504027017925e-05,0.0951260157993919,0.07383829752604384,1.0005848056848197,1.129634667129874,1.130747642235912,260473.11969813274,260473.11969813274,12310.354775328144,12310.354775328144,1221424.8814594008,1221424.8814594008,5,0.9003544619591515
2025-03-18 00:00:00+00:00,0,0,0,7074860883,19.614986419677734,41227,0.0389598316765926,96.80436706542967,42,3697385,886093.0,0.6136371493339539,811295.0,38622.0,3589756.0,96.7322235107422,0.5506443977355957,18.512561043103535,215073.0,10024.0,989093.0,96.19190216064452,0.1459815204143524,17.032274683316547,593721.0,29009.0,2743717.0,96.52049691336495,0.39716636495930807,17.34112662928445,485264.0,23464.8,2245233.1,96.41941299438477,0.3243070676922798,17.632554109891256,311.99639192274253,9.219581040188828,311.2829209896249,6.74486044223499,273.81570792635273,2.9982260632755997,320.35262243619104,11.439824296297573,0.6367115017252845,0.07458068476990931,0.5833836346576368,0.5833836346576368,21.49250509362569,0.2396539068412116,0.011150309975750436,2.2136462293704432e-05,0.10047231401716265,0.07703112977923801,1.0010483772493624,1.2235010221240397,1.2246614536817964,283095.07608850347,283095.07608850347,13177.883448330305,13177.883448330305,1259544.895088385,1259544.895088385,5,0.9833633712284315
