timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,ratings_like_ratio,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-08 00:00:00+00:00,0,0,0,8353962342,0.0,0.0422441060930554,93.44261932373048,10.045396169026692,311,0.0030153838451951,3941,6550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.0,311.0,6550.0,93.44261932373048,0.0030153838451951,10.045396169026692,3941.0,311.0,6550.0,93.44261932373048,0.0030153838451951,10.045396169026692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.631410256410257,0.6015875438864295,0.04747366814226835,0.0025482993833147367,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-09 00:00:00+00:00,0,0,0,8353962342,0.0,0.0460179335220996,93.1952667236328,59.90770497529403,757,0.0069726477377116,5021,35482,3941.0,311.0,6550.0,93.44261932373048,0.0030153838451951,10.045396169026692,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,534.0,21016.0,93.31894302368164,0.00499401579145335,34.97655057216036,4481.0,534.0,21016.0,93.31894302368164,0.00499401579145335,34.97655057216036,0.0,27.404212128901296,0.0,143.40836012861735,0.0,441.7099236641222,0.0,131.23582587411718,0.0,-0.2647106875725891,0.17042520055377625,0.17042520055377625,6.624010554089709,0.14150438238029478,0.02133416002029141,0.011929053161149747,0.0,0.0,1.0,1.0,1.0,763.6753236814714,763.6753236814714,315.3696244092002,315.3696244092002,20458.01339328919,20458.01339328919,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,8353962342,0.0,0.085275437382726,93.15068817138672,69.86104180596091,1312,0.0124695412814617,15757,96836,5021.0,757.0,35482.0,93.1952667236328,0.0069726477377116,59.90770497529403,0.0,0.0,0.0,0.0,0.0,0.0,8239.666666666666,793.3333333333334,46289.333333333336,93.26285807291667,0.0074858576214561325,46.60471431676054,8239.666666666666,793.3333333333334,46289.333333333336,93.26285807291667,0.0074858576214561325,46.60471431676054,0.0,213.8219478191595,0.0,73.31571994715983,0.0,172.9158446536272,0.0,78.83509608581147,0.0,-0.04783349392439851,0.7928183420439604,0.7928183420439604,12.000761614623,0.16271673017544946,0.013548540330658736,0.00443336983157513,-0.14596557617187977,0.0,1.0,1.0,1.0,6532.558865661552,6532.558865661552,501.4881188356643,501.4881188356643,46103.02906895959,46103.02906895959,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,8353962342,0.0,0.0767910397017592,92.47084045410156,30.39986801147461,2309,0.0229880195111036,22392,147029,15757.0,1312.0,96836.0,93.15068817138672,0.0124695412814617,69.86104180596091,0.0,0.0,0.0,0.0,0.0,0.0,11777.75,1172.25,71474.25,93.06485366821289,0.011361398093868,42.55350274043906,11777.75,1172.25,71474.25,93.06485366821289,0.011361398093868,42.55350274043906,0.0,42.10826934061052,0.0,75.9908536585366,0.0,51.83299599322566,0.0,84.35336948023564,0.0,-0.729836494642222,0.7523717381909284,0.7523717381909284,9.693506493506494,0.152295449908182,0.015704278038495546,0.0013575612026738091,-0.29599151611329233,0.0,1.0,1.0,1.0,8861.246239478207,8861.246239478207,861.377723959317,861.377723959317,62881.73796567119,62881.73796567119,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,8353962342,0.0,0.061998847570197,92.7873764038086,44.150478181384855,2573,0.0203335955739021,28653,163960,22392.0,2309.0,147029.0,92.47084045410156,0.0229880195111036,30.39986801147461,0.0,0.0,0.0,0.0,0.0,0.0,15152.8,1452.4,89971.4,93.00935821533203,0.01315583758987482,42.87289782862822,15152.8,1452.4,89971.4,93.00935821533203,0.01315583758987482,42.87289782862822,0.0,27.960878885316177,0.0,11.433521004763957,0.0,11.515415326228151,0.0,-11.546988360260302,0.0,0.34230893560889264,0.7103097453408418,0.7103097453408418,11.131701631701631,0.1747549722190033,0.015692756204219296,0.0015408137845112325,-0.20349121093750513,-0.20349121093750513,1.0,1.0,1.0,10763.181509200707,10763.181509200707,974.1143670021503,974.1143670021503,68383.53250454381,68383.53250454381,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,8353962342,0.0,0.0716181303191517,93.3931121826172,29.591530027843657,4173,0.027924820780754,49937,305019,28653.0,2573.0,163960.0,92.7873764038086,0.0203335955739021,44.150478181384855,0.0,0.0,0.0,0.0,0.0,0.0,20950.166666666668,1905.8333333333333,125812.66666666667,93.07331720987956,0.015617334788354684,40.659336528497455,20950.166666666668,1905.8333333333333,125812.66666666667,93.07331720987956,0.015617334788354684,40.659336528497455,0.0,74.28192510382856,0.0,62.184220753983666,0.0,86.0325689192486,0.0,37.33341296801997,0.0,0.6528213236383085,0.8189029875361211,0.8189029875361211,11.9638236703402,0.16371713330273424,0.013681070093764344,0.0005925653816300945,-0.061458696637833723,-0.061458696637833723,1.0,1.0,1.0,17156.154072712994,17156.154072712994,1411.6408065321243,1411.6408065321243,106998.24480741106,106998.24480741106,6,1.0
2025-09-14 00:00:00+00:00,0,1,0,8353962342,433.0,0.1624531119419787,93.9798355102539,118.06221715609232,5514,0.0494180992245674,183059,521251,49937.0,4173.0,305019.0,93.3931121826172,0.027924820780754,29.591530027843657,0.0,0.0,0.0,0.0,0.0,0.0,44108.57142857143,2421.285714285714,182303.85714285713,93.20281982421875,0.020446015422099357,51.71689090386815,44108.57142857143,2421.285714285714,182303.85714285713,93.20281982421875,0.020446015422099357,51.71689090386815,0.0,266.5798906622344,0.0,32.13515456506111,0.0,70.89132152423292,0.0,76.96836664615851,0.0,0.628229763335697,1.4337640487884877,1.4337640487884877,33.192928377153216,0.351190978643727,0.010578376677691405,0.0006449372727853835,0.05871527535574825,0.05871527535574825,1.0,1.0,1.0,63241.28395770478,63241.28395770478,1876.2852230125454,1876.2852230125454,178547.7598192601,178547.7598192601,7,1.0
2025-09-15 00:00:00+00:00,0,0,0,8353962342,422.0,0.10079246636934,94.44778442382812,30.723165595013164,10173,0.0919266119599342,176734,729553,183059.0,5514.0,521251.0,93.9798355102539,0.0494180992245674,118.06221715609232,3941.0,311.0,6550.0,93.44261932373048,0.0030153838451951,10.045396169026692,68793.28571428571,3830.1428571428573,285590.0,93.34641483851841,0.03314761943849066,54.67085796472337,60686.75,3390.25,250710.0,93.35844039916992,0.029381089989328715,49.09267524026128,4384.496320730779,-3.4551701910313093,3171.061093247589,84.49401523394995,11038.213740458015,39.96193772290124,2948.5873997904373,86.01810551676256,1.0757030436135961,0.4979248059262309,1.2360519622559405,1.2360519622559405,17.371142126990367,0.24224937427524212,0.01394413573224189,0.00017383747189302155,0.2263614109584291,0.14289056687128432,0.9998711893579189,1.1335799942209084,1.1281957017431945,75011.97642043569,75011.97642043569,3244.789614575519,3244.789614575519,254480.48943793593,254480.48943793593,7,0.9654482980896869
2025-09-16 00:00:00+00:00,0,0,0,8353962342,291.0,0.1004234731001479,94.60107421875,97.96593516805898,9191,0.0687470436096191,263038,963387,176734.0,10173.0,729553.0,94.44778442382812,0.0919266119599342,30.723165595013164,5021.0,757.0,35482.0,93.1952667236328,0.0069726477377116,59.90770497529403,105652.85714285714,5035.0,418147.85714285716,93.54724448067802,0.04197253313447745,60.1077479922612,83170.22222222222,4034.777777777778,329896.3333333333,93.4965108235677,0.03375508483602765,54.52303745446102,5138.757219677355,48.832709042968524,1114.1347424042274,-9.653003047282017,2615.1428893523475,32.0516809608075,885.9532016482113,-25.215297133345693,1.508453749358396,0.1623011019866727,1.170242963170771,1.170242963170771,28.61597040905135,0.27303433299978824,0.00954028906318119,0.000372438821498177,0.33919661385673255,0.18286565144856842,1.0005426262077957,1.2703207268169088,1.2434432719801407,97329.36730090484,97329.36730090484,3598.794477939028,3598.794477939028,336302.7773413416,336302.7773413416,8,1.0
2025-09-17 00:00:00+00:00,0,0,0,8353962342,240.0,0.0887363800532259,94.73941802978516,26.38511058262416,22310,0.2637929022312164,328914,1365695,263038.0,9191.0,963387.0,94.60107421875,0.0687470436096191,97.96593516805898,15757.0,1312.0,96836.0,93.15068817138672,0.0124695412814617,69.86104180596091,150389.57142857142,8034.714285714285,599413.4285714285,93.77420588902065,0.07787587041301382,53.89690067464168,107744.6,5862.3,433476.2,93.62080154418945,0.05675886657554652,51.70924476727733,1987.4151170908167,25.044290178605365,1600.4573170731708,142.73746055924272,1310.3174439258128,41.75974971636529,2015.4980466153454,283.71526742177815,1.7055481710187115,0.14623915444686997,1.1160415751911672,1.1160415751911672,14.742234772085519,0.240839835512442,0.016335992783166973,8.021862968433839e-05,0.41027859279087037,0.20078813957445713,1.0016385711540698,1.3957968327746486,1.3720476660569039,120247.45310234225,120247.45310234225,6701.541664257395,6701.541664257395,455873.69772066374,455873.69772066374,9,1.0
