timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,sort_sort_position,visits_visits_gained,daily_rpv,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-07 00:00:00+00:00,0,0,0,6329693946,48.06598663330078,479.0,1306,0.9741462676897172,83.49788665771484,462,202528.0,0.0062480675987899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202528.0,462.0,1306.0,83.49788665771484,0.0062480675987899,48.06598663330078,202528.0,462.0,1306.0,83.49788665771484,0.0062480675987899,48.06598663330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.4254859611231,154.95638867635807,0.35348125478194337,0.00023732890911079787,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-04-08 00:00:00+00:00,0,0,0,6329693946,44.078524589538574,474.0,14340,0.4205095642553814,83.75565338134766,432,90451.0,0.0064925565384328,202528.0,462.0,1306.0,83.49788665771484,0.0062480675987899,48.06598663330078,0.0,0.0,0.0,0.0,0.0,0.0,146489.5,447.0,7823.0,83.62677001953125,0.0063703120686113505,46.07225561141968,146489.5,447.0,7823.0,83.62677001953125,0.0063703120686113505,46.07225561141968,0.0,-55.33901485226734,0.0,-6.493506493506496,0.0,998.0091883614089,0.0,3.9130328822026827,0.0,0.308710476337537,0.5409971821532922,0.5409971821532922,208.89376443418013,6.307161285823861,0.030123422355484274,0.0004873139852025226,0.0,0.0,1.0,1.0,1.0,79250.4067150447,79250.4067150447,21.213203435596427,21.213203435596427,9216.42978598546,9216.42978598546,1,0.44660985147732657
2025-04-09 00:00:00+00:00,0,0,0,6329693946,43.59650687376658,462.0,16395,0.3890036317186391,83.55748748779297,487,89195.0,0.0069747893139719,90451.0,432.0,14340.0,83.75565338134766,0.0064925565384328,44.078524589538574,0.0,0.0,0.0,0.0,0.0,0.0,127391.33333333333,460.3333333333333,10680.333333333334,83.60367584228516,0.006571804483731534,45.24700603220197,127391.33333333333,460.3333333333333,10680.333333333334,83.60367584228516,0.006571804483731534,45.24700603220197,0.0,-1.3885971409934639,0.0,12.731481481481488,0.0,14.330543933054397,0.0,7.42747133096977,0.0,-0.23660002107848133,0.5108141249725435,0.5108141249725435,182.7766393442623,5.440046352768968,0.02970236643083679,0.0004887719950868489,0.02980041503906857,0.0,1.0,1.0,1.0,65073.29246575228,65073.29246575228,27.537852736430516,27.537852736430516,8183.174832137789,8183.174832137789,1,0.4404082398483173
2025-04-10 00:00:00+00:00,0,0,0,6329693946,33.8501079082489,436.0,35659,0.6537041077205953,83.43873596191406,1023,165758.0,0.0152809619903564,89195.0,487.0,16395.0,83.55748748779297,0.0069747893139719,43.59650687376658,0.0,0.0,0.0,0.0,0.0,0.0,136983.0,601.0,16925.0,83.56244087219238,0.00874909386038775,42.39778150121371,136983.0,601.0,16925.0,83.56244087219238,0.00874909386038775,42.39778150121371,0.0,85.83777117551432,0.0,110.06160164271046,0.0,117.49923757243064,0.0,119.08851009657843,0.0,-0.14211955080177807,0.41238063461767266,0.41238063461767266,161.873046875,4.64828939988783,0.02868760515984296,0.00020421279030549715,-0.037561798095714596,0.0,1.0,1.0,1.0,56489.13647183265,56489.13647183265,282.23040233114506,282.23040233114506,14164.263035305908,14164.263035305908,1,0.8184448570074261
2025-04-11 00:00:00+00:00,0,0,0,6329693946,35.58497007687887,418.0,50751,0.8372670214628419,83.72833251953125,1238,250325.0,0.0158309582620859,165758.0,1023.0,35659.0,83.43873596191406,0.0152809619903564,33.8501079082489,0.0,0.0,0.0,0.0,0.0,0.0,159651.4,728.4,23690.2,83.59561920166016,0.01016546674072738,41.03521921634674,159651.4,728.4,23690.2,83.59561920166016,0.01016546674072738,41.03521921634674,0.0,51.01835205540608,0.0,21.016617790811342,0.0,42.323116183852605,0.0,3.5992254419361602,0.0,0.3470768753608411,0.44124486009944663,0.44124486009944663,202.03793381759485,4.932317938209332,0.02439312736443884,0.00014215451082539915,0.01439743041992079,0.01439743041992079,1.0,1.0,1.0,70445.35965768079,70445.35965768079,375.35889492590957,375.35889492590957,19475.867521114433,19475.867521114433,2,1.0
2025-04-12 00:00:00+00:00,0,1,0,6329693946,38.81041590372721,357.0,66949,0.9863901235518814,83.91785430908203,1616,351742.0,0.0191806983202695,250325.0,1238.0,50751.0,83.72833251953125,0.0158309582620859,35.58497007687887,0.0,0.0,0.0,0.0,0.0,0.0,191666.5,876.3333333333334,30900.0,83.64932505289714,0.011668005337317733,40.664418664243485,191666.5,876.3333333333334,30900.0,83.64932505289714,0.011668005337317733,40.664418664243485,0.0,40.514131628882446,0.0,30.533117932148635,0.0,31.91661248054225,0.0,21.159427008319565,0.0,0.22635323533592988,0.5248565040896072,0.5248565040896072,217.52752009894866,5.2538013442867815,0.024137415982076176,0.00011033742221942502,0.05426068987166298,0.05426068987166298,1.0,1.0,1.0,100597.4091410907,100597.4091410907,493.9848850589122,493.9848850589122,24805.94341685073,24805.94341685073,3,1.0
2025-04-13 00:00:00+00:00,0,1,0,6329693946,33.30944490432739,275.0,166594,1.60666254330327,83.67654418945312,3676,736723.0,0.0477574728429317,351742.0,1616.0,66949.0,83.91785430908203,0.0191806983202695,38.81041590372721,0.0,0.0,0.0,0.0,0.0,0.0,269531.71428571426,1276.2857142857142,50284.857142857145,83.65321350097656,0.016823643552405444,39.613708127112616,269531.71428571426,1276.2857142857142,50284.857142857145,83.65321350097656,0.016823643552405444,39.613708127112616,0.0,109.44982401874101,0.0,127.47524752475248,0.0,148.8371745657142,0.0,148.98714345797956,0.0,-0.28755515928723385,0.8368327482108552,0.8368327482108552,200.3598041881969,4.422239563012095,0.02206548815990876,4.5212922212833287e-05,0.036829267229354555,0.036829267229354555,1.0,1.0,1.0,225552.96519569727,225552.96519569727,1150.253988515249,1150.253988515249,56064.140313955206,56064.140313955206,4,1.0
2025-04-14 00:00:00+00:00,0,0,0,6329693946,34.652167558670044,247.0,181693,1.3462710856441518,84.07484436035156,4240,867533.0,0.057134959846735,736723.0,3676.0,166594.0,83.67654418945312,0.0477574728429317,33.30944490432739,202528.0,462.0,1306.0,83.49788665771484,0.0062480675987899,48.06598663330078,364532.4285714286,1816.0,76054.42857142857,83.73563602992466,0.02409319958782617,37.697448259308224,344281.875,1646.75,66710.875,83.70591735839844,0.021862558089196637,38.9935155560573,328.35212908832364,17.75565578921794,817.7489177489176,15.342763873775844,13812.174578866769,9.063351621306893,814.4420885875285,19.635643273346304,0.6909847970187011,0.4759997855511733,0.8631447772112119,0.8631447772112119,204.55859467106814,4.774692615056083,0.02333593844595859,3.994329623815325e-05,0.05981445312500037,0.05968874976748937,1.000355036686343,1.0588196911946892,1.102030214832536,297165.1022947333,297165.1022947333,1493.9954819208792,1493.9954819208792,69661.13333526503,69661.13333526503,5,1.0
2025-04-15 00:00:00+00:00,0,0,0,6329693946,36.12745587031046,167.0,201740,1.2081321930850322,84.63855743408203,4429,1015265.0,0.061382170766592,867533.0,4240.0,181693.0,84.07484436035156,0.057134959846735,34.652167558670044,90451.0,432.0,14340.0,83.75565338134766,0.0064925565384328,44.078524589538574,496648.71428571426,2387.0,102825.85714285714,83.86176518031529,0.03193457304899177,36.56158129941849,418835.55555555556,1955.888888888889,81714.11111111111,83.8095440334744,0.02625362616446279,38.6750644798632,1022.4475130180982,17.02897757203472,925.2314814814815,4.457547169811327,1306.8340306834032,11.033446527934476,845.4237387574399,7.433646459628518,1.0541426364551576,0.6704895834410918,0.8518412589240661,0.8518412589240661,229.17945823927766,5.032516940036978,0.021953891375575615,3.5584227060012316e-05,0.1594156537737219,0.10395812988280984,1.0006230930789939,1.1857845106462968,1.216387132540905,356781.4069266051,356781.4069266051,1677.2362269850694,1677.2362269850694,79195.7268709058,79195.7268709058,6,1.0
2025-04-16 00:00:00+00:00,0,0,0,6329693946,35.510701417922974,130.0,257110,1.1823138598210758,85.2631607055664,5493,1254026.0,0.0741741880774498,1015265.0,4429.0,201740.0,84.63855743408203,0.061382170766592,36.12745587031046,89195.0,487.0,16395.0,83.55748748779297,0.0069747893139719,43.59650687376658,663053.1428571428,3102.1428571428573,137213.7142857143,84.10543278285435,0.04153448715806004,35.40646623429798,502354.6,2309.6,99253.7,83.9549057006836,0.031045682355761488,38.358628173669175,1305.9375525533942,23.51711129606555,1027.9260780287475,24.023481598554987,1468.2220189082038,27.446217904233162,963.4613425363839,20.8399558880052,2.041317025027367,0.7379654030266636,0.8513355383787868,0.8513355383787868,228.2537313432836,4.87737202997927,0.021364313467724057,2.8317334011088258e-05,0.2660969325474309,0.15489409475615637,1.001792951596032,1.3198906566340647,1.337850677015383,427672.3238480601,427672.3238480601,1936.9222550794916,1936.9222550794916,93013.17188208703,93013.17188208703,7,1.0
