timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,visits_visits_gained,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-12-12 00:00:00+00:00,0,0,0,3419284255,91.9902572631836,3235,0.0708653405308723,0.0,145404,610025.0,0.0037169728278562,0.0,659004.0,3344.0,154194.0,91.99390411376952,0.0709976181387901,0.0,658274.0,3415.0,159997.0,92.02804565429688,0.0799803435802459,0.0,698236.4285714285,3812.0,172285.42857142858,92.00724792480469,0.07172286723341259,0.0,766923.6470588235,4600.7,231452.66666666666,92.08375930786133,0.08810710087418552,0.0,-7.329622619152509,-7.432276587092035,-5.27086383601757,-3.2595693779904344,-9.120796014925281,-5.70061091871279,-11.39655400483286,-0.1863127403221032,-0.041061820714127784,-0.003964230696651416,0.15621408599428957,0.1738300507001382,188.51205191594562,4.195350916405901,0.022248203294247103,0.0,-0.0059168679373650885,-0.00727496120635276,0.9991691109959918,0.9104379963366462,0.8140418481801012,116101.09824820592,133314.3764513702,769.3018420460983,1030.351802993065,40446.48386054053,69848.89067631132,1,0.5644982186646925
2023-12-13 00:00:00+00:00,0,0,0,3419284255,91.98687744140624,3296,0.0710381716489791,0.0,147587,613363.0,0.0037326363900514,0.0,610025.0,3235.0,145404.0,91.9902572631836,0.0708653405308723,0.0,648832.0,3374.0,155241.0,92.02186584472656,0.0775555148720741,0.0,693169.4285714285,3800.8571428571427,171192.0,92.0022495814732,0.07079181820154187,0.0,758392.5,4556.8,222523.13333333333,92.0767578125,0.08678201933701829,0.0,-5.466592276583149,0.547190688906185,-2.3117960877297006,1.8856259659969066,-4.930398541622383,1.5013342136392493,-8.40345555547557,0.2438866684504326,-0.0380218364397944,-0.003674108408768806,0.16510184759153024,0.1770891450131955,186.0367000303306,4.155913759926281,0.02233243895167629,0.0,-0.006011145455498368,-0.007119571062030008,0.9991908030560922,0.9139982641856671,0.8157429239647166,120967.04576015554,134303.07940941988,792.4523384979716,1057.5083728371683,41206.863687378536,62219.031441332285,1,0.567587100356267
2023-12-14 00:00:00+00:00,0,0,0,3419284255,91.98252868652344,3375,0.0701601654291153,0.0,149348,629324.0,0.0038248410741165,0.0,613363.0,3296.0,147587.0,91.98687744140624,0.0710381716489791,0.0,657856.0,3422.0,154405.0,92.01966094970705,0.0759587287902832,0.0,689093.4285714285,3794.1428571428573,170469.57142857142,91.99694497244697,0.06996345200708932,0.0,751599.4210526316,4521.633333333333,215284.06666666668,92.06986440022787,0.0853430514534314,0.0,-4.337119369588482,2.602211088702777,-1.373465809468144,2.396844660194164,-3.2751530067031465,1.1931945225527985,-7.63383412744747,-1.2359639887725482,-0.04035253205714184,-0.004727581807051351,0.17107201267599326,0.1780679681138226,186.4111374407583,4.2137811434961066,0.022598075648313683,0.0,-0.00563676016671291,-0.006951133719539878,0.9992079989662641,0.9168360289665178,0.8197908419675599,124082.45323075997,133835.78174236754,806.8783729849891,1079.189781761066,42255.47540201383,57329.17902833609,1,0.5823569148197844
2023-12-15 00:00:00+00:00,0,0,0,3419284255,91.97712707519533,3523,0.0649009346961975,0.0,152130,629168.0,0.0038189089116318,0.0,629324.0,3375.0,149348.0,91.98252868652344,0.0701601654291153,0.0,658065.0,3655.0,163338.0,92.01764678955078,0.0691831037402153,0.0,684965.2857142857,3775.285714285714,168868.42857142858,91.99115644182477,0.06935171357222962,0.0,745477.85,4490.3,209662.86666666667,92.06284612019857,0.0839519413808981,0.0,-4.391207555484645,-0.024788503219330682,-3.611491108071141,4.385185185185181,-6.861844763618996,1.8627634785869152,-6.189616846473789,-7.4960352512728035,-0.044034721348751305,-0.005872431868580996,0.17644848728981785,0.17855902815921237,178.53802497162314,4.135698838501029,0.023157673321019385,0.0,-0.004802703857412195,-0.006736948864080302,0.9992212963057844,0.9188271465266012,0.8260882646843647,126613.41002367868,133111.8004102191,813.8138709085822,1094.4884539647255,42917.43185306273,54843.49817417056,1,0.5822125572572063
2023-12-16 00:00:00+00:00,0,1,0,3419284255,91.97138214111328,4969,0.0687902122735977,0.0,240631,835204.0,0.005061010588673,0.0,629168.0,3523.0,152130.0,91.97712707519533,0.0649009346961975,0.0,806985.0,4781.0,211873.0,92.00908660888672,0.0675261616706848,0.0,688996.5714285715,3802.1428571428573,172976.7142857143,91.98577008928571,0.06953229222978861,0.0,749750.5238095238,4506.533333333334,208600.83333333334,92.05584971110027,0.08247435018420217,0.0,3.4968431879155215,32.74737431020014,3.932231750679782,41.04456429179677,13.573225469974947,58.174587523828315,1.8719420320045588,5.992637233355702,-0.040979069745261665,-0.006246046451685583,0.16127218908520513,0.1750054908836202,168.04909456740444,3.4708766913793676,0.020649788889258287,0.0,-0.004359926496223611,-0.006510292197494527,0.9992387271201723,0.918967776011335,0.8430777820557769,114476.02228942439,131210.45845953707,764.6351280974296,1097.9671414382976,39512.9542644996,53884.98521280022,1,0.7728718826632119
2023-12-17 00:00:00+00:00,0,1,0,3419284255,91.96614074707033,5142,0.0740868151187896,0.0,244673,881106.0,0.0053279807244997,0.0,835204.0,4969.0,240631.0,91.97138214111328,0.0687902122735977,0.0,846888.0,4873.0,221543.0,91.9983139038086,0.0699736028909683,0.0,693884.8571428572,3840.5714285714284,176281.0,91.98117392403739,0.07011989397662023,0.0,755721.2272727273,4516.933333333333,208591.83333333334,92.04895502726237,0.08164429614941275,0.0,4.0404398220307725,5.495902797400398,5.520213420890618,3.481585832159384,10.440411116577831,1.6797503231088307,5.878234159573648,7.699646025405249,-0.03497146346823632,-0.005698940171317002,0.13647136284926456,0.17344356157392524,171.3214077386739,3.6011427450403395,0.021015718874911105,0.0,-0.004671096801756145,-0.0062812559066266265,0.9992636407093932,0.918175687147194,0.8588462058426918,95792.15447433658,131074.98121519963,727.3738250159779,1102.6045320163591,36377.48624160125,53878.72813250886,1,0.8153481700828206
2023-12-18 00:00:00+00:00,0,0,0,3419284255,91.9585418701172,4065,0.0723467543721199,0.0,188559,745383.0,0.0044986666445598,0.0,881106.0,5142.0,244673.0,91.96614074707033,0.0740868151187896,0.0,659004.0,3344.0,154194.0,91.99390411376952,0.0709976181387901,0.0,706224.7142857143,3943.5714285714284,181190.2857142857,91.9761221749442,0.07031262772423877,0.0,755271.7391304348,4417.366666666667,203747.6,92.04225362141928,0.0806257161001364,0.0,13.107507693428255,-15.40370852088171,21.561004784688986,-20.945157526254377,22.28685941087203,-22.934283717451454,1.9002556264527515,-2.3486780257454876,-0.03843976836614971,-0.008262689824101166,0.1366570858328242,0.1695806896975795,183.32095425479588,3.9530282138311414,0.021558124734832415,0.0,-0.0052773611886148195,-0.00610160785203967,0.9992815099166619,0.9350604261968154,0.8720868616771246,96435.75259802947,128079.50243082948,721.5664164900465,995.4489710793895,36353.254062741005,48488.637603676885,1,0.68975431453292
2023-12-19 00:00:00+00:00,0,0,0,3419284255,91.94924926757812,4140,0.0740409046411514,0.0,185194,740427.0,0.0044615747237421,0.0,745383.0,4065.0,188559.0,91.9585418701172,0.0723467543721199,0.0,610025.0,3235.0,145404.0,91.9902572631836,0.0708653405308723,0.0,724853.5714285715,4072.8571428571427,186874.57142857142,91.9702638898577,0.07076627973999293,0.0,754653.2083333334,4336.133333333333,199620.1,92.03563919067383,0.07993218253056204,0.0,21.376500963075284,-0.664893081811635,27.975270479134462,1.845018450184499,27.36513438419852,-1.7845873174974436,4.481124462946262,2.3417087383319712,-0.04457862911302346,-0.010105208662614107,0.13467453270006177,0.16603768197326352,178.80391209852692,3.9980939010232457,0.022354815194794677,0.0,-0.006137302943632281,-0.005974542365324229,0.9992896740720115,0.9605121444185271,0.8853290064103463,95826.99037006545,125300.86940535298,710.7392375097623,908.7997288327414,36027.38313261541,44308.624540189296,1,0.6851681858140933
2023-12-20 00:00:00+00:00,0,0,0,3419284255,91.9452896118164,4589,0.0808702781796455,0.0,199346,789719.0,0.0047507666926479,0.0,740427.0,4140.0,185194.0,91.94924926757812,0.0740409046411514,0.0,613363.0,3296.0,147587.0,91.98687744140624,0.0710381716489791,0.0,750047.2857142857,4257.571428571428,194268.7142857143,91.96432277134488,0.07217086638723098,0.0,756055.84,4325.6,199256.46666666667,92.02924041748047,0.07969699030121163,0.0,28.752304915686146,6.657239673863868,39.22936893203883,10.845410628019314,35.07016200613875,7.641716254306297,13.840596263160855,9.223784570965886,-0.04521061128128778,-0.004306349201610438,0.13321869889446805,0.16250517120655855,172.0520697167756,3.9615293934696787,0.023020160825093932,0.0,-0.006439753941119861,-0.005856659308954471,0.999294597610052,0.9920527638729512,0.9055657699803222,96131.72644994606,122862.98372091843,710.1707463777179,903.7964983030499,35661.87545567576,44263.076854980405,1,0.7307814741128025
2023-12-21 00:00:00+00:00,0,0,0,3419284255,91.94309997558594,16906,0.2761999368667602,0.0,875554,2628920.0,0.0157620042356153,0.0,789719.0,4589.0,199346.0,91.9452896118164,0.0808702781796455,0.0,629324.0,3375.0,149348.0,91.98252868652344,0.0701601654291153,0.0,1035703.8571428572,6190.571428571428,298012.4285714286,91.95869009835381,0.10160511944975169,0.0,828089.0769230769,4737.466666666666,222050.26666666666,92.02300160725912,0.08586703414718305,0.0,317.73712745739874,232.89309235310282,400.9185185185185,268.40270211375025,486.2509039290784,339.21322725311774,293.6705895396048,241.53454530378733,-0.04286543488261074,-0.0023814555805024007,0.5996327721474277,0.4667649063422304,155.4929910687881,3.0025755092484196,0.01930889550056821,0.0,-0.00611277988978862,-0.005715687786777328,0.9993011365877873,1.2507155160060952,1.183284370525623,517122.488912608,386522.920433024,3497.3873239042746,2469.2291095405308,187819.14937841246,131116.23113913843,2,1.0
