timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,sort_sort_position,visits_visits_gained,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-15 00:00:00+00:00,1,1,0,6925369391,18.44955003261566,151,535206,0.0081540386961858,98.34668731689452,0.0381048396229743,3910,727245.0,739088.0,4921.0,568076.0,98.34872436523438,0.0411689132452011,17.47662651538849,813187.0,4781.0,590634.0,98.3584442138672,0.0445467047393322,18.001004656155903,602955.7142857143,4017.1428571428573,455283.0,98.35173906598773,0.0393915942737034,17.713374533021426,742826.3,5043.866666666667,520137.2,98.37467956542969,0.05362643500169114,18.189933108765146,-10.568540815335215,-1.6023802307708945,-18.21794603639406,-20.54460475513107,-9.3844919188533,-5.786197621445021,-14.460923998874609,-7.442687651182933,-0.011953114007290377,-0.0020712503929321002,0.16760116595751925,0.23459769700802358,185.94860649450268,1.3588107031485015,0.007305584568213794,2.5369063607934126e-05,-0.0015095302036768317,-0.0018799642832322966,0.9997668048369428,0.8117048552073537,0.734555527930603,111710.0079944799,174265.33925699122,1100.825177504867,1151.3344201952225,80540.37373073596,106184.4240618088,5,0.14644122717887317
2025-06-16 00:00:00+00:00,1,0,0,6925369391,19.463916420936584,154,374167,0.0054856161170079,98.3439483642578,0.0337258130311965,3391,491738.0,727245.0,3910.0,535206.0,98.34668731689452,0.0381048396229743,18.44955003261566,585104.0,3798.0,438021.0,98.35612487792967,0.0388929173350334,17.768777052561443,589617.7142857143,3959.0,446161.0,98.3499995640346,0.03865343651601242,17.95553729993216,720431.4333333333,4878.0,507236.9666666667,98.372900390625,0.05199618563055987,18.210832815181803,-15.957163170991828,-32.3834471189214,-10.716166403370197,-13.27365728900256,-14.577839875257126,-30.08916193017268,-13.285463415680976,-11.492048346366968,-0.012380025836711273,-0.0027849973511462345,0.1797187656746465,0.2234678708907749,144.96992924528303,1.3142171431014946,0.009062773941117359,3.9581803397608456e-05,-0.001717703683029642,-0.0019220642836668272,0.9997672039098221,0.8184230823433638,0.7433898476832601,116156.42313535331,160993.27852978924,498.4684510611999,1005.2441460179105,81820.71569324448,99168.0748856012,5,0.09901850981510321
2025-06-17 00:00:00+00:00,1,0,0,6925369391,19.001895904541016,158,343324,0.0051559871817643,98.34327697753906,0.0336837917566299,3234,464072.0,491738.0,3391.0,374167.0,98.3439483642578,0.0337258130311965,19.463916420936584,544456.0,3868.0,403560.0,98.35458374023438,0.0413958132266998,18.009420196215313,578134.2857142857,3868.4285714285716,437555.85714285716,98.34838431222099,0.03755171916314528,18.09731954397869,696122.4333333333,4764.366666666667,493398.3,98.3711769104004,0.05070539563894267,18.214825680002498,-14.764094802885818,-5.626166779870578,-16.39089968976215,-4.629902683574172,-14.926157200911883,-8.24311069656063,-18.629955227200945,-0.12459677258995772,-0.0114959184059793,-0.0006826924583647198,0.1771915264028687,0.2024530920311143,143.45347758887172,1.3516988276414477,0.009419646107915241,4.094591994048569e-05,-0.0017830984933012532,-0.0019609003629254855,0.9997683000356886,0.8305066149727861,0.740586256944712,109631.82730714453,140932.13906055657,559.8280200990015,991.4304011022222,80028.40444550416,91574.73549498238,5,0.09344756330996298
2025-06-18 00:00:00+00:00,1,0,0,6925369391,19.244577129681904,159,337474,0.0049812383008337,98.34195709228516,0.0317267477512359,3230,450005.0,464072.0,3234.0,343324.0,98.34327697753906,0.0336837917566299,19.001895904541016,538402.0,3783.0,416720.0,98.35333251953124,0.0409448184072971,18.371490359306335,565506.1428571428,3789.4285714285716,426235.0,98.34675925118583,0.036234851926565115,18.22204622546091,686529.9666666667,4679.3,487925.8333333333,98.36940383911133,0.04942421764135355,18.241810375596014,-16.418401120352456,-3.031210674205731,-14.618028020089879,-0.12368583797155441,-19.016605874448068,-1.7039298155678062,-22.51339977714586,-5.810046622820608,-0.011565878811292674,-0.0013421204727692704,0.19523892372299598,0.215042775094815,139.2773135252244,1.3334469219942218,0.009571079339210312,4.2765156752758636e-05,-0.0017648424420940475,-0.001984088969838457,0.9997698004964782,0.8237166188139826,0.7331396156738996,118059.86152430296,147633.30921775085,597.8242832358272,1010.4063078268952,86143.6979472512,95869.51014470232,5,0.09061497079612624
2025-06-19 00:00:00+00:00,1,0,1,6925369391,18.556445519129436,161,354810,0.0054162582521368,98.34104919433594,0.0308768525719642,3280,491250.0,450005.0,3230.0,337474.0,98.34195709228516,0.0317267477512359,19.244577129681904,539030.0,3702.0,402757.0,98.35162353515624,0.0392679646611213,16.821959122367527,558680.4285714285,3729.1428571428573,419385.4285714286,98.34524863106864,0.0350361216281141,18.4698299964269,679881.4,4602.1,484235.6666666667,98.36760711669922,0.048126684874296145,18.242305933910867,-8.86407064541862,9.165453717180917,-11.39924365207996,1.5479876160990669,-11.904696876776821,5.136988330952907,-21.368849039087145,-2.6787970388127524,-0.010751567122346817,-0.0009232050856677887,0.2043956978558584,0.2233759475938468,149.72569338616276,1.384539938164262,0.009244358263977159,3.777385800564159e-05,-0.001681736537379958,-0.001990835764781685,0.9997727047929096,0.8217321853067734,0.7279978190815809,121633.85043673549,151869.1519764312,626.3466240083453,1026.3025819196782,89851.72219074397,98846.27319621987,5,0.0989202440052822
2025-06-20 00:00:00+00:00,1,0,0,6925369391,20.03429098924001,162,353561,0.0051992743513764,98.3392105102539,0.0279503967612981,3449,473352.0,491250.0,3280.0,354810.0,98.34104919433594,0.0308768525719642,18.556445519129436,547365.0,4138.0,422641.0,98.3510971069336,0.0359658934175968,17.09579845269521,548107.1428571428,3630.714285714286,409516.85714285716,98.34355054582868,0.033891050677214284,18.889614644504725,673054.6,4543.466666666666,480980.3,98.36578623453777,0.0468058682357271,18.305149991788724,-13.521690279795017,-3.643358778625949,-16.650555824069603,5.152439024390243,-16.344841129942434,-0.3520193906597857,-22.28638272162874,-9.47783069483995,-0.012085881123180542,-0.0018697015103041892,0.214817888890294,0.2324959620802484,137.20347826086956,1.3388090349075976,0.009755007608283696,4.232420833762543e-05,-0.0014931815011074393,-0.0019931441021719645,0.999773948955625,0.8143576209970823,0.7240769577551628,125616.90870748831,156482.47675953674,623.5634567671872,1040.6397479710718,93058.1758144434,101542.4202125947,5,0.09531622461147753
2025-06-21 00:00:00+00:00,1,1,0,6925369391,24.144422094027203,171,477871,0.0068987999998658,98.33741760253906,0.034786432981491,4684,630970.0,473352.0,3449.0,353561.0,98.3392105102539,0.0279503967612981,20.03429098924001,739088.0,4921.0,568076.0,98.34872436523438,0.0411689132452011,17.47662651538849,532661.7142857143,3596.8571428571427,396630.4285714286,98.34193529401507,0.032979267782398555,19.842156870024546,672214.1,4524.933333333333,482460.4666666667,98.36393483479817,0.04577392085144912,18.470905055746364,-14.628569263741264,33.29826429380249,-4.816094289778505,35.80748042910989,-15.879037311908972,35.159420863726474,-15.503154590688839,24.45774304591808,-0.011496603304506081,-0.0018231870131391048,0.1972354342525938,0.23302671826043514,134.67876200640342,1.320374493588241,0.009801787926474036,3.826550205005809e-05,-0.001411165509898969,-0.0019887650503601206,0.9997763454581189,0.792398901310928,0.7204816010720761,113202.77031244527,156643.84569139197,573.8126441178426,1032.7280221897322,83505.7687651261,101148.80847432085,5,0.12705487299748175
2025-06-22 00:00:00+00:00,1,1,0,6925369391,19.77814467748006,174,490685,0.0073175468422375,98.33512115478516,0.0328572764992713,3696,672879.0,630970.0,4684.0,477871.0,98.33741760253906,0.034786432981491,24.144422094027203,727245.0,3910.0,535206.0,98.34668731689452,0.0381048396229743,18.44955003261566,524895.1428571428,3566.285714285714,390270.28571428574,98.3402829851423,0.032229615907583845,20.03195610500517,670702.0666666667,4449.8,482657.2,98.36207682291666,0.04479932518055036,18.51444564741015,-7.4756100076315395,6.64199565747976,-5.473145780051148,-21.09308283518361,-8.31847923976936,2.681476800224325,-13.771382259116283,-5.545715144884655,-0.011760601627686107,-0.0023352736017390185,0.1687589439158128,0.23319295226868417,182.00676223965377,1.371302625304166,0.007532311906188479,2.9393271723754697e-05,-0.0014623914446094469,-0.0019889585433463426,0.9997784325171011,0.7826055247836464,0.719421905970502,95167.4597729864,156402.99501870782,511.0287405092145,1007.1512025646442,72218.03757916352,101159.22067247353,5,0.1354938521445909
2025-06-23 00:00:00+00:00,1,0,0,6925369391,20.49508476257324,181,356998,0.004862450971798,98.33291625976562,0.0286357942968606,3232,449223.0,672879.0,3696.0,490685.0,98.33512115478516,0.0328572764992713,19.77814467748006,491738.0,3391.0,374167.0,98.3439483642578,0.0337258130311965,19.463916420936584,518821.5714285714,3543.5714285714284,387817.5714285714,98.33870697021484,0.031502470374107285,20.17926586809612,651057.4333333333,4348.233333333334,470833.4666666667,98.36014785766602,0.043683369209368966,18.606513744736638,-8.645864261049585,-33.23866549557945,-4.688882335594224,-12.554112554112551,-4.588592794126689,-27.244973863068978,-15.09235293935719,-12.84793705438223,-0.01121787835008936,-0.0022422253551313,0.1798279038470818,0.22304761323699568,138.9492731209403,1.2583312558298483,0.009053246647749714,4.562330766515867e-05,-0.0017280578613300462,-0.001979102282158291,0.9997820165187002,0.796890634935645,0.721154776846993,99664.1566458783,145216.80658520444,532.4336619670712,969.248613469457,74123.76073259243,93935.68583830523,5,0.09045750386317533
2025-06-24 00:00:00+00:00,1,0,0,6925369391,19.50046185652415,188,339843,0.0047687226589314,98.3321533203125,0.0277787931263446,3021,442296.0,449223.0,3232.0,356998.0,98.33291625976562,0.0286357942968606,20.49508476257324,464072.0,3234.0,343324.0,98.34327697753906,0.0336837917566299,19.001895904541016,515710.71428571426,3513.1428571428573,387320.28571428574,98.33711787632534,0.030658899141209388,20.250489575522288,633178.1666666666,4276.533333333334,460720.2,98.35821863810222,0.04269476868212218,18.635031253243415,-4.6923753210708625,-1.5419958461610372,-6.586270871985156,-6.5284653465346505,-1.0139110577763288,-4.805349049574503,-17.53068262905121,-2.9927620014017053,-0.011311049995932354,-0.0007758739211105592,0.19029440640595321,0.21515443307563767,146.3587028457975,1.3014677322536223,0.008889372771036122,4.408906652435841e-05,-0.0017773764474056902,-0.00195362910014976,0.9997854702731602,0.8144796226955303,0.7180949818343286,104076.29248755994,136231.08948503828,565.2612981311361,985.630788162856,76915.30243412372,91020.89170393492,5,0.0890626529110642
