timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,platform_platform_share,ccu_playing,visits_visits_gained,session_session_length,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-01-28 00:00:00+00:00,0,1,0,3808081382,91.6996078491211,0.0275546256452798,278,165295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,165295.0,91.6996078491211,0.0275546256452798,0.0,0.0,278.0,165295.0,91.6996078491211,0.0275546256452798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016818313812796439,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-01-29 00:00:00+00:00,0,1,0,3808081382,91.03060150146484,0.030331652611494,2043,169980,0.0,0.0,0.0,0.0,0.0,278.0,165295.0,91.6996078491211,0.0275546256452798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.5,167637.5,91.36510467529297,0.028943139128386898,0.0,0.0,1160.5,167637.5,91.36510467529297,0.028943139128386898,0.0,0.0,0.0,0.0,634.8920863309353,0.0,2.8343265071538726,0.0,10.078260550383899,0.0,-0.7295629319996721,0.0,0.0,0.0,0.0,0.012018990357745866,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1248.0434687942563,1248.0434687942563,3312.795269858975,3312.795269858975,0,0.0
2023-01-30 00:00:00+00:00,0,0,0,3808081382,89.06132507324219,0.106857918202877,5273,258106,0.0,0.0,0.0,0.0,0.0,2043.0,169980.0,91.03060150146484,0.030331652611494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531.3333333333335,197793.66666666666,90.59717814127605,0.05491473215321693,0.0,0.0,2531.3333333333335,197793.66666666666,90.59717814127605,0.05491473215321693,0.0,0.0,0.0,0.0,158.1008321096427,0.0,51.84492293210965,0.0,252.29837151169215,0.0,-2.1633125517587226,0.0,0.0,0.0,0.0,0.020429511791621304,0.0,-1.3191413879394551,0.0,1.0,0.0,1.0,0.0,0.0,2533.0531643321924,2533.0531643321924,52284.514632282226,52284.514632282226,0,0.0
2023-01-31 00:00:00+00:00,0,0,0,3808081382,86.3603286743164,0.23427514731884,11519,700184,0.0,0.0,0.0,0.0,0.0,5273.0,258106.0,89.06132507324219,0.106857918202877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4778.25,323391.25,89.53796577453613,0.0997548359446227,0.0,0.0,4778.25,323391.25,89.53796577453613,0.0997548359446227,0.0,0.0,0.0,0.0,118.45249383652572,0.0,171.27769211099317,0.0,119.2398572411384,0.0,-3.0327377194360627,0.0,0.0,0.0,0.0,0.016451366424587787,0.0,-1.7987113952636788,0.0,1.0,0.0,1.0,0.0,0.0,4946.929375885611,4946.929375885611,254796.89703157038,254796.89703157038,0,0.0
2023-02-01 00:00:00+00:00,0,0,0,3808081382,84.89693450927734,0.2457854747772216,11825,857178,0.0,0.0,0.0,0.0,0.0,11519.0,700184.0,86.3603286743164,0.23427514731884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6187.6,430148.6,88.60975952148438,0.12896096371114246,0.0,0.0,6187.6,430148.6,88.60975952148438,0.12896096371114246,0.0,0.0,0.0,0.0,2.656480597274058,0.0,22.42182055002686,0.0,4.913166244952327,0.0,-1.6945213010453486,0.0,0.0,0.0,0.0,0.013795251633556119,0.0,-1.827561950683599,-1.827561950683599,1.0,0.0,1.0,0.0,0.0,5318.403877104483,5318.403877104483,325079.61016926303,325079.61016926303,0,0.0
2023-02-02 00:00:00+00:00,0,0,0,3808081382,84.31880950927734,0.1735431551933288,8295,631398,0.0,0.0,0.0,0.0,0.0,11825.0,857178.0,84.89693450927734,0.2457854747772216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6538.833333333333,463690.1666666667,87.89460118611653,0.13639132895817355,0.0,0.0,6538.833333333333,463690.1666666667,87.89460118611653,0.13639132895817355,0.0,0.0,0.0,0.0,-29.852008456659618,0.0,-26.33992006327741,0.0,-29.392428356221124,0.0,-0.6809727622577699,0.0,0.0,0.0,0.0,0.01313749309073977,0.0,-1.6573139735630507,-1.6573139735630507,1.0,0.0,1.0,0.0,0.0,4834.10022306806,4834.10022306806,302145.0355788867,302145.0355788867,0,0.0
2023-02-03 00:00:00+00:00,0,0,0,3808081382,83.88865661621094,0.1812537163496017,9875,636446,0.0,0.0,0.0,0.0,0.0,8295.0,631398.0,84.31880950927734,0.1735431551933288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7015.428571428572,488369.5714285714,87.32232339041573,0.14280024144266326,0.0,0.0,7015.428571428572,488369.5714285714,87.32232339041573,0.14280024144266326,0.0,0.0,0.0,0.0,19.047619047619047,0.0,0.7994957221910681,0.0,4.443022340859981,0.0,-0.5101505768046688,0.0,0.0,0.0,0.0,0.015515824569838493,0.0,-1.4650295802525066,-1.4650295802525066,1.0,0.0,1.0,0.0,0.0,4589.52851090185,4589.52851090185,283442.87473837193,283442.87473837193,0,0.0
2023-02-04 00:00:00+00:00,0,1,0,3808081382,83.36946105957031,0.8737442493438721,4187,1761371,0.0,0.0,0.0,0.0,0.0,9875.0,636446.0,83.88865661621094,0.1812537163496017,0.0,0.0,278.0,165295.0,91.6996078491211,0.0275546256452798,0.0,0.0,7573.857142857143,716380.4285714285,86.13230242047992,0.263684473399605,0.0,0.0,6661.875,647494.75,86.82821559906006,0.23416824243031437,0.0,0.0,0.0,1406.1151079136691,-57.60000000000001,965.5924256632081,176.7510519352781,3070.9530755085666,382.05590866815464,-9.084168389527768,-0.6189103242121741,0.0,0.0,0.0,0.0,0.0023771241963651065,0.0,-1.2632241930280361,-1.3060915810721239,0.991985172403017,0.0,1.1260471132334449,0.0,0.0,4365.164681478646,4365.164681478646,520988.79024703737,520988.79024703737,0,0.0
2023-02-05 00:00:00+00:00,0,1,0,3808081382,83.25382995605469,0.2657869756221771,18951,1477859,0.0,0.0,0.0,0.0,0.0,4187.0,1761371.0,83.36946105957031,0.8737442493438721,0.0,0.0,2043.0,169980.0,91.03060150146484,0.030331652611494,0.0,0.0,9989.285714285714,903220.2857142857,85.02133505684989,0.29732094811541687,0.0,0.0,8027.333333333333,739757.4444444445,86.43106163872613,0.237681435007188,0.0,0.0,0.0,827.6064610866373,352.6152376403153,769.4311095422992,-16.096097869216653,776.2693514479284,-69.58068956427847,-8.54302994502899,-0.13869719444750128,0.0,0.0,0.0,0.0,0.01282327148715034,0.0,-0.8718749455043177,-1.1525564829508474,0.9836895838701049,0.0,1.2509220507963748,0.0,0.0,5783.867045498194,5783.867045498194,560457.222000955,560457.222000955,0,0.0
2023-02-06 00:00:00+00:00,0,0,0,3808081382,83.07081604003906,0.2556207478046417,12311,994726,0.0,0.0,0.0,0.0,0.0,18951.0,1477859.0,83.25382995605469,0.2657869756221771,0.0,0.0,5273.0,258106.0,89.06132507324219,0.106857918202877,0.0,0.0,10994.714285714286,1008451.7142857143,84.16554805210659,0.318572780915669,0.0,0.0,8455.7,765254.3,86.09503707885742,0.2394753662869334,0.0,0.0,0.0,133.47240659965865,-35.03772887974249,285.39437285456364,-32.69141372756129,139.21554163101737,-3.824953346091331,-6.72627431522791,-0.2198264225348301,0.0,0.0,0.0,0.0,0.012376260019080612,0.0,-0.5037176949637276,-1.0215090202562729,0.9775888472527918,0.0,1.3302945762444853,0.0,0.0,5618.815257685556,5618.815257685556,534520.1845720141,534520.1845720141,0,0.0
