timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,ccu_playing,session_session_length,daily_Estimated Revenue,platform_platform_share,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-08 00:00:00+00:00,0,0,0,7009714292,405,0.0393990116914724,5210,28.891616821289062,192881,0.0464270673692226,86.74823760986328,115178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192881.0,5210.0,115178.0,86.74823760986328,0.0464270673692226,28.891616821289062,192881.0,5210.0,115178.0,86.74823760986328,0.0464270673692226,28.891616821289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.01420072922664,1.6746195052917632,0.0452339402147961,0.0001497890773700452,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-09 00:00:00+00:00,0,0,0,7009714292,402,0.0366284787093008,4927,20.22220836986195,193399,0.0474669896066188,86.97688293457031,614251,192881.0,5210.0,115178.0,86.74823760986328,0.0464270673692226,28.891616821289062,0.0,0.0,0.0,0.0,0.0,0.0,193140.0,5068.5,364714.5,86.8625602722168,0.0469470284879207,24.556912595575504,193140.0,5068.5,364714.5,86.8625602722168,0.0469470284879207,24.556912595575504,0.0,0.268559370803767,0.0,-5.431861804222649,0.0,433.3058396568789,0.0,2.23990507331846,0.0,0.2635734523337874,0.0018964549686995528,0.0018964549686995528,39.24492694805195,0.31485286169194404,0.008021137904312888,0.00010456157378418795,0.0,0.0,1.0,1.0,1.0,366.2813126546316,366.2813126546316,200.11121907579295,200.11121907579295,352897.9026071138,352897.9026071138,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,7009714292,355,0.0381198619438312,3992,19.078476559032097,223827,0.0379788801074028,87.12259674072266,483680,193399.0,4927.0,614251.0,86.97688293457031,0.0474669896066188,20.22220836986195,0.0,0.0,0.0,0.0,0.0,0.0,203369.0,4709.666666666667,404369.6666666667,86.94923909505208,0.04395764569441474,22.730767250061035,203369.0,4709.666666666667,404369.6666666667,86.94923909505208,0.04395764569441474,22.730767250061035,0.0,15.733276800810758,0.0,-18.97706515120763,0.0,-21.256945450638256,0.0,-19.988858737089522,0.0,0.1675316489117673,0.0871275401804376,0.0871275401804376,56.054845980465814,0.4627574785860929,0.00825337360781176,8.523722036131358e-05,0.18717956542968586,0.0,1.0,1.0,1.0,17719.040718955413,17719.040718955413,637.4216291696835,637.4216291696835,258816.65626913068,258816.65626913068,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,7009714292,332,0.037057310524592,3453,24.085723447799683,236857,0.0335614942014217,87.29264068603516,447007,223827.0,3992.0,483680.0,87.12259674072266,0.0379788801074028,19.078476559032097,0.0,0.0,0.0,0.0,0.0,0.0,211741.0,4395.5,415029.0,87.03508949279785,0.041358607821166474,23.0695062994957,211741.0,4395.5,415029.0,87.03508949279785,0.041358607821166474,23.0695062994957,0.0,5.8214603242682905,0.0,-13.502004008016034,0.0,-7.582079060535896,0.0,-11.631164198335764,0.0,0.19517777439366224,0.10450746031267096,0.10450746031267096,68.57469600463232,0.5298719486004725,0.007724693965208676,0.00010168845235457398,0.1778923034667813,0.0,1.0,1.0,1.0,22128.514154065262,22128.514154065262,815.8882684943244,815.8882684943244,212395.5270793934,212395.5270793934,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,7009714292,322,0.0369260215770369,3602,20.48686590648833,251416,0.0289504695683717,87.5439224243164,456861,236857.0,3453.0,447007.0,87.29264068603516,0.0335614942014217,24.085723447799683,0.0,0.0,0.0,0.0,0.0,0.0,219676.0,4236.8,423395.4,87.13685607910156,0.03887698017060752,22.552978220894225,219676.0,4236.8,423395.4,87.13685607910156,0.03887698017060752,22.552978220894225,0.0,6.1467467712586155,0.0,4.3150883289892805,0.0,2.2044397515027736,0.0,-13.739032610933855,0.0,0.28786130916240715,0.1188867042809673,0.1188867042809673,69.7796280877047,0.5503105970730767,0.007884218866966393,8.148560322686346e-05,0.19071273803710528,0.19071273803710528,1.0,1.0,1.0,26116.555649625774,26116.555649625774,790.6855885875245,790.6855885875245,184888.82656153128,184888.82656153128,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,7009714292,319,0.0347329810606207,3992,32.9248522122701,254886,0.0269846245646476,87.70077514648438,613936,251416.0,3602.0,456861.0,87.5439224243164,0.0289504695683717,20.48686590648833,0.0,0.0,0.0,0.0,0.0,0.0,225544.33333333334,4196.0,455152.1666666667,87.23084259033203,0.036894920902947534,24.281623886123537,225544.33333333334,4196.0,455152.1666666667,87.23084259033203,0.036894920902947534,24.281623886123537,0.0,1.3801826454959087,0.0,10.827318156579668,0.0,34.38135450388631,0.0,-6.790373465554344,0.0,0.1791703156819091,0.12160708460431455,0.12160708460431455,63.83320811419985,0.41516637700610975,0.0065022958381723206,0.0001291743094479911,0.18953857421875692,0.18953857421875692,1.0,1.0,1.0,27427.78882569039,27427.78882569039,714.2372154963645,714.2372154963645,182751.34999382813,182751.34999382813,6,1.0
2025-09-14 00:00:00+00:00,0,1,0,7009714292,322,0.031561257613312,3518,222.21779527162252,253140,0.0288486201316118,87.9747543334961,522450,254886.0,3992.0,613936.0,87.70077514648438,0.0269846245646476,32.9248522122701,0.0,0.0,0.0,0.0,0.0,0.0,229486.57142857142,4099.142857142857,464766.14285714284,87.33711569649833,0.035745449364185285,52.55821979833768,229486.57142857142,4099.142857142857,464766.14285714284,87.33711569649833,0.035745449364185285,52.55821979833768,0.0,-0.685012123066786,0.0,-11.873747494989983,0.0,-14.901553256365485,0.0,6.90762090277961,0.0,0.3124022410909033,0.11819269819654359,0.11819269819654359,71.93520886615516,0.48452390750520147,0.0067336458347289985,0.000877841974518638,0.19816643851143792,0.19816643851143792,1.0,1.0,1.0,27123.637077016683,27123.637077016683,700.5579748960655,700.5579748960655,168756.3718435826,168756.3718435826,6,0.9931498787693321
2025-09-15 00:00:00+00:00,0,0,0,7009714292,332,0.0286480543794812,2098,88.04478002631146,242323,0.0191415008157491,87.97557830810547,267090,253140.0,3518.0,522450.0,87.9747543334961,0.0288486201316118,222.21779527162252,192881.0,5210.0,115178.0,86.74823760986328,0.0464270673692226,28.891616821289062,236549.7142857143,3654.5714285714284,486467.85714285716,87.51245008196149,0.03184751128511765,61.00867168476945,231091.125,3849.0,440056.625,87.41692352294922,0.033669955795630764,56.9940398268344,25.6334216433967,-4.273129493560878,-59.731285988483684,-40.363843092666286,131.89324350136312,-48.87740453631927,-58.770816464624744,-33.648470088265384,1.414830700955516,0.000936603478596254,0.11042577742076291,0.11042577742076291,115.44687946641258,0.9072675604943633,0.007855000730088248,0.0003633349566130943,0.18244770595006018,0.18531617664156208,1.0010927696281509,1.0236209386479653,0.9458732728496897,25518.4171331637,25518.4171331637,959.8132258785708,959.8132258785708,171157.2599770144,171157.2599770144,6,0.9507112983843757
2025-09-16 00:00:00+00:00,0,0,0,7009714292,369,0.0254001574316894,2068,31.331766088803608,220955,0.0146043514832854,88.0361557006836,252354,242323.0,2098.0,267090.0,87.97557830810547,0.0191415008157491,88.04478002631146,193399.0,4927.0,614251.0,86.97688293457031,0.0474669896066188,20.22220836986195,240486.2857142857,3246.1428571428573,434768.28571428574,87.66377476283482,0.027152848696070014,62.59575135890397,229964.88888888888,3651.1111111111113,419200.77777777775,87.48572709825304,0.031551555316481274,54.142676078164314,14.248263951726736,-8.817982609987496,-58.02719707732899,-1.4299332697807476,-58.916794600252985,-5.517241379310345,-69.23261490918529,-23.70320580469144,1.217878510213044,0.06885705526820107,0.10483437946342596,0.10483437946342596,106.79313678105365,0.8755721107170454,0.008194804937488856,0.0001418009290935915,0.16204942975725178,0.17100346883138076,1.0020351624257728,1.0457521879806635,0.8605866944976386,24108.226425042365,24108.226425042365,1076.3486243365164,1076.3486243365164,171894.31042851432,171894.31042851432,6,0.8668777414216552
2025-09-17 00:00:00+00:00,0,0,0,7009714292,393,0.0229476198148116,1536,27.346166811491315,204914,0.0254103913903236,88.0887680053711,194406,220955.0,2068.0,252354.0,88.0361557006836,0.0146043514832854,31.331766088803608,223827.0,3992.0,483680.0,87.12259674072266,0.0379788801074028,19.078476559032097,237784.42857142858,2895.285714285714,393443.4285714286,87.80179922921317,0.025357350307915843,63.77684996639815,227459.8,3439.6,396721.3,87.54603118896485,0.030937438923865513,51.463025151497014,-8.449829555862342,-7.259849290579535,-61.52304609218437,-25.725338491295936,-59.80689712206417,-22.962980574906677,-33.09336315746015,73.99191891133032,1.108978957002127,0.05976215597871537,0.1058225291906821,0.1058225291906821,133.32075471698113,1.054046407793958,0.007900950068670367,0.00013345126911886059,0.13027327401298117,0.15725929953835183,1.0029215263876012,1.0453910034715084,0.8196331432061391,24070.37132520671,24070.37132520671,1215.389119217015,1215.389119217015,176968.50145532805,176968.50145532805,6,0.8039437238608633
