timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,session_session_length,daily_Estimated Revenue,sort_sort_position,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-30 00:00:00+00:00,1,1,0,8032151497,1.0115181969088922,81.69013977050781,0.0071046031080186,1056,61.67866516113281,145679,461.0,5758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145679.0,1056.0,5758.0,81.69013977050781,0.0071046031080186,61.67866516113281,145679.0,1056.0,5758.0,81.69013977050781,0.0071046031080186,61.67866516113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.82308420056765,25.295884702205242,0.18336516756381316,0.00042338457688861073,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-31 00:00:00+00:00,1,1,0,8032151497,0.7969107115307839,80.76923370361328,0.0102934120222926,1362,51.35936323801676,139469,454.0,58728,145679.0,1056.0,5758.0,81.69013977050781,0.0071046031080186,61.67866516113281,0.0,0.0,0.0,0.0,0.0,0.0,142574.0,1209.0,32243.0,81.22968673706055,0.008699007565155601,56.519014199574784,142574.0,1209.0,32243.0,81.22968673706055,0.008699007565155601,56.519014199574784,0.0,-4.262796971423477,0.0,28.97727272727273,0.0,919.9374782910733,0.0,44.88370237986912,0.0,-1.1273160622342293,0.030798975347317605,0.030798975347317605,102.32501834189289,2.374789286383218,0.023191268368267806,0.0003682466712412473,0.0,0.0,1.0,1.0,1.0,4391.13311116846,4391.13311116846,216.37467504308356,216.37467504308356,37455.44619945142,37455.44619945142,1,0.9573720302857652
2025-09-01 00:00:00+00:00,0,0,1,8032151497,0.6506234006483917,78.29076385498047,0.0128270993009209,1672,59.387417475382485,154760,393.0,66859,139469.0,1362.0,58728.0,80.76923370361328,0.0102934120222926,51.35936323801676,0.0,0.0,0.0,0.0,0.0,0.0,146636.0,1363.3333333333333,43781.666666666664,80.25004577636719,0.010075038143744034,57.47514862484402,146636.0,1363.3333333333333,43781.666666666664,80.25004577636719,0.010075038143744034,57.47514862484402,0.0,10.963726706293153,0.0,22.760646108663728,0.0,13.845184579757518,0.0,24.614649380992958,0.0,-3.068581605871956,0.052444759721197325,0.052444759721197325,92.50448296473401,2.314687406521089,0.02500747831289261,0.0003837363255302207,-1.6996879577636799,0.0,1.0,1.0,1.0,7690.28978647749,7690.28978647749,308.00216449455894,308.00216449455894,33179.477246233604,33179.477246233604,2,1.0
2025-09-02 00:00:00+00:00,0,0,0,8032151497,0.5831954639449679,76.59574127197266,0.0125769786536693,1634,31.59410572052002,177464,310.0,50028,154760.0,1672.0,66859.0,78.29076385498047,0.0128270993009209,59.387417475382485,0.0,0.0,0.0,0.0,0.0,0.0,154343.0,1431.0,45343.25,79.33646965026855,0.010700523271225351,51.004887898763016,154343.0,1431.0,45343.25,79.33646965026855,0.010700523271225351,51.004887898763016,0.0,14.670457482553623,0.0,-2.2727272727272707,0.0,-25.173873375312226,0.0,-1.9499392760890522,0.0,-2.1650351836489112,0.10783690069350486,0.10783690069350486,108.54067278287462,3.547222610885686,0.03266105658717944,0.0001780300663258672,-1.7761665344238475,0.0,1.0,1.0,1.0,16643.87076373762,16643.87076373762,285.58478017336057,285.58478017336057,27270.361999491928,27270.361999491928,3,1.0
2025-09-03 00:00:00+00:00,0,0,0,8032151497,0.5302771594560589,75.6832504272461,0.0180456563830375,1941,47.405644019444786,198777,251.0,105989,177464.0,1634.0,50028.0,76.59574127197266,0.0125769786536693,31.59410572052002,0.0,0.0,0.0,0.0,0.0,0.0,163229.8,1533.0,57472.4,78.60582580566407,0.01216954989358778,50.28503912289937,163229.8,1533.0,57472.4,78.60582580566407,0.01216954989358778,50.28503912289937,0.0,12.009759725916247,0.0,18.788249694002456,0.0,111.8593587590949,0.0,43.481649130196544,0.0,-1.191307544745246,0.15039364718081938,0.15039364718081938,102.35684860968074,1.8754316444947636,0.018313048400792526,0.00023848536568153811,-1.6187271118164095,-1.6187271118164095,1.0,1.0,1.0,24548.724950595708,24548.724950595708,336.4357293748689,336.4357293748689,35962.979316235746,35962.979316235746,4,1.0
2025-09-04 00:00:00+00:00,0,0,0,8032151497,0.4335678829709344,75.7334976196289,0.0181811340153217,2119,71.38214858373006,206248,241.0,100357,198777.0,1941.0,105989.0,75.6832504272461,0.0180456563830375,47.405644019444786,0.0,0.0,0.0,0.0,0.0,0.0,170399.5,1630.6666666666667,64619.833333333336,78.12710444132487,0.013171480580543434,53.80122403303782,170399.5,1630.6666666666667,64619.833333333336,78.12710444132487,0.013171480580543434,53.80122403303782,0.0,3.758483124305134,0.0,9.170530654301912,0.0,-5.3137589749879695,0.0,0.7507492629170498,0.0,0.06639143020306104,0.1650036202358065,0.1650036202358065,97.28679245283018,2.055122660874071,0.02111441041072959,0.000346096943906298,-1.3353195190429632,-1.3353195190429632,1.0,1.0,1.0,28116.53438637131,28116.53438637131,384.4266726785053,384.4266726785053,36622.17258119276,36622.17258119276,5,1.0
2025-09-05 00:00:00+00:00,0,0,0,8032151497,0.3557748269533699,75.138427734375,0.0181077104061841,2471,98.118567943573,208124,243.0,95253,206248.0,2119.0,100357.0,75.7334976196289,0.0181811340153217,71.38214858373006,0.0,0.0,0.0,0.0,0.0,0.0,175788.7142857143,1750.7142857142858,68996.0,77.70015062604632,0.013876656269920672,60.13227316311428,175788.7142857143,1750.7142857142858,68996.0,77.70015062604632,0.013876656269920672,60.13227316311428,0.0,0.9095845777898459,0.0,16.611609249646065,0.0,-5.085843538567314,0.0,-0.40384504660558873,0.0,-0.7857419820257672,0.1670263131452998,0.1670263131452998,84.19255663430421,2.1849371155017114,0.02594116782497323,0.00047144056669584623,-1.1547900608607697,-1.1547900608607697,1.0,1.0,1.0,29361.340839695353,29361.340839695353,473.3214954924803,473.3214954924803,35379.49660467204,35379.49660467204,6,1.0
2025-09-06 00:00:00+00:00,0,1,0,8032151497,0.3892166862509522,75.2431869506836,0.0210521258413791,3128,103.26352622292258,270791,214.0,128959,208124.0,2471.0,95253.0,75.138427734375,0.0181077104061841,98.118567943573,145679.0,1056.0,5758.0,81.69013977050781,0.0071046031080186,61.67866516113281,193661.85714285713,2046.7142857142858,86596.14285714286,76.77915736607143,0.015869159517543602,66.07296760051281,187664.0,1922.875,76491.375,77.39303016662598,0.014773589966352975,65.52367979559031,85.88197337982825,30.11041494493667,196.2121212121212,26.588425738567388,2139.6491837443555,35.38576212822693,196.3167051178221,16.26056176704389,-7.89195959014839,0.13942162415074844,0.23025243573643248,0.23025243573643248,86.54234579737935,2.0998061414392057,0.024255583126550868,0.00038133891039219246,-0.8480377197265612,-0.974607013520736,0.9920681126035137,1.0319606165426354,1.0741573005400717,43210.093100041864,43210.093100041864,655.0900565134973,655.0900565134973,39017.15534383561,39017.15534383561,7,1.0
2025-09-07 00:00:00+00:00,0,1,0,8032151497,0.4809758754290337,73.1962890625,0.0279227625578641,3478,76.83401472672172,405840,196.0,178538,270791.0,3128.0,128959.0,75.2431869506836,0.0210521258413791,103.26352622292258,139469.0,1362.0,58728.0,80.76923370361328,0.0102934120222926,51.35936323801676,231714.85714285713,2349.0,103711.85714285714,75.69730813162667,0.018387638165482386,69.71220352747066,211905.77777777778,2095.6666666666665,87829.88888888889,76.92672559950087,0.016234609143187542,66.78038367682714,190.9893954929052,49.872041537569565,155.35976505139502,11.189258312020467,204.00830949461928,38.445552462410525,171.26828788541007,32.63630841014824,-9.376026357885948,-2.7203763837451267,0.3926402981519721,0.3926402981519721,116.65421098016671,2.273116798010519,0.019480337629313484,0.00018932048444272935,-0.6619055611746625,-0.9620076497395851,0.9840183309728423,1.0934806005424393,1.1326197017313664,83202.7477667922,83202.7477667922,802.6286501240783,802.6286501240783,49890.91284603952,49890.91284603952,8,1.0
2025-09-08 00:00:00+00:00,0,0,0,8032151497,0.4485746140457433,71.08136749267578,0.0298306439071893,3273,92.98336237127133,458659,180.0,162204,405840.0,3478.0,178538.0,73.1962890625,0.0279227625578641,76.83401472672172,154760.0,1672.0,66859.0,78.29076385498047,0.0128270993009209,59.387417475382485,275129.0,2577.714285714286,117332.57142857143,74.66739436558315,0.020816715966377873,74.51162422688336,236581.1,2213.4,95267.3,76.34218978881836,0.01759421261958772,69.40068154627156,196.36792452830187,13.01473487088507,95.7535885167464,-5.894192064404836,142.6060814550023,-9.148752646495428,132.5595460623561,6.832709855880181,-9.208488980461082,-2.8893835970541515,0.46768141575622907,0.46768141575622907,140.09132559560172,2.8276501957399587,0.02017816960019728,0.00020272830063940899,-0.7859769548688585,-1.0184796420010642,0.9780619939267119,1.1629373605922029,1.1831570082995657,110644.583789166,110644.583789166,843.3533857958556,843.3533857958556,52589.79943349808,52589.79943349808,9,1.0
