timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_rpv,sort_sort_position,visits_visits_gained,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-10 00:00:00+00:00,1,0,0,7926427431,17.804189491271973,0.2417612960645994,450,122749,95.75896453857422,5267,218718,0.0414985194802284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218718.0,5267.0,122749.0,95.75896453857422,0.0414985194802284,17.804189491271973,218718.0,5267.0,122749.0,95.75896453857422,0.0414985194802284,17.804189491271973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.518223234624145,1.781816700610998,0.042908350305498985,8.140211637430664e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-11 00:00:00+00:00,1,0,0,7926427431,16.891278982162476,0.4067886113761628,403,831569,96.5413055419922,7704,550638,0.0554585419595241,218718.0,5267.0,122749.0,95.75896453857422,0.0414985194802284,17.804189491271973,0.0,0.0,0.0,0.0,0.0,0.0,384678.0,6485.5,477159.0,96.1501350402832,0.04847853071987625,17.347734236717223,384678.0,6485.5,477159.0,96.1501350402832,0.04847853071987625,17.347734236717223,0.0,151.75705703234303,0.0,46.26922346686919,0.0,577.4548061491336,0.0,33.63980848990727,0.0,0.8169898319053237,0.6101281664442438,0.6101281664442438,71.46502271252433,0.6621667448320646,0.009264403477758937,3.0675776656144e-05,0.0,0.0,1.0,1.0,1.0,234702.88281143885,234702.88281143885,1723.2192257516162,1723.2192257516162,501211.4286406486,501211.4286406486,2,1.0
2025-07-12 00:00:00+00:00,1,1,0,7926427431,16.472990194956463,0.1427036505497871,287,956294,96.8571548461914,6852,325033,0.0489267371594905,550638.0,7704.0,831569.0,96.5413055419922,0.0554585419595241,16.891278982162476,0.0,0.0,0.0,0.0,0.0,0.0,364796.3333333333,6607.666666666667,636870.6666666666,96.38580830891927,0.048627932866414335,17.056152889463636,364796.3333333333,6607.666666666667,636870.6666666666,96.38580830891927,0.048627932866414335,17.056152889463636,0.0,-40.97156389497274,0.0,-11.059190031152644,0.0,14.998755364858486,0.0,-11.777815588445828,0.0,0.32716493984206174,0.4646291912299348,0.4646291912299348,47.42930103604261,0.3398877961298553,0.007165153012407259,5.068082168313611e-05,0.549095153808592,0.0,1.0,1.0,1.0,169495.02532031236,169495.02532031236,1236.7361615693678,1236.7361615693678,449588.58694180986,449588.58694180986,2,0.5902843610502726
2025-07-13 00:00:00+00:00,1,1,0,7926427431,18.251224637031555,0.1796369531486034,182,994595,96.94464111328124,7548,589721,0.0605944022536277,325033.0,6852.0,956294.0,96.8571548461914,0.0489267371594905,16.472990194956463,0.0,0.0,0.0,0.0,0.0,0.0,421027.5,6842.75,726301.75,96.52551651000977,0.05161955021321768,17.354920826355617,421027.5,6842.75,726301.75,96.52551651000977,0.05161955021321768,17.354920826355617,0.0,81.43419283580438,0.0,10.157618213660236,0.0,4.005149044122414,0.0,23.847216821557417,0.0,0.09032504333701397,0.42354946322905807,0.42354946322905807,78.11908862100941,0.5929251676057414,0.007589011015527913,3.09488617298177e-05,0.3872879028320255,0.0,1.0,1.0,1.0,178325.97162967225,178325.97162967225,1113.8825117578604,1113.8825117578604,408344.1436708136,408344.1436708136,3,1.0
2025-07-14 00:00:00+00:00,1,0,0,7926427431,16.375293533007305,0.1875659322443733,134,1148766,96.92337799072266,9681,809531,0.0767262950539588,589721.0,7548.0,994595.0,96.94464111328124,0.0605944022536277,18.251224637031555,0.0,0.0,0.0,0.0,0.0,0.0,498728.2,7410.4,810794.6,96.60508880615234,0.0566408991813659,17.158995367685954,498728.2,7410.4,810794.6,96.60508880615234,0.0566408991813659,17.158995367685954,0.0,37.273558174119636,0.0,28.259141494435603,0.0,15.500882268662108,0.0,26.62274434659564,0.0,-0.02193326244174232,0.46610324182223295,0.46610324182223295,83.61196033877297,0.7046955561919868,0.008427296396919479,2.0228099115300328e-05,0.27321624755858653,0.27321624755858653,1.0,1.0,1.0,232458.83080816697,232458.83080816697,1594.2657557634486,1594.2657557634486,400941.2840532888,400941.2840532888,4,1.0
2025-07-15 00:00:00+00:00,1,0,0,7926427431,15.58297844727834,0.1971171224292722,105,1185919,96.96121978759766,9135,1094322,0.0725551694631576,809531.0,9681.0,1148766.0,96.92337799072266,0.0767262950539588,16.375293533007305,0.0,0.0,0.0,0.0,0.0,0.0,597993.8333333334,7697.833333333333,873315.3333333334,96.66444396972656,0.05929327756166452,16.896325880951352,597993.8333333334,7697.833333333333,873315.3333333334,96.66444396972656,0.05929327756166452,16.896325880951352,0.0,35.17975222690668,0.0,-5.639913232104121,0.0,3.2341660529646488,0.0,-5.436370396704016,0.0,0.03904300248245285,0.5349963104462578,0.5349963104462578,119.78130472854642,0.9227620750134916,0.00770288046411225,1.423983453448236e-05,0.20699942452567544,0.20699942452567544,1.0,1.0,1.0,319924.4945029478,319924.4945029478,1590.3000241044665,1590.3000241044665,389943.82055094384,389943.82055094384,5,1.0
2025-07-16 00:00:00+00:00,1,0,0,7926427431,13.303841272989908,0.1464451146199937,87,1012278,96.92838287353516,6724,968781,0.053361814469099,1094322.0,9135.0,1185919.0,96.96121978759766,0.0725551694631576,15.58297844727834,0.0,0.0,0.0,0.0,0.0,0.0,650963.4285714285,7558.714285714285,893167.1428571428,96.70214952741351,0.058445925691298015,16.383113794099717,650963.4285714285,7558.714285714285,893167.1428571428,96.70214952741351,0.058445925691298015,16.383113794099717,0.0,-11.47203473931805,0.0,-26.392993979200874,0.0,-14.64189375496977,0.0,-26.453463117889463,0.0,-0.03386602822699203,0.4976230849457039,0.4976230849457039,144.05665427509294,0.9570296331347385,0.006642437509816958,1.3732543826154809e-05,0.15765380859375488,0.15765380859375488,1.0,1.0,1.0,323934.42951254663,323934.42951254663,1497.672829680069,1497.672829680069,359822.38170771085,359822.38170771085,5,0.8852796526068195
2025-07-17 00:00:00+00:00,1,0,0,7926427431,14.18407380580902,0.1678584101201328,73,988704,96.85941314697266,6289,1279294,0.0485260710120201,968781.0,6724.0,1012278.0,96.92838287353516,0.053361814469099,13.303841272989908,218718.0,5267.0,122749.0,95.75896453857422,0.0414985194802284,17.804189491271973,802474.2857142857,7704.714285714285,1016875.0,96.85935647147042,0.05944986162441111,15.865954410462153,729504.75,7400.0,905109.25,96.7218074798584,0.057205943856388275,16.10823379556338,484.9056776305562,32.05192917697601,19.403835200303774,-6.469363474122547,705.4680689863053,-2.3288069087740726,16.934463252694854,-9.062179585139873,1.1491859939182447,-0.07115534636793486,0.5116069156997776,0.5116069156997776,203.38537360890302,1.2939086987524084,0.006360845752777624,1.108741440075121e-05,0.03976276942661691,0.11820784069242843,1.0014221094001026,1.1000261282935933,1.0392252555723238,373219.67513583734,373219.67513583734,1457.4339485155801,1457.4339485155801,334838.8221977639,334838.8221977639,6,1.0
2025-07-18 00:00:00+00:00,1,0,0,7926427431,14.724804957707724,0.1559624250962158,69,1135761,96.74588775634766,7725,1352157,0.0542805083096027,1279294.0,6289.0,988704.0,96.85941314697266,0.0485260710120201,14.18407380580902,550638.0,7704.0,831569.0,96.5413055419922,0.0554585419595241,16.891278982162476,916977.0,7707.714285714285,1060331.0,96.88858250209263,0.059281571102993764,15.556458121254332,798688.3333333334,7436.111111111111,930737.2222222222,96.72448306613498,0.05688089546230099,15.954519480246084,145.56187549715057,5.695563334151488,0.2725856697819218,22.833518842423285,36.58048820963744,14.873713467326933,-2.124169890332084,11.858444703172456,0.211911588730751,-0.117206358098354,0.5085224983850786,0.5085224983850786,175.01384933989127,1.1905284733949542,0.006801601039654434,1.088985529628026e-05,-0.0178304399762776,0.0843508402506475,1.0016965656548968,1.1481036616285452,1.0422053067410635,406150.98669768113,406150.98669768113,1367.6021391878237,1367.6021391878237,322511.3081528219,322511.3081528219,7,1.0
2025-07-19 00:00:00+00:00,1,1,0,7926427431,16.156160791714985,0.1681042652874138,60,1173170,96.65817260742188,5810,1665979,0.0400621332228183,1352157.0,7725.0,1135761.0,96.74588775634766,0.0542805083096027,14.724804957707724,325033.0,6852.0,956294.0,96.8571548461914,0.0489267371594905,16.472990194956463,1108540.7142857143,7558.857142857143,1091313.2857142857,96.8601564679827,0.0580151991120406,15.511196777934119,885417.4,7273.5,954980.5,96.71785202026368,0.05519901923835272,15.974683611392976,412.55687883999474,23.208991263588462,-15.20723876240514,-24.78964401294499,22.678799616017663,3.2937387355262304,-18.11811792757716,-26.19425559850376,-0.20543886415568258,-0.09066550626595227,0.5319623295489203,0.5319623295489203,286.6940285665118,1.4200649351202852,0.0049523897198277145,9.697691924101721e-06,-0.047006879534039155,0.05772913152521481,1.0014713358986633,1.2519978874209094,1.051018657804905,471008.7027271482,471008.7027271482,1388.1441847941364,1388.1441847941364,313582.2836652642,313582.2836652642,8,1.0
