timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,daily_rpv,session_session_length,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-15 00:00:00+00:00,0,1,0,6317476162,0.0311749540269374,521962.0,92.87416076660156,124308,0.873142961027998,24.3473940955268,2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521962.0,2322.0,124308.0,92.87416076660156,0.0311749540269374,24.3473940955268,521962.0,2322.0,124308.0,92.87416076660156,0.0311749540269374,24.3473940955268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.69306930693068,4.198907560997193,0.018679258943439334,4.664582373755764e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-16 00:00:00+00:00,0,0,0,6317476162,0.0323322154581546,540258.0,93.12681579589844,129454,0.7422560911568442,25.461427370707195,2197,0.0,521962.0,2322.0,124308.0,92.87416076660156,0.0311749540269374,24.3473940955268,0.0,0.0,0.0,0.0,0.0,0.0,531110.0,2259.5,126881.0,93.00048828125,0.031753584742546,24.904410733116997,531110.0,2259.5,126881.0,93.00048828125,0.031753584742546,24.904410733116997,0.0,3.505236013349622,0.0,-5.383290267011198,0.0,4.139717475946836,0.0,3.7121512038710502,0.0,0.27204017480364495,0.024358844059778714,0.024358844059778714,245.79526842584167,4.173326638600286,0.016971148275462516,4.71281873521907e-05,0.0,0.0,1.0,1.0,1.0,12937.225668589073,12937.225668589073,88.38834764831844,88.38834764831844,3638.7714959859736,3638.7714959859736,2,1.0
2024-09-17 00:00:00+00:00,0,0,0,6317476162,0.0503164045512676,595777.0,93.4475555419922,137189,0.6942104583935652,27.1225958665212,2563,0.0,540258.0,2197.0,129454.0,93.12681579589844,0.0323322154581546,25.461427370707195,0.0,0.0,0.0,0.0,0.0,0.0,552665.6666666666,2360.6666666666665,130317.0,93.14951070149739,0.0379411913454532,25.64380577758506,552665.6666666666,2360.6666666666665,130317.0,93.14951070149739,0.0379411913454532,25.64380577758506,0.0,10.276386467206411,0.0,16.659080564406015,0.0,5.975095400682862,0.0,55.623126464651705,0.0,0.3444118037888355,0.06955363082740156,0.06955363082740156,232.36232449297972,4.342714483562942,0.01868211968802391,4.5524668360565846e-05,0.2866973876953206,0.0,1.0,1.0,1.0,38439.9037503131,38439.9037503131,186.03852647592475,186.03852647592475,6483.71938010892,6483.71938010892,3,1.0
2024-09-18 00:00:00+00:00,0,0,0,6317476162,0.0447424724698066,665794.0,93.62355041503906,153320,0.649554225069794,21.755384922027588,2656,0.0,595777.0,2563.0,137189.0,93.4475555419922,0.0503164045512676,27.1225958665212,0.0,0.0,0.0,0.0,0.0,0.0,580947.75,2434.5,136067.75,93.26802062988281,0.03964151162654155,24.671700563695694,580947.75,2434.5,136067.75,93.26802062988281,0.03964151162654155,24.671700563695694,0.0,11.752216013709837,0.0,3.6285602809208006,0.0,11.758231345078695,0.0,-11.077763069858648,0.0,0.1883354487189015,0.11134977271245185,0.11134977271245185,250.58110651110275,4.342484069370797,0.017323132512832552,3.267580099283952e-05,0.2568908691406206,0.0,1.0,1.0,1.0,64688.3999203103,64688.3999203103,211.8466426450984,211.8466426450984,12661.368287695712,12661.368287695712,4,1.0
2024-09-19 00:00:00+00:00,0,0,0,6317476162,0.0503153838217258,722389.0,93.89203643798828,167872,0.6164624496391305,26.247928937276203,2982,0.0,665794.0,2656.0,153320.0,93.62355041503906,0.0447424724698066,21.755384922027588,0.0,0.0,0.0,0.0,0.0,0.0,609236.0,2544.0,142428.6,93.3928237915039,0.0417762860655784,24.986946238411797,609236.0,2544.0,142428.6,93.3928237915039,0.0417762860655784,24.986946238411797,0.0,8.50037699348447,0.0,12.274096385542176,0.0,9.49126010957475,0.0,12.455528370006697,0.0,0.28677188779853147,0.13869167282186765,0.13869167282186765,242.16862219242373,4.303187528667505,0.017763428305921737,3.6334845356768786e-05,0.2532485961914069,0.2532485961914069,1.0,1.0,1.0,84495.95998330336,84495.95998330336,305.9583304961642,305.9583304961642,17959.252456602975,17959.252456602975,5,1.0
2024-09-20 00:00:00+00:00,0,0,0,6317476162,0.0446481108665466,768113.0,94.09758758544922,177990,0.5694452117022744,25.7416729927063,3203,0.0,722389.0,2982.0,167872.0,93.89203643798828,0.0503153838217258,26.247928937276203,0.0,0.0,0.0,0.0,0.0,0.0,635715.5,2653.8333333333335,148355.5,93.51028442382812,0.04225492353240643,25.112734030794215,635715.5,2653.8333333333335,148355.5,93.51028442382812,0.04225492353240643,25.112734030794215,0.0,6.329553744589145,0.0,7.411133467471487,0.0,6.02721120853984,0.0,-11.263499400618915,0.0,0.21892287701810176,0.15666183340242096,0.15666183340242096,239.7356429463171,4.3154597704378315,0.0179952918967813,3.3512828815392376e-05,0.2453940255301398,0.2453940255301398,1.0,1.0,1.0,99592.35575233673,99592.35575233673,383.7558685761909,383.7558685761909,21651.712650504116,21651.712650504116,6,1.0
2024-09-21 00:00:00+00:00,0,1,0,6317476162,0.0448422245681285,875606.0,94.26272583007812,209951,0.56775996415168,25.051045258839924,3456,0.0,768113.0,3203.0,177990.0,94.09758758544922,0.0446481108665466,25.7416729927063,0.0,0.0,0.0,0.0,0.0,0.0,669985.5714285715,2768.4285714285716,157154.85714285713,93.61777605329242,0.04262453796608102,25.103921349086455,669985.5714285715,2768.4285714285716,157154.85714285713,93.61777605329242,0.04262453796608102,25.103921349086455,0.0,13.994425299402558,0.0,7.898844832969099,0.0,17.95662677678522,0.0,0.4347635270887551,0.0,0.1754967888830894,0.191646125515967,0.191646125515967,253.28492912930287,4.17050563938424,0.01646090534979424,2.8609918900648264e-05,0.2339899880545459,0.2339899880545459,1.0,1.0,1.0,128400.13891588687,128400.13891588687,463.30150627241187,463.30150627241187,30539.559374842393,30539.559374842393,7,1.0
2024-09-22 00:00:00+00:00,0,1,0,6317476162,0.0419129207730293,825168.0,94.4390869140625,193913,0.4666553318564306,25.963239908218384,2825,0.0,875606.0,3456.0,209951.0,94.26272583007812,0.0448422245681285,25.051045258839924,521962.0,2322.0,124308.0,92.87416076660156,0.0311749540269374,24.3473940955268,713300.7142857143,2840.285714285714,167098.42857142858,93.84133693150112,0.04415853321552271,25.334756465185254,689383.375,2775.5,161749.625,93.72043991088867,0.04253558581694955,25.211336168977947,58.089669362903805,-5.760353400958884,21.662360034453055,-18.258101851851848,55.99398268816167,-7.638925273039899,34.44421036455587,-6.532467609069503,1.6849962729608814,0.18709525152316164,0.18991726246291388,0.18991726246291388,291.9915074309979,4.255329682230267,0.014568313788586694,3.146414844500749e-05,0.21575682503836358,0.22443589710054407,1.0012899749587967,1.034693815013619,1.0381550498812326,130925.80336744439,130925.80336744439,429.3999135005568,429.3999135005568,31117.872801597936,31117.872801597936,7,0.9423964659904112
2024-09-23 00:00:00+00:00,0,0,0,6317476162,0.0401941761374473,633699.0,94.50443267822266,145513,0.3313100673398886,26.030704100926716,2488,0.0,825168.0,2825.0,193913.0,94.4390869140625,0.0419129207730293,25.963239908218384,540258.0,2197.0,129454.0,93.12681579589844,0.0323322154581546,25.461427370707195,726649.4285714285,2881.8571428571427,169392.57142857142,94.03813934326172,0.045281670455421676,25.416081712359475,683196.2222222222,2743.5555555555557,159945.55555555556,93.80755021837022,0.04227542918589375,25.30237705030559,17.29562542340881,-23.203638531789895,13.2453345471097,-11.929203539823007,12.405178673505656,-24.959646851938754,24.31618300165017,-4.100751281184866,1.4792912981621553,0.06919355776875413,0.1813073117683316,0.1813073117683316,254.5998392928887,4.354900559396347,0.017098011187926934,4.107733012612706e-05,0.18472834995815673,0.20937131245930848,1.0024581083756554,1.0636028200036978,1.0711108397340892,123868.4704613908,123868.4704613908,412.9410100459601,412.9410100459601,29606.988292931415,29606.988292931415,7,0.723726196485634
2024-09-24 00:00:00+00:00,0,0,0,6317476162,0.0460321269929409,694491.0,94.5769271850586,158401,0.3361093875816388,26.364643732706707,2651,0.0,633699.0,2488.0,145513.0,94.50443267822266,0.0401941761374473,26.030704100926716,595777.0,2563.0,137189.0,93.4475555419922,0.0503164045512676,27.1225958665212,740751.4285714285,2894.4285714285716,172422.85714285713,94.19947814941406,0.04466963080423214,25.307802836100258,684325.7,2734.3,159791.1,93.88448791503906,0.04265109896659846,25.4086037185457,16.568951134400955,9.593198032504402,3.433476394849788,6.5514469453376245,15.46188105460351,8.85694061698954,-8.51467348777163,14.524369987159957,1.2085619966365924,0.07671016563082222,0.17073583498384737,0.17073583498384737,261.8744343891403,4.384357520738375,0.01673589979924496,3.796248730396708e-05,0.15808650425502246,0.1942360617897727,1.0033550828403097,1.0824544928992563,1.0473266079079102,116838.91979040582,116838.91979040582,390.4231465132841,390.4231465132841,27918.009187420386,27918.009187420386,7,0.7931546837276127
