timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2019-11-04 00:00:00+00:00,0,0,0,210851291,8559,0.0,91.29435729980467,309119,1.7430884838104248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8559.0,309119.0,91.29435729980467,1.7430884838104248,0.0,0.0,8559.0,309119.0,91.29435729980467,1.7430884838104248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02768827639751553,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2019-11-05 00:00:00+00:00,0,0,0,210851291,8590,0.0,91.29495239257812,427212,1.72382652759552,0.0,0.0,0.0,0.0,8559.0,309119.0,91.29435729980467,1.7430884838104248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8574.5,368165.5,91.2946548461914,1.7334575057029724,0.0,0.0,8574.5,368165.5,91.2946548461914,1.7334575057029724,0.0,0.0,0.0,0.0,0.3621918448416972,0.0,38.203086837108046,0.0,-1.1050475287862516,0.0,0.0006518396000076976,0.0,0.0,0.0,0.0,0.02010706603029402,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.920310216782973,21.920310216782973,83504.36111066295,83504.36111066295,0,0.0
2019-11-06 00:00:00+00:00,0,0,0,210851291,7502,0.0,91.2945327758789,397989,1.8048231601715088,0.0,0.0,0.0,0.0,8590.0,427212.0,91.29495239257812,1.72382652759552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8217.0,378106.6666666667,91.29461415608723,1.7572460571924846,0.0,0.0,8217.0,378106.6666666667,91.29461415608723,1.7572460571924846,0.0,0.0,0.0,0.0,-12.665890570430738,0.0,-6.8403977416364725,0.0,4.698653331954872,0.0,-0.0004596274911339293,0.0,0.0,0.0,0.0,0.01884971984220709,0.0,8.773803710108431e-05,0.0,1.0,0.0,1.0,0.0,0.0,619.4021310909416,619.4021310909416,61505.84969198729,61505.84969198729,0,0.0
2019-11-07 00:00:00+00:00,0,0,0,210851291,7655,0.0,91.29476928710938,350959,1.771047830581665,0.0,0.0,0.0,0.0,7502.0,397989.0,91.2945327758789,1.8048231601715088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8076.5,371319.75,91.29465293884277,1.7606965005397797,0.0,0.0,8076.5,371319.75,91.29465293884277,1.7606965005397797,0.0,0.0,0.0,0.0,2.0394561450279847,0.0,-11.816909512574469,0.0,-1.8713927400307862,0.0,0.0002590639584632015,0.0,0.0,0.0,0.0,0.02181160246181901,0.0,8.163452146983307e-05,0.0,1.0,0.0,1.0,0.0,0.0,578.5617224347517,578.5617224347517,52021.42490279045,52021.42490279045,0,0.0
2019-11-08 00:00:00+00:00,0,0,0,210851291,10092,0.0,91.2957763671875,419659,1.9701932668685913,0.0,0.0,0.0,0.0,7655.0,350959.0,91.29476928710938,1.771047830581665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8479.6,380987.6,91.29487762451171,1.802595853805542,0.0,0.0,8479.6,380987.6,91.29487762451171,1.802595853805542,0.0,0.0,0.0,0.0,31.835401698236442,0.0,19.574936103647445,0.0,11.244497909552287,0.0,0.001103108191169433,0.0,0.0,0.0,0.0,0.024048038888624123,0.0,0.00026550292968275643,0.00026550292968275643,1.0,0.0,1.0,0.0,0.0,1031.2605393400834,1031.2605393400834,49970.072091202754,49970.072091202754,0,0.0
2019-11-09 00:00:00+00:00,0,1,0,210851291,16718,0.0,91.29380798339844,730627,1.626307249069214,0.0,0.0,0.0,0.0,10092.0,419659.0,91.2957763671875,1.9701932668685913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9852.666666666666,439260.8333333333,91.29469935099284,1.7732144196828206,0.0,0.0,9852.666666666666,439260.8333333333,91.29469935099284,1.7732144196828206,0.0,0.0,0.0,0.0,65.65596512088783,0.0,74.10016227460868,0.0,-17.45443066841593,0.0,-0.0021560513173590756,0.0,0.0,0.0,0.0,0.0228816853446624,0.0,-1.0899134978013962e-06,-1.0899134978013962e-06,1.0,0.0,1.0,0.0,0.0,3487.502124252638,3487.502124252638,149573.4763337627,149573.4763337627,0,0.0
2019-11-10 00:00:00+00:00,0,1,0,210851291,16514,0.0,91.29203033447266,802495,1.6014026403427124,0.0,0.0,0.0,0.0,16718.0,730627.0,91.29380798339844,1.626307249069214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10804.285714285714,491151.4285714286,91.29431806291852,1.748669879777091,0.0,0.0,10804.285714285714,491151.4285714286,91.29431806291852,1.748669879777091,0.0,0.0,0.0,0.0,-1.220241655700438,0.0,9.836482911252942,0.0,-1.5313593873946818,0.0,-0.0019471735981269056,0.0,0.0,0.0,0.0,0.02057829571736183,0.0,-0.0002866472516695076,-0.0002866472516695076,1.0,0.0,1.0,0.0,0.0,4058.892817599635,4058.892817599635,193628.40133776618,193628.40133776618,0,0.0
2019-11-11 00:00:00+00:00,0,0,1,210851291,12035,0.0,91.291015625,533536,1.6399272680282593,0.0,0.0,0.0,0.0,16514.0,802495.0,91.29203033447266,1.6014026403427124,0.0,0.0,8559.0,309119.0,91.29435729980467,1.7430884838104248,0.0,0.0,11300.857142857143,523211.0,91.29384068080357,1.7339325632367815,0.0,0.0,10958.125,496449.5,91.29390525817871,1.735077053308487,0.0,0.0,0.0,40.61222105386144,-27.12244156473296,72.59890204096158,-33.51534900528975,-5.918300576265246,2.405680290204981,-0.003660330061472372,-0.0011114984177051923,0.0,0.0,0.0,0.0,0.022557011041408562,0.0,-0.0006348746163543661,-0.00046630132765373614,0.9999992926430854,0.0,0.9993403808381172,0.0,0.0,3782.91253769594,3782.91253769594,179890.3007930905,179890.3007930905,0,0.0
2019-11-12 00:00:00+00:00,0,0,0,210851291,8459,0.0,91.29153442382812,406283,1.7204034328460691,0.0,0.0,0.0,0.0,12035.0,533536.0,91.291015625,1.6399272680282593,0.0,0.0,8590.0,427212.0,91.29495239257812,1.72382652759552,0.0,0.0,11282.142857142857,520221.14285714284,91.29335239955357,1.7334435497011458,0.0,0.0,10680.444444444445,486431.0,91.29364183213976,1.733446651034885,0.0,0.0,0.0,-1.5250291036088437,-29.713336103032816,-4.898972875293762,-23.850874167816226,-0.19857536095732042,4.907300853321939,-0.003743874836914518,0.0005682912218363256,0.0,0.0,0.0,0.0,0.020820411337881876,0.0,-0.0007231576102156781,-0.00048446655273671834,0.9999968296523134,0.0,0.9999982108859611,0.0,0.0,3635.3242328268016,3635.3242328268016,170935.04134538944,170935.04134538944,0,0.0
2019-11-13 00:00:00+00:00,0,0,0,210851291,7488,0.0,91.29371643066406,397858,1.7243245840072632,0.0,0.0,0.0,0.0,8459.0,406283.0,91.29153442382812,1.7204034328460691,0.0,0.0,7502.0,397989.0,91.2945327758789,1.8048231601715088,0.0,0.0,11280.142857142857,520202.4285714286,91.2932357788086,1.7219437531062536,0.0,0.0,10361.2,477573.7,91.29364929199218,1.732534444332123,0.0,0.0,0.0,-0.18661690215941995,-11.47889821491902,-0.03291548258871346,-2.073677707410848,-4.460191886976672,0.22792044507300435,-0.0008941885017876849,0.0023901524382363704,0.0,0.0,0.0,0.0,0.01882073800014578,0.0,-0.0005155290876112082,-0.0003482703006581922,0.9999954705153448,0.0,0.9938871684424422,0.0,0.0,3573.00355443428,3573.00355443428,163574.97960469927,163574.97960469927,0,0.0
