timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,daily_Estimated Revenue,ratings_like_ratio,ccu_playing,platform_platform_share,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-12-22 00:00:00+00:00,0,1,0,6594435384,14239,8.891434842889959,27728.0,98.54352569580078,253,0.0029874159954488,0.5705337026621082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27728.0,253.0,14239.0,98.54352569580078,0.0029874159954488,8.891434842889959,27728.0,253.0,14239.0,98.54352569580078,0.0029874159954488,8.891434842889959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.16535433070867,1.947191011235955,0.01776685393258427,0.0003206547240394518,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-12-23 00:00:00+00:00,0,0,0,6594435384,35529,11.17594575881958,34841.0,98.7253189086914,313,0.0036179784219712,0.4815672613753003,0.0,27728.0,253.0,14239.0,98.54352569580078,0.0029874159954488,8.891434842889959,0.0,0.0,0.0,0.0,0.0,0.0,31284.5,283.0,24884.0,98.6344223022461,0.00330269720871,10.033690300854769,31284.5,283.0,24884.0,98.6344223022461,0.00330269720871,10.033690300854769,0.0,25.65276976341604,0.0,23.715415019762844,0.0,149.51892689093333,0.0,21.1072856101405,0.0,0.18448011841165624,0.1607713255631355,0.1607713255631355,110.95859872611464,0.9806079369546862,0.008809456797072896,0.0003207607415997813,0.0,0.0,1.0,1.0,1.0,5029.650534579912,5029.650534579912,42.42640687119285,42.42640687119285,15054.303371461598,15054.303371461598,2,1.0
2024-12-24 00:00:00+00:00,0,0,0,6594435384,54845,9.38068825006485,45748.0,98.7800064086914,334,0.0053918729536235,0.3862460328861814,0.0,34841.0,313.0,35529.0,98.7253189086914,0.0036179784219712,11.17594575881958,0.0,0.0,0.0,0.0,0.0,0.0,36105.666666666664,300.0,34871.0,98.68295033772786,0.003999089123681167,9.816022950591462,36105.666666666664,300.0,34871.0,98.68295033772786,0.003999089123681167,9.816022950591462,0.0,31.305071611032975,0.0,6.709265175718859,0.0,54.36685524501112,0.0,49.02999202205913,0.0,0.055393591638419615,0.2513822255618739,0.2513822255618739,136.56119402985075,0.8341173467527259,0.006089778652955549,0.00020504684801995343,0.1182403564453124,0.0,1.0,1.0,1.0,9076.32284206183,9076.32284206183,42.035699113967404,42.035699113967404,20310.995347348195,20310.995347348195,3,1.0
2024-12-25 00:00:00+00:00,0,0,1,6594435384,65857,9.227345963319143,58213.0,98.74176788330078,507,0.0066628623753786,0.3249228168688394,128.0,45748.0,334.0,54845.0,98.7800064086914,0.0053918729536235,9.38068825006485,0.0,0.0,0.0,0.0,0.0,0.0,41632.5,351.75,42617.5,98.6976547241211,0.0046650324366055256,9.668853703773383,41632.5,351.75,42617.5,98.6976547241211,0.0046650324366055256,9.668853703773383,0.0,27.24709276908279,0.0,51.796407185628745,0.0,20.07840277144681,0.0,23.572317684172383,0.0,-0.03871079460393556,0.3196545137554361,0.3196545137554361,114.59251968503936,0.8839169121443105,0.007698381365969206,0.00015850733437522147,0.06494140624998528,0.0,1.0,1.0,1.0,13308.016543923191,13308.016543923191,109.0424229371303,109.0424229371303,22694.876154468584,22694.876154468584,4,1.0
2024-12-26 00:00:00+00:00,0,0,0,6594435384,83297,10.698803544044496,86130.0,98.62640380859376,581,0.0068625174462795,0.3431412946326687,144.0,58213.0,507.0,65857.0,98.74176788330078,0.0066628623753786,9.227345963319143,0.0,0.0,0.0,0.0,0.0,0.0,50532.0,397.6,50753.4,98.68340454101562,0.00510452943854032,9.874843671827605,50532.0,397.6,50753.4,98.68340454101562,0.00510452943854032,9.874843671827605,0.0,47.95664198718499,0.0,14.595660749506912,0.0,26.4816192659854,0.0,2.9965360178935807,0.0,-0.11683411911701524,0.4550852693921999,0.4550852693921999,147.98969072164948,1.0339984153280992,0.006974957381929939,0.00012421548041987782,0.018220520019536567,0.018220520019536567,1.0,1.0,1.0,22996.368832926644,22996.368832926644,139.3872304050841,139.3872304050841,26781.661576534043,26781.661576534043,5,1.0
2024-12-27 00:00:00+00:00,0,0,0,6594435384,124620,10.230595231056212,122715.0,98.6845245361328,943,0.0100269000977277,0.3447456852531381,156.0,86130.0,581.0,83297.0,98.62640380859376,0.0068625174462795,10.698803544044496,0.0,0.0,0.0,0.0,0.0,0.0,62562.5,488.5,63064.5,98.68359120686848,0.005924924548404883,9.934135598365707,62562.5,488.5,63064.5,98.68359120686848,0.005924924548404883,9.934135598365707,0.0,42.47648902821317,0.0,62.30636833046472,0.0,49.60922962411611,0.0,46.111105381069216,0.0,0.05893019038982761,0.5744166919919597,0.5744166919919597,129.9947033898305,0.9847056274624661,0.00756694297108834,8.336806309736474e-05,0.010571725027911769,0.010571725027911769,1.0,1.0,1.0,35936.94429274698,35936.94429274698,255.18601058835495,255.18601058835495,38512.14115963951,38512.14115963951,6,1.0
2024-12-28 00:00:00+00:00,0,1,0,6594435384,328622,9.831860343615212,309730.0,98.83457946777344,2830,0.0313796401023864,0.5588479629603441,152.0,122715.0,943.0,124620.0,98.6845245361328,0.0100269000977277,10.230595231056212,0.0,0.0,0.0,0.0,0.0,0.0,97872.14285714286,823.0,101001.28571428571,98.70516095842633,0.009561312484687957,9.919524847687066,97872.14285714286,823.0,101001.28571428571,98.70516095842633,0.009561312484687957,9.919524847687066,0.0,152.39783237583015,0.0,200.10604453870627,0.0,163.69924570694914,0.0,212.95455022532502,0.0,0.1520551802280723,1.0116587719894217,1.0116587719894217,109.40657011656658,0.9425085888693122,0.008611691817066973,3.174322345394943e-05,0.022784641810826376,0.022784641810826376,1.0,1.0,1.0,99013.21185483038,99013.21185483038,915.1493502884288,915.1493502884288,106350.29612670618,106350.29612670618,7,1.0
2024-12-29 00:00:00+00:00,0,1,0,6594435384,547868,10.697019537289938,570229.0,98.90523529052734,4216,0.0454640723764896,0.570346640795373,159.0,309730.0,2830.0,328622.0,98.83457946777344,0.0313796401023864,9.831860343615212,27728.0,253.0,14239.0,98.54352569580078,0.0029874159954488,8.891434842889959,175372.2857142857,1389.142857142857,177234.0,98.756833757673,0.01562940625340807,10.177465518315632,156916.75,1247.125,156859.625,98.73017024993896,0.014049157471163162,10.016711683887424,1956.5096653202538,84.10518838988796,1566.403162055336,48.975265017667844,3747.6578411405294,66.71677489638552,1421.8527465124428,44.883982825004075,0.3670556661866886,0.07148896988724562,1.2140692894411647,1.2140692894411647,135.22148446763103,1.040812676022918,0.007695270219705805,1.8759131468512598e-05,0.021130425589427553,0.03186262221563956,1.0002700644358915,1.1176135480392355,1.1124799679616715,190507.80717391687,190507.80717391687,1468.6428562743613,1468.6428562743613,186160.81401069614,186160.81401069614,8,1.0
2024-12-30 00:00:00+00:00,0,0,0,6594435384,630493,11.930272658665976,735581.0,98.87370300292967,4959,0.0547196604311466,0.4560379646002129,103.0,570229.0,4216.0,547868.0,98.90523529052734,0.0454640723764896,10.697019537289938,34841.0,313.0,35529.0,98.7253189086914,0.0036179784219712,11.17594575881958,275478.0,2052.8571428571427,262228.85714285716,98.77803148542132,0.02292964654043313,10.285226504007976,221212.77777777778,1659.5555555555557,209485.55555555556,98.7461183336046,0.018568102244494657,10.22932956997393,2011.251112195402,28.99747294507995,1484.3450479233227,17.623339658444024,1674.586957133609,15.081187439310195,1412.437445697463,20.358026834928356,0.15029993914277284,-0.031881312960879704,1.18712356121297,1.18712356121297,148.30262096774194,1.166674068270277,0.007865261207878267,1.6218820823057083e-05,0.029150009155274124,0.03187268575032669,1.0003231838613535,1.2453078107302422,1.234894457091416,262606.90054136893,262606.90054136893,1848.834370022847,1848.834370022847,235051.62133141686,235051.62133141686,9,1.0
2024-12-31 00:00:00+00:00,0,0,0,6594435384,856366,11.921804587046305,991703.0,98.8334503173828,6084,0.0737027302384376,0.4226177657306223,90.0,735581.0,4959.0,630493.0,98.87370300292967,0.0547196604311466,11.930272658665976,45748.0,334.0,54845.0,98.7800064086914,0.0053918729536235,9.38068825006485,410614.4285714286,2874.285714285714,376731.85714285716,98.78566632952008,0.03268834043826371,10.648243123576753,298261.8,2102.0,274173.6,98.75485153198242,0.02408156504388895,10.398577071681167,2067.7515956981724,34.81900701622256,1721.556886227545,22.686025408348453,1461.4294830887045,35.82482279739823,1266.922605045936,34.69149782312204,0.054103973703223396,-0.040711214735911216,1.1646455498074793,1.1646455498074793,162.97502054231717,1.1580350480576669,0.0071044306938497165,1.2021535243425765e-05,0.035369873046876624,0.027943697842682042,1.0003120332526416,1.376691311362798,1.357400998593273,347369.2780475684,347369.2780475684,2235.1645726135393,2235.1645726135393,301588.9395239082,301588.9395239082,10,1.0
