timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ccu_playing,ratings_like_ratio,visits_visits_gained,daily_rpv,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-12 00:00:00+00:00,1,0,0,3936365689,0.0591956600546836,787467,4296.0,90.57910919189452,186225.0,0.0310651800599412,52.27969868977865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787467.0,4296.0,186225.0,90.57910919189452,0.0591956600546836,52.27969868977865,787467.0,4296.0,186225.0,90.57910919189452,0.0591956600546836,52.27969868977865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.25971608098675,4.228555625959856,0.023068744428812304,6.63896167079534e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-07-13 00:00:00+00:00,1,1,0,3936365689,0.0669023171067237,7363448,4573.0,90.7588348388672,422878.0,0.287273165326339,15.2703058719635,0.0,787467.0,4296.0,186225.0,90.57910919189452,0.0591956600546836,52.27969868977865,0.0,0.0,0.0,0.0,0.0,0.0,4075457.5,4434.5,304551.5,90.66897201538086,0.06304898858070365,33.77500228087107,4075457.5,4434.5,304551.5,90.66897201538086,0.06304898858070365,33.77500228087107,0.0,835.0802001861664,0.0,6.447858472998136,0.0,127.0790710162438,0.0,13.018956195303621,0.0,0.1984184306691894,1.1409567534574694,1.1409567534574694,1609.8487101005685,17.41265941321276,0.010813968061785995,2.073798008509803e-06,0.0,0.0,1.0,1.0,1.0,4649920.758053894,4649920.758053894,195.86857838867365,195.86857838867365,167338.94108814004,167338.94108814004,2,1.0
2024-07-14 00:00:00+00:00,1,1,0,3936365689,0.0600717440247535,6703558,4168.0,90.82107543945312,358166.0,0.257609945584574,16.11347508430481,0.0,7363448.0,4573.0,422878.0,90.7588348388672,0.0669023171067237,15.2703058719635,0.0,0.0,0.0,0.0,0.0,0.0,4951491.0,4345.666666666667,322423.0,90.71967315673828,0.062056573728720275,27.887826548682323,4951491.0,4345.666666666667,322423.0,90.71967315673828,0.062056573728720275,27.887826548682323,0.0,-8.961698378259753,0.0,-8.856330636343756,0.0,-15.302758715279586,0.0,-10.209770569043153,0.0,0.06857800752557708,0.7313379501996278,0.7313379501996278,1607.953466059007,18.716291562315902,0.011637029653764864,2.4037194398236534e-06,0.12098312377930591,0.0,1.0,1.0,1.0,3621213.278371905,3621213.278371905,207.017712607722,207.017712607722,122308.34860711676,122308.34860711676,2,0.9103830162174025
2024-07-15 00:00:00+00:00,1,0,0,3936365689,0.0567506104707717,6433239,3869.0,90.8843765258789,350162.0,0.2439105683506006,15.799535830815634,0.0,6703558.0,4168.0,358166.0,90.82107543945312,0.0600717440247535,16.11347508430481,0.0,0.0,0.0,0.0,0.0,0.0,5321928.0,4226.5,329357.75,90.76084899902344,0.060730082914233124,24.86575386921565,5321928.0,4226.5,329357.75,90.76084899902344,0.060730082914233124,24.86575386921565,0.0,-4.032470517895126,0.0,-7.173704414587334,0.0,-2.234717979931089,0.0,-5.528611842221986,0.0,0.06969867524635465,0.5727467803721414,0.5727467803721414,1662.3356589147286,18.37212669528191,0.011049139971955918,2.455922028529269e-06,0.09780426025389925,0.0,1.0,1.0,1.0,3048117.12737235,3048117.12737235,292.18772504447674,292.18772504447674,100822.87003907727,100822.87003907727,2,0.8736720894885114
2024-07-16 00:00:00+00:00,1,0,0,3936365689,0.0487493425607681,5594428,3340.0,90.91749572753906,288780.0,0.2095682195299881,16.683681805928547,0.0,6433239.0,3869.0,350162.0,90.8843765258789,0.0567506104707717,15.799535830815634,0.0,0.0,0.0,0.0,0.0,0.0,5376428.0,4049.2,321242.2,90.79217834472657,0.058333934843540124,23.22933945655823,5376428.0,4049.2,321242.2,90.79217834472657,0.058333934843540124,23.22933945655823,0.0,-13.038704142656599,0.0,-13.67278366502972,0.0,-17.529600584872142,0.0,-14.098998836540266,0.0,0.03644102861917187,0.49150818633783905,0.49150818633783905,1674.477102663873,19.372562599339986,0.011565857864610207,2.9821956460486935e-06,0.08023147583006712,0.08023147583006712,1.0,1.0,1.0,2642558.3752559754,2642558.3752559754,470.32616342278897,470.32616342278897,89180.99069420568,89180.99069420568,2,0.7597565705631384
2024-07-17 00:00:00+00:00,1,0,0,3936365689,0.0455150604248046,5035794,2998.0,90.93579864501952,259667.0,0.186713985292664,16.680789589881897,0.0,5594428.0,3340.0,288780.0,90.91749572753906,0.0487493425607681,16.683681805928547,0.0,0.0,0.0,0.0,0.0,0.0,5319655.666666667,3874.0,310979.6666666667,90.81611506144206,0.05619745577375087,22.13791447877884,5319655.666666667,3874.0,310979.6666666667,90.81611506144206,0.05619745577375087,22.13791447877884,0.0,-9.985542757901255,0.0,-10.239520958083837,0.0,-10.081376826650047,0.0,-6.63451436690009,0.0,0.020131348024921003,0.4450783355213614,0.4450783355213614,1679.1577192397465,19.39320208882111,0.01154551196142767,3.3124441304465126e-06,0.06636374337332522,0.06636374337332522,1.0,1.0,1.0,2367663.489666778,2367663.489666778,600.9455882190999,600.9455882190999,83633.22798664815,83633.22798664815,2,0.683890753353592
2024-07-18 00:00:00+00:00,1,0,0,3936365689,0.0465336963534355,5078702,3123.0,90.96031951904295,272357.0,0.1865033656631221,16.042338013648987,0.0,5035794.0,2998.0,259667.0,90.93579864501952,0.0455150604248046,16.680789589881897,0.0,0.0,0.0,0.0,0.0,0.0,5285233.714285715,3766.714285714286,305462.14285714284,90.83671569824219,0.054816918713705816,21.267117840903147,5285233.714285715,3766.714285714286,305462.14285714284,90.83671569824219,0.054816918713705816,21.267117840903147,0.0,0.8520602709324532,0.0,4.169446297531687,0.0,4.8870283863563735,0.0,2.238019501948796,0.0,0.0269650394990828,0.40930811150190954,0.40930811150190954,1625.7048655569781,18.64715558199135,0.011466525675764986,3.1587470292413215e-06,0.05692781720842303,0.05692781720842303,1.0,1.0,1.0,2163289.030440509,2163289.030440509,617.6713565982357,617.6713565982357,77729.4378113993,77729.4378113993,2,0.6897179147594985
2024-07-19 00:00:00+00:00,1,0,0,3936365689,0.0395700260996818,4814157,2789.0,90.97697448730467,253428.0,0.1750647005819327,16.317909757296245,0.0,5078702.0,3123.0,272357.0,90.96031951904295,0.0465336963534355,16.042338013648987,787467.0,4296.0,186225.0,90.57910919189452,0.0591956600546836,52.27969868977865,5860475.142857143,3551.4285714285716,315062.5714285714,90.89355359758649,0.052013256720134134,16.12971942197709,5226349.125,3644.5,298957.875,90.854248046875,0.052911057136952815,20.648466830452282,511.34714216595745,-5.208909678102791,-35.07914338919925,-10.694844700608385,36.08699154248893,-6.9500692106316375,-33.15383921198293,-14.964790677411099,0.4392462003211639,0.018310147050693004,0.3845379488849246,0.3845379488849246,1725.5043010752688,18.99607779693721,0.011005054670144301,3.3895667232559143e-06,0.03515461512974175,0.04964011056082301,1.0004326220463704,1.1213325024200604,0.983031894174882,2009729.5726840205,2009729.5726840205,668.2110445061501,668.2110445061501,74277.76155838974,74277.76155838974,2,0.6537911315459822
2024-07-20 00:00:00+00:00,1,1,0,3936365689,0.0404568724334239,4500409,2738.0,91.0098648071289,237695.0,0.1622323389381218,16.299619277318318,0.0,4814157.0,2789.0,253428.0,90.97697448730467,0.0395700260996818,16.317909757296245,7363448.0,4573.0,422878.0,90.7588348388672,0.0669023171067237,15.2703058719635,5451469.571428572,3289.285714285714,288607.85714285716,90.92941502162388,0.048235336052519874,16.276764194170635,5145689.111111111,3543.777777777778,292150.8888888889,90.87153879801433,0.05152725883656071,20.165261546770733,-38.8817711485163,-6.517195014620425,-40.126831401705665,-1.8286124058802478,-43.79111705976665,-6.208074877282699,-39.52844358307289,2.241207351008634,0.2765901178737984,0.03615235614240486,0.36835483073149955,0.36835483073149955,1643.0847024461482,18.933465434841143,0.011518914916532041,3.6218076302644243e-06,0.028370993477956533,0.04512252807616485,1.000636901546679,1.0594245889548959,0.9361129844985062,1895439.4415202537,1895439.4415202537,694.2603578229456,694.2603578229456,72419.28726942232,72419.28726942232,2,0.611182288514837
2024-07-21 00:00:00+00:00,1,1,0,3936365689,0.0393613241612911,4475001,2635.0,91.01526641845705,237783.0,0.1598252833104995,16.060486157735188,0.0,4500409.0,2738.0,237695.0,91.0098648071289,0.0404568724334239,16.299619277318318,6703558.0,4168.0,358166.0,90.82107543945312,0.0600717440247535,16.11347508430481,5133104.285714285,3070.285714285714,271410.28571428574,90.95715659005302,0.04527670464345381,16.26919434751783,5078620.3,3452.9,286714.1,90.88591156005859,0.050310665369033745,19.75478400786718,-33.244390516200504,-0.5645709089996065,-36.78023032629558,-3.7618699780861964,-33.610951346582304,0.037022234375982954,-34.476142152504096,-2.707941089454302,0.21381708823011714,0.0059351932228279836,0.35434409992568294,0.35434409992568294,1697.6483308042489,18.819605187901626,0.011081485718130741,3.588933850249718e-06,0.02209227425711912,0.04065607244318304,1.0007838952019241,1.0107281077331742,0.8999424736553308,1799579.1390678019,1799579.1390678019,714.8635378712345,714.8635378712345,70408.88987186839,70408.88987186839,2,0.6077317311129242
