timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-07-19 00:00:00+00:00,1,0,0,2142948266,3656722,91.4985580444336,125009,2.4865784645080566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125009.0,3656722.0,91.4985580444336,2.4865784645080566,0.0,0.0,125009.0,3656722.0,91.4985580444336,2.4865784645080566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03418607315894587,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-07-20 00:00:00+00:00,1,0,0,2142948266,5019171,91.76617431640624,130896,2.57151198387146,0.0,0.0,0.0,0.0,0.0,125009.0,3656722.0,91.4985580444336,2.4865784645080566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127952.5,4337946.5,91.63236618041992,2.5290452241897583,0.0,0.0,127952.5,4337946.5,91.63236618041992,2.5290452241897583,0.0,0.0,0.0,0.0,4.7092609332128,0.0,37.258752511128826,0.0,3.4156782331904667,0.0,0.29248140920721255,0.0,0.0,0.0,0.0,0.026079201908203186,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4162.737620845205,4162.737620845205,963396.9269208305,963396.9269208305,0,0.0
2022-07-21 00:00:00+00:00,1,0,0,2142948266,4287624,91.98933410644533,116903,2.2499873638153076,0.0,0.0,0.0,0.0,0.0,130896.0,5019171.0,91.76617431640624,2.57151198387146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124269.33333333333,4321172.333333333,91.75135548909505,2.436025937398275,0.0,0.0,124269.33333333333,4321172.333333333,91.75135548909505,2.436025937398275,0.0,0.0,0.0,0.0,-10.69016623884611,0.0,-14.575056319061453,0.0,-12.503329639245585,0.0,0.24318305922794714,0.0,0.0,0.0,0.0,0.02726521092679514,0.0,0.24538803100587187,0.0,1.0,0.0,1.0,0.0,0.0,7025.762758116253,7025.762758116253,681843.77785702,681843.77785702,0,0.0
2022-07-22 00:00:00+00:00,1,0,0,2142948266,5050344,92.14958953857422,106719,2.046874761581421,0.0,0.0,0.0,0.0,0.0,116903.0,4287624.0,91.98933410644533,2.2499873638153076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119881.75,4503465.25,91.85091400146484,2.3387381434440613,0.0,0.0,119881.75,4503465.25,91.85091400146484,2.3387381434440613,0.0,0.0,0.0,0.0,-8.711495855538354,0.0,17.788873278067285,0.0,-9.027277463881767,0.0,0.1742108839960288,0.0,0.0,0.0,0.0,0.021131031642392748,0.0,0.2176254272460791,0.0,1.0,0.0,1.0,0.0,0.0,10483.850036285969,10483.850036285969,665479.8680668335,665479.8680668335,0,0.0
2022-07-23 00:00:00+00:00,1,1,0,2142948266,4402532,92.0001449584961,105847,2.036702871322632,0.0,0.0,0.0,0.0,0.0,106719.0,5050344.0,92.14958953857422,2.046874761581421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117074.8,4483278.6,91.8807601928711,2.278331089019775,0.0,0.0,117074.8,4483278.6,91.8807601928711,2.278331089019775,0.0,0.0,0.0,0.0,-0.8170991107487868,0.0,-12.827086630138462,0.0,-0.4969473682371328,0.0,-0.1621760670084904,0.0,0.0,0.0,0.0,0.024042295651162636,0.0,0.13865890502929737,0.13865890502929737,1.0,0.0,1.0,0.0,0.0,11037.580133344445,11037.580133344445,578087.446060542,578087.446060542,0,0.0
2022-07-24 00:00:00+00:00,1,1,0,2142948266,4048974,91.911376953125,79402,1.560916543006897,0.0,0.0,0.0,0.0,0.0,105847.0,4402532.0,92.0001449584961,2.036702871322632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110796.0,4410894.5,91.88586298624675,2.158761998017629,0.0,0.0,110796.0,4410894.5,91.88586298624675,2.158761998017629,0.0,0.0,0.0,0.0,-24.98417527185466,0.0,-8.030787737601909,0.0,-23.360615581926293,0.0,-0.09648681033180839,0.0,0.0,0.0,0.0,0.019610395223482485,0.0,0.08360748291016261,0.08360748291016261,1.0,0.0,1.0,0.0,0.0,18275.735738951797,18275.735738951797,546612.1328978162,546612.1328978162,0,0.0
2022-07-25 00:00:00+00:00,1,0,0,2142948266,2727479,91.822509765625,61302,1.15806245803833,0.0,0.0,0.0,0.0,0.0,79402.0,4048974.0,91.911376953125,1.560916543006897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103725.42857142857,4170406.5714285714,91.87681252615792,2.0158049208777293,0.0,0.0,103725.42857142857,4170406.5714285714,91.87681252615792,2.0158049208777293,0.0,0.0,0.0,0.0,-22.795395581975264,0.0,-32.63777440902312,0.0,-25.808816414522862,0.0,-0.09668790790211546,0.0,0.0,0.0,0.0,0.022475691847419595,0.0,0.04546683175223329,0.04546683175223329,1.0,0.0,1.0,0.0,0.0,25065.639687675655,25065.639687675655,808596.5988752482,808596.5988752482,0,0.0
2022-07-26 00:00:00+00:00,1,0,0,2142948266,2361388,91.76807403564452,55823,1.0703253746032717,0.0,0.0,0.0,0.0,0.0,61302.0,2727479.0,91.822509765625,1.15806245803833,0.0,0.0,125009.0,3656722.0,91.4985580444336,2.4865784645080566,0.0,0.0,93841.71428571429,3985358.8571428573,91.91531481061664,1.8134830508913313,0.0,0.0,97737.625,3944279.25,91.86322021484375,1.897619977593422,0.0,0.0,0.0,-55.344815173307516,-8.937718182114773,-35.42336551698489,-13.422321491751177,-56.955897837914215,-7.576196156438608,0.2945576378154957,-0.059283644195118335,0.0,0.0,0.0,0.0,0.023639900075760494,0.0,-0.0202200753348184,0.02124968029203997,1.0005670887178901,0.0,0.9556618671306392,0.0,0.0,28729.104426086797,28729.104426086797,984628.3146502904,984628.3146502904,0,0.0
2022-07-27 00:00:00+00:00,1,0,0,2142948266,3386332,91.70597839355467,68747,1.329349160194397,0.0,0.0,0.0,0.0,0.0,55823.0,2361388.0,91.76807403564452,1.0703253746032717,0.0,0.0,130896.0,5019171.0,91.76617431640624,2.57151198387146,0.0,0.0,84963.28571428571,3752096.1428571427,91.9067153930664,1.636031218937465,0.0,0.0,94516.44444444444,3882285.111111111,91.84574890136719,1.834478775660197,0.0,0.0,0.0,-47.4796785234079,23.15174748759472,-32.53204563064299,43.40430289304427,-48.30476511359528,24.200471346120842,-0.06559707136096771,-0.0676658442953948,0.0,0.0,0.0,0.0,0.020301311182332037,0.0,-0.06395476205009047,0.0043919881184836885,1.0006637921997314,0.0,0.8918234654138671,0.0,0.0,28558.278983996526,28558.278983996526,939625.3309531737,939625.3309531737,0,0.0
2022-07-28 00:00:00+00:00,1,0,0,2142948266,3631287,91.99334716796876,69022,1.3215007781982422,0.0,0.0,0.0,0.0,0.0,68747.0,3386332.0,91.70597839355467,1.329349160194397,0.0,0.0,116903.0,4287624.0,91.98933410644533,2.2499873638153076,0.0,0.0,78123.14285714286,3658333.714285714,91.90728868756976,1.5033902781350272,0.0,0.0,91967.0,3857185.3,91.86050872802734,1.7831809759140014,0.0,0.0,0.0,-40.95788816369127,0.4000174553071334,-15.307708884920878,7.233638048484314,-41.26630222681025,-0.5903928201231201,0.0043625291588522686,0.31335882289031947,0.0,0.0,0.0,0.0,0.019007580781254474,0.0,-0.04287011282784232,0.0112449877189878,1.000509249950715,0.0,0.8430946148718514,0.0,0.0,28106.093479291398,28106.093479291398,889435.9103233228,889435.9103233228,0,0.0
