timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_Estimated Revenue,visits_visits_gained,ratings_like_ratio,daily_rpv,platform_platform_share,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-04 00:00:00+00:00,0,0,0,7751735873,12.613396326700846,70944,15058,96.98346710205078,0.2142756554086528,0.0039518531411886,437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70944.0,437.0,15058.0,96.98346710205078,0.0039518531411886,12.613396326700846,70944.0,437.0,15058.0,96.98346710205078,0.0039518531411886,12.613396326700846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.97260273972603,4.711069792150873,0.029019191181353342,0.0001777911949637162,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-05 00:00:00+00:00,0,0,0,7751735873,59.18711696971547,47055,37493,96.92271423339844,0.1303990868799195,0.0025285091251134,358,0.0,70944.0,437.0,15058.0,96.98346710205078,0.0039518531411886,12.613396326700846,0.0,0.0,0.0,0.0,0.0,0.0,58999.5,397.5,26275.5,96.95309066772461,0.0032401811331509997,35.900256648208156,58999.5,397.5,26275.5,96.95309066772461,0.0032401811331509997,35.900256648208156,0.0,-33.673037889039236,0.0,-18.077803203661325,0.0,148.99056979678576,0.0,-36.01712829963869,0.0,-0.06264250028142904,0.28630876356181717,0.28630876356181717,131.07242339832868,1.2550008001280204,0.009548194377767109,0.0012578017037086762,0.0,0.0,1.0,1.0,1.0,16892.073895765432,16892.073895765432,55.86143571373726,55.86143571373726,15863.940635920193,15863.940635920193,1,0.6632696211096076
2025-09-06 00:00:00+00:00,0,1,0,7751735873,49.004839352199006,206908,179912,96.353759765625,0.4689430810653415,0.0143017163500189,2236,0.0,47055.0,358.0,37493.0,96.92271423339844,0.0025285091251134,59.18711696971547,0.0,0.0,0.0,0.0,0.0,0.0,108302.33333333333,1010.3333333333334,77487.66666666667,96.75331370035808,0.0069273595387736335,40.268450882871775,108302.33333333333,1010.3333333333334,77487.66666666667,96.75331370035808,0.0069273595387736335,40.268450882871775,0.0,339.71522686218253,0.0,524.5810055865923,0.0,379.85490624916645,0.0,465.6185381327223,0.0,-0.5870187110147862,0.7961631371893596,0.7961631371893596,92.49351810460438,1.1500447438484156,0.012428229199668728,0.00023684247351347213,-0.31485366821288996,0.0,1.0,1.0,1.0,86226.32547159442,86226.32547159442,1062.1931713833098,1062.1931713833098,89408.5585966653,89408.5585966653,2,1.0
2025-09-07 00:00:00+00:00,0,1,0,7751735873,16.907842967821203,468299,332666,96.09528350830078,0.6287185341493522,0.0150159401819109,1852,0.0,206908.0,2236.0,179912.0,96.353759765625,0.0143017163500189,49.004839352199006,0.0,0.0,0.0,0.0,0.0,0.0,198301.5,1220.75,141282.25,96.58880615234375,0.00894950469955795,34.42829890410913,198301.5,1220.75,141282.25,96.58880615234375,0.00894950469955795,34.42829890410913,0.0,126.33199296305607,0.0,-17.17352415026834,0.0,84.9048423673796,0.0,4.993972852014061,0.0,-0.268257572878261,0.974663025212416,0.974663025212416,252.72477064220183,1.407711014317621,0.005567128690251813,3.610472553453172e-05,-0.32335052490235444,0.0,1.0,1.0,1.0,193277.13989415992,193277.13989415992,963.9866440983506,963.9866440983506,146997.46829197434,146997.46829197434,3,1.0
2025-09-08 00:00:00+00:00,0,0,0,7751735873,19.355138322581418,184471,120013,95.86400604248048,0.1920706290677945,0.0125404763966798,1402,417.0,468299.0,1852.0,332666.0,96.09528350830078,0.0150159401819109,16.907842967821203,0.0,0.0,0.0,0.0,0.0,0.0,195535.4,1257.0,137028.4,96.4438461303711,0.00966769903898232,31.41366678780359,195535.4,1257.0,137028.4,96.4438461303711,0.00966769903898232,31.41366678780359,0.0,-60.60828658613408,0.0,-24.298056155507563,0.0,-63.923875598949095,0.0,-16.48557303267092,0.0,-0.24067514801631162,0.8566078196749115,0.8566078196749115,131.4832501781896,1.537079007449131,0.011681970436782376,0.00010492182186229573,-0.30663528442383214,-0.30663528442383214,1.0,1.0,1.0,167497.1526632617,167497.1526632617,838.762779336327,838.762779336327,127658.40341434637,127658.40341434637,3,0.39391713413865925
2025-09-09 00:00:00+00:00,0,0,0,7751735873,30.92527319037396,186871,83999,95.74077606201172,0.1756447184021667,0.0082756532356143,859,412.0,184471.0,1402.0,120013.0,95.86400604248048,0.0125404763966798,19.355138322581418,0.0,0.0,0.0,0.0,0.0,0.0,194091.33333333334,1190.6666666666667,128190.16666666667,96.32666778564453,0.009435691405087649,31.33226785489865,194091.33333333334,1190.6666666666667,128190.16666666667,96.32666778564453,0.009435691405087649,31.33226785489865,0.0,1.3010175041063388,0.0,-38.73038516405135,0.0,-30.008415754959884,0.0,-34.00846208836731,0.0,-0.12854666266935988,0.772088880602124,0.772088880602124,217.2918604651163,2.224654761904762,0.010226190476190476,0.00016548906840176141,-0.2756587437220896,-0.2756587437220896,1.0,1.0,1.0,149855.76028790706,149855.76028790706,767.6060621612278,767.6060621612278,116215.40595190754,116215.40595190754,3,0.3990420650054773
2025-09-10 00:00:00+00:00,0,0,0,7751735873,48.8652194630016,239951,61098,95.65851593017578,0.2103025377567844,0.0076303076930344,782,331.0,186871.0,859.0,83999.0,95.74077606201172,0.0082756532356143,30.92527319037396,0.0,0.0,0.0,0.0,0.0,0.0,200642.7142857143,1132.2857142857142,118605.57142857143,96.23121752057757,0.009177779446222901,33.836975227484785,200642.7142857143,1132.2857142857142,118605.57142857143,96.23121752057757,0.009177779446222901,33.836975227484785,0.0,28.40462136982196,0.0,-8.9639115250291,0.0,-27.263419802616696,0.0,-7.798122084219927,0.0,-0.08591964178633615,0.6872550446272754,0.6872550446272754,306.4508301404853,3.9272492184814807,0.012798900145665232,0.0002036458102578916,-0.24387441362653325,-0.24387441362653325,1.0,1.0,1.0,137892.71756056623,137892.71756056623,717.5473768994199,717.5473768994199,109078.26736623133,109078.26736623133,3,0.5123884526766019
2025-09-11 00:00:00+00:00,0,0,0,7751735873,45.88240089416504,269730,84972,95.55581665039062,0.2215282123823943,0.0071208029985427,724,299.0,239951.0,782.0,61098.0,95.65851593017578,0.0076303076930344,48.8652194630016,70944.0,437.0,15058.0,96.98346710205078,0.0039518531411886,12.613396326700846,229040.7142857143,1173.2857142857142,128593.28571428571,96.02726745605469,0.009630486568702057,38.58969016569396,209278.625,1081.25,114401.375,96.1467924118042,0.008920657390262874,35.34265343581982,280.2012855209743,12.410450466970335,65.67505720823799,-7.416879795396425,464.29804754947537,39.07492880290682,80.18895804414873,-6.677380716334936,-1.4720554897856064,-0.10736031056567397,0.6210838576221925,0.6210838576221925,372.04137931034484,3.174302425476328,0.008520353524060584,0.00017010429240304242,-0.2087745666503878,-0.2188663482665991,0.9987568492640131,1.0944295638683323,1.079571397867379,129979.57573286822,129979.57573286822,679.8219830010122,679.8219830010122,101684.54402561103,101684.54402561103,3,0.5759781677945074
2025-09-12 00:00:00+00:00,0,0,0,7751735873,21.982713742689658,280928,123425,95.4308090209961,0.2142957297798776,0.008442566730082,1066,292.0,269730.0,724.0,84972.0,95.55581665039062,0.0071208029985427,45.88240089416504,47055.0,358.0,37493.0,96.92271423339844,0.0025285091251134,59.18711696971547,262451.14285714284,1274.4285714285713,140869.2857142857,95.81413813999721,0.010475351940840427,33.274775418975985,217239.66666666666,1079.5555555555557,115404.0,96.06723870171442,0.008867536205798334,33.858215692138685,497.0205079162682,4.151558966373781,197.7653631284916,47.237569060773474,229.19478302616488,45.25373064068163,233.8950469361412,18.562003917392534,-1.5392730426530443,-0.13082158028316915,0.5703758634588355,0.5703758634588355,263.28772258669164,2.2760844554631925,0.00863675400644921,7.825006938653417e-05,-0.1447598593575538,-0.2009386698404977,0.997365381110796,1.2081179596903397,1.1813148204560777,123908.26245250959,123908.26245250959,635.9355531638232,635.9355531638232,95164.72820325817,95164.72820325817,3,0.5998902410639356
2025-09-13 00:00:00+00:00,0,1,0,7751735873,16.234181321185567,284137,197512,95.30502319335938,0.1929985565280756,0.0089081050828099,1252,290.0,280928.0,1066.0,123425.0,95.4308090209961,0.008442566730082,21.982713742689658,206908.0,2236.0,179912.0,96.353759765625,0.0143017163500189,49.004839352199006,273483.85714285716,1133.857142857143,143383.57142857142,95.66431862967355,0.009704836045524856,28.593252843116918,223929.4,1096.8,123614.8,95.9910171508789,0.00887159309349949,32.09581225504338,37.32528466758174,1.1422855678323351,-44.00715563506261,17.448405253283305,9.782560362844062,60.0259266761191,-37.71303482187906,5.514180315201123,-1.0884230930029215,-0.1318084054061086,0.5301751266983404,0.5301751266983404,226.76536312849163,1.4385736635056934,0.006338823267329239,5.7134847578238625e-05,-0.1222190856933565,-0.18771260579427035,0.9965965719407697,1.2212950025448073,1.09392258450581,118721.79801648334,118721.79801648334,602.0405671085997,602.0405671085997,93403.63736053206,93403.63736053206,3,0.6067427007104436
