timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,session_session_length,visits_visits_gained,ratings_like_ratio,platform_platform_share,daily_rpv,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-02-12 00:00:00+00:00,0,0,0,5361032378,417902.0,0.0,300613,76.73491668701172,0.1766961961984634,0.1838449163272183,9251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417902.0,9251.0,300613.0,76.73491668701172,0.1766961961984634,0.0,417902.0,9251.0,300613.0,76.73491668701172,0.1766961961984634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.16882836143537,1.390161469525704,0.030773683195060776,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-02-13 00:00:00+00:00,0,0,0,5361032378,620310.0,0.0,458304,78.31950378417969,0.252250999212265,0.2261548485139926,13258,0.0,417902.0,9251.0,300613.0,76.73491668701172,0.1766961961984634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519106.0,11254.5,379458.5,77.5272102355957,0.21447359770536423,0.0,519106.0,11254.5,379458.5,77.5272102355957,0.21447359770536423,0.0,0.0,48.43432192236457,0.0,43.31423629877851,0.0,52.45648059132506,0.0,42.7597224158347,0.0,2.0650144231357137,0.27571260853545654,0.27571260853545654,46.784071196922845,1.3534873064880375,0.028928333751541004,0.0,0.0,0.0,1.0,1.0,1.0,143124.0693664067,143124.0693664067,2833.376872214496,2833.376872214496,111504.37543208787,111504.37543208787,2,1.0
2024-02-14 00:00:00+00:00,0,0,0,5361032378,724257.0,0.0,641048,79.52384948730469,0.2234152257442474,0.2125033423634828,11441,0.0,620310.0,13258.0,458304.0,78.31950378417969,0.252250999212265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587489.6666666666,11316.666666666666,466655.0,78.19275665283203,0.21745414038499197,0.0,587489.6666666666,11316.666666666666,466655.0,78.19275665283203,0.21745414038499197,0.0,0.0,16.757266528026314,0.0,-13.704932870719567,0.0,39.87397011590561,0.0,-11.431381266304829,0.0,1.5377340827436026,0.26518297331652385,0.26518297331652385,63.29811221814368,1.1297997500971064,0.017847309644036573,0.0,1.3944664001464895,0.0,1.0,1.0,1.0,155792.25659940013,155792.25659940013,2006.3913709277494,2006.3913709277494,170371.0706282026,170371.0706282026,3,1.0
2024-02-15 00:00:00+00:00,0,0,0,5361032378,924827.0,0.0,721370,80.06502532958984,0.3534553945064544,0.216295452056843,17727,0.0,724257.0,11441.0,641048.0,79.52384948730469,0.2234152257442474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671824.0,12919.25,530333.75,78.66082382202148,0.2514544539153576,0.0,671824.0,12919.25,530333.75,78.66082382202148,0.2514544539153576,0.0,0.0,27.693208350074627,0.0,54.9427497596364,0.0,12.529794960751772,0.0,58.20559826619396,0.0,0.6805201782536408,0.3144543622214315,0.3144543622214315,52.16758799638989,1.282040725230152,0.024574040264995406,0.0,1.1194671630859225,0.0,1.0,1.0,1.0,211257.98744505103,211257.98744505103,3599.5598226264647,3599.5598226264647,188602.22854175573,188602.22854175573,4,1.0
2024-02-16 00:00:00+00:00,0,0,0,5361032378,1118032.0,0.0,812971,80.78939819335938,0.4116603136062622,0.2133015657184049,24500,0.0,924827.0,17727.0,721370.0,80.06502532958984,0.3534553945064544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761065.6,15235.4,586861.2,79.08653869628907,0.2834956258535385,0.0,761065.6,15235.4,586861.2,79.08653869628907,0.2834956258535385,0.0,0.0,20.890934196341583,0.0,38.207254470581596,0.0,12.698199259741871,0.0,16.467401546122097,0.0,0.9047306995628057,0.35572015415746605,0.35572015415746605,45.63209664911636,1.3752404756867396,0.030136339258916667,0.0,0.9854484558105433,0.9854484558105433,1.0,1.0,1.0,270726.37255594437,270726.37255594437,6044.8637122767295,6044.8637122767295,206530.53884522745,206530.53884522745,5,1.0
2024-02-17 00:00:00+00:00,0,1,0,5361032378,1473072.0,0.0,1023623,81.2550277709961,0.4000977873802185,0.2306996265593315,29741,0.0,1118032.0,24500.0,812971.0,80.78939819335938,0.4116603136062622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879733.3333333334,17653.0,659654.8333333334,79.44795354207356,0.3029293194413185,0.0,879733.3333333334,17653.0,659654.8333333334,79.44795354207356,0.3029293194413185,0.0,0.0,31.755799476222514,0.0,21.391836734693868,0.0,25.91137937269594,0.0,-2.8087541703383234,0.0,0.576349852888236,0.43003997412106704,0.43003997412106704,49.52834375630422,1.4390752854563784,0.029054613803505974,0.0,0.8728975568498953,0.8728975568498953,1.0,1.0,1.0,378320.49990010675,378320.49990010675,8018.7929515607275,8018.7929515607275,256743.7810420472,256743.7810420472,6,1.0
2024-02-18 00:00:00+00:00,0,1,0,5361032378,1755983.0,0.0,1181657,81.54960632324219,0.4826328456401825,0.2259024654168951,35734,0.0,1473072.0,29741.0,1023623.0,81.2550277709961,0.4000977873802185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004911.8571428572,20236.0,734226.5714285715,79.74818965366909,0.3286012517554419,0.0,1004911.8571428572,20236.0,734226.5714285715,79.74818965366909,0.3286012517554419,0.0,0.0,19.205510660714474,0.0,20.15063380518476,0.0,15.438691783986869,0.0,20.62872149341075,0.0,0.3625357843410226,0.4761584507446643,0.4761584507446643,49.13902336644746,1.4860331838823078,0.03024056029748032,0.0,0.7707380567278187,0.7707380567278187,1.0,1.0,1.0,478497.27303208626,478497.27303208626,10014.360854958908,10014.360854958908,306362.1219694417,306362.1219694417,7,1.0
2024-02-19 00:00:00+00:00,0,0,1,5361032378,1744734.0,0.0,1073068,81.84098052978516,0.5487071871757507,0.1890347214809185,34718,0.0,1755983.0,35734.0,1181657.0,81.54960632324219,0.4826328456401825,0.0,417902.0,9251.0,300613.0,76.73491668701172,0.1766961961984634,0.0,1194459.2857142857,23874.14285714286,844577.2857142857,80.47762734549386,0.38174567903791157,0.0,1097389.625,22046.25,776581.75,80.0097885131836,0.35611449368298054,0.0,317.49836085972305,-0.6406098464506793,275.28915792887256,-2.8432305367437127,256.9599451786849,-9.189553313694244,210.5370681321562,13.69039470322926,6.654159622796207,0.35729688919408087,0.4688026401913989,0.4688026401913989,50.25300267864858,1.6259289943144384,0.03235393064192517,0.0,0.5644980839320627,0.6882246108282216,1.0058472699528904,1.0884550559827697,1.0719745638259486,514459.15351864917,514459.15351864917,10591.34972850149,10591.34972850149,307898.0172458546,307898.0172458546,7,0.9935939015354932
2024-02-20 00:00:00+00:00,0,0,0,5361032378,1668011.0,0.0,1040024,82.21521759033203,0.6180552244186401,0.1581362583918681,30510,0.0,1744734.0,34718.0,1073068.0,81.84098052978516,0.5487071871757507,0.0,620310.0,13258.0,458304.0,78.31950378417969,0.252250999212265,0.0,1344130.857142857,26338.714285714286,927680.1428571428,81.03415788922992,0.43400342549596516,0.0,1160792.0,22986.666666666668,805853.1111111111,80.2548361884223,0.385219019320276,0.0,168.89958246683113,-4.3974038449414055,130.12520742193394,-12.120513854484704,126.9288507191733,-3.0793947820641376,145.01596677464775,12.638441570235393,4.974129837297658,0.45727343211714455,0.4457806733431165,0.4457806733431165,54.66916849660778,1.6038181774476574,0.029335833273238625,0.0,0.44236510140555324,0.6287858327229775,1.0097105886426323,1.1579429020383127,1.1266406997810487,517458.63937130285,517458.63937130285,10301.167627992469,10301.167627992469,301101.8990767264,301101.8990767264,7,0.9499015651062681
2024-02-21 00:00:00+00:00,0,0,0,5361032378,1810182.0,0.0,1023031,82.60806274414062,0.7513478398323059,0.1522191180478906,35923,0.0,1668011.0,30510.0,1040024.0,82.21521759033203,0.6180552244186401,0.0,724257.0,11441.0,641048.0,79.52384948730469,0.2234152257442474,0.0,1499263.0,29836.14285714286,982249.1428571428,81.47475978306362,0.5094223703656878,0.0,1225731.0,24280.3,827570.9,80.49015884399414,0.421831901371479,0.0,149.93641759762073,8.523385037628639,213.98479153920113,17.741724024909857,59.587269596036485,-1.6339046022014858,236.30109019176905,21.566457194669695,3.8783500506075264,0.4778253531676935,0.431842595976645,0.431842595976645,50.38921055561742,1.769428522274963,0.03511424862565394,0.0,0.3952394212995282,0.5856565995649857,1.0122325630016191,1.2231582622940922,1.2076430651864658,529322.857009049,529322.857009049,10538.42853612962,10538.42853612962,292070.85154517257,292070.85154517257,8,1.0
